Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN A,LLIANCE,,,,,,,,
-----------,----------,-------------,------------,-----------,-----------,---------,----------------,--------------------,------------,-------
Day,Date high,High,Date Low,Low,Closing,Trades(No.), Shares(No.),Turnover(Rs.),Last Traded,Days Traded
2007-07-02 00:00:00,2007-07-02 00:00:00,21,2007-07-02 00:00:00,21,21,5,3900,81900,2007-07-02 00:00:00,1
2007-07-03 00:00:00,2007-07-03 00:00:00,20.75,2007-07-03 00:00:00,20.75,20.75,2,300,6225,2007-07-03 00:00:00,1
2007-07-04 00:00:00,2007-07-04 00:00:00,20.75,2007-07-04 00:00:00,20.75,20.75,1,1000,20750,2007-07-04 00:00:00,1
2007-07-05 00:00:00,2007-07-05 00:00:00,20,2007-07-05 00:00:00,19.5,20,7,3300,65900,2007-07-05 00:00:00,1
2007-07-06 00:00:00,2007-07-06 00:00:00,20,2007-07-06 00:00:00,19.5,19.5,5,2800,54950,2007-07-06 00:00:00,1
2007-07-09 00:00:00,2007-07-09 00:00:00,19.75,2007-07-09 00:00:00,19.5,19.5,6,2800,54725,2007-07-09 00:00:00,1
2007-07-10 00:00:00,2007-07-10 00:00:00,19.25,2007-07-10 00:00:00,19.25,19.25,12,10000,192500,2007-07-10 00:00:00,1
2007-07-11 00:00:00,2007-07-11 00:00:00,19.25,2007-07-11 00:00:00,19.25,19.25,6,4000,77000,2007-07-11 00:00:00,1
2007-07-12 00:00:00,2007-07-12 00:00:00,19.75,2007-07-12 00:00:00,19,19.25,7,6700,130475,2007-07-12 00:00:00,1
2007-07-13 00:00:00,2007-07-13 00:00:00,19.25,2007-07-13 00:00:00,19,19,16,6700,127750,2007-07-13 00:00:00,1
2007-07-16 00:00:00,2007-07-16 00:00:00,18.75,2007-07-16 00:00:00,18.75,18.75,8,1500,28125,2007-07-16 00:00:00,1
2007-07-17 00:00:00,2007-07-17 00:00:00,19,2007-07-17 00:00:00,18.75,19,8,11800,224175,2007-07-17 00:00:00,1
2007-07-19 00:00:00,2007-07-19 00:00:00,19,2007-07-19 00:00:00,19,19,6,3500,66500,2007-07-19 00:00:00,1
2007-07-20 00:00:00,2007-07-20 00:00:00,19,2007-07-20 00:00:00,18.75,19,4,1300,24650,2007-07-20 00:00:00,1
2007-07-23 00:00:00,2007-07-23 00:00:00,19,2007-07-23 00:00:00,19,19,5,4700,89300,2007-07-23 00:00:00,1
2007-07-24 00:00:00,2007-07-24 00:00:00,19.25,2007-07-24 00:00:00,19,19.25,3,1800,34575,2007-07-24 00:00:00,1
2007-07-25 00:00:00,2007-07-25 00:00:00,21,2007-07-25 00:00:00,19.25,20,14,6600,130325,2007-07-25 00:00:00,1
2007-07-26 00:00:00,2007-07-26 00:00:00,20,2007-07-26 00:00:00,20,20,1,100,2000,2007-07-26 00:00:00,1
2007-07-27 00:00:00,2007-07-27 00:00:00,20,2007-07-27 00:00:00,20,20,3,1000,20000,2007-07-27 00:00:00,1
2007-07-30 00:00:00,2007-07-30 00:00:00,20,2007-07-30 00:00:00,19.5,19.5,4,2400,46950,2007-07-30 00:00:00,1
2007-07-31 00:00:00,2007-07-31 00:00:00,19.75,2007-07-31 00:00:00,19.75,19.75,1,2000,39500,2007-07-31 00:00:00,1
2007-08-01 00:00:00,2007-08-01 00:00:00,20,2007-08-01 00:00:00,19.75,19.75,7,3400,67575,2007-08-01 00:00:00,1
2007-08-02 00:00:00,2007-08-02 00:00:00,19.5,2007-08-02 00:00:00,19.5,19.5,7,5900,115050,2007-08-02 00:00:00,1
2007-08-03 00:00:00,2007-08-03 00:00:00,20.25,2007-08-03 00:00:00,19.75,20,17,10700,213925,2007-08-03 00:00:00,1
2007-08-06 00:00:00,2007-08-06 00:00:00,20,2007-08-06 00:00:00,19.5,19.5,6,1400,27350,2007-08-06 00:00:00,1
2007-08-07 00:00:00,2007-08-07 00:00:00,19.5,2007-08-07 00:00:00,19.5,19.5,5,3900,76050,2007-08-07 00:00:00,1
2007-08-10 00:00:00,2007-08-10 00:00:00,19.5,2007-08-10 00:00:00,19.5,19.5,7,10500,204750,2007-08-10 00:00:00,1
2007-08-13 00:00:00,2007-08-13 00:00:00,20,2007-08-13 00:00:00,19.5,19.75,5,2200,43450,2007-08-13 00:00:00,1
2007-08-14 00:00:00,2007-08-14 00:00:00,19.5,2007-08-14 00:00:00,19.25,19.5,8,12800,249375,2007-08-14 00:00:00,1
2007-08-15 00:00:00,2007-08-15 00:00:00,19.5,2007-08-15 00:00:00,19.5,19.5,2,800,15600,2007-08-15 00:00:00,1
2007-08-16 00:00:00,2007-08-16 00:00:00,19.5,2007-08-16 00:00:00,19.25,19.25,8,8500,165125,2007-08-16 00:00:00,1
2007-08-17 00:00:00,2007-08-17 00:00:00,20,2007-08-17 00:00:00,19.5,19.5,6,16100,315750,2007-08-17 00:00:00,1
