Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id :  AAIC,,Security,Type :  N,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Quarter,Date High,High,Date Low,Low,Closing,Trades(No.),Shares(No.),Turnover(Rs.),Last Traded Date,Days Traded
2004-01-16 00:00:00,2004-01-16 00:00:00,7,2004-01-16 00:00:00,7,7,1,10000,70000,2004-01-16 00:00:00,1
2004-01-19 00:00:00,2004-01-19 00:00:00,7,2004-01-19 00:00:00,6,7,8,10300,71600,2004-01-19 00:00:00,1
2004-01-21 00:00:00,2004-01-21 00:00:00,6.75,2004-01-21 00:00:00,6,6.25,5,10000,62550,2004-01-21 00:00:00,1
2004-01-23 00:00:00,2004-01-23 00:00:00,7,2004-01-23 00:00:00,6.5,7,2,300,2000,2004-01-23 00:00:00,1
2004-01-26 00:00:00,2004-01-26 00:00:00,7.5,2004-01-26 00:00:00,7.25,7.5,5,16000,119000,2004-01-26 00:00:00,1
2004-01-27 00:00:00,2004-01-27 00:00:00,8,2004-01-27 00:00:00,7.75,8,9,23000,181500,2004-01-27 00:00:00,1
2004-01-28 00:00:00,2004-01-28 00:00:00,8.25,2004-01-28 00:00:00,8.25,8.25,2,6000,49500,2004-01-28 00:00:00,1
2004-01-29 00:00:00,2004-01-29 00:00:00,8.25,2004-01-29 00:00:00,8.25,8.25,1,100,825,2004-01-29 00:00:00,1
2004-02-03 00:00:00,2004-02-03 00:00:00,7,2004-02-03 00:00:00,7,7,1,2000,14000,2004-02-03 00:00:00,1
2004-02-06 00:00:00,2004-02-06 00:00:00,7.5,2004-02-06 00:00:00,7.5,7.5,2,200,1500,2004-02-06 00:00:00,1
2004-02-09 00:00:00,2004-02-09 00:00:00,6.25,2004-02-09 00:00:00,6,6.25,2,3000,18500,2004-02-09 00:00:00,1
2004-02-16 00:00:00,2004-02-16 00:00:00,6.5,2004-02-16 00:00:00,6.5,6.5,9,12900,83850,2004-02-16 00:00:00,1
2004-02-17 00:00:00,2004-02-17 00:00:00,6.75,2004-02-17 00:00:00,6.5,6.75,4,11000,73625,2004-02-17 00:00:00,1
2004-02-23 00:00:00,2004-02-23 00:00:00,7.25,2004-02-23 00:00:00,7,7,2,1900,13525,2004-02-23 00:00:00,1
2004-02-24 00:00:00,2004-02-24 00:00:00,7,2004-02-24 00:00:00,7,7,1,500,3500,2004-02-24 00:00:00,1
2004-02-25 00:00:00,2004-02-25 00:00:00,6.75,2004-02-25 00:00:00,6.75,6.75,3,3500,23625,2004-02-25 00:00:00,1
2004-02-27 00:00:00,2004-02-27 00:00:00,7,2004-02-27 00:00:00,7,7,5,3800,26600,2004-02-27 00:00:00,1
2004-03-04 00:00:00,2004-03-04 00:00:00,6.75,2004-03-04 00:00:00,6.75,6.75,2,1500,10125,2004-03-04 00:00:00,1
2004-03-08 00:00:00,2004-03-08 00:00:00,6.5,2004-03-08 00:00:00,6.5,6.5,2,3000,19500,2004-03-08 00:00:00,1
2004-03-11 00:00:00,2004-03-11 00:00:00,6.75,2004-03-11 00:00:00,6.5,6.75,3,5500,36000,2004-03-11 00:00:00,1
2004-03-12 00:00:00,2004-03-12 00:00:00,6.5,2004-03-12 00:00:00,6.5,6.5,1,500,3250,2004-03-12 00:00:00,1
2004-03-15 00:00:00,2004-03-15 00:00:00,6.25,2004-03-15 00:00:00,6.25,6.25,2,5500,34375,2004-03-15 00:00:00,1
2004-03-18 00:00:00,2004-03-18 00:00:00,6.25,2004-03-18 00:00:00,6.25,6.25,6,5700,35625,2004-03-18 00:00:00,1
2004-03-22 00:00:00,2004-03-22 00:00:00,6,2004-03-22 00:00:00,6,6,1,500,3000,2004-03-22 00:00:00,1
2004-03-23 00:00:00,2004-03-23 00:00:00,6,2004-03-23 00:00:00,6,6,1,1000,6000,2004-03-23 00:00:00,1
2004-03-24 00:00:00,2004-03-24 00:00:00,6.75,2004-03-24 00:00:00,6.5,6.75,7,9800,65500,2004-03-24 00:00:00,1
2004-03-25 00:00:00,2004-03-25 00:00:00,6.75,2004-03-25 00:00:00,6.75,6.75,1,1300,8775,2004-03-25 00:00:00,1
2004-03-26 00:00:00,2004-03-26 00:00:00,7,2004-03-26 00:00:00,7,7,2,2000,14000,2004-03-26 00:00:00,1
2004-03-29 00:00:00,2004-03-29 00:00:00,6.75,2004-03-29 00:00:00,6.75,6.75,2,2000,13500,2004-03-29 00:00:00,1
2004-03-31 00:00:00,2004-03-31 00:00:00,7,2004-03-31 00:00:00,7,7,3,4400,30800,2004-03-31 00:00:00,1
2004-04-01 00:00:00,2004-04-01 00:00:00,9.5,2004-04-01 00:00:00,7.75,8.25,4,2700,22350,2004-04-01 00:00:00,1
2004-04-16 00:00:00,2004-04-16 00:00:00,7,2004-04-16 00:00:00,7,7,1,3400,23800,2004-04-16 00:00:00,1
2004-04-21 00:00:00,2004-04-21 00:00:00,7,2004-04-21 00:00:00,7,7,2,1500,10500,2004-04-21 00:00:00,1
2004-04-22 00:00:00,2004-04-22 00:00:00,7,2004-04-22 00:00:00,7,7,1,600,4200,2004-04-22 00:00:00,1
2004-04-23 00:00:00,2004-04-23 00:00:00,7,2004-04-23 00:00:00,7,7,7,12100,84700,2004-04-23 00:00:00,1
2004-05-06 00:00:00,2004-05-06 00:00:00,7,2004-05-06 00:00:00,7,7,3,2100,14700,2004-05-06 00:00:00,1
2004-05-10 00:00:00,2004-05-10 00:00:00,7.5,2004-05-10 00:00:00,7.5,7.5,6,9900,74250,2004-05-10 00:00:00,1
2004-05-11 00:00:00,2004-05-11 00:00:00,8,2004-05-11 00:00:00,7.5,8,5,5200,39200,2004-05-11 00:00:00,1
2004-05-12 00:00:00,2004-05-12 00:00:00,8,2004-05-12 00:00:00,8,8,1,1000,8000,2004-05-12 00:00:00,1
2004-05-13 00:00:00,2004-05-13 00:00:00,8,2004-05-13 00:00:00,7.75,7.75,2,1500,11875,2004-05-13 00:00:00,1
2004-05-14 00:00:00,2004-05-14 00:00:00,8,2004-05-14 00:00:00,7.75,7.75,9,23400,181950,2004-05-14 00:00:00,1
2004-05-17 00:00:00,2004-05-17 00:00:00,8,2004-05-17 00:00:00,7.75,7.75,5,6000,46750,2004-05-17 00:00:00,1
2004-05-20 00:00:00,2004-05-20 00:00:00,8.5,2004-05-20 00:00:00,7.75,8.25,23,59100,482675,2004-05-20 00:00:00,1
2004-05-21 00:00:00,2004-05-21 00:00:00,9.5,2004-05-21 00:00:00,8.5,8.75,29,43900,392775,2004-05-21 00:00:00,1
2004-05-24 00:00:00,2004-05-24 00:00:00,8.25,2004-05-24 00:00:00,8.25,8.25,3,500,4125,2004-05-24 00:00:00,1
2004-05-25 00:00:00,2004-05-25 00:00:00,8,2004-05-25 00:00:00,7.25,7.75,6,6000,47000,2004-05-25 00:00:00,1
2004-06-01 00:00:00,2004-06-01 00:00:00,7.25,2004-06-01 00:00:00,7.25,7.25,1,1000,7250,2004-06-01 00:00:00,1
2004-06-03 00:00:00,2004-06-03 00:00:00,7.5,2004-06-03 00:00:00,7.5,7.5,1,1000,7500,2004-06-03 00:00:00,1
2004-06-04 00:00:00,2004-06-04 00:00:00,6.75,2004-06-04 00:00:00,6.75,6.75,1,1000,6750,2004-06-04 00:00:00,1
2004-06-08 00:00:00,2004-06-08 00:00:00,7.5,2004-06-08 00:00:00,7.5,7.5,3,11000,82500,2004-06-08 00:00:00,1
2004-06-10 00:00:00,2004-06-10 00:00:00,7.5,2004-06-10 00:00:00,7.5,7.5,1,100,750,2004-06-10 00:00:00,1
2004-06-15 00:00:00,2004-06-15 00:00:00,7.5,2004-06-15 00:00:00,7.25,7.25,2,1000,7325,2004-06-15 00:00:00,1
2004-06-16 00:00:00,2004-06-16 00:00:00,7.75,2004-06-16 00:00:00,7.5,7.75,2,200,1525,2004-06-16 00:00:00,1
2004-06-18 00:00:00,2004-06-18 00:00:00,7.25,2004-06-18 00:00:00,7.25,7.25,1,1500,10875,2004-06-18 00:00:00,1
2004-06-30 00:00:00,2004-06-30 00:00:00,9.25,2004-06-30 00:00:00,7.75,8.5,80,140600,1204475,2004-06-30 00:00:00,1
2004-07-01 00:00:00,2004-07-01 00:00:00,8.5,2004-07-01 00:00:00,8.5,8.5,2,3000,25500,2004-07-01 00:00:00,1
2004-07-06 00:00:00,2004-07-06 00:00:00,8.25,2004-07-06 00:00:00,8.25,8.25,1,100,825,2004-07-06 00:00:00,1
