Company Daily Share Prices (Closing) and Highest - Lowest Prices,,,,,,,,,,
Company Id :  AAIC,,Security,Type :  N,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,Trades(No.),Shares(No.),Turnover(Rs.),Last Traded Date,Days Traded
2005-03-17 00:00:00,2005-03-17 00:00:00,14,2005-03-17 00:00:00,14,14,7,7100,99400,2005-03-17 00:00:00,1
2005-03-18 00:00:00,2005-03-18 00:00:00,13.75,2005-03-18 00:00:00,13.5,13.5,8,2500,33975,2005-03-18 00:00:00,1
2005-03-21 00:00:00,2005-03-21 00:00:00,13.5,2005-03-21 00:00:00,13,13,17,29600,386050,2005-03-21 00:00:00,1
2005-03-22 00:00:00,2005-03-22 00:00:00,18.75,2005-03-22 00:00:00,13,16.75,228,429800,7009025,2005-03-22 00:00:00,1
2005-03-23 00:00:00,2005-03-23 00:00:00,18.25,2005-03-23 00:00:00,16.75,17,148,306600,5346675,2005-03-23 00:00:00,1
2005-03-24 00:00:00,2005-03-24 00:00:00,17.5,2005-03-24 00:00:00,16.5,16.5,17,17100,288950,2005-03-24 00:00:00,1
2005-03-28 00:00:00,2005-03-28 00:00:00,17,2005-03-28 00:00:00,16,17,21,21200,357500,2005-03-28 00:00:00,1
2005-03-29 00:00:00,2005-03-29 00:00:00,17,2005-03-29 00:00:00,15.25,15.5,19,11500,187650,2005-03-29 00:00:00,1
2005-03-30 00:00:00,2005-03-30 00:00:00,15.5,2005-03-30 00:00:00,14.75,15,10,18900,289625,2005-03-30 00:00:00,1
2005-03-31 00:00:00,2005-03-31 00:00:00,16,2005-03-31 00:00:00,15,15.5,5,3600,55850,2005-03-31 00:00:00,1
2005-04-01 00:00:00,2005-04-01 00:00:00,17.25,2005-04-01 00:00:00,16,16.75,43,55000,915650,2005-04-01 00:00:00,1
2005-04-05 00:00:00,2005-04-05 00:00:00,16.25,2005-04-05 00:00:00,14.75,14.75,19,32500,492350,2005-04-05 00:00:00,1
2005-04-06 00:00:00,2005-04-06 00:00:00,15,2005-04-06 00:00:00,14.75,15,12,17600,263850,2005-04-06 00:00:00,1
2005-04-07 00:00:00,2005-04-07 00:00:00,14.75,2005-04-07 00:00:00,14.5,14.5,13,11200,162650,2005-04-07 00:00:00,1
2005-04-08 00:00:00,2005-04-08 00:00:00,15.5,2005-04-08 00:00:00,14.5,15,17,23700,351950,2005-04-08 00:00:00,1
2005-04-11 00:00:00,2005-04-11 00:00:00,15,2005-04-11 00:00:00,15,15,2,1500,22500,2005-04-11 00:00:00,1
2005-04-12 00:00:00,2005-04-12 00:00:00,15.75,2005-04-12 00:00:00,15,15.5,7,3500,53750,2005-04-12 00:00:00,1
2005-04-15 00:00:00,2005-04-15 00:00:00,16,2005-04-15 00:00:00,15.5,16,7,7300,115900,2005-04-15 00:00:00,1
2005-04-18 00:00:00,2005-04-18 00:00:00,15.75,2005-04-18 00:00:00,15.25,15.25,4,2800,43400,2005-04-18 00:00:00,1
2005-04-19 00:00:00,2005-04-19 00:00:00,15.5,2005-04-19 00:00:00,15.25,15.5,7,4400,67525,2005-04-19 00:00:00,1
2005-04-20 00:00:00,2005-04-20 00:00:00,15.5,2005-04-20 00:00:00,14.5,15.5,14,12800,195200,2005-04-20 00:00:00,1
2005-04-21 00:00:00,2005-04-21 00:00:00,15.5,2005-04-21 00:00:00,15,15.5,9,7700,118125,2005-04-21 00:00:00,1
2005-04-25 00:00:00,2005-04-25 00:00:00,14.75,2005-04-25 00:00:00,14.5,14.75,10,35100,516725,2005-04-25 00:00:00,1
2005-04-26 00:00:00,2005-04-26 00:00:00,14.75,2005-04-26 00:00:00,14.75,14.75,2,2000,29500,2005-04-26 00:00:00,1
2005-04-27 00:00:00,2005-04-27 00:00:00,15,2005-04-27 00:00:00,15,15,2,500,7500,2005-04-27 00:00:00,1
2005-04-28 00:00:00,2005-04-28 00:00:00,15,2005-04-28 00:00:00,15,15,1,200,3000,2005-04-28 00:00:00,1
2005-04-29 00:00:00,2005-04-29 00:00:00,15.75,2005-04-29 00:00:00,15.25,15.75,13,58100,907300,2005-04-29 00:00:00,1
2005-05-03 00:00:00,2005-05-03 00:00:00,15.5,2005-05-03 00:00:00,15.5,15.5,6,9500,147250,2005-05-03 00:00:00,1
2005-05-04 00:00:00,2005-05-04 00:00:00,15.75,2005-05-04 00:00:00,15.5,15.5,3,2300,35725,2005-05-04 00:00:00,1
2005-05-05 00:00:00,2005-05-05 00:00:00,15.25,2005-05-05 00:00:00,15.25,15.25,3,1500,22875,2005-05-05 00:00:00,1
2005-05-06 00:00:00,2005-05-06 00:00:00,16.25,2005-05-06 00:00:00,15,16,21,23000,359925,2005-05-06 00:00:00,1
2005-05-09 00:00:00,2005-05-09 00:00:00,17.25,2005-05-09 00:00:00,16,16.5,31,30800,509275,2005-05-09 00:00:00,1
2005-05-10 00:00:00,2005-05-10 00:00:00,16.5,2005-05-10 00:00:00,16,16,8,6500,104625,2005-05-10 00:00:00,1
2005-05-11 00:00:00,2005-05-11 00:00:00,20,2005-05-11 00:00:00,16.5,17.5,195,326900,5881900,2005-05-11 00:00:00,1
2005-05-12 00:00:00,2005-05-12 00:00:00,17.75,2005-05-12 00:00:00,17,17.5,24,28900,508500,2005-05-12 00:00:00,1
2005-05-13 00:00:00,2005-05-13 00:00:00,17.75,2005-05-13 00:00:00,17,17.25,20,11900,207025,2005-05-13 00:00:00,1
2005-05-16 00:00:00,2005-05-16 00:00:00,17.5,2005-05-16 00:00:00,17.25,17.5,53,105800,1844350,2005-05-16 00:00:00,1
2005-05-17 00:00:00,2005-05-17 00:00:00,18.25,2005-05-17 00:00:00,17.5,17.75,50,74600,1351650,2005-05-17 00:00:00,1
2005-05-18 00:00:00,2005-05-18 00:00:00,17.5,2005-05-18 00:00:00,16.5,16.75,18,20200,344350,2005-05-18 00:00:00,1
2005-05-19 00:00:00,2005-05-19 00:00:00,17,2005-05-19 00:00:00,16.75,17,4,3500,59200,2005-05-19 00:00:00,1
2005-05-20 00:00:00,2005-05-20 00:00:00,19.5,2005-05-20 00:00:00,17,19,308,1113200,20383525,2005-05-20 00:00:00,1
2005-05-25 00:00:00,2005-05-25 00:00:00,19.5,2005-05-25 00:00:00,18.75,19,126,680600,12948700,2005-05-25 00:00:00,1
2005-05-26 00:00:00,2005-05-26 00:00:00,21,2005-05-26 00:00:00,19.25,20,505,1387000,27905575,2005-05-26 00:00:00,1
2005-05-27 00:00:00,2005-05-27 00:00:00,22.75,2005-05-27 00:00:00,20.25,22.5,622,2013000,44063625,2005-05-27 00:00:00,1
2005-05-30 00:00:00,2005-05-30 00:00:00,22.5,2005-05-30 00:00:00,20.5,21.25,156,366400,7820800,2005-05-30 00:00:00,1
2005-05-31 00:00:00,2005-05-31 00:00:00,21.5,2005-05-31 00:00:00,20,20.25,81,213500,4344750,2005-05-31 00:00:00,1
2005-06-01 00:00:00,2005-06-01 00:00:00,20.25,2005-06-01 00:00:00,19,19.25,84,215900,4217875,2005-06-01 00:00:00,1
2005-06-02 00:00:00,2005-06-02 00:00:00,20.5,2005-06-02 00:00:00,19.5,20,35,82900,1668300,2005-06-02 00:00:00,1
2005-06-03 00:00:00,2005-06-03 00:00:00,21.5,2005-06-03 00:00:00,20,20.5,95,96300,2014050,2005-06-03 00:00:00,1
2005-06-06 00:00:00,2005-06-06 00:00:00,20.5,2005-06-06 00:00:00,19.25,19.75,42,40900,813100,2005-06-06 00:00:00,1
2005-06-07 00:00:00,2005-06-07 00:00:00,20,2005-06-07 00:00:00,18.75,19,37,44100,856100,2005-06-07 00:00:00,1
2005-06-08 00:00:00,2005-06-08 00:00:00,20,2005-06-08 00:00:00,19,19.5,40,71600,1402425,2005-06-08 00:00:00,1
2005-06-09 00:00:00,2005-06-09 00:00:00,19.75,2005-06-09 00:00:00,19,19,35,70300,1341750,2005-06-09 00:00:00,1
2005-06-10 00:00:00,2005-06-10 00:00:00,19,2005-06-10 00:00:00,18.75,19,20,76900,1459825,2005-06-10 00:00:00,1
2005-06-13 00:00:00,2005-06-13 00:00:00,19,2005-06-13 00:00:00,18.5,18.5,10,8100,151225,2005-06-13 00:00:00,1
2005-06-14 00:00:00,2005-06-14 00:00:00,19.75,2005-06-14 00:00:00,19,19.75,22,23500,458750,2005-06-14 00:00:00,1
2005-06-15 00:00:00,2005-06-15 00:00:00,19.75,2005-06-15 00:00:00,19,19.25,26,11900,229975,2005-06-15 00:00:00,1
2005-06-16 00:00:00,2005-06-16 00:00:00,19.5,2005-06-16 00:00:00,19.5,19.5,13,19400,378300,2005-06-16 00:00:00,1
2005-06-17 00:00:00,2005-06-17 00:00:00,20.5,2005-06-17 00:00:00,19.25,20.25,80,124200,2466075,2005-06-17 00:00:00,1
2005-06-20 00:00:00,2005-06-20 00:00:00,20,2005-06-20 00:00:00,19.75,19.75,18,15300,305575,2005-06-20 00:00:00,1
2005-06-22 00:00:00,2005-06-22 00:00:00,19.75,2005-06-22 00:00:00,19.5,19.5,5,7200,140950,2005-06-22 00:00:00,1
2005-06-23 00:00:00,2005-06-23 00:00:00,20,2005-06-23 00:00:00,19.5,19.5,16,18900,370150,2005-06-23 00:00:00,1
2005-06-24 00:00:00,2005-06-24 00:00:00,19.5,2005-06-24 00:00:00,19.5,19.5,8,9700,189150,2005-06-24 00:00:00,1
2005-06-27 00:00:00,2005-06-27 00:00:00,20,2005-06-27 00:00:00,19.25,19.5,25,63000,1242675,2005-06-27 00:00:00,1
2005-06-28 00:00:00,2005-06-28 00:00:00,19.25,2005-06-28 00:00:00,19,19,33,36800,704025,2005-06-28 00:00:00,1
2005-06-29 00:00:00,2005-06-29 00:00:00,19,2005-06-29 00:00:00,18.75,19,20,277900,5217125,2005-06-29 00:00:00,1
2005-06-30 00:00:00,2005-06-30 00:00:00,18.75,2005-06-30 00:00:00,18.5,18.5,16,12100,224775,2005-06-30 00:00:00,1
2005-07-01 00:00:00,2005-07-01 00:00:00,19,2005-07-01 00:00:00,19,19,4,1300,24700,2005-07-01 00:00:00,1
2005-07-04 00:00:00,2005-07-04 00:00:00,19,2005-07-04 00:00:00,18.5,18.5,6,1800,33850,2005-07-04 00:00:00,1
2005-07-05 00:00:00,2005-07-05 00:00:00,18.5,2005-07-05 00:00:00,18.5,18.5,10,10100,186850,2005-07-05 00:00:00,1
2005-07-06 00:00:00,2005-07-06 00:00:00,18.5,2005-07-06 00:00:00,18.5,18.5,1,300,5550,2005-07-06 00:00:00,1
2005-07-07 00:00:00,2005-07-07 00:00:00,18.5,2005-07-07 00:00:00,18.5,18.5,13,17600,325600,2005-07-07 00:00:00,1
2005-07-08 00:00:00,2005-07-08 00:00:00,20.25,2005-07-08 00:00:00,19,20,83,210100,4199125,2005-07-08 00:00:00,1
2005-07-11 00:00:00,2005-07-11 00:00:00,21,2005-07-11 00:00:00,19.5,19.75,48,51400,1033625,2005-07-11 00:00:00,1
2005-07-12 00:00:00,2005-07-12 00:00:00,19.5,2005-07-12 00:00:00,19.5,19.5,11,8900,173550,2005-07-12 00:00:00,1
2005-07-13 00:00:00,2005-07-13 00:00:00,20,2005-07-13 00:00:00,19.25,19.75,19,34800,694400,2005-07-13 00:00:00,1
2005-07-14 00:00:00,2005-07-14 00:00:00,20,2005-07-14 00:00:00,19,19.25,28,22900,440525,2005-07-14 00:00:00,1
2005-07-15 00:00:00,2005-07-15 00:00:00,19.5,2005-07-15 00:00:00,19.5,19.5,1,1000,19500,2005-07-15 00:00:00,1
2005-07-18 00:00:00,2005-07-18 00:00:00,19,2005-07-18 00:00:00,18.75,18.75,9,14200,268800,2005-07-18 00:00:00,1
2005-07-19 00:00:00,2005-07-19 00:00:00,18.75,2005-07-19 00:00:00,18.75,18.75,6,4200,78750,2005-07-19 00:00:00,1
2005-07-20 00:00:00,2005-07-20 00:00:00,19,2005-07-20 00:00:00,18.75,18.75,7,12600,236450,2005-07-20 00:00:00,1
2005-07-22 00:00:00,2005-07-22 00:00:00,18.75,2005-07-22 00:00:00,18.5,18.5,15,25800,482250,2005-07-22 00:00:00,1
