Daily high low and closing share prices - 2009,,,,,,,,,,
Day,Date High,Low,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2009-07-27 00:00:00,2009-07-27 00:00:00,13.5,2009-07-27 00:00:00,13,13.25,83,221600,2967125,2009-07-27 00:00:00,1
2009-07-28 00:00:00,2009-07-28 00:00:00,13.25,2009-07-28 00:00:00,13,13,28,27100,352650,2009-07-28 00:00:00,1
2009-07-29 00:00:00,2009-07-29 00:00:00,13,2009-07-29 00:00:00,12.75,13,32,69700,904775,2009-07-29 00:00:00,1
2009-07-30 00:00:00,2009-07-30 00:00:00,13,2009-07-30 00:00:00,12.75,12.75,30,57000,727100,2009-07-30 00:00:00,1
2009-07-31 00:00:00,2009-07-31 00:00:00,13.25,2009-07-31 00:00:00,12.75,13,65,78600,1020475,2009-07-31 00:00:00,1
2009-08-03 00:00:00,2009-08-03 00:00:00,13,2009-08-03 00:00:00,12.75,12.75,12,40300,514975,2009-08-03 00:00:00,1
2009-08-04 00:00:00,2009-08-04 00:00:00,13,2009-08-04 00:00:00,12.75,12.75,37,80500,1029050,2009-08-04 00:00:00,1
2009-08-06 00:00:00,2009-08-06 00:00:00,12.75,2009-08-06 00:00:00,12.5,12.5,43,78800,999375,2009-08-06 00:00:00,1
2009-08-07 00:00:00,2009-08-07 00:00:00,13,2009-08-07 00:00:00,12.5,13,9,11600,150175,2009-08-07 00:00:00,1
2009-08-10 00:00:00,2009-08-10 00:00:00,13,2009-08-10 00:00:00,12.75,13,33,58000,753225,2009-08-10 00:00:00,1
2009-08-11 00:00:00,2009-08-11 00:00:00,12.75,2009-08-11 00:00:00,12.75,12.75,17,29500,376125,2009-08-11 00:00:00,1
2009-08-12 00:00:00,2009-08-12 00:00:00,13.25,2009-08-12 00:00:00,12.5,13,68,77000,999850,2009-08-12 00:00:00,1
2009-08-13 00:00:00,2009-08-13 00:00:00,13,2009-08-13 00:00:00,13,13,43,237200,3083600,2009-08-13 00:00:00,1
2009-08-14 00:00:00,2009-08-14 00:00:00,13.25,2009-08-14 00:00:00,13,13.25,40,64800,858325,2009-08-14 00:00:00,1
2009-08-17 00:00:00,2009-08-17 00:00:00,13.5,2009-08-17 00:00:00,13.25,13.25,31,106000,1404775,2009-08-17 00:00:00,1
2009-08-18 00:00:00,2009-08-18 00:00:00,13.5,2009-08-18 00:00:00,13.25,13.25,48,188100,2496625,2009-08-18 00:00:00,1
2009-08-19 00:00:00,2009-08-19 00:00:00,13.25,2009-08-19 00:00:00,13,13.25,45,108800,1441550,2009-08-19 00:00:00,1
2009-08-20 00:00:00,2009-08-20 00:00:00,13.25,2009-08-20 00:00:00,13,13,20,37900,496550,2009-08-20 00:00:00,1
2009-08-21 00:00:00,2009-08-21 00:00:00,13.25,2009-08-21 00:00:00,13,13,25,49900,650075,2009-08-21 00:00:00,1
2009-08-24 00:00:00,2009-08-24 00:00:00,13.25,2009-08-24 00:00:00,13,13,34,154100,2003675,2009-08-24 00:00:00,1
