Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id :,AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name :,ASIAN ALLIA,NCE,,,,,,,,
------------,-------------,---------,------------,-----------,------------,-------------,------------,--------------------,-----------,-------
Day,Date High,High,Date Low,Low,Closing,Trades(No.),Shares(No.),Turnover(Rs.),Last Traded,Days Tr
-----------,-------------,---------,------------,-----------,------------,-------------,------------,--------------------,-----------,-------
2003-07-08 00:00:00,2003-07-08 00:00:00,32.75,2003-07-08 00:00:00,30,30.25,119,348300,10555650,2003-07-08 00:00:00,1
2003-07-09 00:00:00,2003-07-09 00:00:00,31,2003-07-09 00:00:00,30,30,57,79100,2376250,2003-07-09 00:00:00,1
2003-07-10 00:00:00,2003-07-10 00:00:00,36.75,2003-07-10 00:00:00,30.25,32,179,560100,18446350,2003-07-10 00:00:00,1
2003-07-11 00:00:00,2003-07-11 00:00:00,34,2003-07-11 00:00:00,32.25,33,61,86700,2884900,2003-07-11 00:00:00,1
2003-07-14 00:00:00,2003-07-14 00:00:00,33.5,2003-07-14 00:00:00,32,32.5,31,87800,2835600,2003-07-14 00:00:00,1
2003-07-15 00:00:00,2003-07-15 00:00:00,33.5,2003-07-15 00:00:00,32.25,33.5,38,62700,2081350,2003-07-15 00:00:00,1
2003-07-16 00:00:00,2003-07-16 00:00:00,34.75,2003-07-16 00:00:00,33.75,34,65,154900,5294725,2003-07-16 00:00:00,1
2003-07-17 00:00:00,2003-07-17 00:00:00,34.5,2003-07-17 00:00:00,33.5,33.5,45,88400,3017300,2003-07-17 00:00:00,1
2003-07-18 00:00:00,2003-07-18 00:00:00,34,2003-07-18 00:00:00,32.5,33.25,33,42100,1379175,2003-07-18 00:00:00,1
2003-07-21 00:00:00,2003-07-21 00:00:00,33.75,2003-07-21 00:00:00,33,33.5,14,255700,8446925,2003-07-21 00:00:00,1
2003-07-22 00:00:00,2003-07-22 00:00:00,34,2003-07-22 00:00:00,33.5,34,36,93600,3182300,2003-07-22 00:00:00,1
2003-07-23 00:00:00,2003-07-23 00:00:00,35,2003-07-23 00:00:00,34,34,39,85100,2913450,2003-07-23 00:00:00,1
2003-07-24 00:00:00,2003-07-24 00:00:00,34.25,2003-07-24 00:00:00,34,34,31,77700,2642175,2003-07-24 00:00:00,1
2003-07-25 00:00:00,2003-07-25 00:00:00,34.5,2003-07-25 00:00:00,34,34.5,20,17900,615325,2003-07-25 00:00:00,1
2003-07-28 00:00:00,2003-07-28 00:00:00,34.5,2003-07-28 00:00:00,34,34.25,30,180600,6185100,2003-07-28 00:00:00,1
2003-07-29 00:00:00,2003-07-29 00:00:00,34.25,2003-07-29 00:00:00,34,34,20,59500,2023400,2003-07-29 00:00:00,1
2003-07-30 00:00:00,2003-07-30 00:00:00,34.25,2003-07-30 00:00:00,34,34.25,20,28200,960675,2003-07-30 00:00:00,1
2003-07-31 00:00:00,2003-07-31 00:00:00,34.25,2003-07-31 00:00:00,33.75,34.25,27,102500,3491900,2003-07-31 00:00:00,1
2003-08-01 00:00:00,2003-08-01 00:00:00,38,2003-08-01 00:00:00,34.5,37.5,379,1136400,41466600,2003-08-01 00:00:00,1
2003-08-04 00:00:00,2003-08-04 00:00:00,38,2003-08-04 00:00:00,36,36.75,129,210600,7786200,2003-08-04 00:00:00,1
2003-08-05 00:00:00,2003-08-05 00:00:00,37,2003-08-05 00:00:00,36,36.25,59,87200,3164800,2003-08-05 00:00:00,1
2003-08-06 00:00:00,2003-08-06 00:00:00,37.25,2003-08-06 00:00:00,36.25,37,72,138600,5130875,2003-08-06 00:00:00,1
2003-08-07 00:00:00,2003-08-07 00:00:00,39,2003-08-07 00:00:00,37,38,146,455100,17240175,2003-08-07 00:00:00,1
2003-08-08 00:00:00,2003-08-08 00:00:00,40,2003-08-08 00:00:00,39,39.75,180,495000,19595950,2003-08-08 00:00:00,1
2003-08-12 00:00:00,2003-08-12 00:00:00,39.75,2003-08-12 00:00:00,38.75,39.5,53,93300,3674925,2003-08-12 00:00:00,1
2003-08-13 00:00:00,2003-08-13 00:00:00,39.5,2003-08-13 00:00:00,39,39.25,50,87700,3442025,2003-08-13 00:00:00,1
2003-08-14 00:00:00,2003-08-14 00:00:00,39.5,2003-08-14 00:00:00,38,38,81,587600,22351825,2003-08-14 00:00:00,1
2003-08-15 00:00:00,2003-08-15 00:00:00,40,2003-08-15 00:00:00,39,39.75,156,433200,17227675,2003-08-15 00:00:00,1
2003-08-18 00:00:00,2003-08-18 00:00:00,39.75,2003-08-18 00:00:00,39.5,39.75,52,131500,5222900,2003-08-18 00:00:00,1
2003-08-19 00:00:00,2003-08-19 00:00:00,39.75,2003-08-19 00:00:00,38.25,39.25,45,108600,4274125,2003-08-19 00:00:00,1
2003-08-20 00:00:00,2003-08-20 00:00:00,39.25,2003-08-20 00:00:00,38.75,38.75,31,52000,2020025,2003-08-20 00:00:00,1
2003-08-21 00:00:00,2003-08-21 00:00:00,40,2003-08-21 00:00:00,38.75,39.75,166,785900,30840325,2003-08-21 00:00:00,1
2003-08-22 00:00:00,2003-08-22 00:00:00,39.75,2003-08-22 00:00:00,38.5,38.75,59,132000,5168175,2003-08-22 00:00:00,1
2003-08-25 00:00:00,2003-08-25 00:00:00,39,2003-08-25 00:00:00,37.5,38,99,496300,18868375,2003-08-25 00:00:00,1
2003-08-26 00:00:00,2003-08-26 00:00:00,37.5,2003-08-26 00:00:00,37,37,23,44200,1648900,2003-08-26 00:00:00,1
2003-08-27 00:00:00,2003-08-27 00:00:00,38,2003-08-27 00:00:00,37.25,37.75,26,42200,1586725,2003-08-27 00:00:00,1
2003-08-28 00:00:00,2003-08-28 00:00:00,38,2003-08-28 00:00:00,37.75,37.75,15,16000,606125,2003-08-28 00:00:00,1
2003-08-29 00:00:00,2003-08-29 00:00:00,37.5,2003-08-29 00:00:00,37.25,37.5,23,28700,1072475,2003-08-29 00:00:00,1
2003-09-01 00:00:00,2003-09-01 00:00:00,37.25,2003-09-01 00:00:00,36.5,37,49,86800,3213100,2003-09-01 00:00:00,1
2003-09-02 00:00:00,2003-09-02 00:00:00,38,2003-09-02 00:00:00,37,37.5,32,47200,1765100,2003-09-02 00:00:00,1
2003-09-03 00:00:00,2003-09-03 00:00:00,37.5,2003-09-03 00:00:00,36.75,36.75,18,30800,1139800,2003-09-03 00:00:00,1
2003-09-04 00:00:00,2003-09-04 00:00:00,37.25,2003-09-04 00:00:00,36.75,37,27,15200,562400,2003-09-04 00:00:00,1
2003-09-05 00:00:00,2003-09-05 00:00:00,37.5,2003-09-05 00:00:00,36.5,37,33,53400,1975600,2003-09-05 00:00:00,1
2003-09-08 00:00:00,2003-09-08 00:00:00,37,2003-09-08 00:00:00,36.5,37,47,136900,5061050,2003-09-08 00:00:00,1
2003-09-09 00:00:00,2003-09-09 00:00:00,37,2003-09-09 00:00:00,36.75,37,14,31300,1157850,2003-09-09 00:00:00,1
2003-09-11 00:00:00,2003-09-11 00:00:00,36.5,2003-09-11 00:00:00,36.25,36.25,14,17300,627800,2003-09-11 00:00:00,1
2003-09-12 00:00:00,2003-09-12 00:00:00,37,2003-09-12 00:00:00,36.25,37,28,73400,2714300,2003-09-12 00:00:00,1
2003-09-15 00:00:00,2003-09-15 00:00:00,37,2003-09-15 00:00:00,36.5,36.5,16,314300,11475625,2003-09-15 00:00:00,1
2003-09-16 00:00:00,2003-09-16 00:00:00,36.5,2003-09-16 00:00:00,36,36,21,77200,2791200,2003-09-16 00:00:00,1
2003-09-17 00:00:00,2003-09-17 00:00:00,36.75,2003-09-17 00:00:00,35.75,36,19,31800,1152950,2003-09-17 00:00:00,1
2003-09-18 00:00:00,2003-09-18 00:00:00,36,2003-09-18 00:00:00,35.5,35.75,30,125700,4468375,2003-09-18 00:00:00,1
2003-09-19 00:00:00,2003-09-19 00:00:00,38.5,2003-09-19 00:00:00,35.5,37.5,83,504800,18800700,2003-09-19 00:00:00,1
2003-09-22 00:00:00,2003-09-22 00:00:00,39,2003-09-22 00:00:00,37,37,20,67000,2548750,2003-09-22 00:00:00,1
2003-09-23 00:00:00,2003-09-23 00:00:00,37.5,2003-09-23 00:00:00,36.5,37,40,383300,14181850,2003-09-23 00:00:00,1
2003-09-24 00:00:00,2003-09-24 00:00:00,37.25,2003-09-24 00:00:00,36.5,37,37,339400,12551800,2003-09-24 00:00:00,1
2003-09-25 00:00:00,2003-09-25 00:00:00,38.5,2003-09-25 00:00:00,37.25,37.5,108,311500,11818400,2003-09-25 00:00:00,1
2003-09-26 00:00:00,2003-09-26 00:00:00,37,2003-09-26 00:00:00,37,37,8,22500,832500,2003-09-26 00:00:00,1
2003-09-29 00:00:00,2003-09-29 00:00:00,37.5,2003-09-29 00:00:00,37,37.25,6,13000,485000,2003-09-29 00:00:00,1
2003-09-30 00:00:00,2003-09-30 00:00:00,37,2003-09-30 00:00:00,36.5,36.5,33,84500,3112575,2003-09-30 00:00:00,1
2003-10-01 00:00:00,2003-10-01 00:00:00,37,2003-10-01 00:00:00,36.25,36.5,28,243600,8998875,2003-10-01 00:00:00,1
2003-10-02 00:00:00,2003-10-02 00:00:00,37,2003-10-02 00:00:00,36.25,36.5,17,94200,3466200,2003-10-02 00:00:00,1
2003-10-03 00:00:00,2003-10-03 00:00:00,38,2003-10-03 00:00:00,37,37,81,470300,17453150,2003-10-03 00:00:00,1
2003-10-06 00:00:00,2003-10-06 00:00:00,38,2003-10-06 00:00:00,37.25,37.5,48,172100,6465625,2003-10-06 00:00:00,1
2003-10-07 00:00:00,2003-10-07 00:00:00,37.5,2003-10-07 00:00:00,36.75,37,30,70900,2633250,2003-10-07 00:00:00,1
2003-10-08 00:00:00,2003-10-08 00:00:00,37,2003-10-08 00:00:00,37,37,3,3800,140600,2003-10-08 00:00:00,1
2003-10-10 00:00:00,2003-10-10 00:00:00,37,2003-10-10 00:00:00,37,37,32,81800,3026600,2003-10-10 00:00:00,1
2003-10-13 00:00:00,2003-10-13 00:00:00,36.75,2003-10-13 00:00:00,36,36,25,36000,1302500,2003-10-13 00:00:00,1
2003-10-14 00:00:00,2003-10-14 00:00:00,36,2003-10-14 00:00:00,35.25,36,11,23200,831425,2003-10-14 00:00:00,1
2003-10-15 00:00:00,2003-10-15 00:00:00,36.5,2003-10-15 00:00:00,35.5,36,20,113900,4085300,2003-10-15 00:00:00,1
2003-10-16 00:00:00,2003-10-16 00:00:00,35.75,2003-10-16 00:00:00,35.25,35.5,10,38100,1351325,2003-10-16 00:00:00,1
2003-10-17 00:00:00,2003-10-17 00:00:00,35.5,2003-10-17 00:00:00,34.5,35,56,265300,9292100,2003-10-17 00:00:00,1
2003-10-20 00:00:00,2003-10-20 00:00:00,35,2003-10-20 00:00:00,34,34.25,31,54700,1875875,2003-10-20 00:00:00,1
2003-10-21 00:00:00,2003-10-21 00:00:00,35.5,2003-10-21 00:00:00,34,34.25,66,274600,9391700,2003-10-21 00:00:00,1
2003-10-22 00:00:00,2003-10-22 00:00:00,35,2003-10-22 00:00:00,34,34,28,44300,1514225,2003-10-22 00:00:00,1
2003-10-23 00:00:00,2003-10-23 00:00:00,35,2003-10-23 00:00:00,34,34.5,50,507600,17505600,2003-10-23 00:00:00,1
2003-10-27 00:00:00,2003-10-27 00:00:00,35,2003-10-27 00:00:00,34.5,34.5,15,38300,1326100,2003-10-27 00:00:00,1
2003-10-28 00:00:00,2003-10-28 00:00:00,35,2003-10-28 00:00:00,34.5,34.75,14,23100,807100,2003-10-28 00:00:00,1
2003-10-29 00:00:00,2003-10-29 00:00:00,34,2003-10-29 00:00:00,33.5,33.75,15,23600,800900,2003-10-29 00:00:00,1
2003-10-30 00:00:00,2003-10-30 00:00:00,34.5,2003-10-30 00:00:00,33.5,34,40,301400,10164325,2003-10-30 00:00:00,1
2003-10-31 00:00:00,2003-10-31 00:00:00,35,2003-10-31 00:00:00,34.25,34.5,35,93500,3247400,2003-10-31 00:00:00,1
2003-11-03 00:00:00,2003-11-03 00:00:00,34.25,2003-11-03 00:00:00,33,33,62,200600,6678450,2003-11-03 00:00:00,1
2003-11-04 00:00:00,2003-11-04 00:00:00,33,2003-11-04 00:00:00,29.5,30.5,72,226500,7117275,2003-11-04 00:00:00,1
2003-11-05 00:00:00,2003-11-05 00:00:00,29,2003-11-05 00:00:00,17.25,22,160,801600,18195175,2003-11-05 00:00:00,1
2003-11-06 00:00:00,2003-11-06 00:00:00,26,2003-11-06 00:00:00,22,23,135,544200,12936700,2003-11-06 00:00:00,1
2003-11-07 00:00:00,2003-11-07 00:00:00,28.5,2003-11-07 00:00:00,24.25,28,280,983200,26317700,2003-11-07 00:00:00,1
2003-11-10 00:00:00,2003-11-10 00:00:00,27.5,2003-11-10 00:00:00,24,26,74,171300,4474875,2003-11-10 00:00:00,1
2003-11-11 00:00:00,2003-11-11 00:00:00,25.75,2003-11-11 00:00:00,24.5,25,25,52800,1313500,2003-11-11 00:00:00,1
2003-11-12 00:00:00,2003-11-12 00:00:00,27,2003-11-12 00:00:00,25,26.25,33,40200,1036250,2003-11-12 00:00:00,1
2003-11-13 00:00:00,2003-11-13 00:00:00,28.25,2003-11-13 00:00:00,26.75,28,100,198000,5476975,2003-11-13 00:00:00,1
2003-11-14 00:00:00,2003-11-14 00:00:00,27.25,2003-11-14 00:00:00,24.5,24.75,78,150000,3841200,2003-11-14 00:00:00,1
2003-11-17 00:00:00,2003-11-17 00:00:00,27,2003-11-17 00:00:00,24.5,26.75,52,119200,3109625,2003-11-17 00:00:00,1
2003-11-18 00:00:00,2003-11-18 00:00:00,27.75,2003-11-18 00:00:00,25,25.5,54,99000,2555025,2003-11-18 00:00:00,1
2003-11-19 00:00:00,2003-11-19 00:00:00,29,2003-11-19 00:00:00,27.5,28,141,272400,7656600,2003-11-19 00:00:00,1
2003-11-20 00:00:00,2003-11-20 00:00:00,28.5,2003-11-20 00:00:00,26,26.75,41,78600,2091850,2003-11-20 00:00:00,1
2003-11-21 00:00:00,2003-11-21 00:00:00,28.25,2003-11-21 00:00:00,27,27.75,40,84100,2324450,2003-11-21 00:00:00,1
2003-11-24 00:00:00,2003-11-24 00:00:00,27,2003-11-24 00:00:00,26,26,34,85900,2263800,2003-11-24 00:00:00,1
2003-11-25 00:00:00,2003-11-25 00:00:00,25.75,2003-11-25 00:00:00,24.75,25,45,90300,2262000,2003-11-25 00:00:00,1
2003-11-27 00:00:00,2003-11-27 00:00:00,26,2003-11-27 00:00:00,25,25.25,33,42500,1083775,2003-11-27 00:00:00,1
2003-11-28 00:00:00,2003-11-28 00:00:00,26,2003-11-28 00:00:00,25.25,25.5,31,69000,1763675,2003-11-28 00:00:00,1
2003-12-01 00:00:00,2003-12-01 00:00:00,26.5,2003-12-01 00:00:00,24,24,25,38600,953950,2003-12-01 00:00:00,1
2003-12-02 00:00:00,2003-12-02 00:00:00,24.5,2003-12-02 00:00:00,23.75,24,20,17700,425300,2003-12-02 00:00:00,1
2003-12-03 00:00:00,2003-12-03 00:00:00,23.5,2003-12-03 00:00:00,22.5,23,38,64200,1486625,2003-12-03 00:00:00,1
2003-12-04 00:00:00,2003-12-04 00:00:00,23.25,2003-12-04 00:00:00,22,22.75,45,48000,1079900,2003-12-04 00:00:00,1
2003-12-05 00:00:00,2003-12-05 00:00:00,24.25,2003-12-05 00:00:00,22.75,24,42,77100,1835950,2003-12-05 00:00:00,1
2003-12-09 00:00:00,2003-12-09 00:00:00,26,2003-12-09 00:00:00,24.25,25,45,74500,1881050,2003-12-09 00:00:00,1
2003-12-10 00:00:00,2003-12-10 00:00:00,25.25,2003-12-10 00:00:00,24.75,24.75,16,25000,624575,2003-12-10 00:00:00,1
2003-12-11 00:00:00,2003-12-11 00:00:00,24,2003-12-11 00:00:00,21.5,23,23,27800,627875,2003-12-11 00:00:00,1
2003-12-12 00:00:00,2003-12-12 00:00:00,24.5,2003-12-12 00:00:00,23.5,24,25,32800,783050,2003-12-12 00:00:00,1
2003-12-15 00:00:00,2003-12-15 00:00:00,24,2003-12-15 00:00:00,22.5,22.75,17,12600,290500,2003-12-15 00:00:00,1
2003-12-16 00:00:00,2003-12-16 00:00:00,22.5,2003-12-16 00:00:00,21.5,22.25,37,44500,989725,2003-12-16 00:00:00,1
2003-12-17 00:00:00,2003-12-17 00:00:00,21.5,2003-12-17 00:00:00,20.5,20.5,29,39500,816700,2003-12-17 00:00:00,1
2003-12-18 00:00:00,2003-12-18 00:00:00,22,2003-12-18 00:00:00,20.5,21,36,80900,1694750,2003-12-18 00:00:00,1
2003-12-19 00:00:00,2003-12-19 00:00:00,23.25,2003-12-19 00:00:00,21,22.5,24,42300,942225,2003-12-19 00:00:00,1
2003-12-22 00:00:00,2003-12-22 00:00:00,23.5,2003-12-22 00:00:00,21,23,39,85500,1914100,2003-12-22 00:00:00,1
2003-12-23 00:00:00,2003-12-23 00:00:00,25.5,2003-12-23 00:00:00,23.5,25.25,77,297200,7444675,2003-12-23 00:00:00,1
2003-12-24 00:00:00,2003-12-24 00:00:00,25.5,2003-12-24 00:00:00,24,25,9,8200,206825,2003-12-24 00:00:00,1
2003-12-26 00:00:00,2003-12-26 00:00:00,25.5,2003-12-26 00:00:00,25,25.25,17,48700,1226450,2003-12-26 00:00:00,1
2003-12-29 00:00:00,2003-12-29 00:00:00,25.25,2003-12-29 00:00:00,24.5,24.5,3,1000,24875,2003-12-29 00:00:00,1
2003-12-30 00:00:00,2003-12-30 00:00:00,23.5,2003-12-30 00:00:00,23.5,23.5,4,3100,72850,2003-12-30 00:00:00,1
2003-12-31 00:00:00,2003-12-31 00:00:00,23.25,2003-12-31 00:00:00,22.75,23,18,26200,600350,2003-12-31 00:00:00,1
Company Id :,GREG,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name :,WALK & GREI,G 2/-,,,,,,,,
