Public Holding 2015 Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY ID,PUBLIC FLOAT
2015-1,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,0.1
2015-1,LANKA ASHOK LEYLAND PLC,ASHO.N0000,0.0225
2015-1,BROWNS INVESTMENTS PLC,BIL.N0000,0.2267
2015-1,CEYLON COLD STORES PLC,CCS.N0000,0.185
2015-1,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,0.7949
2015-1,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,0.359
2015-1,CEYLON AND FOREIGN TRADES PLC,CFT.N0000,0.1697
2015-1,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,0.238
2015-1,CEYLON INVESTMENT PLC,CINV.N0000,0.3519
2015-1,SOFTLOGIC FINANCE PLC,CRL.N0000,0.3695
2015-1,C T HOLDINGS PLC,CTHR.N0000,0.3925
2015-1,DANKOTUWA PORCELAIN PLC,DPL.N0000,0.3332
2015-1,E - CHANNELLING PLC,ECL.N0000,0.1271
2015-1,EQUITY ONE PLC,EQIT.N0000,0.0372
2015-1,EXPOLANKA HOLDINGS PLC,EXPO.N0000,0.327
2015-1,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,0.1257
2015-1,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,0.4446
2015-1,HAYLEYS PLC,HAYL.N0000,0.3999
2015-1,HUNTER & COMPANY PLC,HUNT.N0000,0.2967
2015-1,HVA FOODS PLC,HVA.N0000,0.3849
2015-1,KELANI CABLES PLC,KCAB.N0000,0.202
2015-1,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,0.0905
2015-1,KOTAGALA PLANTATIONS PLC,KOTA.N0000,0.3039
2015-1,KOTMALE HOLDINGS PLC,LAMB.N0000,0.0271
2015-1,LION BREWERY (CEYLON) PLC,LION.N0000,0.1395
2015-1,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,1
2015-1,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,0.2405
2015-1,LANKA MILK FOODS (CWE) PLC,LMF.N0000,0.3435
2015-1,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,0.31
2015-1,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,0.2131
2015-1,METROPOLITAN  RESOURCE  HOLDINGS  PLC,MPRH.N0000,0.2102
2015-1,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,0.1925
2015-1,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,0.1084
2015-1,ODEL PLC,ODEL.N0000,0.068
2015-1,ORIENT FINANCE PLC,ORIN.N0000,0.1
2015-1,PANASIAN POWER PLC,PAP.N0000,0.7013
2015-1,PC HOUSE PLC,PCH.N0000,0.8184
2015-1,PC PHARMA PLC,PCP.N0000,0.6566
2015-1,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,0.336
2015-1,ROYAL CERAMICS LANKA PLC,RCL.N0000,0.4703
2015-1,REGNIS (LANKA) PLC,REG.N0000,0.4093
2015-1,THE FORTRESS RESORTS PLC,RHTL.N0000,0.1815
2015-1,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,0.1308
2015-1,SAMPATH BANK PLC,SAMP.N0000,0.8331
2015-1,THE KINGSBURY PLC,SERV.N0000,0.3914
2015-1,SEYLAN BANK PLC,SEYB.N0000,0.5431
2015-1,SEYLAN BANK PLC,SEYB.X0000,0.5746
2015-1,SINGER FINANCE LANKA PLC,SFIN.N0000,0.1952
2015-1,SINHAPUTHRA FINANCE PLC,SFL.N0000,0.4972
2015-1,PEOPLE'S FINANCE PLC,SMLL.N0000,0.0944
2015-1,AITKEN SPENCE PLC,SPEN.N0000,0.3865
2015-1,LANKA TILES PLC,TILE.N0000,0.2915
2015-1,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,0.2027
2015-1,UNION ASSURANCE PLC,UAL.N0000,0.0434
2015-1,UNITED MOTORS LANKA PLC,UML.N0000,0.2685
2015-1,ASIA ASSET FINANCE PLC,AAF.N0000,0.2352
2015-1,ACL CABLES PLC,ACL.N0000,0.3794
2015-1,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,0.2138
2015-1,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,0.254
2015-1,ADAM INVESTMENTS PLC,AINV.N0000,0.173
2015-1,ALUFAB PLC,ALUF.N0000,0.3611
2015-1,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,0.1178
2015-1,THE AUTODROME PLC,AUTO.N0000,0.2295
2015-1,BERUWALA RESORTS PLC,BERU.N0000,0.1037
2015-1,BERUWELA WALK INN PLC,BINN.N0000,0.065
2015-1,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,0.2523
2015-1,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,0.1
2015-1,PRINTCARE PLC,CARE.N0000,0.4295
2015-1,CARGILLS (CEYLON) PLC,CARG.N0000,0.2099
2015-1,N D B CAPITAL HOLDINGS PLC,CDIC.N0000,0.0038
2015-1,CEYLON HOSPITALS PLC,CHL.N0000,0.232
2015-1,CEYLON HOSPITALS PLC,CHL.X0000,0.8145
2015-1,CEYLINCO INSURANCE PLC,CINS.X0000,0.4328
2015-1,CEYLINCO INSURANCE PLC,CINS.N0000,0.7331
2015-1,HIKKADUWA BEACH RESORT PLC,CITH.N0000,0.1115
2015-1,KALPITIYA BEACH RESORT PLC,CITK.N0000,0.2782
2015-1,RENUKA FOODS PLC,COCO.X0000,0.6898
2015-1,RENUKA FOODS PLC,COCO.N0000,0.3094
2015-1,C M HOLDINGS PLC,COLO.N0000,0.2961
2015-1,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,0.9957
2015-1,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,0.9979
2015-1,CEYLON TEA SERVICES PLC,CTEA.N0000,0.1282
2015-1,DIALOG AXIATA PLC,DIAL.N0000,0.1668
2015-1,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,0.5367
2015-1,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,0.4234
2015-1,COLOMBO DOCKYARD PLC,DOCK.N0000,0.4894
2015-1,EAST WEST PROPERTIES PLC,EAST.N0000,0.1548
2015-1,EQUITY TWO PLC,ETWO.N0000,0.1117
2015-1,GOOD HOPE PLC,GOOD.N0000,0.0552
2015-1,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,0.3252
2015-1,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,0.0817
2015-1,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,0.3535
2015-1,HAYLEYS FIBRE PLC,HEXP.N0000,0.3482
2015-1,JOHN KEELLS HOTELS PLC,KHL.N0000,0.1964
2015-1,LANKA CEMENT PLC,LCEM.N0000,0.25
2015-1,LANKA IOC PLC,LIOC.N0000,0.2488
2015-1,LANKA VENTURES PLC,LVEN.N0000,0.2041
2015-1,"J.L.MORISON, SON & JONES (CEYLON) PLC",MORI.N0000,0.099
2015-1,"J.L.MORISON, SON & JONES (CEYLON) PLC",MORI.X0000,0.1512
2015-1,MAHAWELI REACH HOTELS PLC,MRH.N0000,0.2443
2015-1,NAMAL ACUITY VALUE FUND,NAVF.U0000,0.116
2015-1,NESTLE LANKA PLC,NEST.N0000,0.0918
2015-1,OFFICE EQUIPMENT PLC,OFEQ.N0000,0.4798
2015-1,PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,0.069
2015-1,CITRUS LEISURE PLC,REEF.N0000,0.5879
2015-1,CITRUS LEISURE PLC,REEF.W0019,0.6223
2015-1,CITRUS LEISURE PLC,REEF.W0018,0.6223
2015-1,RICHARD PIERIS EXPORTS PLC,REXP.N0000,0.1974
2015-1,RENUKA HOLDINGS PLC,RHL.N0000,0.4214
2015-1,RENUKA HOLDINGS PLC,RHL.X0000,0.9416
2015-1,SOFTLOGIC CAPITAL PLC,SCAP.N0000,0.2689
2015-1,SANASA DEVELOPMENT BANK PLC,SDB.N0000,0.9998
2015-1,LEE HEDGES PLC,SHAW.N0000,0.4189
2015-1,SOFTLOGIC HOLDINGS PLC,SHL.N0000,0.291
2015-1,SERENDIB HOTELS PLC,SHOT.N0000,0.2001
2015-1,SERENDIB HOTELS PLC,SHOT.X0000,0.2664
2015-1,SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,0.3299
2015-1,SERENDIB LAND PLC,SLND.N0000,0.0758
2015-1,SATHOSA MOTORS PLC,SMOT.N0000,0.1555
2015-1,SWADESHI INDUSTRIAL WORKS  PLC,SWAD.N0000,0.4644
2015-1,THREE ACRE FARMS PLC,TAFL.N0000,0.2779
2015-1,TANGERINE BEACH HOTELS PLC,TANG.N0000,0.3558
2015-1,THE FINANCE COMPANY PLC,TFC.N0000,0.629
2015-1,THE FINANCE COMPANY PLC,TFC.X0000,0.9986
2015-1,TRADE FINANCE AND INVESTMENTS PLC,TFIL.N0000,0.031
2015-1,TRANS ASIA HOTELS PLC,TRAN.N0000,0.0765
2015-1,VALLIBEL FINANCE PLC,VFIN.N0000,0.2377
2015-1,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,0.3539
2015-1,ABANS ELECTRICALS PLC,ABAN.N0000,0.3954
2015-1,AMANA BANK PLC,ABL.N0000,0.3113
2015-1,ABANS FINANCE PLC,AFSL.N0000,0.1034
2015-1,ALUMEX PLC,ALUM.N0000,0.1413
2015-1,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,0.0068
2015-1,AMANA TAKAFUL PLC,ATL.N0000,0.2451
2015-1,BALANGODA  PLANTATIONS  PLC,BALA.N0000,0.4139
2015-1,BROWNS BEACH HOTELS PLC,BBH.N0000,0.092
2015-1,BIMPUTH FINANCE PLC,BLI.N0000,0.0588
2015-1,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,0.096
2015-1,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,0.1692
2015-1,BROWN & COMPANY PLC,BRWN.N0000,0.4088
2015-1,BUKIT DARAH PLC,BUKI.N0000,0.2304
2015-1,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,0.2779
2015-1,SEYLAN DEVELOPMENTS PLC,CSD.N0000,0.317
2015-1,DUNAMIS CAPITAL PLC,CSEC.N0000,0.3474
2015-1,CEYLON TEA BROKERS PLC,CTBL.N0000,0.1487
2015-1,CEYLON TOBACCO COMPANY PLC,CTC.N0000,0.1587
2015-1,DIPPED PRODUCTS PLC,DIPD.N0000,0.4185
2015-1,PIRAMAL GLASS CEYLON PLC,GLAS.N0000,0.4354
2015-1,HEMAS HOLDINGS PLC,HHL.N0000,0.2825
2015-1,HUNAS FALLS HOTELS PLC,HUNA.N0000,0.161
2015-1,JANASHAKTHI INSURANCE PLC,JINS.N0000,0.2872
2015-1,MTD WALKERS PLC,KAPI.N0000,0.0922
2015-1,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,0.4985
2015-1,LB FINANCE PLC,LFIN.N0000,0.2259
2015-1,LOLC FINANCE PLC,LOFC.N0000,0.1
2015-1,MADULSIMA  PLANTATIONS  PLC,MADU.N0000,0.3363
2015-1,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,0.3201
2015-1,MIRAMAR BEACH HOTELS PLC,MIRA.N0000,0.2973
2015-1,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,0.211
2015-1,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,0.9025
2015-1,NAWALOKA HOSPITALS PLC,NHL.N0000,0.1259
2015-1,ON'ALLY HOLDINGS PLC,ONAL.N0000,0.641
2015-1,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,0.1664
2015-1,ADAM CAPITAL PLC,PCHH.N0000,0.5634
2015-1,PEOPLE`S MERCHANT FINANCE  PLC,PMB.N0000,0.3099
2015-1,RAMBODA FALLS PLC,RFL.N0000,0.2837
2015-1,SELINSING PLC,SELI.N0000,0.0384
2015-1,SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,0.216
2015-1,SRI LANKA TELECOM PLC,SLTL.N0000,0.0552
2015-1,CONVENIENCE FOODS LANKA PLC,SOY.N0000,0.2862
2015-1,TAL LANKA HOTELS PLC,TAJ.N0000,0.1724
2015-1,TOUCHWOOD INVESTMENTS PLC,TWOD.N0000,0.9065
2015-1,UNION BANK OF COLOMBO PLC,UBC.N0000,0.2022
