Public Holding 2020Q2 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2020-2,ELPITIYA PLANTATIONS PLC,ELPL.N0000,16.93%
2020-2,ENTRUST SECURITIES PLC,ESL.N0000,10.96%
2020-2,EQUITY ONE PLC,EQIT.N0000,3.72%
2020-2,EQUITY TWO PLC,ETWO.N0000,11.17%
2020-2,EXPOLANKA HOLDINGS PLC,EXPO.N0000,24.28%
2020-2,FINLAYS COLOMBO PLC,JFIN.N0000,2.94%
2020-2,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,16.86%
2020-2,FIRST CAPITAL TREASURIES PLC,FCT.N0000,0%
2020-2,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,12.57%
2020-2,GESTETNER OF CEYLON PLC,GEST.N0000,21.17%
2020-2,GOOD HOPE PLC,GOOD.N0000,9.09%
2020-2,GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,12.91%
2020-2,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,10%
2020-2,HARISCHANDRA MILLS PLC,HARI.N0000,42.58%
2020-2,HATTON NATIONAL BANK PLC,HNB.N0000,69%
2020-2,HATTON NATIONAL BANK PLC,HNB.X0000,99%
2020-2,HATTON PLANTATIONS PLC,HPL.N0000,12.07%
2020-2,HAYCARB PLC,HAYC.N0000,32.2%
2020-2,HAYLEYS FABRIC PLC,MGT.N0000,36.89%
2020-2,HAYLEYS FIBRE PLC,HEXP.N0000,34.97%
2020-2,HAYLEYS PLC,HAYL.N0000,36.89%
2020-2,HEMAS HOLDINGS PLC,HHL.N0000,35.7%
2020-2,HIKKADUWA BEACH RESORT PLC,CITH.N0000,15.66%
2020-2,HNB ASSURANCE PLC,HASU.N0000,38.3%
2020-2,HORANA PLANTATIONS PLC,HOPL.N0000,49%
2020-2,HOTEL DEVELOPERS (LANKA) PLC,HDEV.N0000,0%
2020-2,HOTEL SIGIRIYA PLC,HSIG.N0000,36.55%
2020-2,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,35.78%
2020-2,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,0%
2020-2,HUNAS FALLS HOTELS PLC,HUNA.N0000,6.53%
2020-2,HUNTER & COMPANY PLC,HUNT.N0000,29.68%
2020-2,HVA FOODS PLC,HVA.N0000,38.1%
2020-2,INDO-MALAY PLC,INDO.N0000,12.85%
2020-2,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,32.64%
2020-2,JANASHAKTHI INSURANCE PLC,JINS.N0000,19.73%
2020-2,JANASHAKTHI PLC,JANA.N0000,0%
2020-2,JANASHAKTHI PLC,CSEC.N0000,1.92%
2020-2,JETWING SYMPHONY PLC,JETS.N0000,18.43%
2020-2,JOHN KEELLS HOLDINGS PLC,JKH.N0000,99.15%
2020-2,JOHN KEELLS HOTELS PLC,KHL.N0000,19.68%
2020-2,JOHN KEELLS PLC,JKL.N0000,13.1%
2020-2,KAHAWATTE  PLANTATIONS  PLC,KAHA.N0000,20.48%
2020-2,KALPITIYA BEACH RESORT PLC,CITK.N0000,27.82%
2020-2,KEELLS FOOD PRODUCTS PLC,KFP.N0000,10%
2020-2,KEGALLE  PLANTATIONS  PLC,KGAL.N0000,20.86%
2020-2,KELANI CABLES PLC,KCAB.N0000,20.2%
2020-2,KELANI TYRES PLC,TYRE.N0000,51.84%
2020-2,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,27.57%
2020-2,KELSEY DEVELOPMENTS PLC,KDL.N0000,9.17%
2020-2,KOTAGALA PLANTATIONS PLC,KOTA.N0000,25.32%
2020-2,KOTMALE HOLDINGS PLC,LAMB.N0000,.49%
2020-2,KURUWITA TEXTILE MILLS PLC,KURU.N0000,19.74%
2020-2,L O L C DEVELOPMENT FINANCE PLC,NIFL.N0000,.11%
2020-2,L O L C HOLDINGS PLC,LOLC.N0000,15.1%
2020-2,L V L ENERGY FUND PLC,LVEF.N0000,30.26%
2020-2,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,25.99%
2020-2,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,49.85%
2020-2,LANKA ASHOK LEYLAND PLC,ASHO.N0000,30.38%
2020-2,LANKA CEMENT PLC,LCEM.N0000,0%
2020-2,LANKA CERAMIC PLC,CERA.N0000,13.1%
2020-2,LANKA IOC PLC,LIOC.N0000,24.88%
2020-2,LANKA MILK FOODS (CWE) PLC,LMF.N0000,34.33%
2020-2,LANKA REALTY INVESTMENTS PLC ,ASCO.N0000,7.72%
2020-2,LANKA TILES PLC,TILE.N0000,28.09%
2020-2,LANKA VENTURES PLC,LVEN.N0000,20.42%
