Public Holding 2017 Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2017-1,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,30.73%
2017-1,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,49.85%
2017-1,LANKA ASHOK LEYLAND PLC,ASHO.N0000,14.68%
2017-1,LANKA CEMENT PLC,LCEM.N0000,25%
2017-1,LANKA CENTURY INVESTMENTS PLC,GREG.N0000,16.12%
2017-1,LANKA CERAMIC PLC,CERA.N0000,19.53%
2017-1,LANKA IOC PLC,LIOC.N0000,24.88%
2017-1,LANKA MILK FOODS (CWE) PLC,LMF.N0000,34.35%
2017-1,LANKA ORIX LEASING COMPANY PLC,LOLC.N0000,15.5%
2017-1,LANKA TILES PLC,TILE.N0000,29.16%
2017-1,LANKA VENTURES PLC,LVEN.N0000,20.34%
2017-1,LANKA WALLTILE PLC,LWL.N0000,29.23%
2017-1,LANKEM CEYLON PLC,LCEY.N0000,17.21%
2017-1,LANKEM DEVELOPMENTS PLC,LDEV.N0000,32.02%
2017-1,LAUGFS GAS PLC,LGL.N0000,25.23%
2017-1,LAUGFS GAS PLC,LGL.X0000,65.3%
2017-1,LAXAPANA BATTERIES PLC,LITE.N0000,35.05%
2017-1,LB FINANCE PLC,LFIN.N0000,21.96%
2017-1,LEE HEDGES PLC,SHAW.N0000,49%
2017-1,LION BREWERY (CEYLON) PLC,LION.N0000,13.92%
2017-1,LOLC FINANCE PLC,LOFC.N0000,10%
2017-1,LOTUS HYDRO POWER PLC,HPFL.N0000,11.42%
2017-1,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,100%
2017-1,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,100%
2017-1,MACKWOODS ENERGY PLC,MEL.N0000,19.73%
2017-1,MADULSIMA  PLANTATIONS  PLC,MADU.N0000,6.51%
2017-1,MAHAWELI REACH HOTELS PLC,MRH.N0000,23.01%
2017-1,MALWATTE VALLEY PLANTATION PLC,MAL.X0000,18.87%
2017-1,MALWATTE VALLEY PLANTATION PLC,MAL.N0000,33.02%
2017-1,MARAWILA  RESORTS  PLC,MARA.N0000,35.43%
2017-1,MASKELIYA PLANTATIONS PLC,MASK.N0000,.17%
2017-1,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,10.87%
2017-1,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,20.95%
2017-1,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,25.5%
2017-1,METROPOLITAN  RESOURCE  HOLDINGS  PLC,MPRH.N0000,21.02%
2017-1,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,16.96%
2017-1,MIRAMAR BEACH HOTELS PLC,MIRA.N0000,29.73%
2017-1,MTD WALKERS PLC,KAPI.N0000,9.1%
2017-1,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,48.6%
2017-1,MULTI FINANCE  PLC,MFL.N0000,14.33%
2017-1,NAMAL ACUITY VALUE FUND,NAVF.U0000,11.6%
2017-1,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,35.09%
2017-1,NATION LANKA FINANCE PLC,CSF.N0000,23.96%
2017-1,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,89.64%
2017-1,NATIONS TRUST BANK PLC,NTB.N0000,34.84%
2017-1,NAWALOKA HOSPITALS PLC,NHL.N0000,8.61%
2017-1,NESTLE LANKA PLC,NEST.N0000,9.18%
2017-1,ODEL PLC,ODEL.N0000,6.46%
2017-1,OFFICE EQUIPMENT PLC,OFEQ.N0000,.6%
2017-1,ON'ALLY HOLDINGS PLC,ONAL.N0000,.19%
2017-1,ORIENT FINANCE PLC,BFN.N0000,10.19%
2017-1,ORIENT GARMENTS PLC,OGL.N0000,15.18%
2017-1,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,15.65%
2017-1,PALM GARDEN HOTELS PLC,PALM.N0000,10.62%
2017-1,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,54.49%
2017-1,PANASIAN POWER PLC,PAP.N0000,32.2%
2017-1,PARAGON CEYLON PLC,PARA.N0000,.61%
2017-1,PC HOUSE PLC,PCH.N0000,93.54%
2017-1,PC PHARMA PLC,PCP.N0000,98.22%
2017-1,PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,10.01%
2017-1,PELWATTE SUGAR INDUSTRIES PLC,SUGA.N0000,20.71%
