Public Holding 2016 Q3 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY,PUBLIC FLOAT
2016-3,JOHN KEELLS PLC,JKL.N0000,0.131
2016-3,KAHAWATTE  PLANTATIONS  PLC,KAHA.N0000,0.2048
2016-3,KALAMAZOO SYSTEMS PLC,KZOO.N0000,0.3
2016-3,KALPITIYA BEACH RESORT PLC,CITK.N0000,0.2782
2016-3,KEELLS FOOD PRODUCTS PLC,KFP.N0000,0.0838
2016-3,KEGALLE  PLANTATIONS  PLC,KGAL.N0000,0.2085
2016-3,KELANI CABLES PLC,KCAB.N0000,0.202
2016-3,KELANI TYRES PLC,TYRE.N0000,0.5631
2016-3,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,0.2757
2016-3,KELSEY DEVELOPMENTS PLC,KDL.N0000,0.1655
2016-3,KOTAGALA PLANTATIONS PLC,KOTA.N0000,0.3039
2016-3,KOTMALE HOLDINGS PLC,LAMB.N0000,0
2016-3,KURUWITA TEXTILE MILLS PLC,KURU.N0000,0.1974
2016-3,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,0.31
2016-3,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,0.4985
2016-3,LANKA ASHOK LEYLAND PLC,ASHO.N0000,0.1468
2016-3,LANKA CEMENT PLC,LCEM.N0000,0.25
2016-3,LANKA CENTURY INVESTMENTS PLC,GREG.N0000,0.1618
2016-3,LANKA CENTURY INVESTMENTS PLC,GREG.W0001,0.0497
2016-3,LANKA CENTURY INVESTMENTS PLC,GREG.W0003,0.0804
2016-3,LANKA CENTURY INVESTMENTS PLC,GREG.W0006,0.6943
2016-3,LANKA CERAMIC PLC,CERA.N0000,0.1957
2016-3,LANKA IOC PLC,LIOC.N0000,0.2488
2016-3,LANKA MILK FOODS (CWE) PLC,LMF.N0000,0.3435
2016-3,LANKA ORIX LEASING COMPANY PLC,LOLC.N0000,0.1549
2016-3,LANKA TILES PLC,TILE.N0000,0.2616
2016-3,LANKA VENTURES PLC,LVEN.N0000,0.2041
2016-3,LANKA WALLTILE PLC,LWL.N0000,0.2923
2016-3,LANKEM CEYLON PLC,LCEY.N0000,0.1722
2016-3,LANKEM DEVELOPMENTS PLC,LDEV.N0000,0.3183
2016-3,LAUGFS GAS PLC,LGL.N0000,0.2523
2016-3,LAUGFS GAS PLC,LGL.X0000,0.653
2016-3,LAXAPANA BATTERIES PLC,LITE.N0000,0.3466
2016-3,LB FINANCE PLC,LFIN.N0000,0.2203
2016-3,LEE HEDGES PLC,SHAW.N0000,0.4189
2016-3,LION BREWERY (CEYLON) PLC,LION.N0000,0.1392
2016-3,LOLC FINANCE PLC,LOFC.N0000,0.1
2016-3,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,0.2405
2016-3,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,1
2016-3,MACKWOODS ENERGY PLC,MEL.N0000,0.1973
2016-3,MADULSIMA  PLANTATIONS  PLC,MADU.N0000,0.0651
2016-3,MAHAWELI REACH HOTELS PLC,MRH.N0000,0.2448
2016-3,MALWATTE VALLEY PLANTATION PLC,MAL.X0000,0.1887
2016-3,MALWATTE VALLEY PLANTATION PLC,MAL.N0000,0.3302
2016-3,MARAWILA  RESORTS  PLC,MARA.N0000,0.3469
2016-3,MASKELIYA PLANTATIONS PLC,MASK.N0000,0.166
2016-3,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,0.1087
2016-3,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,0.2095
2016-3,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,0.255
2016-3,METROPOLITAN  RESOURCE  HOLDINGS  PLC,MPRH.N0000,0.2102
2016-3,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,0.172
2016-3,MIRAMAR BEACH HOTELS PLC,MIRA.N0000,0.2973
2016-3,MTD WALKERS PLC,KAPI.N0000,0.092
2016-3,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,0.486
2016-3,N D B CAPITAL HOLDINGS PLC,CDIC.N0000,0.0038
2016-3,NAMAL ACUITY VALUE FUND,NAVF.U0000,0.116
2016-3,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,0.3509
2016-3,NATION LANKA FINANCE PLC,CSF.W0021,0.5671
2016-3,NATION LANKA FINANCE PLC,CSF.N0000,0.2401
2016-3,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,0.9025
2016-3,NATIONS TRUST BANK PLC,NTB.N0000,0.3484
2016-3,NAWALOKA HOSPITALS PLC,NHL.N0000,0.0976
2016-3,NESTLE LANKA PLC,NEST.N0000,0.0918
2016-3,ODEL PLC,ODEL.N0000,0.0333
2016-3,OFFICE EQUIPMENT PLC,OFEQ.N0000,0.6058
2016-3,ON'ALLY HOLDINGS PLC,ONAL.N0000,0.1863
2016-3,ORIENT FINANCE PLC,ORIN.N0000,0.1
2016-3,ORIENT FINANCE PLC,BFN.N0000,0.1019
2016-3,ORIENT GARMENTS PLC,OGL.N0000,0.1518
2016-3,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,0.1565
2016-3,PALM GARDEN HOTELS PLC,PALM.N0000,0.1062
2016-3,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,0.5171
2016-3,PANASIAN POWER PLC,PAP.N0000,0.32
2016-3,PARAGON CEYLON PLC,PARA.N0000,0.6673
2016-3,PC HOUSE PLC,PCH.N0000,0.9354
2016-3,PC PHARMA PLC,PCP.N0000,0.9822
2016-3,PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,0.1001
2016-3,PELWATTE SUGAR INDUSTRIES PLC,SUGA.N0000,0.2071
2016-3,PEOPLE'S FINANCE PLC,SMLL.N0000,0.0944
2016-3,PEOPLE'S INSURANCE PLC,PINS.N0000,0.2494
2016-3,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,0.2482
2016-3,PEOPLE`S MERCHANT FINANCE  PLC,PMB.N0000,0.113
2016-3,PIRAMAL GLASS CEYLON PLC,GLAS.N0000,0.4354
2016-3,PRINTCARE PLC,CARE.N0000,0.4289
2016-3,PROPERTY DEVELOPMENT PLC,PDL.N0000,0.0444
2016-3,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,0.9543
2016-3,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,0.1459
2016-3,RAMBODA FALLS PLC,RFL.N0000,0.2837
2016-3,REGNIS (LANKA) PLC,REG.N0000,0.4116
2016-3,RENUKA AGRI FOODS PLC,RAL.N0000,0.3286
2016-3,RENUKA CITY HOTELS PLC.,RENU.N0000,0.2792
2016-3,RENUKA FOODS PLC,COCO.N0000,0.3017
2016-3,RENUKA FOODS PLC,COCO.X0000,0.6898
2016-3,RENUKA HOLDINGS PLC,RHL.N0000,0.4214
2016-3,RENUKA HOLDINGS PLC,RHL.X0000,0.9414
2016-3,RESUS ENERGY PLC,HPWR.N0000,0.3838
2016-3,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,0.4259
