"DAILY HIGH, LOW AND CLOSING PRICES 2022 (January to March)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
JETS,N,0000,JETWING SYMPHONY,21-JAN-22,     14.00,     13.50,     13.90,     14.00,8,5089,71072
JETS,N,0000,JETWING SYMPHONY,24-JAN-22,     14.20,     12.50,     13.70,     13.70,56,35402,479253
JETS,N,0000,JETWING SYMPHONY,25-JAN-22,     13.90,     13.70,     13.70,     13.80,14,3559,48903.3
JETS,N,0000,JETWING SYMPHONY,26-JAN-22,     13.70,     13.10,     13.10,     13.70,15,2536,34324.2
JETS,N,0000,JETWING SYMPHONY,27-JAN-22,     13.80,     13.00,     13.50,     13.50,10,4106,55701.8
JETS,N,0000,JETWING SYMPHONY,28-JAN-22,     13.50,     13.00,     13.30,     13.50,18,8688,115850
JETS,N,0000,JETWING SYMPHONY,31-JAN-22,     14.10,     13.50,     13.90,     13.50,23,51350,713189.3
JETS,N,0000,JETWING SYMPHONY,01-FEB-22,     14.00,     13.50,     13.60,     13.50,12,8906,121113
JETS,N,0000,JETWING SYMPHONY,02-FEB-22,     14.00,     13.40,     13.40,     13.90,21,58321,815068.1
JETS,N,0000,JETWING SYMPHONY,03-FEB-22,     13.80,     13.00,     13.00,     13.40,7,1848,24114.8
JETS,N,0000,JETWING SYMPHONY,07-FEB-22,     13.40,     13.00,     13.10,     13.00,5,6187,81315
JETS,N,0000,JETWING SYMPHONY,08-FEB-22,     13.80,     13.00,     13.50,     13.20,16,11877,159768.2
JETS,N,0000,JETWING SYMPHONY,09-FEB-22,     13.90,     13.80,     13.80,     13.80,11,851,11748.9
JETS,N,0000,JETWING SYMPHONY,10-FEB-22,     13.80,     13.10,     13.70,     13.10,14,7425,100788
JETS,N,0000,JETWING SYMPHONY,11-FEB-22,     14.80,     12.80,     13.70,     13.80,20,9952,136736.6
JETS,N,0000,JETWING SYMPHONY,14-FEB-22,     14.50,     13.50,     14.30,     14.50,5,690,9827
JETS,N,0000,JETWING SYMPHONY,15-FEB-22,     14.00,     13.30,     13.50,     14.00,5,1400,18850
JETS,N,0000,JETWING SYMPHONY,17-FEB-22,     14.30,     13.40,     13.40,     14.00,17,21791,304007.2
JETS,N,0000,JETWING SYMPHONY,18-FEB-22,     14.00,     13.10,     13.10,     14.00,7,4708,61888.1
JETS,N,0000,JETWING SYMPHONY,21-FEB-22,     13.70,     12.50,     12.90,     13.10,14,2540,32785.5
JETS,N,0000,JETWING SYMPHONY,22-FEB-22,     13.90,     12.80,     12.90,     13.90,8,11185,144302.5
JETS,N,0000,JETWING SYMPHONY,23-FEB-22,     13.00,     12.50,     12.50,     13.00,18,13798,176720.6
JETS,N,0000,JETWING SYMPHONY,25-FEB-22,     13.60,     12.00,     13.60,     12.60,9,11057,133716
JETS,N,0000,JETWING SYMPHONY,28-FEB-22,     13.60,     12.20,     12.80,     12.20,4,1700,21700
JETS,N,0000,JETWING SYMPHONY,02-MAR-22,     12.20,     12.20,     12.80,     12.20,1,89,1085.8
JETS,N,0000,JETWING SYMPHONY,03-MAR-22,     12.70,     12.30,     12.30,     12.40,7,31070,382183
JETS,N,0000,JETWING SYMPHONY,04-MAR-22,     12.40,     12.30,     12.30,     12.30,8,24800,307250
JETS,N,0000,JETWING SYMPHONY,07-MAR-22,     12.50,     12.20,     12.30,     12.50,21,79260,974620
JETS,N,0000,JETWING SYMPHONY,08-MAR-22,     12.20,     12.10,     12.20,     12.20,3,1170,14243
JETS,N,0000,JETWING SYMPHONY,09-MAR-22,     12.10,     12.10,     12.10,     12.10,3,813,9837.3
JETS,N,0000,JETWING SYMPHONY,10-MAR-22,     12.50,     12.00,     12.10,     12.10,6,340,4120
JETS,N,0000,JETWING SYMPHONY,11-MAR-22,     14.00,     12.20,     12.20,     12.50,10,72084,881300.1
JETS,N,0000,JETWING SYMPHONY,15-MAR-22,     12.10,     12.00,     12.00,     12.10,3,1005,12060.5
JETS,N,0000,JETWING SYMPHONY,16-MAR-22,     12.50,     11.60,     11.60,     11.60,2,210,2445
JETS,N,0000,JETWING SYMPHONY,21-MAR-22,     11.80,     11.60,     11.80,     11.60,6,4136,48319.8
JETS,N,0000,JETWING SYMPHONY,22-MAR-22,     13.40,     11.10,     13.00,     11.80,3,725,9410.1
JETS,N,0000,JETWING SYMPHONY,23-MAR-22,     12.10,     11.50,     12.10,     11.50,4,558,6664.3
JETS,N,0000,JETWING SYMPHONY,25-MAR-22,     12.30,     12.20,     12.30,     12.20,2,1100,13520
JETS,N,0000,JETWING SYMPHONY,28-MAR-22,     12.30,     12.20,     12.30,     12.20,20,84000,1029900
JETS,N,0000,JETWING SYMPHONY,29-MAR-22,     12.40,     12.00,     12.00,     12.40,12,26566,325340.5
JETS,N,0000,JETWING SYMPHONY,30-MAR-22,     12.00,     10.50,     10.50,     12.00,4,3200,34350
JINS,N,0000,JANASHAKTHI INS.,03-JAN-22,     34.00,     28.60,     32.70,     28.60,305,774425,25649736.4
JINS,N,0000,JANASHAKTHI INS.,04-JAN-22,     33.10,     31.30,     32.80,     32.90,65,316564,10396112.3
JINS,N,0000,JANASHAKTHI INS.,05-JAN-22,     33.50,     31.00,     32.30,     32.70,104,418713,13729864.6
JINS,N,0000,JANASHAKTHI INS.,06-JAN-22,     32.30,     31.00,     32.00,     31.50,34,76239,2414979.5
JINS,N,0000,JANASHAKTHI INS.,07-JAN-22,     32.50,     31.00,     31.90,     31.00,44,95078,3046050.9
JINS,N,0000,JANASHAKTHI INS.,10-JAN-22,     32.40,     30.00,     30.00,     32.40,40,32513,985771
JINS,N,0000,JANASHAKTHI INS.,11-JAN-22,     31.00,     30.00,     30.60,     30.00,35,112644,3386801.8
JINS,N,0000,JANASHAKTHI INS.,12-JAN-22,     36.00,     30.00,     33.20,     31.00,346,649063,22188688.6
JINS,N,0000,JANASHAKTHI INS.,13-JAN-22,     35.70,     33.50,     35.40,     35.50,310,1327755,46496127.1
JINS,N,0000,JANASHAKTHI INS.,18-JAN-22,     35.50,     32.30,     34.00,     35.10,84,175812,6121730.2
JINS,N,0000,JANASHAKTHI INS.,19-JAN-22,     34.00,     33.10,     33.50,     34.00,29,185972,6318296.4
JINS,N,0000,JANASHAKTHI INS.,20-JAN-22,     33.40,     31.70,     32.90,     33.20,40,24956,813759.2
JINS,N,0000,JANASHAKTHI INS.,21-JAN-22,     32.90,     32.00,     32.20,     32.00,26,43030,1384031
JINS,N,0000,JANASHAKTHI INS.,24-JAN-22,     32.90,     31.30,     32.00,     31.70,26,27762,884669.7
JINS,N,0000,JANASHAKTHI INS.,25-JAN-22,     33.00,     31.30,     32.70,     31.40,32,36989,1201651.5
JINS,N,0000,JANASHAKTHI INS.,26-JAN-22,     32.90,     31.20,     31.30,     31.30,22,9485,297330
JINS,N,0000,JANASHAKTHI INS.,27-JAN-22,     31.50,     30.00,     30.20,     30.10,57,81065,2494634.6
JINS,N,0000,JANASHAKTHI INS.,28-JAN-22,     33.00,     29.20,     31.80,     30.00,31,12392,389911.5
JINS,N,0000,JANASHAKTHI INS.,31-JAN-22,     34.00,     31.40,     33.60,     32.00,41,30143,1009612.9
JINS,N,0000,JANASHAKTHI INS.,01-FEB-22,     34.90,     32.00,     34.00,     34.00,91,276697,9400173.8
JINS,N,0000,JANASHAKTHI INS.,02-FEB-22,     34.90,     31.00,     31.20,     34.50,44,115671,3778126
JINS,N,0000,JANASHAKTHI INS.,03-FEB-22,     32.00,     30.60,     31.00,     30.60,27,30795,952632.9
JINS,N,0000,JANASHAKTHI INS.,07-FEB-22,     33.70,     31.00,     31.50,     31.00,12,1714,54006.6
JINS,N,0000,JANASHAKTHI INS.,08-FEB-22,     31.50,     30.00,     30.20,     31.50,37,45240,1361886.3
JINS,N,0000,JANASHAKTHI INS.,09-FEB-22,     31.50,     28.00,     28.40,     31.50,74,151613,4321240.3
JINS,N,0000,JANASHAKTHI INS.,10-FEB-22,     29.80,     28.40,     29.30,     28.40,14,24930,708404.9
JINS,N,0000,JANASHAKTHI INS.,11-FEB-22,     29.80,     28.90,     29.00,     29.80,14,11173,324176.6
JINS,N,0000,JANASHAKTHI INS.,14-FEB-22,     30.00,     28.60,     29.00,     29.00,19,207761,6053389.8
JINS,N,0000,JANASHAKTHI INS.,15-FEB-22,     29.50,     28.70,     28.70,     29.50,3,500,14590
