"DAILY HIGH, LOW AND CLOSING PRICES 2021 (July to September)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
BLUE,N,0000,BLUE DIAMONDS,18-AUG-21,       .80,       .70,       .80,       .80,9,441227,351930.1
BLUE,N,0000,BLUE DIAMONDS,19-AUG-21,       .80,       .70,       .80,       .70,12,236084,167358.8
BLUE,N,0000,BLUE DIAMONDS,20-AUG-21,       .90,       .80,       .80,       .80,24,305485,244685
BLUE,N,0000,BLUE DIAMONDS,23-AUG-21,       .80,       .80,       .80,       .80,11,24607,19685.6
BLUE,N,0000,BLUE DIAMONDS,24-AUG-21,       .90,       .80,       .80,       .90,10,91523,73221.7
BLUE,N,0000,BLUE DIAMONDS,25-AUG-21,       .90,       .80,       .80,       .80,12,85083,69568.7
BLUE,N,0000,BLUE DIAMONDS,26-AUG-21,       .90,       .80,       .90,       .80,11,113893,91314.4
BLUE,N,0000,BLUE DIAMONDS,27-AUG-21,       .90,       .80,       .90,       .80,19,206246,165196.2
BLUE,N,0000,BLUE DIAMONDS,30-AUG-21,       .80,       .80,       .80,       .80,8,4217,3373.6
BLUE,N,0000,BLUE DIAMONDS,31-AUG-21,       .80,       .80,       .80,       .80,10,10097,8077.6
BLUE,N,0000,BLUE DIAMONDS,01-SEP-21,       .80,       .80,       .80,       .80,3,2999,2399.2
BLUE,N,0000,BLUE DIAMONDS,02-SEP-21,       .90,       .80,       .80,       .80,30,447743,360457.2
BLUE,N,0000,BLUE DIAMONDS,03-SEP-21,       .90,       .80,       .80,       .80,17,215116,172093.4
BLUE,N,0000,BLUE DIAMONDS,06-SEP-21,       .90,       .80,       .90,       .80,11,116201,94360.9
BLUE,N,0000,BLUE DIAMONDS,07-SEP-21,       .90,       .80,       .80,       .80,8,40171,32137.8
BLUE,N,0000,BLUE DIAMONDS,08-SEP-21,       .90,       .80,       .80,       .80,9,42943,34354.5
BLUE,N,0000,BLUE DIAMONDS,09-SEP-21,       .90,       .70,       .80,       .80,16,152699,124660.2
BLUE,N,0000,BLUE DIAMONDS,10-SEP-21,       .90,       .80,       .80,       .80,9,14451,11562.8
BLUE,N,0000,BLUE DIAMONDS,13-SEP-21,       .80,       .80,       .80,       .80,12,204838,163870.4
BLUE,N,0000,BLUE DIAMONDS,14-SEP-21,       .90,       .80,       .80,       .80,17,343079,274463.3
BLUE,N,0000,BLUE DIAMONDS,15-SEP-21,       .90,       .70,       .80,       .70,19,112073,90657.6
BLUE,N,0000,BLUE DIAMONDS,16-SEP-21,       .90,       .80,       .80,       .90,12,10511,8701
BLUE,N,0000,BLUE DIAMONDS,17-SEP-21,       .90,       .70,       .70,       .90,24,201756,149293.9
BLUE,N,0000,BLUE DIAMONDS,22-SEP-21,       .90,       .70,       .80,       .70,31,155842,123232
BLUE,N,0000,BLUE DIAMONDS,23-SEP-21,       .80,       .80,       .80,       .80,8,156469,125175.2
BLUE,N,0000,BLUE DIAMONDS,24-SEP-21,       .90,       .70,       .90,       .80,16,65921,52986.7
BLUE,N,0000,BLUE DIAMONDS,27-SEP-21,       .90,       .80,       .80,       .90,27,407092,325882.6
BLUE,N,0000,BLUE DIAMONDS,28-SEP-21,       .80,       .70,       .70,       .80,8,33259,25270.2
BLUE,N,0000,BLUE DIAMONDS,29-SEP-21,       .80,       .70,       .80,       .80,11,204955,163852.9
BLUE,N,0000,BLUE DIAMONDS,30-SEP-21,       .80,       .70,       .80,       .80,6,106950,85160
BLUE,X,0000,BLUE DIAMONDS,01-JUL-21,       .40,       .30,       .40,       .40,4,5044,2017.5
BLUE,X,0000,BLUE DIAMONDS,02-JUL-21,       .40,       .30,       .40,       .40,10,112702,45080.7
BLUE,X,0000,BLUE DIAMONDS,05-JUL-21,       .40,       .40,       .40,       .40,11,258498,103399.2
BLUE,X,0000,BLUE DIAMONDS,06-JUL-21,       .50,       .40,       .40,       .40,12,151701,60860.5
BLUE,X,0000,BLUE DIAMONDS,07-JUL-21,       .50,       .40,       .40,       .50,6,45079,18081.7
BLUE,X,0000,BLUE DIAMONDS,08-JUL-21,       .40,       .40,       .40,       .40,9,24041,9616.4
BLUE,X,0000,BLUE DIAMONDS,09-JUL-21,       .40,       .40,       .40,       .40,2,5000,2000
BLUE,X,0000,BLUE DIAMONDS,12-JUL-21,       .40,       .40,       .40,       .40,2,2000,800
BLUE,X,0000,BLUE DIAMONDS,13-JUL-21,       .40,       .30,       .40,       .30,20,202659,81012.7
BLUE,X,0000,BLUE DIAMONDS,14-JUL-21,       .50,       .40,       .40,       .40,29,1624959,805400.1
BLUE,X,0000,BLUE DIAMONDS,15-JUL-21,       .50,       .40,       .40,       .50,5,4020,1610
BLUE,X,0000,BLUE DIAMONDS,16-JUL-21,       .50,       .40,       .40,       .50,7,28522,11458.9
BLUE,X,0000,BLUE DIAMONDS,19-JUL-21,       .50,       .40,       .40,       .50,15,282122,112938.8
BLUE,X,0000,BLUE DIAMONDS,20-JUL-21,       .50,       .40,       .50,       .40,6,17001,7500.5
BLUE,X,0000,BLUE DIAMONDS,22-JUL-21,       .50,       .40,       .50,       .50,13,51939,22696.9
BLUE,X,0000,BLUE DIAMONDS,27-JUL-21,       .50,       .40,       .40,       .50,12,409945,164178.1
BLUE,X,0000,BLUE DIAMONDS,28-JUL-21,       .40,       .40,       .40,       .40,9,529855,211942
BLUE,X,0000,BLUE DIAMONDS,29-JUL-21,       .40,       .40,       .40,       .40,2,2200,880
BLUE,X,0000,BLUE DIAMONDS,30-JUL-21,       .40,       .40,       .40,       .40,12,308900,123560
