symbol,yahoo_symbol,status_code,bar_count,first_date,last_date,has_2026_rows,invalid_ohlc_rows,latest_close,error
GREG.N0000,GREG-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,39.9375,
GUAR.N0000,GUAR-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,270.0,
HAPU.N0000,HAPU-N0000.CM,200,104,2026-01-02,2026-05-29,True,4,56.79999923706055,
HARI.N0000,HARI-N0000.CM,200,104,2026-01-02,2026-05-29,True,16,5520.25,
HASU.N0000,HASU-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,115.0,
HAYC.N0000,HAYC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,121.0,
HAYL.N0000,HAYL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,236.79244995117188,
HBS.N0000,HBS-N0000.CM,404,0,,,False,0,,HTTP status 404
HDFC.N0000,HDFC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,56.099998474121094,
HELA.N0000,HELA-N0000.CM,404,0,,,False,0,,HTTP status 404
HEXP.N0000,HEXP-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,121.25,
HHL.N0000,HHL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,33.900001525878906,
HNB.N0000,HNB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,451.0461730957031,
HNB.X0000,HNB-X0000.CM,200,104,2026-01-02,2026-05-29,True,1,395.2312927246094,
HNBF.N0000,HNBF-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,9.199999809265137,
HNBF.X0000,HNBF-X0000.CM,200,104,2026-01-02,2026-05-29,True,1,8.899999618530273,
HOPL.N0000,HOPL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,51.29999923706055,
HPFL.N0000,HPFL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,14.399999618530273,
HPL.N0000,HPL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,26.600000381469727,
HPWR.N0000,HPWR-N0000.CM,200,105,2026-01-01,2026-05-29,True,0,10.199999809265137,
HSIG.N0000,HSIG-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,91.80000305175781,
