DAILY HIGH LOW AND CLOSING PRICE OF 02ND JANUARY TO 31ST DECEMBER 2012,,,,,,,,,,
Company Id,:  AAF,Security,Type :  N,Sub Type,:  0000,,,,,
Short Name,:  ASIA ASSET,,,,,,,,,
Day,Date High,High (Rs.),Date Low,Low (Rs.),Closing (Rs.),Trades(No.),Shares(No.),Turnover(Rs.),Last Traded,Days Traded 
2012-10-23 00:00:00,2012-10-23 00:00:00,35,2012-10-23 00:00:00,33.4,34.6,9,8036,277974.6,2012-10-23 00:00:00,1
2012-10-24 00:00:00,2012-10-24 00:00:00,36.5,2012-10-24 00:00:00,34.5,35.8,25,28336,1014105,2012-10-24 00:00:00,1
2012-10-25 00:00:00,2012-10-25 00:00:00,36.5,2012-10-25 00:00:00,34,34,8,2972,101340.4,2012-10-25 00:00:00,1
2012-10-26 00:00:00,2012-10-26 00:00:00,35.9,2012-10-26 00:00:00,34,34,7,1138,38711,2012-10-26 00:00:00,1
2012-10-30 00:00:00,2012-10-30 00:00:00,35,2012-10-30 00:00:00,33.5,33.5,14,7194,241782,2012-10-30 00:00:00,1
2012-10-31 00:00:00,2012-10-31 00:00:00,35,2012-10-31 00:00:00,33.5,33.7,8,928,31256.5,2012-10-31 00:00:00,1
2012-11-01 00:00:00,2012-11-01 00:00:00,34,2012-11-01 00:00:00,33.5,33.8,12,5832,197158,2012-11-01 00:00:00,1
2012-11-02 00:00:00,2012-11-02 00:00:00,34.9,2012-11-02 00:00:00,33.3,34.5,8,3004,103452,2012-11-02 00:00:00,1
2012-11-05 00:00:00,2012-11-05 00:00:00,35.5,2012-11-05 00:00:00,34.5,35,18,22916,802125,2012-11-05 00:00:00,1
2012-11-06 00:00:00,2012-11-06 00:00:00,35,2012-11-06 00:00:00,33.3,35,17,38320,1340680.4,2012-11-06 00:00:00,1
2012-11-07 00:00:00,2012-11-07 00:00:00,35,2012-11-07 00:00:00,35,35,1,10000,350000,2012-11-07 00:00:00,1
2012-11-08 00:00:00,2012-11-08 00:00:00,34.2,2012-11-08 00:00:00,33.6,33.6,6,1200,40793,2012-11-08 00:00:00,1
2012-11-09 00:00:00,2012-11-09 00:00:00,35,2012-11-09 00:00:00,33.6,34.5,9,5450,187901.6,2012-11-09 00:00:00,1
2012-11-12 00:00:00,2012-11-12 00:00:00,35,2012-11-12 00:00:00,33.6,35,14,9148,317292,2012-11-12 00:00:00,1
2012-11-14 00:00:00,2012-11-14 00:00:00,35.8,2012-11-14 00:00:00,35,35,15,6483,227114,2012-11-14 00:00:00,1
2012-11-15 00:00:00,2012-11-15 00:00:00,35.1,2012-11-15 00:00:00,35,35,7,2816,98560.3,2012-11-15 00:00:00,1
2012-11-16 00:00:00,2012-11-16 00:00:00,34.9,2012-11-16 00:00:00,33.3,34.9,4,1061,36047.3,2012-11-16 00:00:00,1
2012-11-19 00:00:00,2012-11-19 00:00:00,35,2012-11-19 00:00:00,34.5,35,19,20400,713480,2012-11-19 00:00:00,1
2012-11-20 00:00:00,2012-11-20 00:00:00,35,2012-11-20 00:00:00,32.1,32.6,26,22591,736460.3,2012-11-20 00:00:00,1
2012-11-21 00:00:00,2012-11-21 00:00:00,34.9,2012-11-21 00:00:00,31.6,31.8,3,600,19260,2012-11-21 00:00:00,1
2012-11-22 00:00:00,2012-11-22 00:00:00,32,2012-11-22 00:00:00,32,32,3,3800,121600,2012-11-22 00:00:00,1
2012-11-23 00:00:00,2012-11-23 00:00:00,34.1,2012-11-23 00:00:00,34,34,17,99924,3402426,2012-11-23 00:00:00,1
2012-11-26 00:00:00,2012-11-26 00:00:00,34.1,2012-11-26 00:00:00,34,34,3,53100,1810400,2012-11-26 00:00:00,1
2012-11-28 00:00:00,2012-11-28 00:00:00,34,2012-11-28 00:00:00,33.9,34,16,90010,3060321,2012-11-28 00:00:00,1
2012-11-29 00:00:00,2012-11-29 00:00:00,34.1,2012-11-29 00:00:00,34,34.1,9,6213,211589.1,2012-11-29 00:00:00,1
2012-11-30 00:00:00,2012-11-30 00:00:00,34.2,2012-11-30 00:00:00,34,34.1,18,24506,834425.1,2012-11-30 00:00:00,1
2012-12-03 00:00:00,2012-12-03 00:00:00,34,2012-12-03 00:00:00,33,33.6,2,3600,120800,2012-12-03 00:00:00,1
2012-12-04 00:00:00,2012-12-04 00:00:00,34.1,2012-12-04 00:00:00,34,34.1,6,15427,525100.7,2012-12-04 00:00:00,1
2012-12-05 00:00:00,2012-12-05 00:00:00,34.1,2012-12-05 00:00:00,34,34.1,5,17900,610190,2012-12-05 00:00:00,1
2012-12-06 00:00:00,2012-12-06 00:00:00,34.5,2012-12-06 00:00:00,34.1,34.5,8,4404,150630,2012-12-06 00:00:00,1
2012-12-07 00:00:00,2012-12-07 00:00:00,34.9,2012-12-07 00:00:00,34.2,34.3,6,4031,138181.9,2012-12-07 00:00:00,1
2012-12-10 00:00:00,2012-12-10 00:00:00,34.2,2012-12-10 00:00:00,34.1,34.1,3,1700,58010,2012-12-10 00:00:00,1
2012-12-11 00:00:00,2012-12-11 00:00:00,34.2,2012-12-11 00:00:00,34.2,34.2,3,2812,96170.4,2012-12-11 00:00:00,1
2012-12-12 00:00:00,2012-12-12 00:00:00,34.6,2012-12-12 00:00:00,34.2,34.5,15,10002,344846.4,2012-12-12 00:00:00,1
2012-12-13 00:00:00,2012-12-13 00:00:00,34.5,2012-12-13 00:00:00,34.2,34.2,7,5495,189546,2012-12-13 00:00:00,1
2012-12-14 00:00:00,2012-12-14 00:00:00,34.5,2012-12-14 00:00:00,34.2,34.5,5,1081,37069.5,2012-12-14 00:00:00,1
2012-12-17 00:00:00,2012-12-17 00:00:00,34.8,2012-12-17 00:00:00,34.2,34.7,12,16290,563506.6,2012-12-17 00:00:00,1
2012-12-18 00:00:00,2012-12-18 00:00:00,34.9,2012-12-18 00:00:00,34.3,34.4,5,4702,161700.4,2012-12-18 00:00:00,1
2012-12-19 00:00:00,2012-12-19 00:00:00,34.2,2012-12-19 00:00:00,34.2,34.2,2,570,19494,2012-12-19 00:00:00,1
2012-12-20 00:00:00,2012-12-20 00:00:00,34.4,2012-12-20 00:00:00,34.3,34.4,4,2002,68858.8,2012-12-20 00:00:00,1
2012-12-21 00:00:00,2012-12-21 00:00:00,34.8,2012-12-21 00:00:00,34.5,34.5,3,1531,52819.8,2012-12-21 00:00:00,1
2012-12-24 00:00:00,2012-12-24 00:00:00,34.4,2012-12-24 00:00:00,34.4,34.4,2,1200,41280,2012-12-24 00:00:00,1
2012-12-26 00:00:00,2012-12-26 00:00:00,35,2012-12-26 00:00:00,34.8,35,7,38276,1339637.5,2012-12-26 00:00:00,1
2012-12-28 00:00:00,2012-12-28 00:00:00,35,2012-12-28 00:00:00,35,35,3,710,24850,2012-12-28 00:00:00,1
2012-12-31 00:00:00,2012-12-31 00:00:00,36,2012-12-31 00:00:00,35,36,8,3410,120904,2012-12-31 00:00:00,1
Company Id,:  ELPL,Security Type :  N,,Sub Type :  0000,,,,,,
Short Name,:  ELPITIYA,,,,,,,,,
Day,Date High,High (Rs.),Date Low,Low (Rs.),Closing (Rs.),Trades(No.),Shares(No.),Turnover(Rs.),Last Traded,Days Traded 
2012-01-02 00:00:00,2012-01-02 00:00:00,25.3,2012-01-02 00:00:00,24.9,25.2,6,3800,95800,2012-01-02 00:00:00,1
2012-01-03 00:00:00,2012-01-03 00:00:00,24.2,2012-01-03 00:00:00,24,24,2,1100,26420,2012-01-03 00:00:00,1
2012-01-04 00:00:00,2012-01-04 00:00:00,24,2012-01-04 00:00:00,23.5,23.5,6,2100,49990,2012-01-04 00:00:00,1
2012-01-05 00:00:00,2012-01-05 00:00:00,23.2,2012-01-05 00:00:00,22.6,22.7,3,1000,22760,2012-01-05 00:00:00,1
2012-01-09 00:00:00,2012-01-09 00:00:00,23.5,2012-01-09 00:00:00,22.7,22.7,2,900,21070,2012-01-09 00:00:00,1
