"DAILY HIGH, LOW AND CLOSING PRICE OF 01ST JANUARY TO 31ST DECEMBER 2016",,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
EAST,N,0,EAST WEST,2016-05-03 00:00:00,16.8,16.5,16.6,6,1800,29890
EAST,N,0,EAST WEST,2016-05-04 00:00:00,17,16.8,16.8,13,10200,172060
EAST,N,0,EAST WEST,2016-05-05 00:00:00,16,15.9,15.9,11,11900,189230
EAST,N,0,EAST WEST,2016-05-06 00:00:00,15.9,15.8,15.8,10,3200,50568
EAST,N,0,EAST WEST,2016-05-09 00:00:00,15.9,15.8,15.8,4,3000,47450
EAST,N,0,EAST WEST,2016-05-10 00:00:00,15.9,15.3,15.5,19,69890,1086080
EAST,N,0,EAST WEST,2016-05-12 00:00:00,15.6,15.5,15.6,5,3650,56875
EAST,N,0,EAST WEST,2016-05-13 00:00:00,17.5,15.5,16.5,18,11482,184779.7
EAST,N,0,EAST WEST,2016-05-16 00:00:00,15.6,15.6,16.5,1,43,670.8
EAST,N,0,EAST WEST,2016-05-17 00:00:00,17.5,16,17,12,5800,96900
EAST,N,0,EAST WEST,2016-05-18 00:00:00,17,16,16,2,501,8017
EAST,N,0,EAST WEST,2016-05-19 00:00:00,15.7,15.7,15.7,1,550,8635
EAST,N,0,EAST WEST,2016-05-20 00:00:00,16,16,16,1,411,6576
EAST,N,0,EAST WEST,2016-05-24 00:00:00,15.9,15.9,15.9,1,7000,111300
EAST,N,0,EAST WEST,2016-05-26 00:00:00,16,16,16,2,4900,78400
EAST,N,0,EAST WEST,2016-05-27 00:00:00,16,16,16,3,10000,160000
EAST,N,0,EAST WEST,2016-05-30 00:00:00,15.5,15.5,15.5,1,100,1550
EAST,N,0,EAST WEST,2016-05-31 00:00:00,15.6,15.6,15.6,1,200,3120
EAST,N,0,EAST WEST,2016-06-02 00:00:00,15.6,15.6,15.6,8,1350,21060
EAST,N,0,EAST WEST,2016-06-03 00:00:00,16.1,15.6,16,5,10945,174917
EAST,N,0,EAST WEST,2016-06-07 00:00:00,16.1,16,16.1,3,8600,138260
EAST,N,0,EAST WEST,2016-06-08 00:00:00,16.4,15.7,16,23,28019,452784
EAST,N,0,EAST WEST,2016-06-10 00:00:00,15.5,15.5,15.5,1,100,1550
EAST,N,0,EAST WEST,2016-06-13 00:00:00,16.4,15.5,16.3,6,3253,53169.2
EAST,N,0,EAST WEST,2016-06-14 00:00:00,15.5,15.1,15.5,2,1800,27380
EAST,N,0,EAST WEST,2016-06-15 00:00:00,15.5,15.5,15.5,2,58173,901681.5
EAST,N,0,EAST WEST,2016-06-16 00:00:00,15.1,15.1,15.1,1,1300,19630
EAST,N,0,EAST WEST,2016-06-20 00:00:00,16,15,15,19,11222,168631
EAST,N,0,EAST WEST,2016-06-22 00:00:00,16,16,15,1,5,80
EAST,N,0,EAST WEST,2016-06-23 00:00:00,15.9,14.9,15,5,11105,170569.5
EAST,N,0,EAST WEST,2016-06-24 00:00:00,14.5,13.8,14.3,3,4100,58690
EAST,N,0,EAST WEST,2016-06-29 00:00:00,13.3,13.1,13.2,10,8000,105371
EAST,N,0,EAST WEST,2016-06-30 00:00:00,14.9,13.1,14.7,8,1600,22594.7
EAST,N,0,EAST WEST,2016-07-01 00:00:00,15.5,13.5,15.2,10,5701,86423.5
EAST,N,0,EAST WEST,2016-07-04 00:00:00,16.2,16.2,16.2,1,6300,102060
EAST,N,0,EAST WEST,2016-07-05 00:00:00,15,15,16.2,1,60,900
EAST,N,0,EAST WEST,2016-07-08 00:00:00,15,15,15,11,15241,228615
EAST,N,0,EAST WEST,2016-07-11 00:00:00,14.6,14.1,14.6,3,5704,83227.2
EAST,N,0,EAST WEST,2016-07-12 00:00:00,17,14.6,15.4,81,195179,2995119.6
EAST,N,0,EAST WEST,2016-07-13 00:00:00,17,16,16.5,18,5001,81167
EAST,N,0,EAST WEST,2016-07-14 00:00:00,17,15.4,15.5,3,121,1875
EAST,N,0,EAST WEST,2016-07-15 00:00:00,16.3,16.3,15.5,1,10,163
EAST,N,0,EAST WEST,2016-07-18 00:00:00,16.3,15.2,15.2,8,1157,17787.1
EAST,N,0,EAST WEST,2016-07-20 00:00:00,16,15,15,26,20885,315040.2
EAST,N,0,EAST WEST,2016-07-21 00:00:00,15,15,15,1,100,1500
EAST,N,0,EAST WEST,2016-07-22 00:00:00,15,14.9,14.9,5,9495,141905.5
EAST,N,0,EAST WEST,2016-07-25 00:00:00,15.9,15.9,14.9,1,10,159
EAST,N,0,EAST WEST,2016-07-26 00:00:00,15.8,15.1,15.1,4,310,4758
EAST,N,0,EAST WEST,2016-07-27 00:00:00,15.5,14.9,14.9,5,2500,37571
EAST,N,0,EAST WEST,2016-07-28 00:00:00,15.9,15,15.7,28,28138,439555.6
EAST,N,0,EAST WEST,2016-07-29 00:00:00,15.9,15.2,15.2,11,2610,40094
EAST,N,0,EAST WEST,2016-08-01 00:00:00,16.4,15.5,15.8,161,572427,9157402
EAST,N,0,EAST WEST,2016-08-02 00:00:00,16,15.6,15.6,7,10012,158207
EAST,N,0,EAST WEST,2016-08-03 00:00:00,16.3,15.7,15.9,24,9130,144161
EAST,N,0,EAST WEST,2016-08-04 00:00:00,16.3,15.5,15.8,35,40760,640686
EAST,N,0,EAST WEST,2016-08-05 00:00:00,16.3,15.5,15.7,7,8510,133613
EAST,N,0,EAST WEST,2016-08-08 00:00:00,16.2,15.5,15.5,7,4150,64460.3
EAST,N,0,EAST WEST,2016-08-09 00:00:00,16.3,15.2,16.2,21,38420,620643.5
EAST,N,0,EAST WEST,2016-08-10 00:00:00,16.1,15.1,15.5,61,191214,2899207.1
EAST,N,0,EAST WEST,2016-08-11 00:00:00,15.6,15.5,15.6,3,235,3656
EAST,N,0,EAST WEST,2016-08-12 00:00:00,15.5,15.5,15.5,1,607,9408.5
EAST,N,0,EAST WEST,2016-08-16 00:00:00,15.3,15,15.1,9,15100,228310
EAST,N,0,EAST WEST,2016-08-18 00:00:00,15.1,15,15,17,30900,466510
EAST,N,0,EAST WEST,2016-08-19 00:00:00,15,14.6,15,11,13800,203220
EAST,N,0,EAST WEST,2016-08-22 00:00:00,15.1,14.6,14.7,24,22420,330478
EAST,N,0,EAST WEST,2016-08-23 00:00:00,15.1,14.6,15,12,13280,197191
EAST,N,0,EAST WEST,2016-08-24 00:00:00,15.4,14,14.6,20,34011,502109.2
EAST,N,0,EAST WEST,2016-08-25 00:00:00,15.9,14.2,14.6,54,21090,317920.3
EAST,N,0,EAST WEST,2016-08-26 00:00:00,14.6,14.1,14.6,3,415,6041.5
EAST,N,0,EAST WEST,2016-08-29 00:00:00,16.8,14.8,15.3,108,22299839,327957463.1
EAST,N,0,EAST WEST,2016-08-30 00:00:00,15.8,14.9,14.9,15,4600,69103
EAST,N,0,EAST WEST,2016-08-31 00:00:00,15.9,14.9,15.4,38,21051,324480.9
EAST,N,0,EAST WEST,2016-09-01 00:00:00,16.3,15.8,16.1,59,20610,331329.9
EAST,N,0,EAST WEST,2016-09-02 00:00:00,15.2,15.2,15.2,1,1100,16720
EAST,N,0,EAST WEST,2016-09-05 00:00:00,15.9,15.3,15.3,13,6131,94224.3
EAST,N,0,EAST WEST,2016-09-06 00:00:00,15.6,15.5,15.5,4,1100,17150
EAST,N,0,EAST WEST,2016-09-07 00:00:00,15.6,15,15,27,87065,1313555
EAST,N,0,EAST WEST,2016-09-08 00:00:00,15.5,14.9,14.9,4,1030,15359
EAST,N,0,EAST WEST,2016-09-09 00:00:00,15.8,15,15.6,16,7090,110523.1
EAST,N,0,EAST WEST,2016-09-13 00:00:00,15.7,15.1,15.1,19,16305,246345.5
EAST,N,0,EAST WEST,2016-09-14 00:00:00,14.9,14.5,14.6,16,34300,502650
EAST,N,0,EAST WEST,2016-09-15 00:00:00,14.9,14.5,14.6,5,2130,30997
EAST,N,0,EAST WEST,2016-09-19 00:00:00,15.1,15.1,14.6,1,10,151
EAST,N,0,EAST WEST,2016-09-20 00:00:00,15.1,14.5,14.5,6,4711,68315.5
EAST,N,0,EAST WEST,2016-09-21 00:00:00,15,15,14.5,1,5,75
EAST,N,0,EAST WEST,2016-09-22 00:00:00,14.6,14.5,14.5,2,2400,34890
EAST,N,0,EAST WEST,2016-09-23 00:00:00,15.8,14.1,15.5,24,18579,283740.2
EAST,N,0,EAST WEST,2016-09-26 00:00:00,15.8,15.8,15.5,3,30,474
EAST,N,0,EAST WEST,2016-09-27 00:00:00,15.5,14.5,15.5,2,11,169.5
EAST,N,0,EAST WEST,2016-09-29 00:00:00,15.7,14.6,15.4,14,2305,35430.5
EAST,N,0,EAST WEST,2016-09-30 00:00:00,15.7,15.7,15.4,1,20,314
EAST,N,0,EAST WEST,2016-10-03 00:00:00,15.5,15.5,15.4,3,14,217
EAST,N,0,EAST WEST,2016-10-04 00:00:00,15.6,14.7,15.2,6,5280,80300
EAST,N,0,EAST WEST,2016-10-05 00:00:00,15.5,15.5,15.2,1,20,310
EAST,N,0,EAST WEST,2016-10-06 00:00:00,14.7,14.7,15.2,1,7,102.9
EAST,N,0,EAST WEST,2016-10-07 00:00:00,15.4,15.4,15.2,1,10,154
EAST,N,0,EAST WEST,2016-10-10 00:00:00,15.4,14.8,14.8,3,212,3138.2
EAST,N,0,EAST WEST,2016-10-11 00:00:00,14.8,14.8,14.8,13,4400,65120
EAST,N,0,EAST WEST,2016-10-12 00:00:00,15.5,14.7,14.7,10,4561,67080.6
EAST,N,0,EAST WEST,2016-10-13 00:00:00,15,14.5,14.5,2,1601,23215
EAST,N,0,EAST WEST,2016-10-14 00:00:00,15,15,14.5,1,30,450
EAST,N,0,EAST WEST,2016-10-17 00:00:00,14.5,14.3,14.4,2,793,11419.9
EAST,N,0,EAST WEST,2016-10-18 00:00:00,15,14.5,14.5,3,601,8715
EAST,N,0,EAST WEST,2016-10-19 00:00:00,14.7,14.5,14.5,3,8210,119047
EAST,N,0,EAST WEST,2016-10-20 00:00:00,15,15,14.5,1,2,30
EAST,N,0,EAST WEST,2016-10-21 00:00:00,15,14.6,14.7,22,83300,1219955
EAST,N,0,EAST WEST,2016-10-24 00:00:00,14.9,14.5,14.9,2,1001,14914.5
EAST,N,0,EAST WEST,2016-10-25 00:00:00,14.9,14.5,14.9,2,150,2215
EAST,N,0,EAST WEST,2016-10-26 00:00:00,14.8,14.6,14.6,2,200,2940
EAST,N,0,EAST WEST,2016-10-27 00:00:00,15,14.4,14.9,16,22019,327548.2
EAST,N,0,EAST WEST,2016-11-01 00:00:00,14.2,14.2,14.2,1,100,1420
EAST,N,0,EAST WEST,2016-11-02 00:00:00,15,14.2,14.2,2,19,277.8
EAST,N,0,EAST WEST,2016-11-03 00:00:00,14.4,14.3,14.3,2,1000,14310
EAST,N,0,EAST WEST,2016-11-04 00:00:00,14.5,13.1,14.3,11,16250,231733.6
EAST,N,0,EAST WEST,2016-11-07 00:00:00,15.4,15.4,14.3,1,10,154
EAST,N,0,EAST WEST,2016-11-08 00:00:00,14.5,13.7,13.8,4,200,2763
EAST,N,0,EAST WEST,2016-11-09 00:00:00,14.5,13.7,13.7,4,5000,69300
EAST,N,0,EAST WEST,2016-11-11 00:00:00,13.7,13.2,13.5,9,12665,171069.5
EAST,N,0,EAST WEST,2016-11-15 00:00:00,14,14,13.5,1,20,280
EAST,N,0,EAST WEST,2016-11-16 00:00:00,14,12.5,13.7,16,12441,168869.6
EAST,N,0,EAST WEST,2016-11-17 00:00:00,13.7,12.8,12.9,3,892,11526.6
EAST,N,0,EAST WEST,2016-11-18 00:00:00,13.8,13.8,12.9,1,10,138
EAST,N,0,EAST WEST,2016-11-21 00:00:00,13,12.7,12.8,7,16232,207906.4
EAST,N,0,EAST WEST,2016-11-22 00:00:00,14.5,13.7,14.1,22,31390,441869.4
