Daily High Low and Closing Share Prices - 2011,,,,,,,,,,
Company Id :  AAIC,,Security Type :  N,,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2011-08-30 00:00:00,2011-08-30 00:00:00,230,2011-08-30 00:00:00,221,223.4,7,2000,445960,2011-08-30 00:00:00,1
2011-09-01 00:00:00,2011-09-01 00:00:00,226,2011-09-01 00:00:00,225,226,3,300,67700,2011-09-01 00:00:00,1
2011-09-02 00:00:00,2011-09-02 00:00:00,230,2011-09-02 00:00:00,227.5,227.8,7,2900,660100,2011-09-02 00:00:00,1
2011-09-05 00:00:00,2011-09-05 00:00:00,230,2011-09-05 00:00:00,227.1,227.1,5,1600,363650,2011-09-05 00:00:00,1
2011-09-06 00:00:00,2011-09-06 00:00:00,227,2011-09-06 00:00:00,217.1,223.7,3,300,67110,2011-09-06 00:00:00,1
2011-09-07 00:00:00,2011-09-07 00:00:00,225,2011-09-07 00:00:00,220,223.7,7,1400,311130,2011-09-07 00:00:00,1
2011-09-08 00:00:00,2011-09-08 00:00:00,230,2011-09-08 00:00:00,221,222.3,8,800,180550,2011-09-08 00:00:00,1
2011-09-09 00:00:00,2011-09-09 00:00:00,227,2011-09-09 00:00:00,221,227,11,1600,354900,2011-09-09 00:00:00,1
2011-09-12 00:00:00,2011-09-12 00:00:00,238,2011-09-12 00:00:00,238,238,1,100,23800,2011-09-12 00:00:00,1
2011-09-13 00:00:00,2011-09-13 00:00:00,245,2011-09-13 00:00:00,223.2,226.2,46,8700,2064500,2011-09-13 00:00:00,1
2011-09-14 00:00:00,2011-09-14 00:00:00,224,2011-09-14 00:00:00,216,216.4,27,4100,902860,2011-09-14 00:00:00,1
2011-09-15 00:00:00,2011-09-15 00:00:00,230,2011-09-15 00:00:00,216.5,220,14,3200,704080,2011-09-15 00:00:00,1
2011-09-16 00:00:00,2011-09-16 00:00:00,239.9,2011-09-16 00:00:00,227.9,230.8,29,8000,1878040,2011-09-16 00:00:00,1
2011-09-20 00:00:00,2011-09-20 00:00:00,225,2011-09-20 00:00:00,220,225,7,1600,355070,2011-09-20 00:00:00,1
2011-09-21 00:00:00,2011-09-21 00:00:00,235,2011-09-21 00:00:00,220,234.1,6,2100,479320,2011-09-21 00:00:00,1
2011-09-22 00:00:00,2011-09-22 00:00:00,257,2011-09-22 00:00:00,230,240.9,290,72900,17837180,2011-09-22 00:00:00,1
2011-09-23 00:00:00,2011-09-23 00:00:00,267.9,2011-09-23 00:00:00,238.1,251.1,193,48700,12373270,2011-09-23 00:00:00,1
2011-09-26 00:00:00,2011-09-26 00:00:00,285,2011-09-26 00:00:00,255,263.4,357,104500,28249880,2011-09-26 00:00:00,1
2011-09-27 00:00:00,2011-09-27 00:00:00,280,2011-09-27 00:00:00,259,260.7,76,19300,5178450,2011-09-27 00:00:00,1
2011-09-28 00:00:00,2011-09-28 00:00:00,279,2011-09-28 00:00:00,240.3,272.3,234,62900,16741400,2011-09-28 00:00:00,1
2011-09-29 00:00:00,2011-09-29 00:00:00,328.9,2011-09-29 00:00:00,265,317.2,646,215100,65749390,2011-09-29 00:00:00,1
2011-09-30 00:00:00,2011-09-30 00:00:00,439,2011-09-30 00:00:00,322,384.1,984,235100,90940700,2011-09-30 00:00:00,1
2011-10-03 00:00:00,2011-10-03 00:00:00,400,2011-10-03 00:00:00,345.7,372.5,148,34900,13339240,2011-10-03 00:00:00,1
2011-10-04 00:00:00,2011-10-04 00:00:00,370,2011-10-04 00:00:00,335.3,335.4,170,30200,10392660,2011-10-04 00:00:00,1
2011-10-05 00:00:00,2011-10-05 00:00:00,320,2011-10-05 00:00:00,302,302.4,106,17000,5208260,2011-10-05 00:00:00,1
2011-10-06 00:00:00,2011-10-06 00:00:00,330,2011-10-06 00:00:00,302,318.8,141,23700,7608020,2011-10-06 00:00:00,1
2011-10-07 00:00:00,2011-10-07 00:00:00,349,2011-10-07 00:00:00,325,336.6,82,14000,4767060,2011-10-07 00:00:00,1
2011-10-10 00:00:00,2011-10-10 00:00:00,348,2011-10-10 00:00:00,312.1,313.6,18,3700,1195310,2011-10-10 00:00:00,1
2011-10-12 00:00:00,2011-10-12 00:00:00,325,2011-10-12 00:00:00,291.1,312,15,3800,1169970,2011-10-12 00:00:00,1
2011-10-13 00:00:00,2011-10-13 00:00:00,330,2011-10-13 00:00:00,300,308.9,73,12900,4115240,2011-10-13 00:00:00,1
2011-10-14 00:00:00,2011-10-14 00:00:00,300.3,2011-10-14 00:00:00,297.9,298.1,14,3300,986410,2011-10-14 00:00:00,1
2011-10-17 00:00:00,2011-10-17 00:00:00,295,2011-10-17 00:00:00,266,270.8,18,3500,998320,2011-10-17 00:00:00,1
2011-10-18 00:00:00,2011-10-18 00:00:00,272,2011-10-18 00:00:00,250,258.9,35,3900,1018050,2011-10-18 00:00:00,1
2011-10-19 00:00:00,2011-10-19 00:00:00,278.9,2011-10-19 00:00:00,250,263.1,19,3700,956810,2011-10-19 00:00:00,1
2011-10-20 00:00:00,2011-10-20 00:00:00,259,2011-10-20 00:00:00,235,236.2,39,9300,2212830,2011-10-20 00:00:00,1
2011-10-21 00:00:00,2011-10-21 00:00:00,265,2011-10-21 00:00:00,235.8,257.3,40,5400,1352850,2011-10-21 00:00:00,1
2011-10-24 00:00:00,2011-10-24 00:00:00,278,2011-10-24 00:00:00,252.7,272.4,24,8600,2333070,2011-10-24 00:00:00,1
2011-10-25 00:00:00,2011-10-25 00:00:00,260,2011-10-25 00:00:00,250,255.8,31,6500,1640430,2011-10-25 00:00:00,1
2011-10-27 00:00:00,2011-10-27 00:00:00,250,2011-10-27 00:00:00,250,250,4,800,200000,2011-10-27 00:00:00,1
2011-10-28 00:00:00,2011-10-28 00:00:00,250,2011-10-28 00:00:00,240,250,9,1700,410780,2011-10-28 00:00:00,1
2011-10-31 00:00:00,2011-10-31 00:00:00,253,2011-10-31 00:00:00,253,253,1,200,50600,2011-10-31 00:00:00,1
2011-11-01 00:00:00,2011-11-01 00:00:00,236.3,2011-11-01 00:00:00,236,236.2,2,200,47230,2011-11-01 00:00:00,1
2011-11-02 00:00:00,2011-11-02 00:00:00,270,2011-11-02 00:00:00,254,261.9,33,9100,2383690,2011-11-02 00:00:00,1
2011-11-03 00:00:00,2011-11-03 00:00:00,265,2011-11-03 00:00:00,250,258.4,10,2100,542630,2011-11-03 00:00:00,1
2011-11-09 00:00:00,2011-11-09 00:00:00,236.7,2011-11-09 00:00:00,236.7,236.7,1,100,23670,2011-11-09 00:00:00,1
2011-11-11 00:00:00,2011-11-11 00:00:00,236.7,2011-11-11 00:00:00,236.1,236.1,4,500,118130,2011-11-11 00:00:00,1
2011-11-14 00:00:00,2011-11-14 00:00:00,244.8,2011-11-14 00:00:00,236.1,244.8,2,200,48090,2011-11-14 00:00:00,1
2011-11-15 00:00:00,2011-11-15 00:00:00,231,2011-11-15 00:00:00,226,226.1,8,1300,295510,2011-11-15 00:00:00,1
2011-11-16 00:00:00,2011-11-16 00:00:00,225.1,2011-11-16 00:00:00,215,215,17,3200,700330,2011-11-16 00:00:00,1
2011-11-17 00:00:00,2011-11-17 00:00:00,239.9,2011-11-17 00:00:00,221.9,223.1,20,3500,806520,2011-11-17 00:00:00,1
2011-11-18 00:00:00,2011-11-18 00:00:00,235,2011-11-18 00:00:00,224,224.8,6,1000,229400,2011-11-18 00:00:00,1
2011-11-21 00:00:00,2011-11-21 00:00:00,227,2011-11-21 00:00:00,220.1,223.6,11,1100,244350,2011-11-21 00:00:00,1
2011-11-22 00:00:00,2011-11-22 00:00:00,220,2011-11-22 00:00:00,215,220,6,1900,414010,2011-11-22 00:00:00,1
2011-11-23 00:00:00,2011-11-23 00:00:00,215,2011-11-23 00:00:00,213.1,213.7,3,300,64120,2011-11-23 00:00:00,1
2011-11-24 00:00:00,2011-11-24 00:00:00,212,2011-11-24 00:00:00,201,203.3,14,3200,661760,2011-11-24 00:00:00,1
2011-11-25 00:00:00,2011-11-25 00:00:00,210,2011-11-25 00:00:00,198,210,8,1000,201250,2011-11-25 00:00:00,1
2011-11-28 00:00:00,2011-11-28 00:00:00,247,2011-11-28 00:00:00,224,236.8,41,13900,3241310,2011-11-28 00:00:00,1
2011-11-29 00:00:00,2011-11-29 00:00:00,248,2011-11-29 00:00:00,211.4,231.2,13,2700,632560,2011-11-29 00:00:00,1
2011-11-30 00:00:00,2011-11-30 00:00:00,233,2011-11-30 00:00:00,230,232,6,2000,463700,2011-11-30 00:00:00,1
2011-12-01 00:00:00,2011-12-01 00:00:00,310,2011-12-01 00:00:00,232,274,76,18700,5052250,2011-12-01 00:00:00,1
2011-12-02 00:00:00,2011-12-02 00:00:00,310,2011-12-02 00:00:00,255,260.2,35,5300,1459290,2011-12-02 00:00:00,1
2011-12-05 00:00:00,2011-12-05 00:00:00,240,2011-12-05 00:00:00,236,238.7,3,300,71600,2011-12-05 00:00:00,1
2011-12-06 00:00:00,2011-12-06 00:00:00,278.9,2011-12-06 00:00:00,241,258.6,14,3800,985770,2011-12-06 00:00:00,1
