Dividend Records - 2012,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY CODE,COMPANY,RATE AND REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2012-05-24 00:00:00, CINV-N-0000, CEYLON INVESTMENT, FIRST AND FINAL DIVIDEND OF RS. 1.25 PER SHARE, 05-JUL-12, 13-JUL-12,75,67.2
2012-05-24 00:00:00, GUAR-N-0000, CEYLON GUARDIAN, FIRST AND FINAL DIVIDEND OF RS. 2.00 PER SHARE, 05-JUL-12, 13-JUL-12,154.4,154
2012-05-24 00:00:00, KOTA-N-0000, KOTAGALA PLANTATIONS, FIRST AND FINAL DIVIDEND OF RS. 2.00 PER SHARE, 28-JUN-12, 09-JUL-12,57.5,57
2012-05-24 00:00:00, ODEL-N-0000, ODEL PLC, FINAL DIVIDEND OF RS. 0.25 PER SHARE, 05-JUN-12, 14-JUN-12,17,16.6
2012-05-24 00:00:00, SIGV-N-0000, SIGIRIYA VILLAGE HOTELS, FIRST AND FINAL DIVIDEND OF RS. 2.00 PER SHARE, 28-JUN-12, 09-JUL-12,68.5,63.5
2012-05-24 00:00:00, TJL-N-0000, TEXTURED JERSEY, FINAL DIVIDEND OF RS. 0.36 PER SHARE, 03-AUG-12, 13-AUG-12,8.2,8
2012-05-25 00:00:00, AHPL-N-0000, ASIAN HOTELS & PROPERTIES, FINAL DIVIDEND OF RS.3.00 PER SHARE, 06-JUN-12, 15-JUN-12,72.1,71
2012-05-25 00:00:00, JKH-N-0000, JOHN KEELLS HOLDINGS, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 06-JUN-12, 15-JUN-12,173.6,177.3
2012-05-25 00:00:00, JKL-N-0000, JOHN KEELLS, FIRST & FINAL DIVIDEND OF RS.4.00 PER SHARE, 06-JUN-12, 15-JUN-12,63.5,59.1
2012-05-25 00:00:00, KHL-N-0000, KEELLS HOTELS, FIRST & FINAL DIVIDEND OF RS.0.30 PER SHARE, 06-JUN-12, 15-JUN-12,11.8,11.5
2012-05-25 00:00:00, LCEY-N-0000, LANKEM CEYLON, FIRST AND FINAL DIVIDEND OF RS. 2.50 PER SHARE, 29-JUN-12, 10-JUL-12,133.1,133.1
2012-05-25 00:00:00, TRAN-N-0000, TRANS ASIA, FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE, 06-JUN-12, 15-JUN-12,56.6,54.9
2012-05-25 00:00:00, TSML-N-0000, TEA SMALLHOLDER, FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE, 06-JUN-12, 15-JUN-12,44.5,49.6
2012-05-28 00:00:00, HHL-N-0000, HEMAS HOLDINGS, FINAL DIVIDEND OF RS.0.25 PER SHARE, 02-JUL-12, 10-JUL-12,22.1,22
2012-05-28 00:00:00, HUNT-N-0000, HUNTERS, FIRST AND FINAL DIVIDEND OF RS. 2.25 PER SHARE (AMENDED), 02-JUL-12, 06-JUL-12,280.4,289.5
2012-05-29 00:00:00, CIND-N-0000, CENTRAL INDUSTRIES, FINAL DIVIDEND OF RS. 3.00 PER SHARE, 30-JUL-12, 08-AUG-12,69.2,64.3
2012-05-29 00:00:00, HSIG-N-0000, HOTEL SIGIRIYA, FINAL DIVIDEND OF RS. 2.50 PER SHARE, 16-JUL-12, 24-JUL-12,75.3,75.1
2012-05-29 00:00:00, STAF-N-0000, DOLPHIN HOTELS, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 16-JUL-12, 24-JUL-12,29.5,30
2012-05-29 00:00:00, UBC-N-0000, UNION BANK, INTERIM DIVIDEND OF RS. 0.15 PER SHARE, 08-JUN-12, 19-JUN-12,12.6,12.7
