Dividend Record 1992,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
APDL,Nt0000,ASSOCIATED PROP.,1992-04-27 00:00:00,1992-05-06 00:00:00,14,INTERIM (TAX FREE),23,20.5
SING,Nt0000,SINGALANKA,1992-04-07 00:00:00,1992-05-08 00:00:00,10,INTERIM,80,78
REG,Nt0000,REGNIS,1992-04-28 00:00:00,1992-05-11 00:00:00,12.5,FINAL DIVIDEND / ACT PAYABLE 50%,54,52.5
SINI,Nt0000,SINGER IND.,1992-04-28 00:00:00,1992-05-11 00:00:00,25,FIRST & FINAL / ACT PAYABLE 50%,55,56
SINS,Nt0000,SINGER SRI LANKA,1992-04-28 00:00:00,1992-05-11 00:00:00,15,FINAL DIVIDEND / ACT PAYABLE 50%,93.25,93
NEH,Nt0000,NUWARA ELIYA,1992-05-04 00:00:00,1992-05-21 00:00:00,25,INTERIM,650,1500
COXY,Nt0000,CEYLON OXYGEN,1992-04-28 00:00:00,1992-05-25 00:00:00,15,FINAL,98,97
EQIT,Nt0000,EQUITY,1992-05-05 00:00:00,1992-05-25 00:00:00,11,FIRST AND FINAL,18.5,16.5
EAST,Nt0000,EAST WEST,1992-05-13 00:00:00,1992-05-26 00:00:00,25,FINAL (TAX FREE),37,37
BUKI,Nt0000,BUKIT DARAH,1992-05-06 00:00:00,1992-05-27 00:00:00,4.37,"1ST INTERIM (3.97% T,F)",520,550
GOOD,Nt0000,GOOD HOPE,1992-05-06 00:00:00,1992-05-27 00:00:00,35.1,1ST INTERIM (27.98% T.F.),535,400
INDO,Nt0000,INDO MALAY,1992-05-07 00:00:00,1992-05-28 00:00:00,14.03,1ST INTERIM (10.87% T.F.),525,525
SHAL,Nt0000,SHALIMAR,1992-05-07 00:00:00,1992-05-28 00:00:00,71.92,1ST INTERIM (45.3% TAX FREE),575,575.5
SELI,Nt0000,SELINSING,1992-05-08 00:00:00,1992-05-29 00:00:00,13.96,1ST INTERIM (9.20% T.F.),550,549.75
RECK,Nt0000,RECKITTS,1992-04-29 00:00:00,1992-06-05 00:00:00,25.7,FINAL,115.5,115
KREA,Nt0000,KOREA CEYLON,1992-06-15 00:00:00,1992-06-24 00:00:00,10,3RD & FINAL (TAX FREE),155,155
TRAN,Nt0000,TRANS ASIA,1992-06-03 00:00:00,1992-06-25 00:00:00,5,2ND INT.,34,33.75
SEYB,Nt0000,SEYLAN BANK,1992-06-19 00:00:00,1992-06-26 00:00:00,12,FIRST & FINAL,75,75
HEXP,Nt0000,HAYLEYS EXPORTS,1992-06-26 00:00:00,1992-06-30 00:00:00,20,FIRST & FINAL  (7.2% T.F.),57,57.25
GUAR,Nt0000,CEYLON GUARDIAN,1992-06-26 00:00:00,1992-07-03 00:00:00,25,FIRST & FINAL (84.61% T.F.),242,220
CINV,Nt0000,CEYLON INV.,1992-06-26 00:00:00,1992-07-03 00:00:00,30,FIRST & FINAL  (91.97% T.F.),240,240
ASPH,Nt0000,INDUSTRIAL ASPH.,1992-06-18 00:00:00,1992-07-06 00:00:00,7.5,FOR S/HOLDERS AS AT 25TH JUNE 1992,65,55
NEST,Nt0000,NESTLE,1992-06-15 00:00:00,1992-07-07 00:00:00,8,FINAL,22.5,22.5
CNF,Nt0000,NUTRITIONAL(D/L),1992-06-18 00:00:00,1992-07-07 00:00:00,40,FINAL,90,85
HPP,Nt0000,HAYL. PHOTOPRINT,1992-07-06 00:00:00,1992-07-08 00:00:00,20,FIRST & FINAL,45.75,46
DIMO,Nt0000,DIMO,1992-07-02 00:00:00,1992-07-10 00:00:00,20,FIRST & FINAL,140,139.5
HAYL,Nt0000,HAYLEYS,1992-07-13 00:00:00,1992-07-15 00:00:00,18,FINAL (T.F.),515,515
UAL,Nt0000,UNION ASSURANCE,1992-07-06 00:00:00,1992-07-16 00:00:00,7.5,FINAL,68,67
CINS,Nt0000,CEYLINCO INS.,1992-06-13 00:00:00,1992-07-20 00:00:00,7.5,FIRST & FINAL,39,42
SAMP,Nt0000,SAMPATH,1992-06-09 00:00:00,1992-07-20 00:00:00,5,FIRST & FINAL,32,33
CSEC,Nt0000,CENTRAL SEC.,1992-07-02 00:00:00,1992-07-24 00:00:00,20,FIRST & FINAL,54,54
CARG,Nt0000,CARGILLS,1992-07-21 00:00:00,1992-07-28 00:00:00,25,FINAL,200,200
CTLD,Nt0000,C T LAND,1992-07-22 00:00:00,1992-07-29 00:00:00,5,FINAL  (T.F.),18,18
MBSL,Nt0000,MERCHANT BANK,1992-07-08 00:00:00,1992-07-30 00:00:00,20,FOR SHAREHOLDERS AS AT 24TH JULY 1992,78,75
UML,Nt0000,UNITED MOTORS,1992-07-06 00:00:00,1992-07-30 00:00:00,11,FINAL,46.75,46
SPEN,Nt0000,AITKEN SPENCE,1992-07-03 00:00:00,1992-07-31 00:00:00,17.5,2ND & FINAL,299.75,300
ASHO,Nt0000,LANKA ASHOK,1992-07-07 00:00:00,1992-07-31 00:00:00,10,INTERIM,150,160
CFIN,Nt0000,CENTRAL FINANCE,1992-07-17 00:00:00,1992-08-07 00:00:00,10,2ND INTERIM (TAX FREE),310,309.75
SHAW,Nt0000,SHAW WALLACE,1992-07-16 00:00:00,1992-08-11 00:00:00,22.5,FINAL (T.F.),130,122
ALLI,Nt0000,ALLIANCE,1992-07-16 00:00:00,1992-08-13 00:00:00,30,FIRST & FINAL,50,53.75
DFCC,Nt0000,DFCC,1992-07-03 00:00:00,1992-08-14 00:00:00,32.5,FINAL,1698,1700
ACME,Nt0000,ACME,1992-07-31 00:00:00,1992-08-26 00:00:00,20,FIRST & FINAL,59,58
ONAL,Nt0000,ON'ALLY,1992-08-03 00:00:00,1992-08-27 00:00:00,9,FINAL (TAX FREE),17,16
CHMX,Nt0000,CHEMANEX,1992-08-04 00:00:00,1992-08-28 00:00:00,8.5,FINAL (2.4% T.F.),48.75,50
CIC,Nt0000,CIC,1992-08-05 00:00:00,1992-08-28 00:00:00,25,FINAL,145,140
TILE,Nt0000,LANKA TILES,1992-07-24 00:00:00,1992-08-28 00:00:00,15,FINAL,72,74
KFP,Nt0000,KEELLS FOOD,1992-08-13 00:00:00,1992-09-07 00:00:00,8,FINAL,40.25,40.25
CLND,Nt0000,COLOMBO LAND,1992-08-14 00:00:00,1992-09-08 00:00:00,25,FINAL (TAX FREE),31,32.5
COMD,Nt0000,COMMERCIAL DEV.,1992-08-07 00:00:00,1992-09-08 00:00:00,13,FINAL (TAX FREE),18.25,17.25
GRAN,Nt0000,GRAIN ELEVATORS,1992-08-24 00:00:00,1992-09-16 00:00:00,18,FIRST INTERIM,86,86
LOLC,Nt0000,LOLC,1992-08-19 00:00:00,1992-09-16 00:00:00,10,2ND & FINAL,145,145
WALK,Nt0000,WALKERS TOURS,1992-08-20 00:00:00,1992-09-17 00:00:00,10,FINAL,60,63
CTC,Nt0000,CEYLON TOBACCO,1992-08-24 00:00:00,1992-09-18 00:00:00,6.5,1ST INTERIM,43,44
JKL,Nt0000,JOHN KEELLS,1992-08-24 00:00:00,1992-09-18 00:00:00,10,FINAL,85,73.5
HINN,Nt0000,HABARANA WALKINN,1992-08-25 00:00:00,1992-09-21 00:00:00,10,FINAL,38,38
BINN,Nt0000,BERUWELA WALKINN,1992-08-25 00:00:00,1992-09-22 00:00:00,5,FINAL,34,35
KDL,Nt0000,P. D.  KEELLS,1992-08-25 00:00:00,1992-09-22 00:00:00,8,FINAL,21.75,22
ARPI,Nt0000,ARPICO,1992-08-27 00:00:00,1992-09-24 00:00:00,35,FIRST & FINAL,80.5,95.25
BATA,Nt0000,BATA,1992-09-04 00:00:00,1992-09-24 00:00:00,7.5,1ST INTERIM,53.25,54
CFIN,Nt0000,CENTRAL FINANCE,1992-08-31 00:00:00,1992-09-25 00:00:00,20,3RD & FINAL (TAX FREE),285,300
UCAR,Nt0000,UNION CARBIDE,1992-08-11 00:00:00,1992-09-28 00:00:00,10,FIRST & FINAL,33,32.25
KINN,Nt0000,KANDY WALK INN,1992-09-01 00:00:00,1992-09-29 00:00:00,10,FINAL,58,58.25
LCEY,Nt0000,LANKEM CEYLON,1992-09-01 00:00:00,1992-09-29 00:00:00,10,FIRST &FINAL,50,50
ABAN,Nt0000,ABANS,1992-08-26 00:00:00,1992-09-30 00:00:00,15,FIRST & FINAL (TAX FREE),134,135
ASHL,Nt0000,AIT. SPEN.HOTEL,1992-09-01 00:00:00,1992-09-30 00:00:00,5,FIRST & FINAL,31,32
JKH,Nt0000,JKH,1992-09-02 00:00:00,1992-09-30 00:00:00,20,FINAL,304.75,307.5
CHOU,Nt0000,CEYLINCO HOUSING,1992-09-02 00:00:00,1992-10-06 00:00:00,10,FIRST & FINAL,15,16.5
PARQ,Nt0000,PARQUET,1992-09-18 00:00:00,1992-10-12 00:00:00,15,FIRST & FINAL,65.25,70.25
GLAX,Nt0000,GLAXO,1992-09-22 00:00:00,1992-10-15 00:00:00,15,FIRST & FINAL,70.25,67
CIND,Nt0000,CENTRAL IND.,1992-09-24 00:00:00,1992-10-20 00:00:00,20,FIRST & FINAL,90,90
HARI,Nt0000,HARISCHANDRA,1992-09-28 00:00:00,1992-10-22 00:00:00,10,FINAL,90,90
EMER,Nt0000,EASTERN MERCHANT,1992-09-30 00:00:00,1992-10-23 00:00:00,30,FIRST & FINAL,15,15.25
PTEX,Nt0000,PUGODA TEXTILES,1992-08-25 00:00:00,1992-10-27 00:00:00,5,FIRST & FINAL,26.25,26.75
BREW,Nt0000,CEYLON BREWERY,1992-10-02 00:00:00,1992-10-28 00:00:00,5,FINAL,200,200
CTEA,Nt0000,TEA SERVICES,1992-09-30 00:00:00,1992-10-28 00:00:00,10,FINAL,197.75,200
GOOD,Nt0000,GOOD HOPE,1992-10-07 00:00:00,1992-10-29 00:00:00,14.9,FINAL,535,400
SHOT,Nt0000,SERENDIB HOTELS,1992-09-03 00:00:00,1992-10-29 00:00:00,15,FIRST & FINAL,70,65
SHAL,Nt0000,SHALIMAR,1992-10-07 00:00:00,1992-10-29 00:00:00,28.08,FINAL,575,575.5
MILL,Nt0000,MILLERS 8/-,1992-10-07 00:00:00,1992-10-30 00:00:00,85,FIRST & FINAL (27.5% TAX FREE),390,350
MORI,Nt0000,MORISONS,1992-10-06 00:00:00,1992-10-30 00:00:00,27,FIRST & FINAL,220,200
SELI,Nt0000,SELINSING,1992-10-02 00:00:00,1992-10-30 00:00:00,41.04,FINAL,550,549.75
RICH,Nt0000,RICHARD PIERIS,1992-10-01 00:00:00,1992-11-02 00:00:00,25,FIRST & FINAL (TAX FREE),207.5,207.75
BUKI,Nt0000,BUKIT DARAH,1992-10-05 00:00:00,1992-11-03 00:00:00,20.63,FINAL,520,550
INDO,Nt0000,INDO MALAY,1992-10-05 00:00:00,1992-11-03 00:00:00,35.97,FINAL,525,525
PDL,Nt0000,PDL,1992-10-05 00:00:00,1992-11-03 00:00:00,11,FINAL,17.75,17.5
ASHO,Nt0000,LANKA ASHOK,1992-10-26 00:00:00,1992-11-05 00:00:00,10,FINAL,102,96
CABO,Nt0000,CARGO BOAT,1992-10-16 00:00:00,1992-11-06 00:00:00,10,FINAL (TAX FREE),108,100
COLO,Nt0000,COLONIAL MTR 5/-,1992-10-23 00:00:00,1992-11-20 00:00:00,20,FIRST & FINAL,210,210
GEST,Nt0000,GESTETNER,1992-10-21 00:00:00,1992-11-23 00:00:00,12,1ST & FINAL,54,54
JFIN,Nt0000,JAMES FINLAY,1992-10-28 00:00:00,1992-11-23 00:00:00,12.5,INTERIM,,70
ACL,Nt0000,ACL,1992-10-26 00:00:00,1992-11-24 00:00:00,25,FIRST & FINAL,225,220
PURE,Nt0000,COCA-COLA,1992-10-29 00:00:00,1992-11-24 00:00:00,10.55,FINAL,77,77.5
CARS,Nt0000,CARSONS,1992-10-29 00:00:00,1992-11-25 00:00:00,22.5,FIRST & FINAL,475,475
KREA,Nt0000,KOREA CEYLON,1992-11-04 00:00:00,1992-11-27 00:00:00,10,FIRST INTERIM (TAX FREE),120,120
LDEV,Nt0000,LANKEM DEV.,1992-10-23 00:00:00,1992-11-27 00:00:00,15,FINAL,50,45
CHOT,Nt0000,HOTELS CORP. 2/-,1992-10-21 00:00:00,1992-11-30 00:00:00,25,FINAL,50,55
MLL,Nt0000,MLL,1992-11-05 00:00:00,1992-11-30 00:00:00,15,FIRST & FINAL,30,30
HUNT,Nt0000,HUNTERS 1/-,1992-11-02 00:00:00,1992-12-02 00:00:00,30,FIRST & FINAL,24,25
AMW,Nt0000,AMW,1992-11-06 00:00:00,1992-12-04 00:00:00,25,FIRST & FINAL,145.25,147.75
CFI,Nt0000,CFI,1992-06-30 00:00:00,1992-12-04 00:00:00,9,FOR S/HOLDERS AT 29.6.92,24.75,24
CIT,Nt0000,CIT,1992-06-30 00:00:00,1992-12-04 00:00:00,9,FOR S/HOLDERS AT 29TH JUNE 1992,27.25,22.5
CTEX,Nt0000,CEYLON TEXTILES,1992-11-04 00:00:00,1992-12-07 00:00:00,10,FINAL,,
MILL,Nt0000,MILLERS 8/-,1992-11-18 00:00:00,1992-12-11 00:00:00,30,INTERIM (15% TAX FREE),350,199.5
YORK,Nt0000,YORK ARCADE,1992-11-06 00:00:00,1992-12-11 00:00:00,3,FINAL,8.75,8.75
AEC,Nt0000,AEC 8/-,1992-11-04 00:00:00,1992-12-15 00:00:00,20,FIRST & FINAL,70,63
ONAL,Nt0000,ON'ALLY,1992-11-24 00:00:00,1992-12-16 00:00:00,4,INTERIM,12,11
CPRT,Nt0000,CEYLON PRINTERS,1992-11-25 00:00:00,1992-12-17 00:00:00,20,FINAL,150.5,150
KZOO,Nt0000,KALAMAZOO,1992-11-25 00:00:00,1992-12-17 00:00:00,40,FINAL,186,415
PARA,Nt0000,PARAGON,1992-11-25 00:00:00,1992-12-17 00:00:00,10,FINAL,83,71
LINV,Nt0000,LAKE HOUSE INV.,1992-12-11 00:00:00,1992-12-22 00:00:00,5,FINAL,62.5,59.5
CFT,Nt0000,CFT,1992-12-01 00:00:00,1992-12-23 00:00:00,30,FIRST & FINAL,55,45
CTLD,Nt0000,C T LAND,1992-12-04 00:00:00,1992-12-30 00:00:00,5,INTERIM,15,15.25
CTHR,Nt0000,CEY THEATRES 8/-,1992-12-04 00:00:00,1992-12-30 00:00:00,50,FIRST & FINAL,350,350
COMB,Nt0000,COMMERCIAL BANK,1992-12-04 00:00:00,1992-12-30 00:00:00,12,FOR S/HOLDERS AS AT 22ND DECEMBER 1992,223,223
PHAR,Nt0000,COL PHARMACY 5/-,1992-12-23 00:00:00,1992-12-31 00:00:00,50,1 ST AND FINAL,440,1226
ASPH,Nt0000,INDUSTRIAL ASPH.,1992-12-22 00:00:00,1992-12-31 00:00:00,10,2ND AND FINAL,55,40
