Market Capitalisation of Listed Companies as at 30th December 2009,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
EAST,EAST WEST,2009-12-30 00:00:00,34560000,8.25,285120000
CHOU,CITY HOUSING,2009-12-30 00:00:00,13379850,21.25,284321812.5
HEXP,HAYLEYS EXPORTS,2009-12-30 00:00:00,8000000,35.25,282000000
CRL,CAPITAL REACH,2009-12-30 00:00:00,20064617,13.75,275888483.75
HUNA,HUNAS FALLS,2009-12-30 00:00:00,5625000,48.5,272812500
DPL,DANKOTUWA PORCEL,2009-12-30 00:00:00,24081914,11.25,270921532.5
TESS,TESS AGRO,2009-12-30 00:00:00,180000000,1.5,270000000
SIGV,SIGIRIYA VILLAGE,2009-12-30 00:00:00,6900000,39,269100000
MSL,MERC. SHIPPING,2009-12-30 00:00:00,2492482,101,251740682
UCAR,UNION CHEMICALS,2009-12-23 00:00:00,1500000,155.75,233625000
TAFL,THREE ACRE FARMS,2009-12-30 00:00:00,23545000,9.25,217791250
ACME,ACME,2009-12-30 00:00:00,13416480,16,214663680
SEMB,SEYLAN MERCHANT,2009-12-30 00:00:00,44503120,4.8,213614976
ABAN,ABANS,2009-12-30 00:00:00,2129400,100,212940000
EMER,EASTERN MERCHANT,2009-12-30 00:00:00,1677800,126.25,211822250
IDL,INFRASTRUCTURE,2004-09-13 00:00:00,4857487,41.5,201585710.5
ARPI,ARPICO,2009-12-30 00:00:00,4462500,45,200812500
CIT,CIT,2009-12-30 00:00:00,5500000,35,192500000
KDL,KELSEY,2009-12-30 00:00:00,17429274,11,191722014
LPRT,LAKE HOUSE PRIN.,2009-12-11 00:00:00,2937245,61.75,181374878.75
SLND,SERENDIB LAND,2009-12-29 00:00:00,360000,500,180000000
CFI,CFI,2009-12-30 00:00:00,5000000,35.25,176250000
ECL,E - CHANNELLING,2009-12-30 00:00:00,17447345,9.75,170111613.75
MIRA,MIRAMAR,2009-12-17 00:00:00,2750000,58,159500000
ALUF,ALUFAB,2009-12-30 00:00:00,4019400,36.75,147712950
MULL,MULLERS,2009-12-30 00:00:00,141571714,1,141571714
YORK,YORK ARCADE,2009-12-30 00:00:00,12000000,11.75,141000000
PARQ,PARQUET,2009-12-30 00:00:00,10948800,12.5,136860000
LITE,LAXAPANA,2009-12-30 00:00:00,27000000,4.8,129600000
BLUE,BLUE DIAMONDS,2009-12-30 00:00:00,59033947,2,118067894
GEST,GESTETNER,2009-12-22 00:00:00,2278125,47.25,107641406.25
HUEJ,HUEJAY,2009-12-30 00:00:00,1800000,59.75,107550000
SING,SINGALANKA,2009-11-16 00:00:00,1385207,75,103890525
ASPH,INDUSTRIAL ASPH.,2009-12-17 00:00:00,666562,135,89985870
LDEV,LANKEM DEV.,2009-12-30 00:00:00,6900000,11.5,79350000
RGEM,RADIANT GEMS,2009-12-30 00:00:00,2400000,27,64800000
BINN,BERUWELA WALKINN,2009-12-21 00:00:00,900000,62.5,56250000
VANI,VANIK INCORP LTD,2008-10-03 00:00:00,65481650,0.8,52385320
KZOO,KALAMAZOO,2009-12-23 00:00:00,50000,850,42500000
PARA,PARAGON,2009-12-21 00:00:00,100028,220,22006160
FERN,FERNTEA LTD,2008-12-16 00:00:00,6000000,3.5,21000000
OFEQ,OFFICE EQUIPMENT,2009-06-09 00:00:00,83356,80.25,6689319
CPRT,CEYLON PRINTERS,2009-08-24 00:00:00,35010,62,2170620
