Sector Trading Statistics Monthly 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Oil Palms,167,17572,18569924,5,5,410,115969,108476898,5,5,266,13207,12797155,5,5,224,24352,21938954,5,5,425,27582,24758197,5,5,328,46532,37818157,5,5,330,142662,107948811,5,5,501,35456,29772881,5,5,501,116688,93859757,5,5,198,7618,6874771,5,5,177,23121,27584799,5,5,233,152252,105094287,5,5
Stores & Supplies,674,95496,58035171,4,4,859,104098,57602135,4,4,547,36273,21941385,4,4,303,19180,11291099,4,4,671,29630,11654731,4,4,1246,43797,20487220,4,4,361,10554,5696602,4,4,606,26063,10867835,4,4,1167,74279,38095930,4,4,402,14428,8383257,4,4,286,12803,5517806,4,4,280,7076,3011765,4,4
Services,499,3324844,31141962,7,6,538,1167163,11375240,7,6,408,594770,7073277,7,7,866,3353699,20493189,7,6,580,1958348,14712089,7,6,980,2545104,17676991,7,6,713,1121549,9938948,7,7,1232,1878830,19955912,7,7,3984,12555640,123871357,8,8,913,1600850,17968838,8,8,639,541482,7107436,8,8,876,1598307,12830228,8,8
Trading,4793,25966810,191371611,8,7,4358,22114082,193833237,8,7,2248,5741680,122352247,8,8,1704,4949810,64720045,8,8,2663,9470272,79254868,8,7,3673,19303770,91037193,8,8,1520,4374982,34048222,8,8,3814,15581799,86023010,8,8,7911,43554644,308297578,8,8,2172,6903486,47361009,8,7,1251,3439687,30803214,8,8,1549,5174946,40315110,8,8
Plantation,4073,5406093,114131478,18,18,3566,4227037,70561935,18,18,4283,5390834,132063983,18,18,2731,4020154,77205786,18,18,3477,4378864,90103434,18,18,4573,26298488,400136140,18,18,2632,3684335,50727088,18,18,3783,7578353,60396829,18,18,14451,27809806,431502325,18,18,5532,9288097,210751327,18,18,4435,7058078,91193093,18,18,3400,5158838,86545381,18,18
Diversified,14818,86441493,3615158049,16,16,18147,174363814,10450361607,16,16,13489,174301160,22417932925,16,16,7243,31874732,1784360224,16,16,11023,49012549,2548760282,17,17,14315,147990693,9753914798,18,18,9604,106465431,1848585545,18,18,14684,158012493,6182384184,18,18,36089,300656048,7969276158,18,18,13524,70723099,3459406750,18,17,10878,420607503,5390007569,18,18,6601,58790400,3016182541,18,18
Power & Energy,5765,32518659,214771640,7,7,9004,49223070,305879688,7,7,4514,30724466,225604646,7,7,3691,17451873,98806340,8,8,6093,38022412,206743071,8,8,6110,38352924,168825316,8,8,9180,54686980,272866388,8,8,7559,43272725,204776990,8,8,17220,95604017,745127121,8,8,5854,28984914,322579428,8,8,4236,24239621,157503442,8,8,3314,10078241,76152418,8,8
Healthcare,2747,8875413,141052752,6,6,3437,16210464,190425364,6,6,1425,6581421,51598017,6,6,1041,3442158,42791137,6,6,1977,17653282,156128479,6,6,2905,6015463,86846110,6,6,1269,2559682,23919831,6,6,3311,90571067,1318763479,6,6,9473,165588320,2018427670,6,6,3580,22181177,338782959,6,6,1319,11781269,143714878,6,6,1182,54254680,2287250270,6,6
Information Technology,3557,12408600,127214700,2,2,10265,43584569,427196650,2,2,3592,11682601,100327187,2,2,2197,23462810,150418837,2,2,2939,23928949,180618083,2,2,5322,28762171,184181736,2,2,2308,9367940,50492518,2,2,2195,18795866,103075589,2,2,13185,107779919,639770002,2,2,2889,18038422,114601061,2,2,1485,9652079,52790862,2,2,1335,7829267,41313125,2,2
Telecommunication,1418,7657154,62294207,2,2,1373,9221312,72412284,2,2,858,5740111,52686114,2,2,905,7419701,57040070,2,2,1608,19469673,126251857,2,2,1473,37164909,237650187,2,2,656,20343051,128816289,2,2,987,11711715,77331771,2,2,4211,65663568,526212949,2,2,1312,26783261,245277457,2,2,933,2390945,26692044,2,2,936,44972271,381350889,2,2
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
