,,,,DIVIDEND ANNOUNCEMENTS 2023 (JANUARY TO DECEMBER),,,,
2023-05-19 00:00:00, ELPL-N-0000, ELPITIYA,19, Interim Dividend for the year 2022/2023, 30-MAY-23, 19-JUN-23,98.3,76.3
2023-05-19 00:00:00, KFP-N-0000, KEELLS FOOD,0.5, Final dividend Financial year: 2022/2023, 30-MAY-23, 19-JUN-23,160,160
2023-05-19 00:00:00, LION-N-0000, LION  BREWERY,28.3, Second interim Financial year 2022/23, 30-MAY-23, 19-JUN-23,700,685
2023-05-22 00:00:00, BOPL-N-0000, BOGAWANTALAWA,1.5, INTERIM DIVIDEND FOR THE YEAR EDNDED 31/03/2023, 31-MAY-23, 20-JUN-23,47.5,44.8
2023-05-22 00:00:00, HOPL-N-0000, HORANA,1, Final Dividend for the FY 2022/23, 04-JUL-23, 18-JUL-23,45.1,46.2
2023-05-23 00:00:00, JKH-N-0000, JKH,0.5, Final dividend - Financial year2022/23, 01-JUN-23, 21-JUN-23,136,138
2023-05-24 00:00:00, CHMX-N-0000, CHEMANEX,2.5, Final dividend for the FY 31/03/2023, 04-JUL-23, 24-JUL-23,74.4,73
2023-05-24 00:00:00, HHL-N-0000, HEMAS HOLDINGS,1.95, Final Dividend for FY 22/23, 04-JUL-23, 24-JUL-23,69.6,73.7
2023-05-25 00:00:00, JINS-N-0000, JANASHAKTHI INS.,2.65, Final dividend Financial year-2022, 01-JUN-23, 21-JUN-23,25.9,24
2023-05-25 00:00:00, CIC-N-0000, CIC,2.5, Final Dividend for the Financial year ended 31st March 2023, 04-JUL-23, 24-JUL-23,67.2,66.3
2023-05-25 00:00:00, CIC-X-0000, CIC,2.5, Final Dividend for the Financial year ended 31st March 2023, 04-JUL-23, 24-JUL-23,55.1,54.1
2023-05-25 00:00:00, SUN-N-0000, SUNSHINE HOLDING,1.15, Final dividend Financial year-Financial year ended 31st March 2023, 26-JUN-23, 19-JUL-23,45.2,44.2
2023-05-26 00:00:00, PLR-N-0000, PRIMERESIDENCIES,1, 1st Interim Dividend for FY 22/23, 06-JUN-23, 26-JUN-23,7.3,8.1
2023-05-26 00:00:00, SIL-N-0000, SAMSON INTERNAT.,2, Final dividend for FY ended 31st March 2023, 06-JUN-23, 26-JUN-23,210,210
2023-05-26 00:00:00, ASHO-N-0000, LANKA ASHOK,5, First and Final dividend for FY 2022/23, 14-AUG-23, 04-SEP-23,748.75,733.25
2023-05-26 00:00:00, CIND-N-0000, CENTRAL IND.,3, Final Dividend for FY 22/23, 04-JUL-23, 24-JUL-23,92.4,98.4
2023-05-29 00:00:00, HARI-N-0000, HARISCHANDRA,20, 1st Interim Dividend for FY 22/23, 07-JUN-23, 27-JUN-23,4000,4000
2023-05-29 00:00:00, SPEN-N-0000, AITKEN SPENCE,4, First and Final dividend Financial year ended 31st March 2023, 04-JUL-23, 24-JUL-23,122.5,121.75
2023-05-30 00:00:00, LWL-N-0000, LANKA WALLTILE,0.9, Final Dividend for the FY 2022/23, 04-JUL-23, 24-JUL-23,48.3,51
2023-05-30 00:00:00, PARQ-N-0000, SWISSTEK,0.2, Final Dividend for the FY 2022/23, 04-JUL-23, 24-JUL-23,16.5,17.9
2023-05-30 00:00:00, TILE-N-0000, LANKA TILES,1.1, Final Dividend for the FY 2022/23, 04-JUL-23, 24-JUL-23,47.4,50.2
2023-05-31 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.35, Second interim for FY ended 31st March 2023, 09-JUN-23, 04-JUL-23,4.3,4
2023-05-31 00:00:00, CARE-N-0000, PRINTCARE PLC,3.5, Second interim for FY ended 31st March 2023, 09-JUN-23, 04-JUL-23,48.1,45.6
2023-06-01 00:00:00, DIMO-N-0000, DIMO,10, First & final for FY 2022/23, 12-JUN-23, 04-JUL-23,452.75,455.5
2023-06-02 00:00:00, CFIN-N-0000, CENTRAL FINANCE,1.75, Final dividend for FY 31st March 2023, 04-JUL-23, 11-JUL-23,74.3,80.3
2023-06-05 00:00:00, LFIN-N-0000, LB FINANCE,3, Final dividend Financial year31st March 2023, 04-JUL-23, 24-JUL-23,58.4,61.3
2023-06-05 00:00:00, RCL-N-0000, ROYAL CERAMIC,0.5, Final dividend Financial year31.03.2023, 04-JUL-23, 24-JUL-23,30,31.9
2023-06-06 00:00:00, CDB-N-0000, CDB,5, First and Final dividend Financial year2022/23, 03-AUG-23, 21-AUG-23,189.5,188.75
2023-06-06 00:00:00, CDB-X-0000, CDB,5, First and Final dividend Financial year2022/23, 03-AUG-23, 21-AUG-23,85,82
2023-06-08 00:00:00, JAT-N-0000, JAT HOLDINGS,0.49, Final dividend Financial year2022/23, 19-JUN-23, 11-JUL-23,15,14.7
2023-06-09 00:00:00, LIOC-N-0000, LANKA IOC,4, First and Final dividend Financial year2022/23, 04-JUL-23, 24-JUL-23,130,134.25
2023-06-13 00:00:00, BREW-N-0000, CEYLON BEVERAGE,28.84, First interim Financial year2023/24, 22-JUN-23, 14-JUL-23,1152.5,1295.25
2023-06-16 00:00:00, CWM-N-0000, C.W.MACKIE,12, First and final dividend for the FY 31 March 2023, 28-JUL-23, 18-AUG-23,114.75,97.2
2023-06-16 00:00:00, DIST-N-0000, DISTILLERIES,1.75, 4th Interim Dividend for the FY 2022/2023, 27-JUN-23, 20-JUL-23,22.8,20.8
2023-06-16 00:00:00, MELS-N-0000, MELSTACORP,2.71, Interim dividend for FY 2022/23, 27-JUN-23, 20-JUL-23,59.6,57
2023-06-20 00:00:00, RICH-N-0000, RICHARD PIERIS,0.5, Interim Dividend for FY 2023/2024, 04-JUL-23, 24-JUL-23,20.1,21.5
2023-06-28 00:00:00, HBS-N-0000, hSENID BIZ,0.35, Final Dividend for year ended 31st March 2023, 18-AUG-23, 08-SEP-23,12.5,12.1
2023-07-04 00:00:00, CARS-N-0000, CARSONS,2.1, First interim - FY 23/24, 13-JUL-23, 03-AUG-23,280,282.25
2023-07-17 00:00:00, BFL-N-0000, BAIRAHA FARMS,4, Final Dividend - FY 22/23, 26-JUL-23, 16-AUG-23,157.5,154.25
2023-07-19 00:00:00, EXPO-N-0000, EXPOLANKA,3.48, First interim Financial year31st March 2024, 28-JUL-23, 18-AUG-23,143.25,139.75
2023-07-21 00:00:00, CTBL-N-0000, CEYLON TEA BRKRS,0.68, First and Final dividend Financial year - Financial year ended 31st March 2023, 02-AUG-23, 22-AUG-23,5.9,5.3
2023-07-25 00:00:00, PLC-N-0000, PEOPLES LEASING,0.7, Interim Dividend for the Financial Year 2023/24, 04-AUG-23, 24-AUG-23,11.8,11.2
2023-07-26 00:00:00, SFCL-N-0000, SENKADAGALA,0.65, Final dividend Financial year31st March 2023, 16-AUG-23, 06-SEP-23,420.75,420.75
2023-07-26 00:00:00, SWAD-N-0000, SWADESHI,1.5, Final dividend Financial year2022/2023, 11-SEP-23, 03-OCT-23,15003.5,15003.5
2023-07-27 00:00:00, SOY-N-0000, CONVENIENCE FOOD,4.7, Final dividend Financial year-Year ended 31st March 2023, 12-SEP-23, 27-SEP-23,987,987
2023-07-27 00:00:00, TJL-N-0000, TEEJAY LANKA,0.75, Final dividend Financial year31st March 2023, 21-AUG-23, 11-SEP-23,34,34.8
2023-07-28 00:00:00, APLA-N-0000, ACL PLASTICS,15, First interim For FY 22/23, 09-AUG-23, 29-AUG-23,417,399.25
2023-07-28 00:00:00, KCAB-N-0000, KELANI CABLES,6.5, First interim For FY 22/23, 09-AUG-23, 29-AUG-23,306.75,298.75
2023-07-31 00:00:00, LLUB-N-0000, CHEVRON,2, First interim Financial year31.12.2023, 10-AUG-23, 29-AUG-23,92.9,91.4
2023-07-31 00:00:00, MCPL-N-0000, MAHAWELI COCONUT,1.5, Final dividend for FY 22/23, 02-OCT-23, 18-OCT-23, , 
2023-08-02 00:00:00, ACL-N-0000, ACL,1.25, First interim For FY 22/23, 11-AUG-23, 01-SEP-23,76.5,76.5
2023-08-02 00:00:00, BRR-N-0000, BANSEI RESORTS,0.2, First and Final dividend for FY 22/23, 24-AUG-23, 13-SEP-23,12,12.9
2023-08-02 00:00:00, HPL-N-0000, HATTON,1, First interim for FY 23/24, 11-AUG-23, 01-SEP-23,28.6,26.9
2023-08-04 00:00:00, HPFL-N-0000, LOTUS HYDRO,1.4, First interim For FY 23/24, 15-AUG-23, 05-SEP-23,12.1,10
2023-08-09 00:00:00, COCR-N-0000, COM.CREDIT,1, Final dividend For FY 22/23, 31-AUG-23, 07-SEP-23,36.4,35.1
2023-08-10 00:00:00, CTC-N-0000, CEYLON TOBACCO,33, Second interim Financial year2023, 21-AUG-23, 11-SEP-23,998.5,972
2023-08-10 00:00:00, GRAN-N-0000, GRAIN ELEVATORS,6, First interim Financial year2023, 21-AUG-23, 11-SEP-23,139.25,136.75
2023-08-10 00:00:00, TAFL-N-0000, THREE ACRE FARMS,12, First interim Financial year2023, 21-AUG-23, 11-SEP-23,217.5,208.75
2023-08-15 00:00:00, BUKI-N-0000, BUKIT DARAH,1.8, First interim for FY 2023/2024, 24-AUG-23, 14-SEP-23,403.25,400
2023-08-15 00:00:00, LUMX-N-0000, LUMINEX,0.25, Final dividend Financial year2022/2023, 27-SEP-23, 19-OCT-23, , 
2023-08-17 00:00:00, HUNT-N-0000, HUNTERS,5, Final dividend for FY 22/23, 02-OCT-23, 20-OCT-23,720,720
2023-08-24 00:00:00, CALT-N-0000, CALT,3.04, First and Final for FY 2022/23, 21-SEP-23, 13-OCT-23, , 
2023-08-29 00:00:00, CABO-N-0000, CARGO BOAT,1, Final dividend Financial year2022/2023, 27-SEP-23, 19-OCT-23,53.5,53.5
2023-08-29 00:00:00, LPRT-N-0000, LAKE HOUSE PRIN.,5, First and Final dividend for FY 2022/23, 02-OCT-23, 20-OCT-23,218,218
2023-08-29 00:00:00, RCH-N-0000, RENUKA HOTELS,0.5, Final dividend Financial year2022/2023, 27-SEP-23, 19-OCT-23, , 
2023-08-29 00:00:00, RENU-N-0000, RENUKA CITY HOT.,2, Final dividend Financial year2022/2023, 27-SEP-23, 19-OCT-23,370.25,380
2023-08-29 00:00:00, SHAW-N-0000, LEE HEDGES,1, Final dividend Financial year31.03.2023, 02-OCT-23, 20-OCT-23,82,82
2023-08-31 00:00:00, ABAN-N-0000, ABANS,5, First and Final dividend Financial year2022/2023, 25-SEP-23, 17-OCT-23,157.75,156.25
2023-08-31 00:00:00, RWSL-N-0000, RAIGAM SALTERNS,0.2, Final dividend Financial yearMarch 31, 02-OCT-23, 20-OCT-23,7.5,7.4
2023-08-31 00:00:00, SLND-N-0000, SERENDIB LAND,25, First and Final dividend Financial year 31st March 2023, 21-SEP-23, 13-OCT-23,1434,1434
2023-09-01 00:00:00, ALLI-N-0000, ALLIANCE,5, First and Final dividend for FY 2022/23, 27-SEP-23, 19-OCT-23,90.7,86.9
2023-09-01 00:00:00, CFLB-N-0000, FORT LAND,0.25, FIRST AND FINAL FOR THE YEAR ENDED 31st MARCH, 02-OCT-23, 20-OCT-23,31.1,31.2
2023-09-01 00:00:00, CTEA-N-0000, DILMAH CEYLON,15, Final dividend for FY 2022/23, 02-OCT-23, 20-OCT-23,1025,1025
2023-09-01 00:00:00, LCEY-N-0000, LANKEM CEYLON,10, First and Final dividend for FY 2022/23, 26-SEP-23, 18-OCT-23,89.1,79.8
2023-09-26 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,1, First interim Financial year2023/2024, 09-OCT-23, 23-OCT-23,32.3,30.7
2023-09-26 00:00:00, GREG-N-0000, AMBEON HOLDINGS,1.7, INTERIM DIVIDEND FOR THE YEAR 2023/2024, 09-OCT-23, 27-OCT-23,35.9,35.2
2023-09-26 00:00:00, MGT-N-0000, HAYLEYS FABRIC,1.75, First interim Financial year2023/24, 09-OCT-23, 20-OCT-23,47.5,45.5
2023-09-27 00:00:00, HAYC-N-0000, HAYCARB,2, First interim Dividend for FY 2023/24, 10-OCT-23, 20-OCT-23,66.8,66.4
2023-09-27 00:00:00, KVAL-N-0000, KELANI VALLEY,1, First interim for FY 2023./2024, 10-OCT-23, 23-OCT-23,76.4,76
2023-09-27 00:00:00, TPL-N-0000, TALAWAKELLE,3.5, First interim for FY 2023/2024, 10-OCT-23, 20-OCT-23,118.75,115.25
2023-10-05 00:00:00, AAF-P-0000, ASIA ASSET,0.7, Dividend to the Convertible Irredeemable Five (05) Year Preference Shares of the Face Value of Rs.10/- Share at a Fixed â€“ Non Cumulative Dividend of 0.70 Cents for Financial Year 2022/23, 16-OCT-23, 03-NOV-23,12.5,12.2
2023-10-11 00:00:00, FCT-N-0000, FC TREASURIES,10, First interim Financial year2023/2024, 20-OCT-23, 09-NOV-23, , 
2023-10-13 00:00:00, UCAR-N-0000, UNION CHEMICALS,18, First interim for FY ending 25/12/23, 24-OCT-23, 09-NOV-23,701.25,701.25
2023-10-18 00:00:00, CFVF-N-0000, FIRST CAPITAL,12.25, First interim for financial year 2023/2024, 27-OCT-23, 14-NOV-23,42,33.3
2023-10-18 00:00:00, GEST-N-0000, GESTETNER,3, First interim for FY ending 31/03/2024, 27-OCT-23, 16-NOV-23,98.2,98.3
2023-10-18 00:00:00, SDF-N-0000, SARVODAYA DEVFIN,0.75, Final dividend for the year ended 31st March 2023, 27-OCT-23, 16-NOV-23, , 
2023-10-19 00:00:00, BFL-N-0000, BAIRAHA FARMS,3.3, First interim Financial year - Year ending 31st March 2024, 30-OCT-23, 17-NOV-23,185.25,185
2023-10-20 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1.5, First interim for the year ending 31/12/2023, 31-OCT-23, 20-NOV-23,126.75,125
2023-10-25 00:00:00, LLUB-N-0000, CHEVRON,4, Second interim Financial year31.12.2023, 03-NOV-23, 23-NOV-23,93,89.2
2023-10-27 00:00:00, CARG-N-0000, CARGILLS,4.5, First interim Financial year2023/2024, 07-NOV-23, 27-NOV-23,374.75,375
2023-10-27 00:00:00, CTHR-N-0000, C T HOLDINGS,3.5, First interim Financial year2023/2024, 07-NOV-23, 27-NOV-23,251,257
2023-11-03 00:00:00, DIST-N-0000, DISTILLERIES,1.43, First interim Financial year2023/2024, 14-NOV-23, 01-DEC-23,27.7,26.9
2023-11-03 00:00:00, MELS-N-0000, MELSTACORP,4.27, First interim Financial year2023/2024, 14-NOV-23, 04-DEC-23, , 
2023-11-07 00:00:00, JKH-N-0000, JKH,0.5, First interim Dividend for 2023-24, 16-NOV-23, 06-DEC-23,192,189.75
2023-11-08 00:00:00, VLL-N-0000, VIDULLANKA,0.25, Second interim For the year 2023/2024, 17-NOV-23, 07-DEC-23,6.9,6.5
2023-11-08 00:00:00, VLL-X-0000, VIDULLANKA,0.25, Second interim for FY 2023/2024, 17-NOV-23, 07-DEC-23,5.1,5
2023-11-09 00:00:00, CTC-N-0000, CEYLON TOBACCO,36, THIRD INTERIM DIVIDEND, 20-NOV-23, 08-DEC-23,984,970
2023-11-09 00:00:00, HHL-N-0000, HEMAS HOLDINGS,0.4, FIRST INTERIM DIVIDEND FOR  31-MAR-2024, 20-NOV-23, 08-DEC-23,70,70
2023-11-09 00:00:00, SFIN-N-0000, SINGER FINANCE,0.8, FINAL DIVIDEND FOR YEAR 2022-23, 20-NOV-23, 01-DEC-23,13.6,13
2023-11-09 00:00:00, WATA-N-0000, WATAWALA,8, FIRST INTERIM DIVIDEND 2023-24, 20-NOV-23, 08-DEC-23,79.1,72
2023-11-10 00:00:00, SUN-N-0000, SUNSHINE HOLDING,1, First interim for FY 31st March 2024, 21-NOV-23, 11-DEC-23,48.4,48.5
2023-11-15 00:00:00, LION-N-0000, LION  BREWERY,31, First interim Financial year2023/24, 24-NOV-23, 14-DEC-23,938.75,938.75
2023-11-15 00:00:00, PACK-N-0000, EX-PACK,0.3, First interim Financial yearyear ending 2023/2024, 24-NOV-23, 14-DEC-23, , 
2023-11-16 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.2, FIRST INTERIM DIVIDEND FOR THE YEAR ENDING 31-MAR-2024, 27-NOV-23, 15-DEC-23,4.3,4.1
2023-11-20 00:00:00, ETWO-N-0000, EQUITY TWO PLC,0.5, First interim for the YE 23/24, 29-NOV-23, 19-DEC-23,39,39
2023-11-24 00:00:00, COMD-N-0000, COMMERCIAL DEV.,3, Interim Dividend for YE December 31, 05-DEC-23, 27-DEC-23,110,110
