DIVIDEND ANNOUNCEMENTS 2014,,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE OF PAYMENT,CUM PRICE,EX_PRICE
2014-11-17 00:00:00, RICH-N-0000, RICHARD PIERIS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.25 PER SHARE/FINANCIAL YEAR 2014/2015, 26-NOV-14, 04-DEC-14,8.8,8.6
2014-11-19 00:00:00, JFIN-N-0000, FINLAYS COLOMBO, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE/FINANCIAL YEAR 2014, 28-NOV-14, 09-DEC-14,317.7,335
2014-11-20 00:00:00, CCS-N-0000, COLD STORES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.5.00 PER SHARE/FINANCIAL YEAR 2014/2015, 01-DEC-14, 10-DEC-14,257.2,258
2014-11-20 00:00:00, KFP-N-0000, KEELLS FOOD, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 3.00 PER SHARE/FINANCIAL YEAR 2014/2015, 01-DEC-14, 10-DEC-14,87.3,87.1
2014-11-25 00:00:00, ONAL-N-0000, ON'ALLY, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.1.10 PER SHARE. FY 2014/2015, 04-DEC-14, 15-DEC-14,65.1,61.5
2014-11-26 00:00:00, CERA-N-0000, LANKA CERAMIC, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE/FINANCIAL YEAR 2014/2015, 05-DEC-14, 16-DEC-14,119,124.9
2014-11-27 00:00:00, HNB-N-0000, HNB, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.50 PER SHARE /FINANCIAL YEAR 2014 /VOTING & NON VOTING, 08-DEC-14, 16-DEC-14,193,192.9
2014-12-01 00:00:00, LHCL-N-0000, LANKA HOSPITALS, SHARE TRANSFER BOOK OPEN, Interim Dividend of Rs. 0.50 per share FY 2014, 10-DEC-14, 18-DEC-14,49.2,49
2014-12-02 00:00:00, LLUB-N-0000, CHEVRON, SHARE TRANSFER BOOK OPEN, FOURTH INTERIM DIVIDEND OF RS. 5.50 PER SHARE/FINANCIAL YR 2014, 11-DEC-14, 22-DEC-14,395,395
2014-12-03 00:00:00, CTEA-N-0000, TEA SERVICES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 12.50 PER SHARE/FINANCIAL YEAR 2014/2015, 12-DEC-14, 23-DEC-14,723.4,740
2014-12-04 00:00:00, VLL-N-0000, VIDULLANKA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.10 PER SHARE FINANCIAL YEAR 2014/2015, 15-DEC-14, 23-DEC-14,5.6,5.4
2014-12-05 00:00:00, CFIN-N-0000, CENTRAL FINANCE, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 0.85 PER SHARE/FINANCIAL YEAR 2014/2015, 16-DEC-14, 19-DEC-14,249,249
2014-12-09 00:00:00, COMD-N-0000, COMMERCIAL DEV., SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE/FINANCIAL YEAR 2014, 18-DEC-14, 30-DEC-14,103.2,104
