DIVIDEND ANNOUNCEMENTS 2014,,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE OF PAYMENT,CUM PRICE,EX_PRICE
2014-03-14 00:00:00, CHMX-N-0000, CHEMANEX, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 25-MAR-14, 03-APR-14,72.6,81.9
2014-03-17 00:00:00, UBC-N-0000, UNION BANK, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.25 PER SHARE, 26-MAR-14, 04-APR-14,18.7,18.8
2014-03-18 00:00:00, CINV-N-0000, CEYLON INV., SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 2.50 PER SHARE (WHICH WOULD NOT BE SUBJECT TO THE DIVIDEND TAX OF 10%), 27-MAR-14, 04-APR-14,77,75
2014-03-24 00:00:00, RICH-N-0000, RICHARD PIERIS, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 0.20 PER SHARE, 02-APR-14, 10-APR-14,6.7,6.6
2014-03-31 00:00:00, CFIN-N-0000, CENTRAL FINANCE, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 0.85 PER SHARE, 09-APR-14, 21-APR-14,184.1,185
2014-04-08 00:00:00, LLUB-N-0000, CHEVRON, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 4.00 PER SHARE, 22-APR-14, 02-MAY-14,273,268
2014-04-09 00:00:00, SDB-N-0000, SANASA DEV. BANK, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 7.00 PER SHARE, 02-JUN-14, 10-JUN-14,83.2,76.6
2014-04-09 00:00:00, BALA-N-0000, BALANGODA, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 27-JUN-14, 07-JUL-14,28.8,28.1
2014-04-22 00:00:00, CARE-N-0000, PRINTCARE PLC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.0.50 PER SHARE, 02-MAY-14, 12-MAY-14,29.2,30.5
2014-04-22 00:00:00, GLAS-N-0000, PIRAMAL GLASS, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS.0.38 PER SHARE, 01-JUL-14, 09-JUL-14,3.9,3.5
2014-04-24 00:00:00, GOOD-N-0000, GOOD HOPE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 9.77 PER SHARE (RS. 0.55 WHICH HAS BEEN ALREADY SUBJECTED TO TAX & RS. 9.22 PER SHARE WHICH WOULD BE SUBJECT TO A DIVIDEND TAX OF 10%), 30-MAY-14, 09-JUN-14,1524.8,1508.1
2014-04-24 00:00:00, SELI-N-0000, SELINSING, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 11.43 PER SHARE (RS. 1.89 WHICH HAS BEEN ALREADY SUBJECTED TO TAX & RS. 9.54 WHICH WOULD BE SUBJECT TO A DIVIDEND TAX OF 10%), 30-MAY-14, 09-JUN-14,1600,1668.5
2014-04-24 00:00:00, SHAL-N-0000, SHALIMAR, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 11.38 PER SHARE (SUBJECT TO 10% DIVIDEND TAX), 30-MAY-14, 09-JUN-14,1601,1695.3
2014-04-24 00:00:00, INDO-N-0000, INDO MALAY, SHARE TRANSFER BOOK OPEN, RS. 14.30 PER SHARE (RS. 0.39  BE PAID OUT OF DIVIDEND INCOME RECEIVED WHICH HAS BEEN ALREADY SUBJECT TO TAX & RS. 13.91 WOULD BE PAID OUT OF OPERATIONAL PROFITS WOULD BE SUBJECT TO A DIVIDEND TAX 10%, 30-MAY-14, 09-JUN-14,1796,1700
2014-04-28 00:00:00, LHL-N-0000, LIGHTHOUSE HOTEL, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.2.00 PER SHARE, 27-JUN-14, 07-JUL-14,59.2,58.9
2014-04-28 00:00:00, AMCL-N-0000, CAPITAL LEASING, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.0.85 PER SHARE, 08-MAY-14, 20-MAY-14, , 
2014-05-02 00:00:00, MERC-N-0000, MERCANTILE INV, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 10.00 PER SHARE, 13-MAY-14, 26-MAY-14,2200, 
2014-05-02 00:00:00, HARI-N-0000, HARISCHANDRA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 30.00 PER SHARE, 13-MAY-14, 23-MAY-14,2020.6,2279.9
2014-05-05 00:00:00, DFCC-N-0000, DFCC BANK PLC, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 5.50 PER SHARE, 01-JUL-14, 09-JUL-14,159,156.7
2014-05-07 00:00:00, UCAR-N-0000, UNION CHEMICALS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 5.00 PER SHARE, 02-JUN-14, 10-JUN-14,500,500
2014-05-08 00:00:00, CHL-N-0000, DURDANS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE (VOTING & NON VOTING), 21-MAY-14, 30-MAY-14,112.5,113
