,,,,DIVIDEND ANNOUNCEMENTS 2022 (JANUARY TO DECEMBER),,,,
2022-03-30 00:00:00, ALUM-N-0000, ALUMEX PLC,0.2, Third Interim, 08-APR-22, 06-MAY-22,7.3,7
2022-03-30 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,0.5, Third interim, 08-APR-22, 06-MAY-22,30.2,30
2022-03-30 00:00:00, HAYC-N-0000, HAYCARB,0.75, Third Interim, 08-APR-22, 06-MAY-22,48.1,46.9
2022-03-30 00:00:00, KVAL-N-0000, KELANI VALLEY,1, Third interim, 08-APR-22, 06-MAY-22,48.9,45.6
2022-03-30 00:00:00, PINS-N-0000, PEOPLE'S INS,1.5, First interim Financial year ended 31st December 2021, 08-APR-22, 17-MAY-22,30.1,27.9
2022-03-31 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,0.5, 3rd Interim Dividend for FY 2021/2022, 25-APR-22, 09-MAY-22,57,53.2
2022-03-31 00:00:00, MGT-N-0000, HAYLEYS FABRIC,0.3, Third Interim, 25-APR-22, 09-MAY-22,28,22.8
2022-03-31 00:00:00, SINS-N-0000, SINGER SRI LANKA,0.2, Third interim, 25-APR-22, 09-MAY-22,11.9,10.9
2022-04-04 00:00:00, CINS-X-0000, CEYLINCO INS.,42, FINAL DIVIDEND FY 2021, 23-MAY-22, 10-JUN-22,1081.5,1100
2022-04-04 00:00:00, CINS-N-0000, CEYLINCO INS.,42, FINAL DIVIDEND FY 2021, 23-MAY-22, 10-JUN-22,2299.5,2299.5
2022-04-06 00:00:00, JINS-N-0000, JANASHAKTHI INS.,2.3, Final Dividend, 04-MAY-22, 25-MAY-22,23,21.2
2022-04-25 00:00:00, DOCK-N-0000, DOCKYARD,1, First and Final dividend. Financial year 31st December 2021, 05-MAY-22, 26-MAY-22,70.2,71.1
2022-04-25 00:00:00, SDF-N-0000, SARVODAYA DEVFIN,0.5, First interim .  Financial year2021/2022, 05-MAY-22, 26-MAY-22,12.5,11.5
2022-05-04 00:00:00, CTEA-N-0000, DILMAH CEYLON,25, 2nd Interim Dividend for FY 2021/2022, 18-MAY-22, 27-MAY-22,873.5,800.75
2022-05-04 00:00:00, HARI-N-0000, HARISCHANDRA,25, 1st Interim Dividend for FY 2021/2022, 18-MAY-22, 07-JUN-22,5545.5,5545.5
2022-05-04 00:00:00, UCAR-N-0000, UNION CHEMICALS,10, Final Dividend for FY 25th Dec 2021, 13-JUN-22, 04-JUL-22,780.5,780.5
2022-05-05 00:00:00, SDB-N-0000, SANASA DEV. BANK,1.5, Final Dividend for FY 2021, 31-MAY-22, 21-JUN-22,23.7,22.6
2022-05-09 00:00:00, MGT-N-0000, HAYLEYS FABRIC,1, FINAL DIVIDEND FY 21/22, 30-JUN-22, 14-JUL-22,29.5,29
2022-05-12 00:00:00, CTC-N-0000, CEYLON TOBACCO,10, FIRST INTERIM FY 31ST MARCH 2022, 24-MAY-22, 13-JUN-22,650,650
2022-05-12 00:00:00, SPEN-N-0000, AITKEN SPENCE,4, Interim Dividend. FY 21/22, 24-MAY-22, 13-JUN-22,76.8,78.4
2022-05-12 00:00:00, KVAL-N-0000, KELANI VALLEY,2.5, Type of dividend Final dividend 2021/2022, 29-JUN-22, 12-JUL-22,64,61.4
2022-05-13 00:00:00, LION-N-0000, LION  BREWERY,17.25, Second interim, 25-MAY-22, 15-JUN-22,510,510
2022-05-13 00:00:00, SINS-N-0000, SINGER SRI LANKA,0.2, Final dividend , 25-MAY-22, 07-JUN-22,10,9.7
2022-05-13 00:00:00, TPL-N-0000, TALAWAKELLE,5, Final dividend, 29-JUN-22, 12-JUL-22,66.3,60.2
2022-05-17 00:00:00, AEL-N-0000, ACCESS ENG SL,0.75, 2nd Interim Dividend for FY 2021/2022, 26-MAY-22, 13-JUN-22,12.8,12.3
2022-05-17 00:00:00, ELPL-N-0000, ELPITIYA,3, Interim Dividend for the FY 2021/2022, 26-MAY-22, 16-JUN-22,96.6,94.3
2022-05-17 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,0.3, Final Dividend for the FY 2021/2022, 29-JUN-22, 14-JUL-22,63,59.8
2022-05-19 00:00:00, CCS-N-0000, COLD STORES,0.33, Final Dividend for the FY 2021/2022, 30-MAY-22, 20-JUN-22,27.1,26.4
2022-05-19 00:00:00, CHL-N-0000, DURDANS,5, First interim, 30-MAY-22, 20-JUN-22,139,130
2022-05-19 00:00:00, CHL-X-0000, DURDANS,5, First interim, 30-MAY-22, 20-JUN-22,106,95.3
2022-05-19 00:00:00, KFP-N-0000, KEELLS FOOD,0.5, Final Dividend for the FY 2021/2022, 30-MAY-22, 20-JUN-22,173.5,173.5
2022-05-19 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,0.15, Final dividend 2021/2022 , 29-JUN-22, 11-JUL-22,26.6,25.9
2022-05-19 00:00:00, HAYC-N-0000, HAYCARB,0.4, Final dividend Financial year 2021/22, 29-JUN-22, 12-JUL-22,56.8,55.1
2022-05-19 00:00:00, HHL-N-0000, HEMAS HOLDINGS,1.95, Final dividend , 29-JUN-22, 20-JUL-22,43.3,42.6
2022-05-23 00:00:00, ASPM-N-0000, SPENCEPLANTATION,11, Interim Dividend, 01-JUN-22, 22-JUN-22,56.8,56.8
2022-05-23 00:00:00, JKH-N-0000, JKH,0.5, Final Dividend, 01-JUN-22, 22-JUN-22,124,123.5
2022-05-24 00:00:00, SIL-N-0000, SAMSON INTERNAT.,2, Final dividend - financial year ended 31st March 2022. , 02-JUN-22, 23-JUN-22,159.25,159.25
2022-05-24 00:00:00, CIC-N-0000, CIC,1, For the financial year ended 31st March 2022 - Final dividend , 01-JUL-22, 22-JUL-22,35.8,35.9
2022-05-24 00:00:00, CIC-X-0000, CIC,1, For the financial year ended 31st March 2022 - Final dividend, 01-JUL-22, 22-JUL-22,23.2,22.3
2022-05-25 00:00:00, PLR-N-0000, PRIMERESIDENCIES,0.7, Financial Year Ended 31st March 2022 - First interim , 03-JUN-22, 24-JUN-22,6.7,6.2
2022-05-25 00:00:00, ALUM-N-0000, ALUMEX PLC,0.25, Final dividend - 2021/2022  , 30-JUN-22, 12-JUL-22,6.6,6.3
2022-05-26 00:00:00, PARQ-N-0000, SWISSTEK,0.9, Third Interim, 06-JUN-22, 27-JUN-22,14.4,12.8
2022-05-26 00:00:00, CWM-N-0000, C.W.MACKIE,10, First and final dividend - FY 31 March 2022 , 29-JUL-22, 19-AUG-22,74.9,63.5
2022-05-26 00:00:00, WATA-N-0000, WATAWALA,8, Final Dividend, 27-JUN-22, 18-JUL-22,102.5,90.3
2022-05-27 00:00:00, TILE-N-0000, LANKA TILES,1.9, 3RD INTERIM DIVIDEND FOR THE YEAR ENDED 31ST MARCH 2022, 07-JUN-22, 28-JUN-22,43,39.1
2022-05-27 00:00:00, SUN-N-0000, SUNSHINE HOLDING,0.5, Final Dividend, 27-JUN-22, 18-JUL-22,31,29.1
2022-05-30 00:00:00, LWL-N-0000, LANKA WALLTILE,2.9, Third interim / Year ended 31st March 2022, 08-JUN-22, 29-JUN-22,57.6,54.1
2022-05-30 00:00:00, VLL-X-0000, VIDULLANKA,0.1, First interim - 2022/2023, 08-JUN-22, 29-JUN-22,4.7,4.7
2022-05-30 00:00:00, VLL-N-0000, VIDULLANKA,0.1, First interim - 2022/2023, 08-JUN-22, 29-JUN-22,6.3,6.8
2022-05-30 00:00:00, DIAL-N-0000, DIALOG,1.24, First and Final dividend - 2021, 22-JUN-22, 12-JUL-22,10.1,8.9
2022-05-31 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.13, Second lnterim - 31st March 2022, 09-JUN-22, 30-JUN-22,3.3,3.1
2022-05-31 00:00:00, DIMO-N-0000, DIMO,12.5, FIRST AND FINAL 21/22, 09-JUN-22, 28-JUN-22,350,350
2022-05-31 00:00:00, RCL-N-0000, ROYAL CERAMIC,0.75, Third lnterim Dividend for the financial year ended 31st March 2022., 09-JUN-22, 30-JUN-22,26.7,29.5
2022-05-31 00:00:00, ASHO-N-0000, LANKA ASHOK,10, final - FY 31st March 2022, 12-AUG-22, 01-SEP-22,576.25,576.25
2022-05-31 00:00:00, CHMX-N-0000, CHEMANEX,2, Final Dividend - 21/22, 01-JUL-22, 22-JUL-22,49.2,50.2
2022-05-31 00:00:00, LFIN-N-0000, LB FINANCE,2, Final Dividend 2021/22, 01-JUL-22, 22-JUL-22,43.1,41.7
2022-05-31 00:00:00, MAL-N-0000, MALWATTE,0.12, Final dividend FY 31-12-2021  , 28-JUN-22, 19-JUL-22,28.3,28.3
2022-05-31 00:00:00, MAL-X-0000, MALWATTE,0.12, Final dividend FY 31-12-2021, 28-JUN-22, 19-JUL-22,21.4,21.4
2022-05-31 00:00:00, UML-N-0000, UNITED MOTORS,0.5, FINAL DIVIDEND FY 2021/2022, 30-JUN-22, 20-JUL-22,57.7,57.7
2022-06-02 00:00:00, CINV-N-0000, CEYLON INV.,0.75, First Interim, 13-JUN-22, 04-JUL-22,25.8,27.1
2022-06-02 00:00:00, GUAR-N-0000, CEYLON GUARDIAN,2, First Interim Dividend for FY 2021/2022, 13-JUN-22, 04-JUL-22,67.5,65.1
2022-06-02 00:00:00, RIL-N-0000, R I L PROPERTY ,0.2, First and Final Dividend for FY 2021/2022, 01-JUL-22, 22-JUL-22,9.2,9.4
2022-06-03 00:00:00, CFIN-N-0000, CENTRAL FINANCE,2, Final dividend, 01-JUL-22, 08-JUL-22,58,58
2022-06-07 00:00:00, BREW-N-0000, CEYLON BEVERAGE,29.75, Type of dividend First interim Financial year 2022/23 , 17-JUN-22, 07-JUL-22,650,650
2022-06-07 00:00:00, CERA-N-0000, LANKA CERAMIC,2.6, Final dividend, 30-JUN-22, 21-JUL-22,100,100
2022-06-08 00:00:00, VFIN-N-0000, VALLIBEL FINANCE,2, Final Dividend - Financial Year ended 31 March 2022., 20-JUN-22, 08-JUL-22,28.1,25.4
2022-06-10 00:00:00, HUNT-N-0000, HUNTERS,5.41, First Interim, 22-JUN-22, 12-JUL-22,503,503
2022-06-16 00:00:00, COOP-N-0000, COOP INSURANCE,0.14, Final dividend 2021 FY, 08-AUG-22, 26-AUG-22,3.1,3.1
2022-06-22 00:00:00, EXPO-N-0000, EXPOLANKA,8.19, Interim Dividend, 01-JUL-22, 22-JUL-22,172.75,176.5
2022-06-23 00:00:00, CTBL-N-0000, CEYLON TEA BRKRS,0.36, FY 21/22. FINAL DIVIDEND, 04-JUL-22, 25-JUL-22,3.9,3.5
2022-06-23 00:00:00, JAT-N-0000, JAT HOLDINGS,0.38, FINAL 21/22, 04-JUL-22, 25-JUL-22,10.8,10.2
2022-06-27 00:00:00, CARS-N-0000, CARSONS,1.5, FIRST INTERIM FY 22/23, 06-JUL-22, 27-JUL-22,240,240
2022-06-28 00:00:00, PACK-N-0000, EX-PACK,0.4, Third interim . Year ended 2021/2022 , 07-JUL-22, 28-JUL-22,9.5,9.3
2022-06-29 00:00:00, CARG-N-0000, CARGILLS,5, FINAL 21/22, 29-JUL-22, 18-AUG-22,160,155.25
2022-06-29 00:00:00, CTHR-N-0000, C T HOLDINGS,3, FINAL 21/22, 01-AUG-22, 19-AUG-22,152,152.25
2022-06-30 00:00:00, CDB-N-0000, CDB,3.75, Type of dividend Final dividend Financial year 2021-22 , 01-AUG-22, 18-AUG-22,175,174.75
2022-06-30 00:00:00, CDB-X-0000, CDB,3.75, Financial year 2021-22 Type of dividend Final dividend , 01-AUG-22, 18-AUG-22,57,56.5
2022-07-01 00:00:00, SFCL-N-0000, SENKADAGALA,1.4, Final Dividend, 01-SEP-22, 21-SEP-22,365.5,365
2022-07-05 00:00:00, LIOC-N-0000, LANKA IOC,2.25, First & Final, 08-AUG-22, 29-AUG-22,113,131.25
2022-07-07 00:00:00, LCBF-N-0000, LCB FINANCE PLC,0.06, Final Dividend for FY 2021/2022, 01-AUG-22, 16-AUG-22,1.8,1.8
2022-07-11 00:00:00, AAF-P-0000, ASIA ASSET,0.7,Dividend to the Convertible Irredeemable Five (05) Year Preference Shares of the Face Value of Rs.10/- Share at a Fixed â€“ Non Cumulative Dividend of Cents .70 for the Financial Year  2021 / 2022  , 21-JUL-22, 10-AUG-22,9,9
2022-07-14 00:00:00, BUKI-N-0000, BUKIT DARAH,1.1, First interim, 25-JUL-22, 15-AUG-22,298,290
2022-07-18 00:00:00, HPL-N-0000, HATTON,1, First interim : 31st March 2023, 27-JUL-22, 17-AUG-22,21.9,19.4
2022-07-21 00:00:00, SFIN-N-0000, SINGER FINANCE,0.8, Interim Dividend for FY 2021/22, 01-AUG-22, 15-AUG-22,11,10.4
2022-07-25 00:00:00, LMF-N-0000, LMF,2.5, SECOND INTERIM 21/22, 03-AUG-22, 24-AUG-22,117.25,109.25
2022-07-25 00:00:00, TJL-N-0000, TEEJAY LANKA,1.5, FINAL 2021/22, 19-AUG-22, 08-SEP-22,45,42.4
2022-07-28 00:00:00, EXT-N-0000, EXTERMINATORS,0.07, Final dividend 21/22, 31-AUG-22, 20-SEP-22,7,6.9
2022-07-28 00:00:00, HBS-N-0000, hSENID BIZ,0.3, Final dividend : 21/22, 26-AUG-22, 15-SEP-22,20.3,20.4
2022-07-29 00:00:00, SWAD-N-0000, SWADESHI,1, First and Final Dividend for FY 2021/22, 19-SEP-22, 07-OCT-22,15003.5,15003.5
2022-08-01 00:00:00, APLA-N-0000, ACL PLASTICS,15, First Interim, 10-AUG-22, 31-AUG-22,387.75,394.75
2022-08-01 00:00:00, SOY-N-0000, CONVENIENCE FOOD,3.5, Final dividend 21/22, 13-SEP-22, 29-SEP-22,1150,1150
2022-08-04 00:00:00, COCR-N-0000, COM.CREDIT,2, Final Dividend, 12-SEP-22, 30-SEP-22,33.5,31.4
2022-08-04 00:00:00, KCAB-N-0000, KELANI CABLES,6.5, First Interim, 16-AUG-22, 05-SEP-22,253.25,288.5
2022-08-09 00:00:00, CABO-N-0000, CARGO BOAT,1, First Interim, 19-AUG-22, 08-SEP-22,44.7,45.6
2022-08-09 00:00:00, RCH-N-0000, RENUKA HOTELS,0.5, First Interim Dividend, 19-AUG-22, 08-SEP-22,60.4,63.3
2022-08-09 00:00:00, RENU-N-0000, RENUKA CITY HOT.,2, First Interim, 19-AUG-22, 08-SEP-22,359,354.75
2022-08-10 00:00:00, COCO-N-0000, RENUKA FOODS,0.41, FINAL 21/22, 08-SEP-22, 27-SEP-22,22.9,22.5
2022-08-10 00:00:00, COCO-X-0000, RENUKA FOODS,0.41, FINAL 21/22, 08-SEP-22, 27-SEP-22,16,16
2022-08-10 00:00:00, RAL-N-0000, RENUKA AGRI,0.2, FINAL 21/22, 08-SEP-22, 27-SEP-22,7.4,7.2
2022-08-12 00:00:00, CTC-N-0000, CEYLON TOBACCO,10, 2nd Interim Dividend for FY 2022, 23-AUG-22, 12-SEP-22,605.25,619.75
2022-08-12 00:00:00, DIST-N-0000, DISTILLERIES,0.5, 1st Interim Dividend for FY 2022/23, 23-AUG-22, 09-SEP-22,15.2,14.3
2022-08-15 00:00:00, SHAW-N-0000, LEE HEDGES,1, Final Dividend, 27-SEP-22, 18-OCT-22,77,80.1
2022-08-18 00:00:00, CWL-N-0000, CHRISSWORLD,0.2, First and Final, 29-AUG-22, 15-SEP-22,14.6,14.6
2022-08-19 00:00:00, LHCL-N-0000, LANKA HOSPITALS,2, FIRST INTERIM FY22, 30-AUG-22, 19-SEP-22,59.8,57.5
2022-08-24 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.35, First Interim, 02-SEP-22, 22-SEP-22,4.4,4
2022-08-25 00:00:00, ACL-N-0000, ACL,1, 1st Interim Dividend for FY 2021/22, 05-SEP-22, 23-SEP-22,68.3,66.6
2022-08-25 00:00:00, TYRE-N-0000, KELANI TYRES,5, 1st Interim Dividend for FY 2022/23, 05-SEP-22, 23-SEP-22,72.9,65.2
2022-08-25 00:00:00, ALLI-N-0000, ALLIANCE,8, Final Dividend for FY 2021/22, 21-SEP-22, 11-OCT-22,88,75.9
2022-08-26 00:00:00, MCPL-N-0000, MAHAWELI COCONUT,1.5, Final , 30-SEP-22, 21-OCT-22,45,42.7
2022-08-26 00:00:00, RWSL-N-0000, RAIGAM SALTERNS,0.15, Final dividend March 31, 30-SEP-22, 19-OCT-22,7.3,7
2022-08-30 00:00:00, CARE-N-0000, PRINTCARE PLC,4, 2nd Interim Dividend for FY 2021/22, 08-SEP-22, 28-SEP-22,80.3,76
2022-08-30 00:00:00, ABAN-N-0000, ABANS,5, Final Dividend for FY 2021/22, 29-SEP-22, 20-OCT-22,169,166.5
2022-08-31 00:00:00, CTEA-N-0000, DILMAH CEYLON,15, Final Dividend for FY 2021/22, 30-SEP-22, 19-OCT-22,1782.5,1782.5
2022-08-31 00:00:00, HARI-N-0000, HARISCHANDRA,30, FINAL, 26-SEP-22, 17-OCT-22,4300,4300
2022-08-31 00:00:00, LUMX-N-0000, LUMINEX,0.4, Final, 28-SEP-22, 14-OCT-22,7.8,7.6
2022-09-01 00:00:00, MDL-N-0000, MYLAND,0.25, FINAL 21/22, 23-SEP-22, 14-OCT-22,12,12
2022-09-02 00:00:00, HPWR-N-0000, RESUS ENERGY,0.55, Interim Dividend for FY 2022/23, 13-SEP-22, 30-SEP-22,18.1,16.5
2022-09-02 00:00:00, HUNT-N-0000, HUNTERS,10, Final Dividend for FY 2021/22, 03-OCT-22, 21-OCT-22,700,700
2022-09-06 00:00:00, LITE-N-0000, LAXAPANA,1, First interim, 15-SEP-22, 29-SEP-22,17.5,16.3
2022-09-06 00:00:00, EMER-N-0000, EASTERN MERCHANT,0.15, First and Final Dividend, 03-OCT-22, 25-OCT-22,12.5,12.1
2022-09-08 00:00:00, EBCR-N-0000, E B CREASY,1, First interim , 19-SEP-22, 30-SEP-22,25.1,25.2
2022-09-08 00:00:00, LPRT-N-0000, LAKE HOUSE PRIN.,2, FIRST AND FINAL 21/22, 03-OCT-22, 25-OCT-22,208.25,208.25
2022-09-08 00:00:00, SLND-N-0000, SERENDIB LAND,25, First and Final, 30-SEP-22, 07-OCT-22,1286.5,1286.5
2022-09-14 00:00:00, MGT-N-0000, HAYLEYS FABRIC,1, First interim, 23-SEP-22, 30-SEP-22,35,34.7
