Beta Values for the Period from 01st October to 30th December 2009,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
TAFL,1.19029316,TAFL,1.00096772
TAJ,1.37727032,TAJ,1.11259748
TANG,0.693194664,TANG,0.473444526
TESS,1.42263923,TESS,1.21483463
TFC,1.69696284,TFC,1.36779188
TILE,0.940312005,TILE,0.817612569
TKYO,1.57072876,TKYO,1.39511584
TPL,1.21757479,TPL,0.922639039
TRAN,0.10113799,TRAN,0.026185461
TSML,0.447659959,TSML,0.345021916
TWOD,1.24244479,TWOD,1.07434394
TYRE,0.91529128,TYRE,0.751295041
UAL,0.347577059,UAL,0.248761883
UCAR,-0.2181777,UCAR,-0.17549951
UDPL,1.18863516,UDPL,0.869357317
UML,0.552490767,UML,0.444526669
VLL,0.512095862,VLL,0.443217396
VPEL,0.197075891,VPEL,0.214436158
WAPO,-0.06488808,WAPO,-0.00842488
WATA,0.74150275,WATA,0.65714123
YORK,0.64307785,YORK,0.604314908
