Foreign Holding as at 31st December 2010,,,,,
YEAR,COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
2010,ACME,N,0000,ACME PRINTING & PACKAGING PLC,13508579
2010,AAIC,N,0000,ASIAN ALLIANCE INSURANCE PLC,18200
2010,PHAR,N,0000,COLOMBO CITY HOLDINGS PLC,19782
2010,ACL,N,0000,ACL CABLES PLC,532703
2010,ALUF,N,0000,ALUFAB PLC,13194
2010,COLO,N,0000,C M HOLDINGS PLC,70276
2010,TANG,N,0000,TANGERINE BEACH HOTELS PLC,53888
2010,CLPL,W,0014,CEYLON LEATHER PRODUCTS PLC,1064700
2010,CHOU,N,0000,CITY HOUSING & REAL ESTATE COMPANY PLC,535424
2010,ATL,N,0000,AMANA TAKAFUL PLC,861800
2010,HHL,B,0000,HEMAS HOLDINGS PLC,0
2010,LFIN,W,0004,LB FINANCE PLC,0
2010,SINN,N,0000,CEYLON STRATEGIC HOLDINGS LIMITED,0
2010,AEC,N,0000,ASSOCIATED ELECTRICAL CORPORATION PLC,142
2010,INDO,B,0000,INDO-MALAY PLC,0
2010,LITE,N,0000,LAXAPANA BATTERIES PLC,293599
2010,GHLL,N,0000,GALADARI HOTELS (LANKA) PLC,14991625
2010,GRAN,N,0000,CEYLON GRAIN ELEVATORS PLC,5612065
2010,KHC,N,0000,THE KANDY HOTELS COMPANY (1938) PLC,385338
2010,RPBH,N,0000,ROYAL PALMS BEACH HOTELS PLC,1518151
2010,SHOT,R,0000,SERENDIB HOTELS PLC,0
2010,SIGV,R,0000,SIGIRIYA VILLAGE HOTELS PLC,0
2010,MADU,N,0000,MADULSIMA  PLANTATIONS  PLC,210100
2010,MARA,N,0000,MARAWILA  RESORTS  PLC,602000
2010,LPRT,N,0000,LAKE HOUSE PRINTERS & PUBLISHERS PLC,7400
2010,SEYB,N,0000,SEYLAN BANK PLC,1505513
2010,UAL,N,0000,UNION ASSURANCE PLC,7587
2010,AHUN,N,0000,AITKEN SPENCE HOTEL HOLDINGS PLC,2882487
2010,CARG,B,0000,CARGILLS (CEYLON) PLC,0
2010,REEF,W,0017,CITRUS LEISURE PLC,1215697
2010,TAFL,N,0000,THREE ACRE FARMS PLC,218276
2010,VFIN,N,0000,VALLIBEL FINANCE PLC,19700
2010,BREW,B,0000,CEYLON BEVERAGE HOLDINGS PLC,0
2010,MILL,N,0000,MILLERS PLC,0
2010,VLL,R,0000,VIDULLANKA PLC,0
2010,MULL,R,0000,MULLER & PHIPPS (CEYLON) PLC,0
2010,DFCC,B,0000,DFCC BANK PLC,0
2010,GILB,N,0000,INTERNATIONAL DISTILLERS (LANKA) LTD,0
