Dividend Records - 2013,,,,,,,,
DATE_OF_ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE_OF_PAYMENT, CUM_PRICE,EX_PRICE
2013-05-10 00:00:00, HAYC-N-0000, HAYCARB, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.3.00 PER SHARE (RS.2.14 - LIABLE TO 10% DIVIDEND TAX & RS.0.86 - NOT LIABLE TO 10% DIVIDEND TAX), 27-JUN-13, 04-JUL-13,200,190.1
2013-05-13 00:00:00, BALA-N-0000, BALANGODA, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 27-JUN-13, 04-JUL-13,28.5,28.5
2013-05-14 00:00:00, HUNA-N-0000, HUNAS FALLS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE(LIABLE TO 10% DIVIDEND TAX), 25-JUN-13, 02-JUL-13,51.6,51.5
2013-05-15 00:00:00, DIPD-N-0000, DIPPED PRODUCTS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 3.00 PER SHARE (NOT LIABLE TO 10% DIVIDEND TAX), 28-JUN-13, 08-JUL-13,125,125
2013-05-16 00:00:00, CARE-N-0000, PRINTCARE PLC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 28-MAY-13, 06-JUN-13,30.6,30
2013-05-16 00:00:00, CTHR-N-0000, C T HOLDINGS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 5.00 PER SHARE, 28-MAY-13, 06-JUN-13,153,150
2013-05-16 00:00:00, MAL-N-0000, MALWATTE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS.0.075 PER SHARE (VOTING & NON-VOTING), 19-JUN-13, 27-JUN-13,4.6,4.6
2013-05-16 00:00:00, PEG-N-0000, PEGASUS HOTELS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.50 PER SHARE, 18-JUN-13, 26-JUN-13,39.4,39.2
2013-05-17 00:00:00, EQIT-N-0000, EQUITY, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.11 PER SHARE, 20-JUN-13, 28-JUN-13,30.2,31
2013-05-20 00:00:00, HAYL-N-0000, HAYLEYS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 4.50 PER SHARE(NOT LIABLE TO 10% DIVIDEND TAX), 01-JUL-13, 08-JUL-13,306.3,306.4
2013-05-20 00:00:00, KOTA-N-0000, KOTAGALA, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.50 PER SHARE, 27-JUN-13, 05-JUL-13,52.7,51.6
2013-05-20 00:00:00, LHCL-N-0000, LANKA HOSPITALS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 30-MAY-13, 10-JUN-13,43,42
2013-05-21 00:00:00, DIMO-N-0000, DIMO, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 10.00 PER SHARE, 31-MAY-13, 11-JUN-13,589.5,574.6
2013-05-22 00:00:00, UBC-N-0000, UNION BANK, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.35 PER SHARE, 03-JUN-13, 12-JUN-13,19.4,19.1
2013-05-23 00:00:00, CHMX-N-0000, CHEMANEX, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 02-JUL-13, 10-JUL-13,81.9,78
2013-05-23 00:00:00, CIC-N-0000, CIC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.00 PER SHARE (VOTING & NON-VOTING), 02-JUL-13, 10-JUL-13,65.2,65
2013-05-23 00:00:00, HHL-N-0000, HEMAS HOLDINGS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.45 PER SHARE, 01-JUL-13, 09-JUL-13,34.5,34
2013-05-23 00:00:00, WATA-N-0000, WATAWALA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.25 PER SHARE (AMENDED DATES), 10-JUL-13, 18-JUL-13,12,11.9
2013-05-27 00:00:00, AHPL-N-0000, AHOT PROPERTIES, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 3.00 PER SHARE, 05-JUN-13, 14-JUN-13,76.8,74.9
2013-05-27 00:00:00, TSML-N-0000, TEA SMALLHOLDER, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 05-JUN-13, 14-JUN-13,53.9,50
2013-05-28 00:00:00, CCS-N-0000, COLD STORES, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 4.00 PER SHARE, 06-JUN-13, 17-JUN-13,175.2,165
2013-05-28 00:00:00, CTEA-N-0000, TEA SERVICES, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 10.00 PER SHARE, 01-AUG-13, 12-AUG-13,645,637.7
2013-05-28 00:00:00, JKH-N-0000, JKH, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 06-JUN-13, 17-JUN-13,279.4,273.2
2013-05-28 00:00:00, JKL-N-0000, JOHN KEELLS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.50 PER SHARE, 06-JUN-13, 17-JUN-13,88,89
2013-05-28 00:00:00, KFP-N-0000, KEELLS FOOD, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE, 06-JUN-13, 17-JUN-13,77.2,79.9
2013-05-28 00:00:00, TRAN-N-0000, TRANS ASIA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 06-JUN-13, 17-JUN-13,83,83.4
2013-05-28 00:00:00, UML-N-0000, UNITED MOTORS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 4.00 PER SHARE(AMENDED DATES), 08-JUL-13, 15-JUL-13,120,114.2
