,,,,DIVIDEND ANNOUNCEMENTS 2020 (JANUARY TO DECEMBER),,,,
2020-10-05 00:00:00, LALU-N-0000, LANKA ALUMINIUM,1, First And Final Dividend Financial Year31st March 2020, 18-NOV-20, 07-DEC-20,82.4,82.1
2020-10-06 00:00:00, CTHR-N-0000, C T HOLDINGS,2.8, Final Dividend Financial Year2019 2020, 02-NOV-20, 20-NOV-20,161.6,161.6
2020-10-07 00:00:00, LVEN-N-0000, LANKA VENTURES,1.5, Final Dividend Financial Year31st March 2020, 20-NOV-20, 10-DEC-20,53,51.3
2020-10-07 00:00:00, LVEF-N-0000, LVL ENERGY,0.17, Final Dividend Financial Year31st March 2020, 20-NOV-20, 10-DEC-20, , 
2020-10-07 00:00:00,PARQ-N-0000,SWISSTEK (CEYLON) PLC,2.65,First interim Financial year: 2020/2021,2020-10-16 00:00:00,2020-10-27 00:00:00,55.7,55.2
2020-10-07 00:00:00,RCL-N-0000,ROYAL CERAMICS LANKA PLC,3,First interim Financial year: 31st March 2021,2020-10-16 00:00:00,2020-11-05 00:00:00,134.9,132.3
2020-10-09 00:00:00, HARI-N-0000, HARISCHANDRA,30, Final Dividend Financial Year31st March 2020, 16-NOV-20, 03-DEC-20,2070.9,2163.6
2020-10-14 00:00:00,SLND-N-0000,SERENDIB LAND PLC,25,First and Final dividend Financial year: 31ST MARCH 2020,2020-12-21 00:00:00,2021-01-12 00:00:00,1450,1450
2020-10-15 00:00:00, CTEA-N-0000, DILMAH CEYLON,5, Final Dividend Financial Year2019/20, 20-NOV-20, 30-NOV-20,699.9,699.9
2020-10-23 00:00:00,HPWR-N-0000,RESUS ENERGY PLC,0.75,First interim Financial year: 31.03.2021,2020-11-04 00:00:00,2020-11-24 00:00:00,28.8,27.5
2020-10-29 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS LANKA PLC,3.5,Third interim Financial year: 31.12.2020,2020-11-10 00:00:00,2020-11-19 00:00:00,100.5,93
2020-11-05 00:00:00, JKH-N-0000, JKH,0.5, Second Interim Financial Year2020/21, 16-NOV-20, 07-DEC-20,141.2,140.9
2020-11-06 00:00:00, VPEL-N-0000, VALLIBEL,0.3, Second Interim Financial Year2020/2021, 17-NOV-20, 26-NOV-20,8.2,8.2
2020-11-10 00:00:00, CTC-N-0000, CEYLON TOBACCO,19, Third Interim Financial Year31st December 2020, 19-NOV-20, 09-DEC-20,960,949.6
2020-11-10 00:00:00, LWL-N-0000, LANKA WALLTILE,3.6, First Interim Financial Year2020/2021, 19-NOV-20, 09-DEC-20,119.2,114.8
2020-11-10 00:00:00, PHAR-N-0000, COLOMBO CITY,50, First Interim Financial Year 2020/2021, 19-NOV-20, 09-DEC-20,833.5,800.6
2020-11-10 00:00:00, TILE-N-0000, LANKA TILES,3.85, First Interim Financial Year2020/2021, 19-NOV-20, 08-DEC-20,115.8,111.5
2020-11-12 00:00:00, UCAR-N-0000, UNION CHEMICALS,15, First Interim Financial Year2020, 23-NOV-20, 11-DEC-20,675.3,675.3
2020-11-12 00:00:00, WATA-N-0000, WATAWALA,3, First Interim Financial Year31st March 2021, 23-NOV-20, 10-DEC-20,58.2,54.2
2020-11-12 00:00:00, HHL-N-0000, HEMAS HOLDINGS,0.4, First Interim Financial Year2020/2021, 23-NOV-20, 11-DEC-20,82.9,82
2020-11-13 00:00:00,GRAN-N-0000,CEYLON GRAIN ELEVATORS PLC,4.5,Interim Dividend Financial year: 2020,2020-11-24 00:00:00,2020-12-03 00:00:00,104.9,99.1
2020-11-13 00:00:00,TAFL-N-0000,THREE ACRE FARMS PLC,5.5,Interim Dividend Financial year: 2020,2020-11-24 00:00:00,2020-12-03 00:00:00,165,160
2020-11-16 00:00:00,ASIY-N-0000,ASIA SIYAKA COMMODITIES PLC,0.05,First interim Financial year: 31st March 2021,2020-11-25 00:00:00,2020-12-15 00:00:00,3.4,3.4
2020-11-17 00:00:00,COMD-N-0000,COMMERCIAL DEVELOPMENT COMPANY PLC,2,Interim Dividend Financial year: 12/31/2020,2020-11-26 00:00:00,2020-12-16 00:00:00,96.2,95.4
2020-11-18 00:00:00,EXPO-N-0000,EXPOLANKA HOLDINGS PLC,0.5,INTERIM DIVIDEND Financial year: 31st March 2021,2020-11-27 00:00:00,2020-12-17 00:00:00,25.2,26.1
2020-11-20 00:00:00,DIST-N-0000,DISTILLERIES COMPANY OF SRI LANKA PLC,0.42,First interim Financial year: 2020/21,2020-12-01 00:00:00,2020-12-21 00:00:00,21.5,21.2
2020-11-24 00:00:00,TYRE-N-0000,KELANI TYRES PLC,5,First interim Financial year: 2020/2021,2020-12-03 00:00:00,2020-12-23 00:00:00,91.2,86.1
2020-11-25 00:00:00,MELS-N-0000,MELSTACORP PLC,2.5,First interim Financial year: 31st March 2021,2020-12-04 00:00:00,2020-12-24 00:00:00,42.7,40.9
2020-11-26 00:00:00,MGT-N-0000,HAYLEYS FABRIC PLC,0.45,Second interim Financial year: 2020/21,2020-12-07 00:00:00,2020-12-21 00:00:00,26,25.7
2020-11-27 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,1, First Interim Financial Year FOR THE YEAR 2020/2021, 08-DEC-20, 18-DEC-20,135.2,135.6
2020-11-27 00:00:00, BREW-N-0000, CEYLON BEVERAGE,13.7, First Interim Financial Year31 MARCH 2021, 08-DEC-20, 30-DEC-20,764.2,764.2
2020-11-27 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,9, Third Interim Financial Year2020/2021, 08-DEC-20, 21-DEC-20,336.3,328.2
2020-11-27 00:00:00, SINS-N-0000, SINGER SRI LANKA,0.2, Second Interim Financial Year2020/21, 08-DEC-20, 18-DEC-20,51,53
2020-11-27 00:00:00,HAYC-N-0000,HAYCARB PLC,14,Third interim Financial year: 2020/2021,2020-12-08 00:00:00,2020-12-23 00:00:00,553,549.7
2020-11-30 00:00:00, KVAL-N-0000, KELANI VALLEY,1, First Interim Financial Year2020/2021, 09-DEC-20, 23-DEC-20,79.1,80.1
2020-11-30 00:00:00, ALUM-N-0000, ALUMEX PLC,0.25, First Interim Financial Year2020/2021, 09-DEC-20, 23-DEC-20,20,19.7
