,Beta Values for the Period from 01st January to 31st March 2009,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
SIL,0.658806061,SIL,0.399089056
SINI,-0.04532949,SINI,0.028181024
SINS,0.680990436,SINS,0.452705794
SIRA,1.3788375,SIRA,0.951353937
SLND,0.042054238,SLND,0.012707458
SLTL,0.780470762,SLTL,0.407824133
SMLL,0.775317699,SMLL,0.575142464
SMOT,0.581073409,SMOT,0.351025331
SOY,0.042447268,SOY,0.071086893
SPEN,1.15450456,SPEN,0.662784409
STAF,1.10044106,STAF,0.626284264
SUGA,1.75204157,SUGA,1.08396073
SUN,0.370016157,SUN,0.011917141
SWAD,0,SWAD,0
TAFL,1.43490982,TAFL,0.914791398
TAJ,1.02117996,TAJ,0.667817478
TANG,0.788593388,TANG,0.577638201
TESS,1.4550417,TESS,0.812029449
TFC,1.22267347,TFC,0.748450563
TILE,1.11747237,TILE,0.629944677
TKYO,0.067601205,TKYO,0.019341957
TPL,1.42329359,TPL,0.872759036
TRAN,0.247827416,TRAN,0.131213343
TSML,0.515175335,TSML,0.383033151
TWOD,1.96174505,TWOD,1.20829
TYRE,2.37831346,TYRE,1.55727715
UAL,0.779859382,UAL,0.42641737
UCAR,0.027206428,UCAR,0.01116842
UDPL,1.38647975,UDPL,0.600099829
UML,1.53347307,UML,0.928663533
VLL,0.454779684,VLL,0.288548729
VPEL,0.540547622,VPEL,0.340252069
WAPO,0,WAPO,0
WATA,0.47775012,WATA,0.283765234
YORK,1.58220883,YORK,1.00765359
