Sector Ratios - 2023 (January to December),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
Health Care Equipment & Services,6.2,7.83,1.66,6,8.02,1.7,6,8.02,1.7,6.2,7.84,1.67,6.7,7.2,1.53,6.4,7.57,1.61,6.3,7.66,1.63,6.7,10.64,1.48,6.5,11,1.53,,,,,,,,,
Household & Personal Products,1.4,5.19,2,1.5,5.03,1.94,1.5,4.92,1.9,1.5,4.79,1.85,1.6,4.61,1.78,1.6,4.72,1.82,1.4,5.25,2.03,0.9,5.7,1.58,0.8,5.95,1.65,,,,,,,,,
Insurance,3.6,7.78,1.1,3.9,7.18,1.01,4,7,0.99,4.4,6.43,0.91,4.7,6.08,0.86,4.2,6.76,0.95,3.8,7.41,1.04,5.1,7.57,0.94,5,7.66,0.95,,,,,,,,,
Materials,4.7,4.51,1.14,4.6,4.52,1.14,4.6,4.59,1.16,4.7,4.51,1.14,5,4.17,1.05,4.5,4.65,1.17,4.1,5.19,1.31,3.7,5.06,1.16,3.6,5.23,1.2,,,,,,,,,
Real Estate,5.9,3.71,0.42,5.7,3.85,0.44,5.6,4.14,0.47,5.8,3.96,0.45,6.1,3.77,0.42,5.9,3.87,0.43,5.2,4.46,0.5,8.8,3.26,0.46,8.7,3.3,0.47,,,,,,,,,
Retailing,5.1,6.82,0.5,4.7,7.36,0.54,4.4,7.84,0.58,4.6,7.54,0.56,4.7,7.32,0.54,4.6,7.61,0.56,4.1,8.54,0.63,3.8,13.1,0.65,3.9,13.83,0.65,,,,,,,,,
Software & Services,0,7.17,2.25,0,7.04,2.21,0,6.32,1.98,0,5.89,1.85,0,5.34,1.67,0,5.17,1.62,0,5.76,1.81,0,6.21,1.69,0,6.26,1.71,,,,,,,,,
Telecommunication Services,14.2,,1.35,12.2,,1.58,10.8,,1.77,10.9,,1.76,11.6,,1.66,10.7,,1.79,10.3,,1.86,10.8,,1.73,11.4,,1.65,,,,,,,,,
Transportation,4.4,4.36,2.3,4.6,4.19,2.21,5.9,3.24,1.71,5.1,3.75,1.98,6.1,3.12,1.65,6.2,3.1,1.64,5.5,3.51,1.85,5.9,4.56,1.81,6,4.5,1.79,,,,,,,,,
Utilities,5.2,13.78,0.91,4.9,14.65,0.96,5.1,14.18,0.93,5.1,14.21,0.93,5.2,13.79,0.91,5.1,14.09,0.93,4.8,14.86,0.98,4.2,27.99,1.1,3.4,,1.05,,,,,,,,,
** BASED ON DIVIDEND PAYING COMPANIES OF THE SECTOR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
