,,,DIVIDEND ANNOUNCEMENTS 2015,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX  PRICE
2015-03-27 00:00:00,HAYC-N-0000,HAYCARB,Interim Dividend of Rs. 2.00 per share(Rs. 0.81 per share-liable to 10% dividend tax  Rs. 1.19 per share-Not liable to 10% dividend tax)/Financial Year 2014.2015, 08-APR-15, 21-APR-15,177.5,177
2015-03-31 00:00:00,CONN-N-0000,AMAYA LEISURE,Interim Dividend of Rs. 1.00 per share (Not subject to dividend tax)/Financial year 2014/2015, 10-APR-15, 23-APR-15,79.8,75
2015-03-31 00:00:00,KGAL-N-0000,KEGALLE,Interim Dividend of Rs. 2.00 per share/Financial Year 2014/2015, 10-APR-15, 22-APR-15,88.7,82.8
2015-03-31 00:00:00,REXP-N-0000,RICH PIERIS EXP,Second Interim Dividend of Rs. 4.00 per share/Financial Year 2014/2015, 10-APR-15, 21-APR-15,143.8,141.5
2015-03-31 00:00:00,DIPD-N-0000,DIPPED PRODUCTS,Interim Dividend of Rs. 3.00 per share (Not liable to 10% dividend tax)/Financial Year 2014/2015, 10-APR-15, 22-APR-15,143.8,141.3
2015-04-01 00:00:00,LWL-N-0000,LANKA WALLTILE,Second Interim Dividend of Rs. 2.00 per share/Financial Year 2014/2015, 15-APR-15, 24-APR-15,96.4,98.4
2015-04-01 00:00:00,TILE-N-0000,LANKA TILES,Second Interim Dividend of Rs. 2.50 per share/Financial Year 2014/2015, 15-APR-15, 23-APR-15,106.2,106.2
2015-04-02 00:00:00,CFIN-N-0000,CENTRAL FINANCE,Second Interim Dividend of Rs. 0.85  per share/Financial Year 2014/2015, 16-APR-15, 21-APR-15,252,251.1
2015-04-02 00:00:00,SLTL-N-0000,SLT,First & Final Dividend of Rs. 0.89 per share/Financial Year 2014, 14-MAY-15, 22-MAY-15,47.5,46.7
2015-04-08 00:00:00,PDL-N-0000,PDL,First & Final Dividend of Rs. 3.00 per share/Financial Year 2014, 28-MAY-15, 08-JUN-15,100.8,99.8
2015-04-22 00:00:00,LLUB-N-0000,CHEVRON,First Interim Dividend of Rs. 5.00 per share/Financial Year 2015, 05-MAY-15, 14-MAY-15,408,408.9
2015-04-23 00:00:00,SHAL-N-0000,SHALIMAR,First & Final Dividend of Rs. 3.56 per share (Subject to tax of 10%)/Financial Year 2014/2015, 01-JUN-15, 10-JUN-15,2295,2277.5
2015-04-23 00:00:00,SELI-N-0000,SELINSING,First & Final Dividend of Rs. 1.10 per share which has already been subjected to tax & 4.80 per share which would be subject to a tax of 10%)/Financial Year 2014/2015, 01-JUN-15, 10-JUN-15,1697.3,1615
2015-04-23 00:00:00,SFCL-N-0000,SENKADAGALA,Third Interim Dividend of Rs. 0.50 per share/Financial Year 2014/2015, 06-MAY-15, 15-MAY-15,60, 
2015-04-24 00:00:00,UCAR-N-0000,UNION CHEMICALS,Final Dividend of Rs. 7.00 per share/Financial Year 2014, 01-JUN-15, 10-JUN-15,497,466.1
2015-04-27 00:00:00,SHL-N-0000,SOFTLOGIC,Final Dividend of Rs. 0.25 per share/Financial Year 2014/2015, 08-MAY-15, 19-MAY-15,14.5,14.3
2015-04-29 00:00:00,RFL-N-0000,RAMBODA FALLS,Interim Dividend of Rs. 0.50 per share/Financial Year 2014/2015, 12-MAY-15, 21-MAY-15,36.3,36.5
2015-04-30 00:00:00,WAPO-N-0000,GUARDIAN CAPITAL,Final Dividend of Rs. 0.75 per share(Would not be subject to tax)/Financial Year 2014/2015, 08-JUN-15, 16-JUN-15,40.8,41.2
2015-05-05 00:00:00,HARI-N-0000,HARISCHANDRA,Interim Dividend of Rs. 40.00 per share/Financial Year 2014/2015, 14-MAY-15, 22-MAY-15,2250,2239.8
2015-05-08 00:00:00,CRL-N-0000,SOFTLOGIC FIN,Interim Dividend of Rs. 1.50 per share/Financial Year 2014/2015, 19-MAY-15, 28-MAY-15,51.8,52
2015-05-11 00:00:00,CCS-N-0000,COLD STORES,Final Dividend of Rs. 6.00 per share/Financial Year 2014/2015, 20-MAY-15, 29-MAY-15,369,360.8
2015-05-11 00:00:00,KFP-N-0000,KEELLS FOOD,Final Dividend of Rs. 7.00 per share/Financial Year 2014/2015, 20-MAY-15, 29-MAY-15,145.7,139.2
2015-05-11 00:00:00,CTC-N-0000,CEYLON TOBACCO,First Interim Dividend of Rs. 3.45 per share (less withholding tax)/Financial Year 2015, 20-MAY-15, 28-MAY-15,1000.9,1000
2015-05-12 00:00:00,EQIT-N-0000,EQUITY,First & Final Dividend of Rs. 0.15 per share(Would not be subjected to dividend tax)/Financial Year 2014/2015, 22-JUN-15, 30-JUN-15,44.9,44.9
2015-05-12 00:00:00,ETWO-N-0000,EQUITY TWO PLC,First & Final Dividend of Rs. 0.20 per share(Which would be subject to a dividend tax of 10%)/Financial Year 2014/2015, 22-JUN-15, 30-JUN-15,68.3,64.5
2015-05-12 00:00:00,PEG-N-0000,PEGASUS HOTELS,First & Final Dividend of Rs. 0.50 per share(Rs. 0.16-would not be subject to tax Rs. 0.34 would be subject to a dividend tax of 10%)/Financial Year 2014/2015, 18-JUN-15, 26-JUN-15,47.9,45.5
2015-05-13 00:00:00,PAP-N-0000,PANASIAN POWER,Final Dividend of Rs. 0.30 per share/Financial Year 2014/2015, 22-MAY-15, 03-JUN-15,4,3.7
2015-05-13 00:00:00,DIAL-N-0000,DIALOG,Final Dividend of Rs. 0.13 per share(Subject to Tax)/Financial Year 2014, 17-JUN-15, 25-JUN-15,11.3,11.2
2015-05-21 00:00:00,CHL-N-0000 &  CHL-X-0000,DURDANS,Interim Dividend of Rs. 2.70 per share(Voting & Non Voting)/Financial Year 2014/2015, 01-JUN-15, 11-JUN-15,109,109
2015-05-25 00:00:00,HPFL-N-0000,FLC HYDRO POWER,Interim Dividend of Rs. 0.70 per share/Financial Year 2015/2016, 04-JUN-15, 15-JUN-15,8.5,7.5
2015-05-25 00:00:00,JKH-N-0000,JKH,Final  Dividend of Rs. 1.50 per share/Financial Year 2014/2015, 04-JUN-15, 15-JUN-15,193.6,191
2015-05-25 00:00:00,LGL-N-0000 & LGL-X-0000,LAUGFS GAS,First & Final Dividend of Rs. 2.00 per share(Voting & Non Voting)/Financial Year 2014/2015, 04-JUN-15, 15-JUN-15,41.1,39.2
2015-05-26 00:00:00,DIMO-N-0000,DIMO,Final Dividend of Rs. 20.00 per share/Financial Year 2014/2015, 05-JUN-15, 16-JUN-15,679.5,650
2015-05-26 00:00:00,SHOT-N-0000,SERENDIB HOTELS,Interim Dividend of Rs. 1.00 per share(Voting & Non Voting)/Financial Year 2014/2015, 05-JUN-15, 16-JUN-15,35.1,33.4
