Market Capitalisation of Listed Companies as at 31st December 2007,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
IDL,INFRASTRUCTURE,2004-09-13 00:00:00,4857487,41.5,201585710.5
MIRA,MIRAMAR,2007-12-28 00:00:00,2750000,72.75,200062500
ABAN,ABANS,2007-12-27 00:00:00,2129400,93.5,199098900
TESS,TESS AGRO,2007-12-31 00:00:00,180000000,1.1,198000000
REG,REGNIS,2007-12-31 00:00:00,4829084,41,197992444
EAST,EAST WEST,2007-12-31 00:00:00,17280000,10.5,181440000
SLND,SEREND LND,2007-11-20 00:00:00,360000,500,180000000
HUNA,HUNAS FALLS,2007-12-31 00:00:00,5625000,31,174375000
BLUE,BLUE DIAMONDS,2007-12-28 00:00:00,59033947,2.8,165295051.6
ALUF,ALUFAB,2007-12-31 00:00:00,4019400,41,164795400
REXP,RICH PIERIS EXP,2007-12-31 00:00:00,11163745,14,156292430
REEF,REEFCOMBER,2007-12-31 00:00:00,157306510,0.9,141575859
APLA,ACL PLASTICS,2007-12-28 00:00:00,4212500,33.5,141118750
YORK,YORK ARCADE,2007-12-31 00:00:00,12000000,10.5,126000000
SIGV,SIGIRIYA VILLAGE,2007-12-20 00:00:00,3478950,36,125242200
ARPI,ARPICO,2007-12-28 00:00:00,1575000,79.5,125212500
VANI,VANIK INCORP LTD,2007-12-31 00:00:00,65481650,1.8,117866970
GEST,GESTETNER,2007-12-31 00:00:00,2278125,49.5,112767187.5
HUEJ,HUEJAY,2007-12-12 00:00:00,1800000,62,111600000
FERN,FERNTEA LTD,2007-12-31 00:00:00,6000000,17.5,105000000
ASPH,INDUSTRIAL ASPH.,2007-12-20 00:00:00,666562,150,99984300
CFI,CFI,2007-12-31 00:00:00,5000000,18.5,92500000
LDEV,LANKEM DEV.,2007-12-31 00:00:00,6000000,15,90000000
PARQ,PARQUET,2007-12-28 00:00:00,7948800,11,87436800
RGEM,RADIANT GEMS,2007-12-31 00:00:00,2400000,35,84000000
SING,SINGALANKA,2007-12-28 00:00:00,1385207,55,76186385
CIT,CIT,2007-12-31 00:00:00,4133333,17,70266661
LITE,LAXAPANA,2007-12-31 00:00:00,9000000,7,63000000
BINN,BERUWELA WALKINN,2007-12-31 00:00:00,900000,62,55800000
MULL,MULLERS,2007-12-31 00:00:00,54000000,0.8,43200000
KZOO,KALAMAZOO,2007-10-04 00:00:00,50000,700,35000000
PARA,PARAGON,2007-12-26 00:00:00,100028,105,10502940
OFEQ,OFFICE EQUIPMENT,2007-02-28 00:00:00,83356,80.25,6689319
CPRT,CEYLON PRINTERS,2007-03-27 00:00:00,35010,62,2170620
