"Market Capitalization of Listed Companies as at December 30th, 2016",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
CRL,SOFTLOGIC FINANCE,34,59070988,2008413592
CWM,C.W.MACKIE,54.7,35988556,1968574013.2
SHAW,LEE HEDGES,380,5120546,1945807480
MORI,MORISONS,330,5808290,1916735700
LAMB,KOTMALE HOLDINGS,60.1,31400000,1887140000
PARQ,SWISSTEK,68.9,27372000,1885930800
RHL,RENUKA HOLDINGS,21.1,89034626,1878630608.6
SHOT,SERENDIB HOTELS,24,75514738,1812353712
SMOT,SATHOSA MOTORS,298.7,6033622,1802242891.4
SIRA,SIERRA  CABLES,3.3,537512430,1773791019
SWAD,SWADESHI,13500,130666,1763991000
NAMU,NAMUNUKULA,73.7,23750000,1750375000
AFSL,ABANS FINANCIAL,30.2,55467978,1675132935.6
RAL,RENUKA AGRI,2.9,561750000,1629075000
ATL,AMANA TAKAFUL,0.9,1800001296,1620001166.4
SUGA,PELWATTE,23.5,67976891,1597456938.5
REG,REGNIS,137.5,11267863,1549331162.5
TFIL,TRADE FINANCE,27,56800400,1533610800
RHTL,FORTRESS RESORTS,13.6,110886684,1508058902.4
FLCH,BROWNS CAPITAL,1.1,1368000000,1504800000
PAP,PANASIAN POWER,3,500000000,1500000000
AGST,AGSTAR PLC,4.8,307526310,1476126288
ETWO,EQUITY TWO PLC,47.6,31000000,1475600000
LCEY,LANKEM CEYLON,60,24000000,1440000000
EDEN,EDEN HOTEL LANKA,13.5,105600000,1425600000
ELPL,ELPITIYA,19.2,72866428,1399035417.6
BOGA,BOGALA GRAPHITE,14.4,94632904,1362713817.6
ARPI,ARPICO FINANCE,179.8,7437500,1337262500
HPWR,RESUS ENERGY,22.3,58390263,1302102864.9
COLO,C M HOLDINGS,85.2,15200000,1295040000
MADU,MADULSIMA,7.5,169501097,1271258227.5
PALM,PALM GARDEN HOTLE,28.3,43267000,1224456100
KGAL,KEGALLE,48.5,25000000,1212500000
TANG,TANGERINE,59.9,20000000,1198000000
STAF,DOLPHIN HOTELS,37.2,31621477,1176318944.4
AAF,ASIA ASSET,1.4,839207833,1174890966.2
RPBH,ROYAL PALMS,23.1,50000000,1155000000
DPL,DANKOTUWA PORCEL,7.1,162552920,1154125732
PMB,PEOPLE'S MERCHNT,17,67500000,1147500000
LALU,LANKA ALUMINIUM,83.4,13702823,1142815438.2
PHAR,COLOMBO CITY,880,1272857,1120114160
SFL,SINHAPUTHRA FIN,16.9,62958930,1064005917
ACAP,ASIA CAPITAL,7.8,131329995,1024373961
LCEM,LANKA CEMENT,5.9,173510748,1023713413.2
WAPO,GUARDIAN CAPITAL,38.9,25833808,1004935131.2
NIFL,BRAC LNKA FNANCE,9.3,105752566,983498863.8
CSF,NATION LANKA,1.3,753489783,979536717.9
MRH,MAHAWELI REACH,20.8,47066447,978982097.6
CIND,CENTRAL INDUSTRIES,49.5,19768428,978537186
ASPM,AITKEN SPENCE PLANTATION,45.5,21300000,969150000
ONAL,ON'ALLY,55,17500770,962542350
MHDL,MILLENNIUM HOUSE,7.1,134681320,956237372
CHMX,CHEMANEX,59.6,15750000,938700000
APLA,ACL PLASTICS,220,4212500,926750000
REEF,CITRUS LEISURE,9.5,96650427,918179056.5
PEG,PEGASUS HOTELS,30.1,30391538,914785293.8
COMD,COMMERCIAL DEVELOPMENTS,75.1,12000000,901200000
AINV,ADAM INVESTMENTS,2,449276200,898552400
ALHP,ANILANA HOTELS,1.8,493308514,887955325.2
CITW,CITRUS WASKADUWA,4.4,201746915,887686426
KDL,KELSEY,50,17429274,871463700
CABO,CARGO BOAT,85,10200036,867003060
ECL,E - CHANNELLING,7,122131415,854919905
AUTO,AUTODROME,70.1,12000000,841200000
SOY,CONVENIENCE FOOD,300,2750000,825000000
BOPL,BOGAWANTALAWA,9.7,83750000,812375000
AINS,ARPICO INSURANCE,12,66230407,794764884
ESL,ENTRUST SEC,24,33000014,792000336
UCAR,UNION CHEMICALS,510.2,1500000,765300000
SINH,SINGHE HOSPITALS,1.9,398225895,756629200.5
CFT,CEYLON & FOREIGN TRADES,5.3,140196000,743038800
CITH,CITRUS HIKKADUWA,12.9,57573897,742703271.3
TPL,TALAWAKELLE,31,23750000,736250000
EMER,EASTERN MERCHANT,6.2,117446000,728165200
HAPU,HAPUGASTENNE,15.6,46315789,722526308.4
TSML,TEA SMALLHOLDER,24,30000000,720000000
HPFL,LOTUS HYDRO,6.6,109088112,719981539.2
SEMB,S M B LEASING,0.6,1191766772,715060063.2
SFS,SWARNAMAHAL FINANCE,1.4,500000140,700000196
CFL,CHILAW FINANCE,20.4,33901337,691587274.8
BERU,BERUWALA RESORTS,1.1,600000000,660000000
ATLL,AMANA LIFE,1.3,500000000,650000000
HEXP,HAYLEYS FIBRE,80.5,8000000,644000000
SLND,SERENDIB LAND,1661.2,360000,598032000
ASIY,ASIA SIYAKA,2.3,260000000,598000000
GSF,SUMMIT FINANCE,26.5,22500000,596250000
MAL,MALWATTE,2.9,202792331,588097759.9
HSIG,HOTEL SIGIRIYA,100,5859000,585900000
CITK,CITRUS KALPITIYA,3.6,161200010,580320036
CIT,COLOMBO INVESTMENT TRUST,88,6500000,572000000
RWSL,RAIGAM SALTERNS,2,282207320,564414640
LLMP,LUCKY LANKA,3.2,176028410,563290912
CALF,COLOMBO TRUST,12.1,46519243,562882840.3
SINI,SINGER INDUSTRIES,145.5,3846300,559636650
MARA,MARAWILA RESORTS,2.4,228000000,547200000
SIGV,SIGIRIYA VILLAGE,60,9000000,540000000
ABAN,ABANS ELECTRICALS,100.1,5110560,511567056
BRR,BANSEI RESORTS,9.4,53728000,505043200
MPRH,METROPOLITAN RESOURCES ,28.1,17264802,485140936.2
RFL,RAMBODA FALLS,23,20000000,460000000
CFI,COLOMBO FORT INVESTMENTS,69.5,6500000,451750000
AMCL,CAPITAL LEASING,22.4,20000000,448000000
HOPL,HORANA,17.9,25000000,447500000
CTBL,CEYLON TEA BROKERS,3.9,114000000,444600000
SING,STANDARD CAPITAL,80.1,5540828,443820322.8
AGAL,AGALAWATTE,17.5,25000000,437500000
MASK,MASKELIYA,7.9,53953489,426232563.1
ALUF,ALUFAB,35.1,12058200,423242820
LITE,LAXAPANA,10.5,39000000,409500000
HVA,HVA FOODS,6,66428660,398571960
OGL,ORIENT GARMENTS,7,54916656,384416592
TFC,THE FINANCE CO.,6.6,57966232,382577131.2
LPRT,LAKE HOUSE PRINTERS,130,2937245,381841850
SIL,SAMSON INTERNATIONAL,90.1,4232771,381372667.1
UDPL,UDAPUSSELLAWA,19.4,19398850,376337690
TESS,TESS AGRO,1.3,280000000,364000000
ASCO,ASCOT HOLDINGS,28.5,12657555,360740317.5
KOTA,KOTAGALA,8.9,40000000,356000000
PCHH,ADAM CAPITAL,1.4,252000242,352800338.8
GEST,GESTETNER,120,2657812,318937440
MULL,MULLERS,1.1,283000000,311300000
BLUE,BLUE DIAMONDS,1.5,206601782,309902673
MFL,MULTI FINANCE,13.1,22462039,294252710.9
MEL,MACKWOODS ENERGY,2.9,100000000,290000000
