Dividend Records - 2011,,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price,
2011-04-08 00:00:00,CFIN-N-0000,SECOND INTERIM DIVIDEND OF RS.3.00 PER SHARE,2011-04-25 00:00:00,2011-05-05 00:00:00,1404.6,1443.1,
2011-04-19 00:00:00,HARI-N-0000, INTERIM DIVIDEND OF RS.15.00 PER SHARE,2011-04-29 00:00:00,2011-05-11 00:00:00,1600,2181.3,
2011-04-20 00:00:00,CARE-N-0000,FINAL DIVIDEND OF RS.2.50 PER SHARE,2011-05-03 00:00:00,2011-05-12 00:00:00,260.6,252.4,
2011-04-20 00:00:00,TSML-N-0000,FIRST & FINAL DIVIDEND OF RS.5.00 PER SHARE,2011-05-03 00:00:00,2011-05-12 00:00:00,209.8,185,
2011-04-21 00:00:00,JKL-N-0000,FIRST & FINAL DIVIDEND OF RS.5.00 PER SHARE,2011-05-04 00:00:00,2011-05-13 00:00:00,202.6,201.7,
2011-04-21 00:00:00,NEST-N-0000,FINAL DIVIDEND OF RS.22.50 PER SHARE,2011-05-26 00:00:00,2011-06-03 00:00:00,727,709.8,
2011-04-26 00:00:00,GOOD-N-0000,FIRST & FINAL DIVIDEND OF RS.14.05 PER SHARE,2011-06-06 00:00:00,2011-06-14 00:00:00,1000,1030,
2011-04-26 00:00:00,INDO-N-0000,FIRST & FINAL DIVIDEND OF RS.10.60 PER SHARE,2011-06-06 00:00:00,2011-06-14 00:00:00,1200,1000,
2011-04-26 00:00:00,SELI-N-0000,FIRST & FINAL DIVIDEND OF RS.20.60 PER SHARE,2011-06-06 00:00:00,2011-06-14 00:00:00,1001,1050.1,
2011-04-26 00:00:00,SHAL-N-0000,FIRST & FINAL DIVIDEND OF RS.14.00 PER SHARE,2011-06-06 00:00:00,2011-06-14 00:00:00,800.1,800.1,
2011-04-27 00:00:00,AHPL-N-0000,FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE,2011-05-09 00:00:00,2011-05-20 00:00:00,188,186,
2011-04-27 00:00:00,LWL-N-0000,SECOND INTERIM DIVIDEND OF RS.1.50 PER SHARE (NET OF TAX),2011-05-09 00:00:00,2011-05-20 00:00:00,164.8,164.9,
2011-04-28 00:00:00,CCS-N-0000,FIRST & FINAL DIVIDEND OF RS.4.00 PER SHARE,2011-05-10 00:00:00,2011-05-23 00:00:00,799.9,850,
2011-04-28 00:00:00,CTC-N-0000,FIRST INTERIM DIVIDEND OF RS.4.20 PER SHARE,2011-05-10 00:00:00,2011-05-20 00:00:00,384.2,378.4,
2011-04-29 00:00:00,RCL-N-0000,SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE(TAX FREE),2011-05-11 00:00:00,2011-05-20 00:00:00,152.1,152.3,
2011-04-29 00:00:00,TRAN-N-0000,FIRST & FINAL DIVIDEND OF RS.3.00 PER SHARE,2011-05-11 00:00:00,2011-05-24 00:00:00,198.8,186,
2011-05-03 00:00:00,NEH-N-0000,INTERIM DIVIDEND OF RS.5.00 PER SHARE,2011-05-12 00:00:00,2011-05-25 00:00:00,1544.7,1593.3,
2011-05-04 00:00:00,LHL-N-0000,FINAL DIVIDEND OF RS.1.00 PER SHARE,2011-06-29 00:00:00,2011-07-07 00:00:00,58.6,56,
2011-05-05 00:00:00,DFCC-N-0000,FINAL DIVIDEND OF RS.3.00 PER SAHRE,2011-07-01 00:00:00,2011-07-11 00:00:00,146.4,145.7,
2011-05-05 00:00:00,ETWO-N-0000,FINAL DIVIDEND OF RS.0.20 PER SHARE,2011-06-22 00:00:00,2011-06-30 00:00:00,33.6,30.5,
2011-05-05 00:00:00,GLAS-N-0000,FIRST & FINAL DIVIDEND OF RS.0.30 PER SHARE,2011-08-12 00:00:00,2011-08-22 00:00:00,8.8,8.6,
2011-05-05 00:00:00,PEG-N-0000,FIRST & FINAL DIVIDEND OF RS.0.30 PER SHARE,2011-06-18 00:00:00,2011-06-28 00:00:00,68,69.7,
2011-05-06 00:00:00,MBSL-N-0000,FINAL DIVIDEND OF RS. 1.25 PER SHARE,2011-06-27 00:00:00,2011-07-05 00:00:00,44.4,44.3,
2011-05-09 00:00:00,LION-N-0000,FIRST INTERIM DIVIDEND OF RS.4.00 PER SHARE,2011-05-20 00:00:00,2011-05-30 00:00:00,237,234.5,
2011-05-11 00:00:00,CDIC-N-0000,FINAL DIVIDEND OF RS.4.10 PER SHARE,2011-06-29 00:00:00,2011-07-07 00:00:00,350,326.1,
2011-05-11 00:00:00,CHL-N-0000,INTERIM DIVIDEND OF RS. 1.50 PER SHARE(VOTING & NON-VOTING),2011-05-23 00:00:00,2011-06-01 00:00:00,100,97,
2011-05-11 00:00:00,HAYC-N-0000,FINAL DIVIDEND OF RS.2.00 PER SHARE,2011-06-28 00:00:00,2011-07-05 00:00:00,138.6,137.5,
2011-05-11 00:00:00,VLL-N-0000,INTERIM DIVIDEND OF RS. 0.10 PER SHARE,2011-05-24 00:00:00,2011-06-02 00:00:00,6.4,6.5,
2011-05-12 00:00:00,CWM-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-05-25 00:00:00,2011-06-03 00:00:00,91.2,91.2,
2011-05-12 00:00:00,DIPD-N-0000,FINAL DIVIDEND OF RS. 1.50 PER SHARE,2011-06-29 00:00:00,2011-07-06 00:00:00,103.9,100,
2011-05-19 00:00:00,CTLD-N-0000,FINAL DIVIDEND OF RS. 0.60 PER SHARE,2011-06-24 00:00:00,2011-07-04 00:00:00,29.3,28.1,
2011-05-20 00:00:00,DIMO-N-0000,FINAL DIVIDEND OF RS. 20.00 PER SHARE,2011-05-31 00:00:00,2011-06-09 00:00:00,1638.9,1600.3,
2011-05-20 00:00:00,HAYL-N-0000,FIRST & FINAL DIVIDEND OF RS. 4.00 PER SHARE (NOT LIABLE TO 10% DIVIDEND TAX),2011-06-30 00:00:00,2011-07-08 00:00:00,375,379.6,
2011-05-20 00:00:00,JKH-N-0000,FINAL DIVIDEND OF RS.1 PER SHARE,2011-05-31 00:00:00,2011-06-09 00:00:00,300,300,
2011-05-20 00:00:00,RCL-N-0000,FINAL DIVIDEND OF RS. 1.00 PER SHARE,2011-06-30 00:00:00,2011-07-06 00:00:00,152.8,155.1,
2011-05-23 00:00:00,CIC-N-0000,FINAL DIVIDEND OF RS. 2.00 PER SHARE (VOTING AND NON VOTING),2011-07-01 00:00:00,2011-07-11 00:00:00,136.3,136.2,
2011-05-23 00:00:00,WATA-N-0000,FINAL DIVIDEND OF RS.0.85 PER SHARE,2011-07-11 00:00:00,2011-07-20 00:00:00,22.7,21,
2011-05-24 00:00:00,CHMX-N-0000,FINAL DIVIDEND OF RS. 1.00 PER SHARE,2011-07-01 00:00:00,2011-07-11 00:00:00,115,115,
2011-05-24 00:00:00,KOTA-N-0000,INTERIM DIVIDEND OF RS. 5.00 PER SHARE,2011-06-02 00:00:00,2011-06-13 00:00:00,171.7,166.1,
2011-05-25 00:00:00,ODEL-N-0000,FINAL DIVIDEND OF RS. 0.25 PER SHARE,2011-06-03 00:00:00,2011-06-14 00:00:00,40,40.1,
2011-05-26 00:00:00,HHL-N-0000,FINAL DIVIDEND OF RS. 0.25 PER SHARE,2011-07-01 00:00:00,2011-07-11 00:00:00,44.6,44.3,
2011-05-26 00:00:00,PCH-N-0000,FINAL DIVIDEND OF RS. 0.25 PER SHARE (APPROVAL NOT REQUIRED),2011-06-06 00:00:00,2011-06-16 00:00:00,18.5,18.1,
2011-05-27 00:00:00,BREW-N-0000,FIRST & FINAL DIVIDEND OF RS.4.00 PER SHARE,2011-06-27 00:00:00,2011-07-05 00:00:00,500,379.5,
2011-05-27 00:00:00,CARS-N-0000,FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE,2011-07-01 00:00:00,2011-07-11 00:00:00,600,580.1,
2011-05-27 00:00:00,CINV-N-0000,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE,2011-06-30 00:00:00,2011-07-08 00:00:00,130,129.1,
2011-05-27 00:00:00,GUAR-N-0000,FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE,2011-06-30 00:00:00,2011-07-08 00:00:00,302,302.3,
2011-05-27 00:00:00,KGAL-N-0000,FINAL DIVIDEND OF RS. 0.50 PER SHARE,2011-07-01 00:00:00,2011-07-08 00:00:00,183.1,182.6,
2011-05-27 00:00:00,NAMU-N-0000,FINAL DIVIDEND OF RS. 0.70 PER SHARE,2011-07-01 00:00:00,2011-07-08 00:00:00,112.5,112.2,
2011-05-27 00:00:00,RICH-N-0000,FINAL DIVIDEND OF RS. 0.10 PER SHARE,2011-07-01 00:00:00,2011-07-08 00:00:00,12,11.9,
2011-05-27 00:00:00,UML-N-0000,FIRST & FINAL DIVIDEND OF RS. 3.25 PER SHARE,2011-06-30 00:00:00,2011-07-08 00:00:00,137.9,135,
2011-05-30 00:00:00,AHUN-N-0000,FIRST & FINAL DIVIDEND OF RS. 0.50 PER SHARE,2011-06-30 00:00:00,2011-07-08 00:00:00,75,75.7,
2011-05-30 00:00:00,SFIN-N-0000,FINAL DIVIDEND OF RS.0.40 PER SHARE,2011-06-08 00:00:00,2011-06-20 00:00:00,33.6,33.1,
2011-05-30 00:00:00,SPEN-N-0000,FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE,2011-06-30 00:00:00,2011-07-08 00:00:00,136.5,137.6,
2011-05-31 00:00:00,KOTA-N-0000,FINAL DIVIDEND OF RS.5.00 PER SHARE,2011-07-01 00:00:00,2011-07-11 00:00:00,139.7,132.7,
2011-05-31 00:00:00,UCAR-N-0000,FINAL DIVIDEND OF RS.6.00 PER SHARE,2011-06-13 00:00:00,2011-06-14 00:00:00,810,750,
2011-06-01 00:00:00,HUNT-N-0000,FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE,2011-07-01 00:00:00,2011-07-07 00:00:00,949.6,930,
2011-06-06 00:00:00,PAP-N-0000,INTERIM DIVIDEND OF RS.0.25 PER SHARE,2011-06-16 00:00:00,2011-06-27 00:00:00,6.2,5.8,
2011-06-06 00:00:00,SUN-N-0000,FINAL DIVIDEND OF RS. 0.30 PER SHARE,2011-08-01 00:00:00,2011-08-09 00:00:00,42.2,41,
