,,,,DIVIDEND ANNOUNCEMENTS 2018 ,,,,
2018-03-05 00:00:00, BREW-N-0000, CEYLON BEVERAGE,7, Rs. 7.00 per share / First Interim Dividend  Financial Year:- 2017/2018, 14-MAR-18, 22-MAR-18,700.2,671.9
2018-03-05 00:00:00, ELPL-N-0000, ELPITIYA,1.25, Rs. 1.25 per share / Interim Dividend  Financial Year:- 2017/2018 , 14-MAR-18, 23-MAR-18,28.7,29
2018-03-05 00:00:00, LION-N-0000, LION  BREWERY,4, Rs. 4.00 per share / First Interim Dividend  Financial Year:- 2017/2018 , 14-MAR-18, 22-MAR-18,551,544.5
2018-03-05 00:00:00, AEL-N-0000, ACCESS ENG SL,0.5, Rs. 0.50 per share / Second Interim Dividend  Financial Year:- 2017/2018 , 14-MAR-18, 23-MAR-18,21.6,21.7
2018-03-06 00:00:00, ETWO-N-0000, EQUITY TWO PLC,2.25, Rs. 2.25 per share / First Interim Dividend (Subject to a dividend tax of 10%)  Financial Year:- 2017/2018 , 15-MAR-18, 23-MAR-18,62.5,68.8
2018-03-06 00:00:00, CINV-N-0000, CEYLON INV.,2, Rs. 2.00 per share / First Interim Dividend (Not subject to a Tax)  FY:- 2017/2018 , 15-MAR-18, 23-MAR-18,46.4,44
2018-03-06 00:00:00, TPL-N-0000, TALAWAKELLE,4, Rs. 4.00 per share/Interim Dividend (Liable to 10% Dividend tax)FY:- 2017/2018 , 15-MAR-18, 23-MAR-18,58.9,55
2018-03-06 00:00:00, NEST-N-0000, NESTLE,25, Rs. 25.00 per share / Final Dividend  Financial Year: - 2017 , 08-MAY-18, 16-MAY-18,1750.3,1750.3
2018-03-07 00:00:00, GUAR-N-0000, CEYLON GUARDIAN,3, Rs. 3.00 per share /1st Interim Dividend (Not subject to tax)  FY: - 2017/2018 , 16-MAR-18, 26-MAR-18,83.5,83
2018-03-07 00:00:00, TRAN-N-0000, TRANS ASIA,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 16-MAR-18, 27-MAR-18,90,96.2
2018-03-07 00:00:00, LALU-N-0000, LANKA ALUMINIUM,1.5, Rs. 1.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 16-MAR-18, 27-MAR-18,69,69
2018-03-07 00:00:00, TILE-N-0000, LANKA TILES,6, Rs. 6.00 per share / Second Interim Dividend  Financial Year: - 2017/2018 , 16-MAR-18, 26-MAR-18,107.5,107.5
2018-03-08 00:00:00, REXP-N-0000, RICH PIERIS EXP,16, Rs. 16.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 19-MAR-18, 26-MAR-18,187.8,173.3
2018-03-08 00:00:00, LWL-N-0000, LANKA WALLTILE,5.5, Rs. 5.50 per share / second Interim Dividend  Financial Year: - 2017/2018 , 19-MAR-18, 27-MAR-18,101.7,96.9
2018-03-08 00:00:00, HPWR-N-0000, RESUS ENERGY,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 19-MAR-18, 28-MAR-18,22.6,21.1
2018-03-08 00:00:00, LAMB-N-0000, KOTMALE HOLDINGS,16, Rs. 16.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 19-MAR-18, 28-MAR-18,215.4,200.7
2018-03-08 00:00:00, CARS-N-0000, CARSONS,2, Rs. 2.00 per share / First Interim Dividend  Financial Year: - 2017/2018 , 19-MAR-18, 27-MAR-18,174.9,170
2018-03-09 00:00:00, VFIN-N-0000, VALLIBEL FINANCE,3.5, Rs. 3.50 per share / Interim  Financial Year: - 2017/2018 , 20-MAR-18, 29-MAR-18,73,69
2018-03-09 00:00:00, AHPL-N-0000, AHOT PROPERTIES,1, Rs. 1.00 per share / Interim  Financial Year: - 2017/2018 , 20-MAR-18, 29-MAR-18,55.8,53.7
2018-03-09 00:00:00, MORI-X-0000, MORISONS,15, Rs. 15.00 per share / Interim (Voting & Non-Voting)  Financial Year: - 2017/2018 , 20-MAR-18, 29-MAR-18,421,421
2018-03-09 00:00:00, MORI-N-0000, MORISONS,15, Rs. 15.00 per share / Interim (Voting & Non-Voting)  FY: - 2017/2018 , 20-MAR-18, 29-MAR-18,530.3,530.3
2018-03-09 00:00:00, BUKI-N-0000, BUKIT DARAH,1.35, Rs. 1.35 per share /1st Interim Dividend (not be subject to tax)  FY: -2017/2018 , 20-MAR-18, 28-MAR-18,224,224
2018-03-09 00:00:00, UML-N-0000, UNITED MOTORS,3.5, Rs. 3.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 20-MAR-18, 29-MAR-18,78,79.9
2018-03-09 00:00:00, ALLI-N-0000, ALLIANCE,4.15, Rs. 4.15 per share / Interim Dividend  Financial Year: - 2017/2018 , 20-MAR-18, 29-MAR-18,72.9,69.7
2018-03-09 00:00:00, CIC-N-0000, CIC,1, Rs. 1.00 per share / Interim Dividend (Voting & Non-Voting)  FY:-2017/2018 , 20-MAR-18, 29-MAR-18,61.1,61
2018-03-09 00:00:00, CIC-X-0000, CIC,1, Rs. 1.00 per share / Interim Dividend (Voting & Non-Voting)  FY: - 2017/2018 , 20-MAR-18, 29-MAR-18,44.5,44
2018-03-09 00:00:00, CHMX-N-0000, CHEMANEX,1, Rs. 1.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 20-MAR-18, 29-MAR-18,62.5,55.3
2018-03-09 00:00:00, ASIR-N-0000, ASIRI,0.6, Rs. 0.60 per share / Interim (Tax free)  Financial Year: - 2017/2018 , 20-MAR-18, 29-MAR-18,23.4,23.4
2018-03-12 00:00:00, PEG-N-0000, PEGASUS HOTELS,0.55, Rs. 0.55 per share / First Interim Dividend (Subject to a dividend tax of 10%)  Financial Year:- 2017/2018 , 15-MAR-18, 23-MAR-18,30.8,28
2018-03-12 00:00:00, ALUM-N-0000, ALUMEX PLC,0.55,  Rs. 0.55 per share / Interim Dividend (Cents 43 not liable to Tax & cents 12 liable to 10% Dividend tax) FY: - 2017/2018 , 21-MAR-18, 29-MAR-18,17.2,16.9
2018-03-12 00:00:00, VLL-N-0000, VIDULLANKA,0.1, Rs. 0.10 per share / Interim  Financial Year: - 2017/2018 , 21-MAR-18, 29-MAR-18,5,4.8
2018-03-12 00:00:00, SINS-N-0000, SINGER SRI LANKA,2.2, Rs. 2.20 per share / Interim Dividend (Rs. 2.07 not liable to Tax & cents 13 subject to 10% Dividend tax)  FY:-2017/2018    , 21-MAR-18, 29-MAR-18,40,40
2018-03-12 00:00:00, LITE-N-0000, LAXAPANA,0.77, Rs. 0.77 per share / Interim Dividend  Financial Year: - 2017/2018 , 21-MAR-18, 27-MAR-18,11.3,10.5
2018-03-13 00:00:00, NAMU-N-0000, NAMUNUKULA,14, Rs. 14.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 22-MAR-18, 29-MAR-18,105.7,94.6
2018-03-13 00:00:00, RCL-N-0000, ROYAL CERAMIC,5, Rs. 5.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 22-MAR-18, 29-MAR-18,114,107.2
2018-03-13 00:00:00, MULL-N-0000, MULLERS,0.05, Rs. 0.05 per share / Interim  Financial Year: - 2017/2018 , 22-MAR-18, 28-MAR-18,1,0.9
2018-03-13 00:00:00, MAL-X-0000, MALWATTE,0.12, Rs. 0.12 per share / Interim (Voting & Non-Voting)  Financial Year: - 2017 , 22-MAR-18, 29-MAR-18,8.6,8.6
2018-03-13 00:00:00, MAL-N-0000, MALWATTE,0.12, Rs. 0.12 per share / Interim (Voting & Non-Voting)  Financial Year: - 2017 , 22-MAR-18, 29-MAR-18,9.5,9.3
2018-03-13 00:00:00, KGAL-N-0000, KEGALLE,7.5, Rs. 7.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 22-MAR-18, 27-MAR-18,74,67.9
2018-03-14 00:00:00, HPL-N-0000, HATTON,0.5, Rs. 0.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 23-MAR-18, 27-MAR-18,8.3,7.6
2018-03-14 00:00:00, SFIN-N-0000, SINGER FINANCE,0.97, Rs. 0.97 per share / Interim (Subject to 10% Dividend Tax)  FY: - 2017/2018 , 23-MAR-18, 29-MAR-18,16.3,15.8
2018-03-14 00:00:00, WATA-N-0000, WATAWALA,0.75, Rs. 0.75 per share / Interim Dividend  Financial Year: - 2017/2018 , 23-MAR-18, 27-MAR-18,29.1,28.5
2018-03-15 00:00:00, DIMO-N-0000, DIMO,20, Rs. 20.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 26-MAR-18, 29-MAR-18,476.3,476.3
2018-03-15 00:00:00, SIGV-N-0000, SIGIRIYA VILLAGE,4, Rs. 4.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 26-MAR-18, 29-MAR-18,47.8,45.8
2018-03-16 00:00:00, TKYO-X-0000, TOKYO CEMENT,1.25, Rs. 1.25 per share / Interim Dividend (Voting & Non-Voting)  FY: - 2017/2018  , 27-MAR-18, 31-MAR-18,47.5,46
2018-03-16 00:00:00, TKYO-N-0000, TOKYO CEMENT,1.25, Rs. 1.25 per share / Interim Dividend (Voting & Non-Voting)  FY: - 2017/2018  , 27-MAR-18,2018-03-31 00:00:00,53.9,54.5
2018-03-19 00:00:00, LHL-N-0000, LIGHTHOUSE HOTEL,2.5, Rs. 2.50 per share / Interim  Financial Year: - 2017/2018 , 28-MAR-18, 29-MAR-18,43.3,39.8
2018-03-20 00:00:00, PHAR-N-0000, COLOMBO CITY,15, Rs. 15.00 per share / Interim  Financial Year: - 2017/2018  , 29-MAR-18, 31-MAR-18,765,764.9
2018-03-21 00:00:00, CFVF-N-0000, FIRST CAPITAL,2, Rs. 2.00 per share / Interim  Financial Year: - 2017/2018 , 02-APR-18, 11-APR-18,31.8,30.3
2018-03-28 00:00:00, SDB-N-0000, SANASA DEV. BANK,2.5, Rs. 2.50 per share (Subject to 14% Dividend tax)/ Final Dividend  FY: - 2017 , 23-MAY-18, 01-JUN-18,103.3,100.5
2018-03-28 00:00:00, LVEF-N-0000, LVL ENERGY,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year: - 2017/2018 , 09-APR-18, 11-APR-18,9.9,9.8
2018-03-29 00:00:00, GRAN-N-0000, GRAIN ELEVATORS,2, Rs. 2.00 per share/First & Final Dividend  Financial Year: - 2017 , 10-MAY-18, 18-MAY-18,71.8,70
2018-03-29 00:00:00, SEMB-N-0000, S M B LEASING,0.02, Rs. 0.02 per share / Interim Dividend (Voting and Non-Voting)  FY: - 2017 , 10-APR-18, 20-APR-18,0.5,0.6
2018-03-29 00:00:00, SEMB-X-0000, S M B LEASING,0.02, Rs. 0.02 per share / Interim Dividend (Voting and Non-Voting)  FY: - 2017 , 10-APR-18, 20-APR-18,0.3,0.3
2018-03-29 00:00:00, TAFL-N-0000, THREE ACRE FARMS,3, Rs. 3.00 per share/First & Final Dividend  Financial Year: - 2017 , 10-MAY-18, 18-MAY-18,113,113
2018-03-29 00:00:00, BERU-N-0000, BERUWALA RESORTS,0.05, Rs. 0.05 per share /First & Final Dividend  Financial Year: - 2017/2018 , 03-AUG-18, 13-AUG-18,0.8,0.7
2018-04-02 00:00:00, ECL-N-0000, E - CHANNELLING,0.25, Rs. 0.25 per share / Final Dividend  Financial Year: - 2017 , 11-APR-18, 23-APR-18,5.9,5.9
2018-04-02 00:00:00, SLTL-N-0000, SLT,0.89, Rs. 0.89 per share / First and Final Dividend  Financial Year: - 2017 , 10-MAY-18, 18-MAY-18,27.1,27
2018-04-04 00:00:00, NEST-N-0000, NESTLE,25, Rate of Dividend: - Rs. 25.00 per share / Final Dividend  Financial Year: - 2017 , 09-MAY-18, 17-MAY-18,1750.3,1711.3
2018-04-05 00:00:00, PDL-N-0000, PDL,3.5, Rs. 3.50 per share / First and Final Dividend  Financial Year: - 2017 , 31-MAY-18, 08-JUN-18,122.4,125
2018-04-11 00:00:00, DIAL-N-0000, DIALOG,0.46, Rs. 0.46 per share (Subject to tax) / Final Dividend  Financial Year: - 2017 , 11-MAY-18, 21-MAY-18,14.4,14.2
2018-04-11 00:00:00, SFCL-N-0000, SENKADAGALA,1, Rs. 1.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 23-APR-18, 03-MAY-18,90,90
2018-04-25 00:00:00, BFL-N-0000, BAIRAHA FARMS,3, Rate of Dividend: - Rs. 3.00 per share / 2nd Interim  Financial Year: - 2017/2018 , 08-MAY-18, 17-MAY-18,133.1,132.3
2018-04-25 00:00:00, CINS-N-0000, CEYLINCO INS.,31.5, Rs. 31.50 per share / First and Final Dividend (Voting & Non-Voting)  FY: - 2017 , 28-MAY-18, 05-JUN-18,1799.7,1795
2018-04-25 00:00:00, CINS-X-0000, CEYLINCO INS.,31.5, Rs. 31.50 per share / First and Final Dividend (Voting & Non-Voting)  FY: - 2017 , 28-MAY-18, 05-JUN-18,1002.2,1000
2018-04-26 00:00:00, UCAR-N-0000, UNION CHEMICALS,6, Rs. 6.00 per share / Final Dividend  Financial Year: - 2017 , 04-JUN-18, 11-JUN-18,420,455
2018-04-27 00:00:00, LLUB-N-0000, CHEVRON,2.25, Rate of Dividend: - Rs. 2.25 per share / First Interim  Financial Year: - 2018 , 10-MAY-18, 21-MAY-18,89.6,87.9
2018-05-03 00:00:00, UML-N-0000, UNITED MOTORS,1.5, Rs. 1.50 per share / Final Dividend  Financial Year: - 2017/2018 , 29-JUN-18, 06-JUL-18,85.5,85
2018-05-04 00:00:00, HARI-N-0000, HARISCHANDRA,20, Rs. 20.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 16-MAY-18, 24-MAY-18,1351.1,1351.1
2018-05-08 00:00:00, LIOC-N-0000, LANKA IOC,0.65, Rs. 0.65 per share / First and Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,32.9,32
2018-05-08 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,0.75, Rs. 0.75 per share / Final Dividend (Not Liable to 10% dividend tax)  Financial Year: - 2017/2018 , 28-JUN-18, 06-JUL-18,64.3,64.3
2018-05-09 00:00:00, GLAS-N-0000, PIRAMAL GLASS,0.18, Rs. 0.18 per share / First & Final Dividend  Financial Year: - 2017/2018 , 08-AUG-18, 16-AUG-18,4.6,4.5
2018-05-09 00:00:00, KVAL-N-0000, KELANI VALLEY,1, Rs. 1.00 per share / First & Final Dividend (Not Liable to 14% Dividend Tax)  Financial Year: - 2017/2018 , 25-JUN-18, 04-JUL-18,84.5,84.5
2018-05-11 00:00:00, ALUM-N-0000, ALUMEX PLC,0.45,  Cents 45 per share / Final Dividend (Cents 20 per share not liable to 14% Tax), 20-JUN-18, 29-JUN-18,14.9,14
2018-05-14 00:00:00, HAYC-N-0000, HAYCARB,6, Rs.6.00 per share / First & Final Dividend (Not liable to 14% Dividend Tax)  Financial Year: - 2017/2018 , 29-JUN-18, 09-JUL-18,127,127
2018-05-15 00:00:00, CTC-N-0000, CEYLON TOBACCO,18, Rs.18.00 per share / First Interim (Less Withholding Tax)  Financial Year: - 2018 , 24-MAY-18, 05-JUN-18,1060,1051.3
2018-05-15 00:00:00, TPL-N-0000, TALAWAKELLE,2.5, Rs.2.50 per share / Final Dividend (Cents 8 per share not liable to 14% Dividend Tax, 26-JUN-18, 05-JUL-18,51,51
2018-05-17 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,3, Rs. 3.00 per share / First & Final Dividend (Rs.2.49 per share not liable to 14% Dividend Tax), 29-JUN-18, 09-JUL-18,79,79
2018-05-18 00:00:00, CHL-N-0000, DURDANS,2.74, Rs. 2.74 per share / Interim Dividend (Voting & Non-Voting)  FY: - 2017/2018  ,2018-05-30 00:00:00, 08-JUN-18,84.3,82.1
2018-05-18 00:00:00, CHL-X-0000, DURDANS,2.74, Rs. 2.74 per share / Interim Dividend (Voting & Non-Voting)  FY: - 2017/2018,2018-05-30 00:00:00, 08-JUN-18,71.5,70.1
2018-05-21 00:00:00, HAYL-N-0000, HAYLEYS,5, Rs.5.00 per share / First & Final Dividend (Not liable to 14% Dividend Tax)  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,213.8,205.1
2018-05-21 00:00:00, MAL-X-0000, MALWATTE,0.03, Rs.0.03 per share / Final Dividend (Voting & Non-Voting)  Financial Year: - 2017 , 25-JUN-18, 04-JUL-18,5.8,5.6
2018-05-21 00:00:00, MAL-N-0000, MALWATTE,0.03, Rs.0.03 per share / Final Dividend (Voting & Non-Voting)  Financial Year: - 2017 , 25-JUN-18, 04-JUL-18,6.9,6.8
2018-05-22 00:00:00, KFP-N-0000, KEELLS FOOD,4, Rs.4.00 per share / Final Dividend  Financial Year: - 2017/2018 , 01-JUN-18, 12-JUN-18,137,139.9
2018-05-22 00:00:00, SPEN-N-0000, AITKEN SPENCE,2, Rs.2.00 per share / First & Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,51.5,51.8
2018-05-22 00:00:00, AHUN-N-0000, A.SPEN.HOT.HOLD.,1.25, Rs.1.25 per share / First & Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,29.8,28.6
2018-05-23 00:00:00, TRAN-N-0000, TRANS ASIA,1, Rs.1.00 per share / Final Dividend  Financial Year: - 2017/2018 , 04-JUN-18, 13-JUN-18,81.1,87
