,,,,DIVIDEND ANNOUNCEMENTS 2016,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE,,
2016-05-12 00:00:00, PEG-N-0000, PEGASUS HOTELS,0.5, First & Final.Rs.0.5 Per Share, 16-JUN-16, 24-JUN-16,38,37.8,,
2016-05-13 00:00:00, CONN-N-0000, AMAYA LEISURE,2, First & Final.Rs.2 Per Share FY 2015/2016, 24-JUN-16, 04-JUL-16,71,68.5,,
2016-05-13 00:00:00, AHUN-N-0000, AITKEN SPEN.HOT.HOLD.,1.25, First & Final.Rs.1.25 Per Share, 01-JUL-16, 12-JUL-16,54,52,,
2016-05-13 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,0.5, First & Final.Rs.0.5 Per Share, 28-JUN-16, 07-JUL-16,58.4,60.5,,
2016-05-13 00:00:00, SPEN-N-0000, AITKEN SPENCE,1.5, First & Final.Rs.1.5 Per Share, 01-JUL-16, 12-JUL-16,70,70,,
2016-05-17 00:00:00, ALUM-N-0000, ALUMEX PLC,0.45, Final Dividend, 24-JUN-16, 04-JUL-16,17.7,17,,
2016-05-17 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,2, First & Final Dividend, 29-JUN-16, 08-JUL-16,94,93,,
2016-05-17 00:00:00, TJL-N-0000, TEEJAY LANKA,1, Rs. 1.00 Per Share / Final Dividend , 18-AUG-16, 26-AUG-16,40.2,40,,
2016-05-18 00:00:00, HAYC-N-0000, HAYCARB,4, Final Dividend, 29-JUN-16, 07-JUL-16,170,165.1,,
2016-05-18 00:00:00, SHOT-N-0000, SERENDIB HOTELS,1, Final Dividend, 25-JUL-16, 02-AUG-16,29.8,29.8,,
2016-05-19 00:00:00, HSIG-N-0000, HOTEL SIGIRIYA,10, Final Dividend/F/Y-2015/2016, 25-JUL-16, 02-AUG-16,120,109,,
2016-05-19 00:00:00, STAF-N-0000, DOLPHIN HOTELS,1, Final Dividend/F/Y-2015/2016, 25-JUL-16, 02-AUG-16,44.1,42.8,,
2016-05-20 00:00:00, BFL-N-0000, BAIRAHA FARMS,4, Final Dividend-F/Y-2015/2016, 01-JUN-16, 10-JUN-16,173.8,172.3,,
2016-05-24 00:00:00, AHPL-N-0000, AHOT PROPERTIES,2, Final 2015/2016, 02-JUN-16, 13-JUN-16,56.6,55.3,,
2016-05-24 00:00:00, CARE-N-0000, PRINTCARE PLC,0.65, Final 2015/2016, 02-JUN-16, 10-JUN-16,38.1,38,,
2016-05-24 00:00:00, SHL-N-0000, SOFTLOGIC HOLDING,0.5, Final 2015/2016, 02-JUN-16, 13-JUN-16,14.5,14.3,,
