Dividend Records - 2001,,,,,,,
Company ID,Type of Shares,Company Name,XD From,Date of Payment,Rate & Description,Cum Price,Ex Price
BFL,Nt0000,BAIRAHA FARMS,2001-06-01 00:00:00,2001-06-14 00:00:00,5.00INTERIM,6.5,6
DIMO,Nt0000,DIMO,2001-06-06 00:00:00,2001-06-18 00:00:00,20.00FINAL,35,33.25
LHL,Nt0000,LIGHTHOUSE HOTEL,2001-06-06 00:00:00,2001-06-16 00:00:00,5.00FIRST & FINAL (TAX FREE),6.5,5.75
HTEC,Nt0000,HAYTECH MARKET.,2001-06-08 00:00:00,2001-06-20 00:00:00,"20.00FIRST & FINAL (13.2% TAXABLE , 6.8% T/F)",13,12
CCS,Nt0000,COLD STORES 8/-,2001-06-11 00:00:00,2001-06-28 00:00:00,50.00FINAL,47,41.25
HEXP,Nt0000,HAYLEYS EXPORTS,2001-06-11 00:00:00,2001-06-21 00:00:00,20.00FINAL,39.25,38.75
EQIT,Nt0000,EQUITY,2001-06-12 00:00:00,2001-06-27 00:00:00,16.00FIRST & FINAL,17,10.25
ETWO,Nt0000,EQUITY TWO LTD,2001-06-12 00:00:00,2001-06-27 00:00:00,6.00FIRST & FINAL,6,5.5
JKH,Nt0000,JKH,2001-06-12 00:00:00,2001-06-29 00:00:00,10.00FINAL,33.5,32.5
JKL,Nt0000,JOHN KEELLS,2001-06-12 00:00:00,2001-06-22 00:00:00,30.00FINAL,39.25,39.25
RECK,Nt0000,RECKIT BENCKISER,2001-06-12 00:00:00,2001-07-06 00:00:00,25.00FIRST & FINAL,24,24
HPP,Nt0000,HAYL. PHOTOPRINT,2001-06-13 00:00:00,2001-06-23 00:00:00,15.00FIRST & FINAL,14,14
SAMP,Nt0000,SAMPATH,2001-06-13 00:00:00,2001-07-09 00:00:00,17.50FIRST & FINAL,36.75,35
UML,Nt0000,UNITED MOTORS,2001-06-13 00:00:00,2001-06-28 00:00:00,20.00FINAL,28.75,27.5
HAYC,Nt0000,HAYCARB,2001-06-14 00:00:00,2001-06-26 00:00:00,"20.00FINAL (18.9% TAXABLE , 1.1% TAX FREE)",40.5,39.5
TSML,Nt0000,TEA SMALLHOLDER,2001-06-14 00:00:00,2001-06-26 00:00:00,15.00FINAL,18,17
DFCC,Nt0000,DFCC,2001-06-15 00:00:00,2001-07-09 00:00:00,45.00FIRST & FINAL,88,67
DIPD,Nt0000,DIPPED PRODUCTS,2001-06-15 00:00:00,2001-06-27 00:00:00,20.00FINAL (TAX FREE),50.5,50.25
LOLC,Nt0000,LOLC,2001-06-15 00:00:00,2001-06-27 00:00:00,12.50FINAL,30.5,35
CTEA,Nt0000,TEA SERVICES,2001-06-15 00:00:00,2001-06-27 00:00:00,15.00INTERIM,75,75
HAYL,Nt0000,HAYLEYS,2001-06-18 00:00:00,2001-06-28 00:00:00,20.00FINAL,75,75
KFP,Nt0000,KEELLS FOOD,2001-06-18 00:00:00,2001-06-28 00:00:00,10.00FINAL,14.25,13
AHUN,Nt0000,A.SPEN.HOT.HOLD.,2001-06-19 00:00:00,2001-06-29 00:00:00,12.00FIRST & FINAL (6% TAX FREE),18,18
SPEN,Nt0000,AITKEN SPENCE,2001-06-19 00:00:00,2001-06-29 00:00:00,25.00FINAL (88.4% TAX FREE),78,78
CHMX,Nt0000,CHEMANEX,2001-06-19 00:00:00,2001-06-29 00:00:00,13.00FINAL,35.5,33
CIC,Nt0000,CIC,2001-06-19 00:00:00,2001-06-29 00:00:00,25.00FINAL (VOTING & NON VOTING CLASS- X),40.75,40.5
COML,Nt0000,COMM. LEASING,2001-06-19 00:00:00,2001-06-29 00:00:00,12.00FINAL,23,23
MAL,Nt0000,MALWATTE,2001-06-19 00:00:00,2001-06-29 00:00:00,20.00SECOND INTERIM,10.5,8.25
REXP,Nt0000,RICH PIERIS EXP,2001-06-19 00:00:00,2001-06-29 00:00:00,15.00FIRST & FINAL (TAX FREE),22.5,20
RICH,Nt0000,RICHARD PIERIS,2001-06-19 00:00:00,2001-06-29 00:00:00,15.00FINAL (TAX FREE),65,65
KGAL,Nt0000,KEGALLE,2001-06-20 00:00:00,2001-07-02 00:00:00,5.00FIRST & FINAL,7.5,7
MASK,Nt0000,MASKELIYA,2001-06-20 00:00:00,2001-07-02 00:00:00,25.00FIRST & FINAL,23.5,22
ITH,Nt0000,INT. TOURISTS,2001-06-21 00:00:00,2001-07-03 00:00:00,20.00FINAL,14.5,14
HLOG,Nt0000,HABARANA LODGE,2001-06-25 00:00:00,2001-07-06 00:00:00,25.00BOOKS KEPT OPEN,26,26
KINN,Nt0000,KANDY WALK INN,2001-06-26 00:00:00,2001-07-09 00:00:00,20.00BOOKS KEPT OPEN,19.25,20
CARG,Nt0000,CARGILLS,2001-06-27 00:00:00,2001-07-10 00:00:00,30.00FINAL,42,37.5
NDB,Nt0000,NAT. DEV. BANK,2001-07-03 00:00:00,2001-07-16 00:00:00,40.00LTD(NBL) FOR EVERY 5 SHARES OF NDB,36.5,34
CDIC,Nt0000,CDIC,2001-07-10 00:00:00,2001-07-20 00:00:00,3.00FINAL,28,25
KHC,Nt0000,KANDY HOTELS 1/-,2001-07-10 00:00:00,2001-07-20 00:00:00,7.50BOOKS KEPT OPEN,16.5,16.5
TKYO,Nt0000,TOKYO CEMENT,2001-07-10 00:00:00,2001-07-20 00:00:00,32.00FINAL (TAX FREE),40,38
SHAW,Nt0000,SHAW WALLACE,2001-07-11 00:00:00,2001-07-26 00:00:00,10FINAL,45,45
LLUB,Nt0000,CALTEX,2001-07-12 00:00:00,2001-07-24 00:00:00,11.50BOOKS KEPT OPEN,51,51
BOPL,Nt0000,BOGAWANTALAWA,2001-07-16 00:00:00,2001-07-26 00:00:00,15.00BOOKS KEPT OPEN,15.5,14.25
CTC,Nt0000,CEYLON TOBACCO,2001-07-17 00:00:00,2001-07-31 00:00:00,12FINAL,25,23
CLND,Nt0000,COLOMBO LAND,2001-07-17 00:00:00,2001-07-27 00:00:00,10.00FINAL,8.75,7.25
HSIG,Nt0000,HOTEL SIGIRIYA,2001-07-19 00:00:00,2001-07-31 00:00:00,10.00BOOKS KEPT OPEN,9.75,9.5
STAF,Nt0000,STAFFORD,2001-07-19 00:00:00,2001-07-31 00:00:00,5.00BOOKS KEPT OPEN,4.25,4.25
GUAR,Nt0000,CEYLON GUARDIAN,2001-07-23 00:00:00,2001-08-07 00:00:00,"65.00(18.36% TAX FREE,46.64% TAXABLE)",85,80
CINV,Nt0000,CEYLON INV.,2001-07-23 00:00:00,2001-08-07 00:00:00,"65.00(11.7% TAX FREE,53.3% TAXABLE)",42,34.25
ONAL,Nt0000,ON'ALLY,2001-07-25 00:00:00,2001-08-07 00:00:00,9.00BOOKS KEPT OPEN,9.25,10
ARPI,Nt0000,ARPICO,2001-07-31 00:00:00,2001-08-18 00:00:00,10 FINAL,6.5,6.75
CARS,Nt0000,CARSONS,2001-08-01 00:00:00,2001-08-17 00:00:00,50 FINAL,1200,1200
TRAN,Nt0000,TRANS ASIA,2001-08-01 00:00:00,2001-08-14 00:00:00,15.00BOOKS KEPT OPEN,24,24
CFIN,Nt0000,CENTRAL FINANCE,2001-08-06 00:00:00,2001-08-16 00:00:00,5.00BOOKS KEPT OPEN,27.75,26.5
UCAR,Nt0000,UNION CHEMICALS,2001-08-07 00:00:00,2001-08-17 00:00:00,35.00BOOKS KEPT OPEN,22.25,24
LVEN,Nt0000,LANKA VENTURES,2001-08-13 00:00:00,2001-08-23 00:00:00,7.50BOOKS KEPT OPEN,7.25,7
RPBH,Nt0000,ROYAL PALMS,2001-08-13 00:00:00,2001-08-23 00:00:00,3.00BOOKS KEPT OPEN,9,9
SIL,Nt0000,SAMSON INTERNAT.,2001-08-16 00:00:00,2001-08-28 00:00:00,10.00BOOKS KEPT OPEN,12,11.5
MADU,Nt0000,MADULSIMA,2001-08-17 00:00:00,2001-08-29 00:00:00,15.00BOOKS KEPT OPEN,9.75,8
BALA,Nt0000,BALANGODA,2001-08-20 00:00:00,2001-08-30 00:00:00,25.00BOOKS KEPT OPEN,17,16
SMOT,Nt0000,SATHOSA MOTORS,2001-08-21 00:00:00,2001-08-31 00:00:00,5.00BOOKS KEPT OPEN,20,20
ACL,Nt0000,ACL,2001-08-24 00:00:00,2001-09-05 00:00:00,5.00BOOKS KEPT OPEN,24,20
MLL,Nt0000,MLL,2001-08-27 00:00:00,2001-09-06 00:00:00,10.00BOOKS KEPT OPEN,9.75,9
PMB,Nt0000,PEOPLE'S MERCH,2001-08-27 00:00:00,2001-09-06 00:00:00,3.20BOOKS KEPT OPEN,4,4
CTLD,Nt0000,C T LAND,2001-09-06 00:00:00,2001-09-18 00:00:00,9.00BOOKS KEPT OPEN,6.75,6
MILL,Nt0000,MILLERS 8/-,2001-09-11 00:00:00,2001-09-21 00:00:00,50.00BOOKS KEPT OPEN,110,
TILE,Nt0000,LANKA TILES,2001-09-14 00:00:00,2001-09-26 00:00:00,20.00BOOKS KEPT OPEN,20.5,18.75
SHOT,Nt0000,SERENDIB HOTELS,2001-09-18 00:00:00,2001-09-28 00:00:00,7.50BOOKS KEPT OPEN,25,25
COMD,Nt0000,COMMERCIAL DEV.,2001-09-21 00:00:00,2001-09-27 00:00:00,21.00BOOKE KEPT OPEN,18,15
MPRH,Nt0000,MET. RES. HOL.,2001-09-21 00:00:00,2001-10-04 00:00:00,6.00BOOKS KEPT OPEN,20,
LALU,Nt0000,LANKA ALUMINIUM,2001-09-24 00:00:00,2001-10-05 00:00:00,8.00BOOKS KEPT OPEN,8.5,7.5
BFL,Nt0000,BAIRAHA FARMS,2001-09-27 00:00:00,2001-10-10 00:00:00,3.00BOOKS KEPT OPEN,6,6
CTEA,Nt0000,TEA SERVICES,2001-09-27 00:00:00,2001-10-10 00:00:00,15.00BOOKS KEPT OPEN,75,80
ASIR,Nt0000,ASIRI,2001-10-01 00:00:00,2001-10-12 00:00:00,5.00BOOKS KEPT OPEN,17,17
ALLI,Nt0000,ALLIANCE,2001-10-05 00:00:00,2001-10-24 00:00:00,15 FINAL,24.25,24
PHAR,Nt0000,COL PHARMACY 5/-,2001-10-05 00:00:00,2001-10-17 00:00:00,35.00BOOKS KEPT OPEN,200,
ASPH,Nt0000,INDUSTRIAL ASPH.,2001-10-05 00:00:00,2001-10-17 00:00:00,15.00BOOKE KEPT OPEN,38,
MORI,Nt0000,MORISONS,2001-10-09 00:00:00,2001-10-30 00:00:00,55FINAL,100,130
KCAB,Nt0000,KELANI CABLES,2001-10-15 00:00:00,2001-10-25 00:00:00,25.00BOOKS KEPT OPEN,29,35.5
TFC,Nt0000,THE FINANCE CO.,2001-10-15 00:00:00,2001-10-25 00:00:00,20.00BOOKS KEPT OPEN,19,19
LLUB,Nt0000,CALTEX,2001-10-16 00:00:00,2001-10-26 00:00:00,11.50BOOKS KEPT OPEN,64,61
CFIN,Nt0000,CENTRAL FINANCE,2001-10-16 00:00:00,2001-10-26 00:00:00,5.00BOOKS KEPT OPEN,35.25,35
COLO,Nt0000,COLONIAL MTR 5/-,2001-10-16 00:00:00,2001-10-26 00:00:00,7.00BOOKS KEPT OPEN,6.5,6.5
SLND,Nt0000,SEREND LND 100/-,2001-10-17 00:00:00,2001-10-29 00:00:00,9.00FIRST & FINAL DIVIDEND,63,
ABAN,Nt0000,ABANS,2001-10-23 00:00:00,2001-11-05 00:00:00,20.00BOOKS KEPT OPEN,30,30
CIND,Nt0000,CENTRAL IND.,2001-10-23 00:00:00,2001-11-12 00:00:00,12.5FINAL,25,25
DIST,Nt0000,DISTILLERIES 1/-,2001-10-23 00:00:00,2001-11-13 00:00:00,42.5FINAL,5.5,5
LMF,Nt0000,LMF,2001-10-24 00:00:00,2001-11-19 00:00:00,5FINAL,7.5,7
RENU,Nt0000,RENUKA CITY HOT.,2001-10-25 00:00:00,2001-11-07 00:00:00,30.00BOOKS KEPT OPEN,29,29
SUN,Nt0000,SUNSHINE TRAVELS,2001-10-29 00:00:00,2001-11-09 00:00:00,10.00BOOKS KEPT OPEN,11,10
LOLC,Nt0000,LOLC,2001-10-30 00:00:00,2001-11-12 00:00:00,7.50INTERIM,44,45
MSL,Nt0000,MERC. SHIPPING,2001-10-30 00:00:00,2001-11-12 00:00:00,15.00BOOKS KEPT OPEN,39.75,
APLA,Nt0000,ACL PLASTICS,2001-11-05 00:00:00,2001-11-15 00:00:00,5.00INTERIM,13.25,13
LWL,Nt0000,LANKA WALLTILE,2001-11-08 00:00:00,2001-11-20 00:00:00,10.00BOOKS KEPT OPEN,11.25,10.75
CTC,Nt0000,CEYLON TOBACCO,2001-11-09 00:00:00,2001-11-26 00:00:00,12.00INTERIM,28.5,28.25
