"Market Capitalization of Listed Companies as at December, 2022",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
LGL,LGL.X0000,LAUGFS GAS,10.1,52000000,525200000
LHCL,LHCL.N0000,LANKA HOSPITALS,95.8,223732169,21433541790.2
LHL,LHL.N0000,LIGHTHOUSE HOTEL,30,46000000,1380000000
LIOC,LIOC.N0000,LANKA IOC,202.75,532465705,107957421688.75
LION,LION.N0000,LION  BREWERY,559.5,80000000,44760000000
LITE,LITE.N0000,LAXAPANA,14.3,66224939,947016627.7
LLUB,LLUB.N0000,CHEVRON,96.5,240000000,23160000000
LMF,LMF.N0000,LMF,123.75,39998000,4949752500
LOFC,LOFC.N0000,LOLC FINANCE,8.2,19251334334,157860941538.8
LOLC,LOLC.N0000,L O L C HOLDINGS,398,475200000,189129600000
LPL,LPL.N0000,LAUGFS POWER,9,335000086,3015000774
LPL,LPL.X0000,LAUGFS POWER,6.8,52000000,353600000
LPRT,LPRT.N0000,LAKE HOUSE PRIN.,184,2937245,540453080
LUMX,LUMX.N0000,LUMINEX,7.5,271250000,2034375000
LVEF,LVEF.N0000,LVL ENERGY,6,582278117,3493668702
LVEN,LVEN.N0000,LANKA VENTURES,32.6,50000000,1630000000
LWL,LWL.N0000,LANKA WALLTILE,51.5,273000000,14059500000
MADU,MADU.N0000,MADULSIMA,11.3,169501097,1915362396.1
MAL,MAL.N0000,MALWATTE,71.8,202792331,14560489365.8
MAL,MAL.X0000,MALWATTE,44.9,20250660,909254634
MARA,MARA.N0000,MARAWILA RESORTS,2.1,228000000,478800000
MASK,MASK.N0000,MASKELIYA,41,53953489,2212093049
MBSL,MBSL.N0000,MERCHANT BANK,3.4,524539637,1783434765.8
MCPL,MCPL.N0000,MAHAWELI COCONUT,33.5,34996115,1172369852.5
MDL,MDL.N0000,MYLAND,9.4,36250000,340750000
MEL,MEL.N0000,MACKWOODS ENERGY,2.5,100000000,250000000
MELS,MELS.N0000,MELSTACORP,46.2,1165397072,53841344726.4
MERC,MERC.N0000,MERCANTILE INV,2600,3006000,7815600000
MFL,MFL.N0000,MULTI FINANCE,12.5,63610181,795127262.5
MGT,MGT.N0000,HAYLEYS FABRIC,22.6,415481776,9389888137.6
MHDL,MHDL.N0000,MILLENNIUM HOUSE,2.9,134681320,390575828
MRH,MRH.N0000,MAHAWELI REACH,12.5,47066447,588330587.5
MSL,MSL.N0000,MERC. SHIPPING,226.25,2844990,643678987.5
MULL,MULL.N0000,MULLERS,1.1,283000000,311300000
NAMU,NAMU.N0000,NAMUNUKULA,365,23750000,8668750000
NDB,NDB.N0000,NAT. DEV. BANK,32,380094722,12163031104
NEH,NEH.N0000,NUWARA ELIYA,1265.25,2186040,2765887110
NEST,NEST.N0000,NESTLE,905,53725463,48621544015
NHL,NHL.N0000,NAWALOKA,7.2,1409505596,10148440291.2
NIFL,NIFL.N0000,LOLC DEV FINANCE,519,356914911,185238838809
NTB,NTB.N0000,NATIONS TRUST,46.2,260428814,12031811206.8
NTB,NTB.X0000,NATIONS TRUST,57.4,41045753,2356026222.2
ODEL,ODEL.N0000,ODEL PLC,17.3,272129431,4707839156.3
OFEQ,OFEQ.N0000,OFFICE EQUIPMENT,95,833560,79188200
ONAL,ONAL.N0000,ON'ALLY,28.5,93003087,2650587979.5
OSEA,OSEA.N0000,OVERSEAS REALTY,14.9,1243029582,18521140771.8
PABC,PABC.N0000,PAN ASIA,9.5,442561629,4204335475.5
PACK,PACK.N0000,EX-PACK,13.1,333333333,4366666662.3
PALM,PALM.N0000,PALM GARDEN HOTL,55.3,43267000,2392665100
PAP,PAP.N0000,PANASIAN POWER,3.4,625000000,2125000000
PARA,PARA.N0000,PARAGON,40,1000280,40011200
PARQ,PARQ.N0000,SWISSTEK,15.7,136860000,2148702000
PEG,PEG.N0000,PEGASUS HOTELS,32.5,33768376,1097472220
PHAR,PHAR.N0000,COLOMBO CITY,810,1272857,1031014170
PINS,PINS.N0000,PEOPLE'S INS,20.2,200000000,4040000000
PLC,PLC.N0000,PEOPLES LEASING,5,2041883116,10209415580
PLR,PLR.N0000,PRIMERESIDENCIES,6.5,937500000,6093750000
PMB,PMB.N0000,PEOPLE'S MERCH,3.8,405301750,1540146650
RAL,RAL.N0000,RENUKA AGRI,5.6,561750000,3145800000
RCH,RCH.N0000,RENUKA HOTELS,66.1,40297530,2663666733
RCL,RCL.N0000,ROYAL CERAMIC,28.3,1107893840,31353395672
REEF,REEF.N0000,CITRUS LEISURE,6,267229723,1603378338
REG,REG.N0000,REGNIS,42.1,22535726,948754064.6
RENU,RENU.N0000,RENUKA CITY HOT.,368.75,7000000,2581250000
REXP,REXP.N0000,RICH PIERIS EXP,600,11163745,6698247000
RFL,RFL.N0000,RAMBODA FALLS,26.2,20000000,524000000
RGEM,RGEM.N0000,RADIANT GEMS,22.9,2400000,54960000
RHL,RHL.N0000,RENUKA HOLDINGS,13.8,161476434,2228374789.2
RHL,RHL.X0000,RENUKA HOLDINGS,12.8,23427264,299868979.2
RHTL,RHTL.N0000,FORTRESS RESORTS,15.9,110886684,1763098275.6
RICH,RICH.N0000,RICHARD PIERIS,24.1,2035038275,49044422427.5
RIL,RIL.N0000,R I L PROPERTY ,5.7,800000000,4560000000
RPBH,RPBH.N0000,ROYAL PALMS,22.5,50000000,1125000000
RWSL,RWSL.N0000,RAIGAM SALTERNS,5.8,282207320,1636802456
SAMP,SAMP.N0000,SAMPATH,34.2,1144373955,39137589261
SCAP,SCAP.N0000,SOFTLOGIC CAP,10.1,977187200,9869590720
SDB,SDB.N0000,SANASA DEV. BANK,21.4,160698832,3438955004.8
SDF,SDF.N0000,SARVODAYA DEVFIN,10.8,149596052,1615637361.6
SELI,SELI.N0000,SELINSING,696.25,5678247,3953479473.75
SEMB,SEMB.N0000,S M B LEASING,0.8,6470375048,5176300038.4
SEMB,SEMB.X0000,S M B LEASING,0.3,3081603712,924481113.6
SERV,SERV.N0000,KINGSBURY,8.5,484000000,4114000000
SEYB,SEYB.N0000,SEYLAN BANK,31.6,282704760,8933470416
SEYB,SEYB.X0000,SEYLAN BANK,16.2,295071313,4780155270.6
SFCL,SFCL.N0000,SENKADAGALA,363.75,86279834,31384289617.5
SFIN,SFIN.N0000,SINGER FINANCE,9.9,202074075,2000533342.5
SHAL,SHAL.N0000,SHALIMAR,1317.75,5397840,7113003660
SHAW,SHAW.N0000,LEE HEDGES,87.9,25602730,2250479967
SHL,SHL.N0000,SOFTLOGIC,15.9,1192543209,18961437023.1
SHOT,SHOT.N0000,SERENDIB HOTELS,8.1,302058952,2446677511.2
SHOT,SHOT.X0000,SERENDIB HOTELS,5,144044224,720221120
SIGV,SIGV.N0000,SIGIRIYA VILLAGE,63.4,9000000,570600000
SIL,SIL.N0000,SAMSON INTERNAT.,250,4232771,1058192750
SING,SING.N0000,STANDARD CAPITAL,60,5540828,332449680
SINH,SINH.N0000,SINGHE HOSPITALS,2.8,431300895,1207642506
SINI,SINI.N0000,SINGER IND.,35.9,20000760,718027284
SINS,SINS.N0000,SINGER SRI LANKA,8.4,1126886490,9465846516
