Summarized Trading Statistics Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Purchases (Rs. Mn.),-,-,1836,9295,14473,5389,4224,8218,5645,5050,1445.2,2111.9,7477.7,13943.9,11278,27712.395,37167.27,46796.823965,66632.199,43057.32,92425.530458,49776.807705,72614.248465,83607.025321,104689.79752,84414.561049,74583.024813,112284.761243,77067.050612,56537.105506,52889.197889,34015.611499,67488.052928,41451.15886,48013.154933,56931.270191
Sales (Rs. Mn.),-,-,1108,6055,13139,5479,3872,7502,7205,6000,4809.9,3136.7,5036.21,13734.3,10171.7,21567.871,31789.943,35542.532055,52681.695,43846.317,118760.874895,68816.029046,33953.567461,60873.314784,83550.811097,89784.43854,74199.499149,94627.318585,100314.533753,68272.381853,104164.910872,86665.048316,36863.388134,37087.979941,58492.185641,95559.368485
Net Foreign Flow,,,728,3240,1334,-90,352,716,-1560,-950,-3364.7,-1024.8,2441.49,209.6,1106.3,6144.524,5377.327,11254.29191,13950.504,-788.997000000003,-26335.344437,-19039.221341,38660.681004,22733.710537,21138.986423,-5369.87749100001,383.525664000001,17657.442658,-23247.483141,-11735.276347,-51275.712983,-52649.436817,30624.664794,4363.17891900001,-10479.030708,-38628.098294
Shares Traded (No. Mn.),-,-,19,124,171,131,94,178,208,128,98.6,140.2,185,323,272.5,815.042,734.162,877.340138,1220.046,978.41,1705.564486,1392.116531,1401.673812,1192.564981,1995.355494,1721.495089,1419.63101,1939.462534,1179.897088,2763.554223,1540.903119,1866.483211,905.485643,1099.407343,1871.554403,2208.676365
Purchases (No. Mn.),-,-,28,151,172,118,83,169,147,119,50.6,136.3,212.1,289.5,269.9,907.912,807.942,919.830373,1286.162,908.969,1425.133053,1186.804267,1520.603226,1282.508655,2380.562343,1730.723646,1572.288627,2061.966004,1060.382886,3895.991237,927.832724,1308.029103,884.211872,945.126054,1472.362725,1611.56969
Sales (No. Mn.),-,-,10,97,170,143,105,187,269,137,146.7,144.2,157.9,356.5,275.1,722.171,660.381,834.849904,1153.929,1047.868,1985.995919,1597.428796,1282.744398,1102.621307,1610.148645,1712.266532,1266.973393,1816.959064,1299.41129,1631.117209,2153.973514,2424.93732,926.759415,1253.688633,2270.746082,2805.78304
Trades,-,-,6462,25940,40211,21020,10409,16540,17361,12144,10409,6884,9959,22043,33429,61913,44162,45265,45829,75477,130085,115948,60516,65923,83140,75040,54373,53701,46873,46719,101929,121692,83883,74938,78526,108611
Purchases (No.),-,-,10384,37832,44275,20561,11048,17795,16445,12443,6033,5610,10269,25699,37226,74724,48511,50518,50052,69431,115071,112246,71944,77511,94752,65932,51656,56643,37855,25759,42134,74172,80859,80379,67508,73427
Sales (No.),-,-,2539,14048,36147,21479,9771,15285,18276,11845,14785,8158,9650,18387,29633,49103,39813,40012,41606,81523,145100,119651,49088,54335,71529,84149,57091,50760,55892,67680,161725,169213,86908,69498,89545,143795
Debt Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover (Rs 000),,,,,,,,57202,320812,550554,425282,151933,340655,180189,199530,206857,405211.43025,98903.063,102639.346,136765,72288.097,2690664.428,75717.10865,2229221.30217,7139730.37344,4714012.678,2932153.973,3592905.51938,4540598.651,5677079.945,5856001.5,,,,,
No of Trades,,,,,,,,203,1688,2461,1701,1096,2445,1685,1362,625,321,144,27,42,92,62,39,173,401,220,291,529,293,234,243,,,,,
No of Debentures Traded (No.000),,,,,,,,568,4208,8253,25057,9075,13597,2708,2193,2211,2420.827,1020.301,953.454,1020,692.589,25860.591,740.38,19998.75,56908.661,42200.879,28335.484,35696.15,44023.905,55642.635,54230.439,,,,,
Market Cap (Mn),,,,,,,,329.2,3190.6,4583.6,5803,7322.5,10299.9,9671.3,12471,,,,,,,37859.044993,46311.003097,,,,,,24123320,,54230439,,,,,
Government Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover (Rs 000),,,,,,,,,,,,,,,1987918,326423,207079.50116,709333.176,195157.36,98977,45673.2,28356.849,6127.992,0,-,-,-,-,-,,,,,,,
No of Trades,,,,,,,,,,,,,,,1343,522,379,208,69,42,18,7,2,0,-,-,-,-,-,,,,,,,
No of Debentures Traded (000),,,,,,,,,,,,,,,553511,306955,213241.512,742736.151,208182.598,102777.6,46793.536,28911.592,6743.6,0,-,-,-,-,-,,,,,,,
* Only Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
