Dividend Record 1995,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
HEXP,Nt0000,HAYLEYS EXPORTS,1995-06-21 00:00:00,1995-07-03 00:00:00,30,FIRST & FINAL  T.F.,45,44.5
DIPD,Nt0000,DIPPED PRODUCTS,1995-06-26 00:00:00,1995-07-06 00:00:00,35,FIRST FINAL T.F.,92,92
HAYC,Nt0000,HAYCARB,1995-06-27 00:00:00,1995-07-07 00:00:00,25,FIRST & FINAL (10% T.F),51,50.25
SEYB,Nt0000,SEYLAN BANK,1995-06-26 00:00:00,1995-07-14 00:00:00,10,1ST & FINAL,47,46
HAYL,Nt0000,HAYLEYS,1995-07-04 00:00:00,1995-07-15 00:00:00,15,FINAL,190,190
SPEN,Nt0000,AITKEN SPENCE,1995-06-30 00:00:00,1995-07-18 00:00:00,17.5,FINAL (59.49% T.F.),195,192
DPL,Nt0000,DANKOTUWA PORCEL,1995-06-21 00:00:00,1995-07-19 00:00:00,5,FINAL,26.5,26.5
EBCR,Nt0000,E B CREASY,1995-07-04 00:00:00,1995-07-24 00:00:00,15,FINAL,162,162
JKH,Nt0000,JKH,1995-07-05 00:00:00,1995-07-27 00:00:00,25,FINAL,195,195
LOLC,Nt0000,LOLC,1995-07-04 00:00:00,1995-07-27 00:00:00,10,FINAL,215,218
ALLI,Nt0000,ALLIANCE,1995-07-10 00:00:00,1995-07-28 00:00:00,30,FIRST & FINAL,52,53
LCEY,Nt0000,LANKEM CEYLON,1995-07-10 00:00:00,1995-07-31 00:00:00,20,FIRST & FINAL,41,41
LDEV,Nt0000,LANKEM DEV.,1995-07-10 00:00:00,1995-07-31 00:00:00,25,FIRST & FINAL,70,70
SIGV,Nt0000,SIGIRIYA VILLAGE,1995-07-11 00:00:00,1995-07-31 00:00:00,25,FIRST & FINAL,120,114
UCAR,Nt0000,UNION CARBIDE,1995-07-21 00:00:00,1995-08-02 00:00:00,10,FIRST & FINAL,15,15
CHOT,Nt0000,HOTELS CORP. 2/-,1995-07-24 00:00:00,1995-08-03 00:00:00,50,INTERIM,95.25,95
JKL,Nt0000,JOHN KEELLS,1995-07-17 00:00:00,1995-08-03 00:00:00,10,FINAL,60,59.75
HLOG,Nt0000,HABARANA LODGE,1995-07-18 00:00:00,1995-08-04 00:00:00,15,FINAL,35.75,35.75
WALK,Nt0000,WALKERS TOURS,1995-07-18 00:00:00,1995-08-04 00:00:00,20,FINAL,53,46
CHR,Nt0000,CEYLON HOLIDAY,1995-07-20 00:00:00,1995-08-08 00:00:00,10,FIRST & FINAL,52.25,50
ONAL,Nt0000,ON'ALLY,1995-07-21 00:00:00,1995-08-08 00:00:00,8,2ND & FINAL (T.F.),11.5,11
REXP,Nt0000,RICH PIERIS EXP,1995-07-14 00:00:00,1995-08-08 00:00:00,20,FIRST & FINAL,48.5,48
BINN,Nt0000,BERUWELA WALKINN,1995-07-24 00:00:00,1995-08-09 00:00:00,5,FIRST & FINAL,44,38
ASPH,Nt0000,INDUSTRIAL ASPH.,1995-07-28 00:00:00,1995-08-09 00:00:00,7.5,2ND INTERIM,32,33
MLL,Nt0000,MLL,1995-07-28 00:00:00,1995-08-09 00:00:00,20,FIRST & FINAL,46.25,45
CHMX,Nt0000,CHEMANEX,1995-07-31 00:00:00,1995-08-11 00:00:00,12,FINAL (5% T.F.),45,43
CIC,Nt0000,CIC,1995-07-25 00:00:00,1995-08-11 00:00:00,25,FINAL  FOR THE NORMAL & NON VOTING,78,76.5
COMD,Nt0000,COMMERCIAL DEV.,1995-08-03 00:00:00,1995-08-15 00:00:00,20,FINAL (0.5% T.F.),27,25.75
ITH,Nt0000,INT. TOURISTS,1995-07-27 00:00:00,1995-08-15 00:00:00,8,FINAL,13,12.5
KINN,Nt0000,KANDY WALK INN,1995-07-27 00:00:00,1995-08-15 00:00:00,20,FINAL,47.5,41
PTEX,Nt0000,PUGODA TEXTILES,1995-08-02 00:00:00,1995-08-15 00:00:00,5,FINAL,10.25,10
HINN,Nt0000,HABARANA WALKINN,1995-07-28 00:00:00,1995-08-16 00:00:00,20,FINAL,51.75,39
PALM,Nt0000,PALM GARDEN,1995-07-31 00:00:00,1995-08-18 00:00:00,10,INTERIM,14.5,14
BFL,Nt0000,BAIRAHA FARMS,1995-08-09 00:00:00,1995-08-22 00:00:00,10,FIRST & FINAL,23.5,23
SING,Nt0000,SINGALANKA,1995-08-15 00:00:00,1995-08-25 00:00:00,15,FINAL,53,45
CTC,Nt0000,CEYLON TOBACCO,1995-08-17 00:00:00,1995-09-04 00:00:00,13.5,1ST INTERIM,26.75,26
GRAN,Nt0000,GRAIN ELEVATORS,1995-08-23 00:00:00,1995-09-04 00:00:00,20,FIRST INTERIM (T.F.),55,54.5
TAFL,Nt0000,THREE ACRE FARMS,1995-08-23 00:00:00,1995-09-04 00:00:00,15,FIRST INTERIM,47,45
ASHO,Nt0000,LANKA ASHOK,1995-08-28 00:00:00,1995-09-05 00:00:00,10,INTERIM,90,81
CABO,Nt0000,CARGO BOAT,1995-08-25 00:00:00,1995-09-06 00:00:00,10,FIRST & FINAL,76,35.25
TILE,Nt0000,LANKA TILES,1995-08-25 00:00:00,1995-09-06 00:00:00,18,FIRST & FINAL,58.25,58
EQIT,Nt0000,EQUITY,1995-08-15 00:00:00,1995-09-07 00:00:00,9,FINAL  (T.F.),13,12.5
ETWO,Nt0000,EQUITY TWO LTD,1995-08-15 00:00:00,1995-09-07 00:00:00,13,FINAL (T.F.),15.25,15
LWL,Nt0000,LANKA WALLTILE,1995-08-28 00:00:00,1995-09-07 00:00:00,10,FIRST & FINAL,65.5,65.25
YORK,Nt0000,YORK ARCADE,1995-08-22 00:00:00,1995-09-07 00:00:00,9,FIRST & FINAL,8,7.5
CTLD,Nt0000,C T LAND,1995-08-24 00:00:00,1995-09-12 00:00:00,6,FIRST & FINAL (T.F.),12.5,12
CSEC,Nt0000,CENTRAL SEC.,1995-08-30 00:00:00,1995-09-12 00:00:00,10,FIRST & FINAL,27,26.5
KHC,Nt0000,KANDY HOTELS 1/-,1995-08-31 00:00:00,1995-09-13 00:00:00,25,FIRST & FINAL,43,44
CARS,Nt0000,CARSONS,1995-09-04 00:00:00,1995-09-15 00:00:00,25,2ND INTERIM (T.F.),580,530
LALU,Nt0000,LANKA ALUMINIUM,1995-08-29 00:00:00,1995-09-15 00:00:00,5,FIRST & FINAL,9.75,9
MRL,Nt0000,METAL RECYCLERS,1995-09-05 00:00:00,1995-09-18 00:00:00,8,FIRST & FINAL (T.F.),45,45
ACME,Nt0000,ACME,1995-09-07 00:00:00,1995-09-20 00:00:00,15,FIRST & FINAL,15.75,15
BUKI,Nt0000,BUKIT DARAH,1995-09-12 00:00:00,1995-09-22 00:00:00,47,2ND INTERIM,395,350
CFI,Nt0000,CFI,1995-09-01 00:00:00,1995-09-22 00:00:00,12,FIRST & FINAL,13.5,11.5
GOOD,Nt0000,GOOD HOPE,1995-09-12 00:00:00,1995-09-22 00:00:00,37.5,2ND INTERIM,305,300
INDO,Nt0000,INDO MALAY,1995-09-12 00:00:00,1995-09-22 00:00:00,39,2ND INTERIM,530.25,375
SELI,Nt0000,SELINSING,1995-09-12 00:00:00,1995-09-22 00:00:00,37,2ND INTERIM,340,357
SHAL,Nt0000,SHALIMAR,1995-09-12 00:00:00,1995-09-22 00:00:00,250,2ND INTERIM (181% T.F.),700.25,700
SHAW,Nt0000,SHAW WALLACE,1995-09-07 00:00:00,1995-09-22 00:00:00,15,FIRST & FINAL,30,26.5
STAT,Nt0000,STATCON,1995-09-12 00:00:00,1995-09-22 00:00:00,10,FIRST & FINAL,18,40
BRWN,Nt0000,BROWNS 8/-,1995-09-04 00:00:00,1995-09-25 00:00:00,10,1ST & FINAL,700,700.5
CIT,Nt0000,CIT,1995-09-11 00:00:00,1995-09-29 00:00:00,10.5,FIRST & FINAL,12.5,10
SIDL,Nt0000,SIEDLES,1995-09-18 00:00:00,1995-09-29 00:00:00,5,FINAL,10,10
CTEA,Nt0000,TEA SERVICES,1995-09-18 00:00:00,1995-09-29 00:00:00,20,FIRST & FINAL,85,83
ARPI,Nt0000,ARPICO,1995-09-13 00:00:00,1995-09-30 00:00:00,30,FIRST & FINAL,82,82
APDL,Nt0000,ASSOCIATED PROP.,1995-09-19 00:00:00,1995-10-02 00:00:00,15,FIRST & FINAL (T.F.),12.5,12
CHOU,Nt0000,CEYLINCO HOUSING,1995-09-13 00:00:00,1995-10-02 00:00:00,14,1 ST & FINAL(T.F),11,10
PDL,Nt0000,PDL,1995-09-21 00:00:00,1995-10-04 00:00:00,13,FINAL,17.25,17
