Sector Trading Statistics Monthly 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Motors,239,172479,7874305,8,6,694,358223,21285375,8,7,1747,1303916,78765125,8,7,460,432334,25779545,8,7,969,1372994,65431420,8,7,593,1211793,65605364,8,7,431,243747,22427038,7,7,593,340200,31927608,7,7,2230,3353630,567326287,7,7,819,507765,62447994,7,7,441,311634,75113471,7,7,405,147932,13955993,7,7
Oil Palms,213,32516,12058871,5,4,386,30120,19599935,5,5,147,11468,7326489,5,5,102,17278,5606702,5,5,508,39575,33197539,5,5,349,39867,31108105,5,5,109,8725,6941490,5,5,365,104860,50472803,5,5,132,12401,11081139,5,5,188,56230,56508624,5,5,146,9731,7442979,5,5,204,24203,14120262,5,5
Stores & Supplies,364,926221,15196782,6,6,900,4044472,29431777,6,6,1094,4816839,49692403,6,5,1519,4997418,56606708,6,4,432,695148,7634203,6,6,612,624436,7418184,6,6,700,1206281,5696978,6,6,839,1803491,7468233,6,6,1012,6863844,28718998,6,6,581,2420251,11681345,6,6,558,3520558,9479391,6,6,474,2992223,5741338,6,6
Services,13,4746,663852,7,4,42,28485,3973858,7,4,38,7813,894637,7,4,12,4300,569450,7,3,477,189436,34631295,7,4,289,83821,14106636,7,5,86,25333,2130414,7,2,117,73320,7186775,7,4,395,215375,23575035,7,3,178,64975,8354400,7,5,145,50860,5628445,7,4,152,53124,5390463,7,2
Trading,2345,6457978,93922600,13,9,6036,84786197,205081597,12,9,7367,147072118,430392125,12,10,4034,22817253,122563023,12,9,4041,16618481,110119023,12,9,1962,11511753,42217912,12,9,913,1722387,25999767,12,9,3410,21583172,100990783,11,8,2716,11268661,121515192,11,8,2770,7807066,215915607,11,8,2398,10509837,78586625,11,9,1647,10338973,39424596,11,8
Plantation,921,1419185,15570966,18,18,3077,6811567,95458749,18,18,2203,4702479,77472144,18,17,2036,3670226,57634300,18,17,9299,21367712,361028590,18,18,1693,2287085,36563772,18,18,3696,5412704,95688624,18,17,2081,2934088,49105184,18,17,3248,7033385,149913121,18,17,3161,5994759,115297780,18,17,997,1424221,25108719,18,17,1158,1310156,13873288,18,17
Diversified,3692,8164071,929716059,9,11,6070,19793012,1893389096,9,11,3983,15454606,1570068319,9,11,4366,11252857,1298850589,9,11,4749,12651959,1742167684,9,11,4948,7996578,1002732739,9,11,2768,6102901,751624461,9,11,4192,8235958,982342821,9,11,6441,19477794,2442072233,9,11,3790,19543580,2757079362,10,11,4845,12763429,1974418858,10,11,3183,7040152,929807349,10,11
Power & Energy,14176,34872770,1730632383,3,1,6185,16250660,855496193,3,1,3619,7992950,385479450,3,1,2675,5258800,259958825,3,1,5216,15187120,815090845,3,1,2560,5630908,286182874,4,2,1727,6922150,337249825,4,2,2734,7419854,331334974,4,2,4767,15247249,609015844,4,2,1803,4356205,180858181,4,2,2905,10521988,451235223,4,2,2020,4527580,152246740,4,2
Healthcare,2692,40183687,208703317,6,6,8629,185280361,1269567268,6,6,9889,147110183,1462411439,6,6,6673,40148138,497450320,6,6,4982,37405023,276775508,6,6,4113,32123047,205104597,6,6,3479,27623349,232968438,6,6,5070,49668277,328778084,6,6,2965,17848176,157658279,6,6,3876,21921804,413183303,6,6,2620,19189166,86301509,6,6,2140,14277735,94553738,6,6
Information Technology,6,6500,71025,1,1,24,22600,232275,1,1,445,1035700,15720525,1,1,234,424900,7888000,1,1,149,280500,5144475,1,1,22,24700,388100,1,1,113,63900,1093150,1,1,176,161300,2781500,1,1,218,189052,2900779,1,1,463,585220,9674255,1,1,462,459240,6288847,1,1,61,74816,850708,1,1
Telecommunication,1092,11096705,176726073,1,1,1729,15265348,260200696,1,1,1370,13011383,212959083,1,1,772,5499695,89893837,1,1,2722,17805896,329231197,1,1,3972,24265645,511784279,1,1,20889,208693184,3553686881,2,2,14153,160814315,2788914122,2,2,9072,89063723,1709600963,2,2,9796,144488377,3031497390,2,2,10506,84216522,1674116401,2,2,5763,61666498,1072642137,2,2
