New Listings 2013,,,,,,,,,
Equity - Initial Public Offers ,,,,,,,,,
No.,Company (Offer for Subscription),No. of shares offered,No. of shares alloted,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,Anilana Hotels and Properties ,"Tranch 1 - 40,000,000",41200800,12,494409600,2013-07-17 00:00:00,,,
,,"Tranch 2 - 40,000,000",,,,,,,
Equity - Introduction,,,,,,,,,
No. ,Name ,No. of shares listed ,Date listed ,,,,,,
1,Aitken Spence Plantation Managements Limited,21300000,2013-05-03 00:00:00,,,,,,
,New Listings by Sector,,,,,,,,
,Equity,,,,,,,,
,Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,,,
,HOTELS AND TRAVELS,1,383684400,494409600,,,,,
,PLANTATIONS,1,21300000,-,,,,,
,Total,2,404984400,494409600,,,,,
Debentures - Initial Public Offers ,,,,,,,,,
No.,Name ,No of debentures offered,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),Total amount raised (Rs.)
,,,1820000,Fixed (16%) ,100,2013-09-11 00:00:00,,182000000,500000000
13,Softlogic Holdings  ,10000000,10000000,Fixed (15.75%),100,2013-09-18 00:00:00,1000000000,1000000000,1000000000
14,Singer Finance (Lanka)  ,12500000,4166660,Fixed (14%),100,2013-09-18 00:00:00,1250000000,416666000,
,,,4166660,Fixed (14.25%),100,2013-09-18 00:00:00,,416666000,
,,,4166680,Fixed (14.5%) ,100,2013-09-18 00:00:00,,416668000,1250000000
15,Nawaloka Hospitals ,15000000,10427900,Fixed (14.15%),100,2013-10-15 00:00:00,1500000000,1042790000,
,,,2696000,Fixed (14.15%),100,2013-10-15 00:00:00,,269600000,
,,,1645500,Fixed (14.35%) ,100,2013-10-15 00:00:00,,164550000,
,,,120000,Fixed (14.4%),100,2013-10-15 00:00:00,,12000000,
,,,110600,Fixed (14.45%),100,2013-10-15 00:00:00,,11060000,1500000000
16,Alliance Finance Company,17000000,4036000,Fixed (15.5%),100,2013-10-15 00:00:00,1486393200,403600000,
,,,1682000,Fixed (16%),100,2013-10-15 00:00:00,,168200000,
,,,3510000,Fixed (16.5%) ,100,2013-10-15 00:00:00,,351000000,
,,,2772000,Zero,46.5983,2013-10-15 00:00:00,,129170487.6,1051970487.6
17,Housing Development and Finance Corporation Bank of Sri Lanka,20000000,4764600,Fixed (14.5%) ,100,2013-10-31 00:00:00,2000000000,476460000,
,,,4435400,Fixed (15%) ,100,2013-10-31 00:00:00,,443540000,
,,,10800000,Fixed (15.5%) ,100,2013-10-31 00:00:00,,1080000000,2000000000
18,Bank of Ceylon,80000000,37843000,Fixed (13%),100,2013-11-08 00:00:00,8000000000,3784300000,
,,,2155000,Fixed (12.6%),100,2013-11-08 00:00:00,,215500000,
,,,2000,Floating,100,2013-11-08 00:00:00,,200000,
,,,11990000,Fixed (13.25%),100,2013-11-08 00:00:00,,1199000000,
,,,10000,Floating,100,2013-11-08 00:00:00,,1000000,
,,,12000000,Fixed (13.25%),100,2013-11-08 00:00:00,,1200000000,
,,,16000000,Fixed (13.75%),100,2013-11-08 00:00:00,,1600000000,8000000000
19,Sampath Bank,50000000,15541900,Fixed (13%),100,2013-12-10 00:00:00,5000000000,1554190000,
,,,34458100,Fixed (13.4%),100,2013-12-10 00:00:00,,3445810000,5000000000
20,LB Finance ,20000000,6401400,Fixed (14%),100,2013-12-12 00:00:00,2000000000,640140000,
,,,7570100,Fixed (14.5%),100,2013-12-12 00:00:00,,757010000,
,,,6028500,Fixed (15%),100,2013-12-12 00:00:00,,602850000,2000000000
21,Arpico Finance Company ,6000000,3169700,Fixed (16.67%),100,2013-12-13 00:00:00,600000000,316970000,
,,,390100,Fixed (16.75%),100,2013-12-13 00:00:00,,39010000,355980000
22,Senkadagala Finance Company,12500000,12500000,Fixed (15%),100,2013-12-19 00:00:00,1250000000,1250000000,1250000000
23,Central Finance,20000000,2000000,Fixed (13%),100,2013-12-23 00:00:00,2000000000,200000000,
,,,2000000,Fixed (13.25%),100,2013-12-23 00:00:00,,200000000,
,,,6000000,Fixed (13.5%),100,2013-12-23 00:00:00,,600000000,
,,,10000000,Fixed (13.95%),100,2013-12-23 00:00:00,,1000000000,2000000000
24,Merchant Bank of Sri Lanka,10000000,6747700,Fixed (14.25%),100,2013-12-24 00:00:00,1000000000,674770000,
,,,2962200,Fixed (13.5%),100,2013-12-24 00:00:00,,296220000,
,,,175400,Fixed (13.5%),100,2013-12-24 00:00:00,,17540000,
,,,114700,Fixed (13.25%),100,2013-12-24 00:00:00,,11470000,1000000000
25,National Development Bank,100000000,12427000,Fixed (13%),100,2013-12-26 00:00:00,10000000000,1242700000,
,,,15288900,Fixed (13.4%),100,2013-12-26 00:00:00,,1528890000,
,,,36379800,Fixed (13.9%),100,2013-12-26 00:00:00,,3637980000,
,,,35904300,Fixed (14%),100,2013-12-26 00:00:00,,3590430000,10000000000
26,Nations Trust Bank,30000000,30000000,Fixed (13%),100,2013-12-26 00:00:00,3000000000,3000000000,3000000000
27,Citizens Development,10000000,6653600,Fixed (16%),100,2013-12-27 00:00:00,1000000000,665360000,
,,,3103600,Fixed (15.5%),100,2013-12-27 00:00:00,,310360000,
,,,242800,Fixed (15%),100,2013-12-27 00:00:00,,24280000,1000000000
28,Abans Limited,20000000,8441100,Fixed (14%),100,2013-12-27 00:00:00,2000000000,844110000,
,,,5412500,Fixed (14.25%),100,2013-12-27 00:00:00,,541250000,
,,,6146400,Fixed (14.5%),100,2013-12-27 00:00:00,,614640000,2000000000
,,,,,,,,,68262250487.6
Debentures-Introduction,,,,,,,,,
No. ,Name ,No. of Debentures listed ,Interest  Rate %,Date listed ,,,,,
1,Pan Asia Banking Corporation*,49700,Zero coupon (14.5% per annum),2013-02-27 00:00:00,,,,,
2,Alliance Finance Company  ,3276600,Fixed (20%),2013-11-21 00:00:00,,,,,
,,49800,Fixed (20%),2013-11-21 00:00:00,,,,,
,,7900,Fixed (18.5%),2013-11-21 00:00:00,,,,,
,,500,Fixed (18.5%),2013-11-21 00:00:00,,,,,
,,2854800,Fixed (20%),2013-11-21 00:00:00,,,,,
,,100,Floating,2013-11-21 00:00:00,,,,,
,,52300,Fixed (18.5%),2013-11-21 00:00:00,,,,,
,,4300,Fixed (20%),2013-11-21 00:00:00,,,,,
,,113800,Fixed (20%),2013-11-21 00:00:00,,,,,
,,1225400,Fixed (20%),2013-11-21 00:00:00,,,,,
,,1009500,Fixed (18.5%),2013-11-21 00:00:00,,,,,
,,2700,Fixed (18.5%),2013-11-21 00:00:00,,,,,
,,1402300,Fixed (18.5%),2013-11-21 00:00:00,,,,,
*Note - The balance debtentures in this series were listed in 2012,,,,,,,,,
,De-Listings 2013,,,,,,,,
No. ,Name ,Date De-listed ,,,,,,,
1,People's Finance PLC,2013-04-09 00:00:00,,,,,,,
