"Market Capitalization of Listed Companies as at December 31, 2014",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
AMSL,ASIRI SURG,17,528457545,8983778265
DIPD,DIPPED PRODUCTS,143,59861512,8560196216
JINS,JANASHAKTHI INS.,23.2,363000132,8421603062.4
PABC,PAN ASIA,25.9,295041086,7641564127.4
BRWN,BROWNS,107,70875000,7583625000
CLND,COLOMBO LAND,36.8,199881008,7355621094.4
GHLL,GALADARI,14.5,500829564,7262028678
SUN,SUNSHINE HOLDING,54,133826537,7226632998
BIL,BROWNS INVSTMNTS,1.9,3720000000,7068000000
MERC,MERCANTILE INV,2200,3006000,6613200000
PDL,PDL,98,66000000,6468000000
ABL,AMANA BANK,5.1,1250695267,6378545861.7
TYRE,KELANI TYRES,78.8,80400000,6335520000
CIC,CIC,85,72900000,6196500000
ODEL,ODEL PLC,22,272129431,5986847482
TILE,LANKA TILES,110,53050410,5835545100
DIMO,DIMO,636,8876437,5645413932
JKL,JOHN KEELLS,90.3,60800000,5490240000
GREG,LANKA CENTURY,15.6,349367119,5450127056.4
VPEL,VALLIBEL,7.2,747109731,5379190063.2
AAIC,ASIAN ALLIANCE,143,37500000,5362500000
ASHO,LANKA ASHOK,1473.5,3620843,5335312160.5
LWL,LANKA WALLTILE,97.3,54600000,5312580000
HAYC,HAYCARB,173,29712375,5140240875
CFLB,FORT LAND,28.3,180000000,5094000000
KHC,KANDY HOTELS,8.6,577500000,4966500000
SCAP,SOFTLOGIC CAP,7.2,688160000,4954752000
LMF,LMF,120.4,39998000,4815759200
TAJ,TAL LANKA,34.4,139637494,4803529793.6
ALUM,ALUMEX PLC,15.9,299302840,4758915156
CFVF,FIRST CAPITAL,47,101250000,4758750000
GLAS,PIRAMAL GLASS,4.9,950086080,4655421792
NHL,NAWALOKA,3.3,1409505596,4651368466.8
TAP,TAPROBANE,4.6,1002724815,4612534149
ACL,ACL,76.4,59893680,4575877152
WATA,WATAWALA,18.8,236666670,4449333396
SERV,KINGSBURY,18,242000000,4356000000
CDB,CDB,93.7,46299223,4338237195.1
HDFC,HDFC,66.1,64710520,4277365372
HASU,HNB ASSURANCE,83.5,50000000,4175000000
CONN,AMAYA LEISURE,85,48034238,4082910230
CSEC,DUNAMIS CAPITAL,32.9,122997050,4046602945
CHOT,HOTELS CORP.,23.1,171825201,3969162143.1
SFCL,SENKADAGALA,60,65227555,3913653300
ALHP,ANILANA HOTELS,7.9,493308514,3897137260.6
MGT,HAYLEYS - MGT,17.4,207740888,3614691451.2
CERA,LANKA CERAMIC,120.1,30000000,3603000000
SDB,SANASA DEV. BANK,90.9,37762983,3432655154.7
BBH,BROWNS BEACH,26,129600000,3369600000
NEH,NUWARA ELIYA,1640,2003870,3286346800
CARE,PRINTCARE PLC,37.1,85966670,3189363457
SFIN,SINGER FINANCE,19,165333334,3141333346
CLPL,CEYLON LEATHER,87.9,34234059,3009173786.1
CHL,DURDANS,117.4,25527272,2996901732.8
KAHA,KAHAWATTE,35.5,79889805,2836088077.5
RHL,RENUKA HOLDINGS,31.5,89034626,2804590719
FLCH,FLC HOLDINGS,2,1368000000,2736000000
VLL,VIDULLANKA,5.7,477269193,2720434400.1
ATL,AMANA TAKAFUL,1.8,1500001080,2700001944
RAL,RENUKA AGRI,4.8,561750000,2696400000
EBCR,E B CREASY,1050,2535458,2662230900
LCEY,LANKEM CEYLON,110.1,24000000,2642400000
LHL,LIGHTHOUSE HOTEL,55,46000000,2530000000
KVAL,KELANI VALLEY,74,34000000,2516000000
SWAD,SWADESHI,19000,130666,2482654000
SHOT,SERENDIB HOTELS,32.8,75514738,2476883406.4
GRAN,GRAIN ELEVATORS,41,60000000,2460000000
RENU,RENUKA CITY HOT.,349.8,7000000,2448600000
COCO,RENUKA FOODS,26.7,89771800,2396907060
AMF,AMF CO LTD,425,5608355,2383550875
MBSL,MERCHANT BANK,17.5,135000000,2362500000
KGAL,KEGALLE,94,25000000,2350000000
LVEN,LANKA VENTURES,46.9,50000000,2345000000
SHAW,LEE HEDGES,450.3,5120546,2305781863.8
HPWR,RESUS ENERGY,18.1,125200002,2266120036.2
KFP,KEELLS FOOD,86,25500000,2193000000
BLI,BIMPUTH FINANCE,40.7,53866672,2192373550.4
CWM,C.W.MACKIE,59,35988556,2123324804
NAMU,NAMUNUKULA,89.4,23750000,2123250000
ETWO,EQUITY TWO PLC,68.1,31000000,2111100000
SIRA,SIERRA  CABL,3.9,537512430,2096298477
CSD,SEYLAN DEVTS,14.1,147964860,2086304526
ALLI,ALLIANCE,850,2430000,2065500000
HARI,HARISCHANDRA,2100.6,959800,2016155880
BFL,BAIRAHA FARMS,125,16000000,2000000000
HUNT,HUNTERS,386.2,5145000,1986999000
MORI,MORISONS,340,5808290,1974818600
COLO,C M HOLDINGS,129.1,15200000,1962320000
KCAB,KELANI CABLES,89.4,21800000,1948920000
CTLD,C T LAND,39.6,48750000,1930500000
ESL,ENTRUST SEC,58,33000014,1914000812
VFIN,VALLIBEL FINANCE,46,41550600,1911327600
LAMB,KOTMALE HOLDINGS,60,31400000,1884000000
RHTL,FORTRESS RESORTS,16.9,110886684,1873984959.6
EQIT,EQUITY,44.5,40321730,1794316985
EAST,EAST WEST,12.8,138240000,1769472000
REXP,RICH PIERIS EXP,158.5,11163745,1769453582.5
RPBH,ROYAL PALMS,35.3,50000000,1765000000
AGST,AGSTAR PLC,5.7,307526310,1752899967
AINV,ADAM INVESTMENTS,3.9,449276200,1752177180
STAF,DOLPHIN HOTELS,55.2,31621477,1745505530.4
HAPU,HAPUGASTENNE,37.4,46315789,1732210508.6
PMB,PEOPLE'S MERCH,25.5,67500000,1721250000
TANG,TANGERINE,83.8,20000000,1676000000
SEMB,S M B LEASING,1.4,1191766772,1668473480.8
ELPL,ELPITIYA,22.7,72866428,1654067915.6
ECL,E - CHANNELLING,13.5,122131415,1648774102.5
CRL,SOFTLOGIC FIN,43.9,37453951,1644228448.9
REEF,CITRUS LEISURE,16.8,96477156,1620816220.8
PAP,PANASIAN POWER,3.2,500000000,1600000000
SUGA,PELWATTE,23.5,67976891,1597456938.5
AAF,ASIA ASSET,1.9,839207833,1594494882.7
ORIN,ORIENT FINANCE,13.5,115625000,1560937500
TFIL,TRADE FINANCE,27,56800400,1533610800
ACAP,ASIA CAPITAL,11.5,131329995,1510294942.5
BOGA,BOGALA GRAPHITE,31.3,47316452,1481004947.6
SMOT,SATHOSA MOTORS,245,6033622,1478237390
TSML,TEA SMALLHOLDER,46.5,30000000,1395000000
EDEN,EDEN HOTEL LANKA,25.7,52800000,1356960000
CABO,CARGO BOAT,131.5,10200036,1341304734
PEG,PEGASUS HOTELS,43.5,30391538,1322031903
KOTA,KOTAGALA,31.6,40000000,1264000000
CHMX,CHEMANEX,80,15750000,1260000000
CSF,NATION LANKA,4.9,251163261,1230699978.9
TFC,THE FINANCE CO.,21,57966232,1217290872
COMD,COMMERCIAL DEV.,101,12000000,1212000000
TAFL,THREE ACRE FARMS,51,23545000,1200795000
SFL,SINHAPUTHRA FIN,186.7,6295893,1175443223.1
LCEM,LANKA CEMENT,6.6,173510748,1145170936.8
BERU,BERUWALA RESORTS,1.9,600000000,1140000000
WAPO,GUARDIAN CAPITAL,43.5,25833808,1123770648
ARPI,ARPICO,150.1,7437500,1116368750
ONAL,ON'ALLY,63,17500770,1102548510
AUTO,AUTODROME,916.5,1200000,1099800000
MRH,MAHAWELI REACH,23.3,47066447,1096648215.1
CITW,CITRUS WASKADUWA,6.9,155600010,1073640069
CFT,CFT,7.5,140196000,1051470000
SFS,SWARNAMAHAL FIN,2.1,500000140,1050000294
DPL,DANKOTUWA PORCEL,14.5,72245742,1047563259
PARQ,SWISSTEK,38,27372000,1040136000
CITH,CITRUS HIKKADUWA,18,57573897,1036330146
BOPL,BOGAWANTALAWA,12,83750000,1005000000
NIFL,BRAC LNKA FNANCE,9.3,105752566,983498863.8
AFSL,ABANS FINANCIAL,26.5,37000000,980500000
ASPM,SPENCEPLANTATION,45.5,21300000,969150000
CFL,CHILAW FINANCE,27.1,33901337,918726232.7
MAL,MALWATTE,4.5,202792331,912565489.5
CIT,CIT,138.2,6500000,898300000
RWSL,RAIGAM SALTERNS,3.1,282207320,874842692
REG,REGNIS,77.1,11267863,868752237.3
PALM,PALM GARDEN HOTL,80,10816750,865340000
LLMP,LUCKY LANKA,4.9,176028410,862539209
ASIY,ASIA SIYAKA,3.3,260000000,858000000
CIND,CENTRAL IND.,86,9884214,850042404
OGL,ORIENT GARMENTS,15,54916656,823749840
EMER,EASTERN MERCHANT,6.9,117446000,810377400
MHDL,MILLENNIUM HOUSE,6,134681320,808087920
PHAR,COLOMBO CITY,627.5,1272857,798717767.5
CITK,CITRUS KALPITIYA,4.9,161200010,789880049
TPL,TALAWAKELLE,33,23750000,783750000
UDPL,UDAPUSSELLAWA,39.6,19398850,768194460
SINI,SINGER IND.,198,3846300,761567400
LALU,LANKA ALUMINIUM,55.5,13702823,760506676.5
ASCO,ASCOT HOLDINGS,95,7985505,758622975
KDL,KELSEY,43,17429274,749458782
UCAR,UNION CHEMICALS,498.8,1500000,748200000
CFI,CFI,114.8,6500000,746200000
SOY,CONVENIENCE FOOD,271.3,2750000,746075000
MARA,MARAWILA RESORTS,6,122500000,735000000
HVA,HVA FOODS,10.2,66428660,677572332
AGAL,AGALAWATTE,27.1,25000000,677500000
MASK,MASKELIYA,12.5,53953489,674418612.5
MEL,MACKWOODS ENERGY,6.4,100000000,640000000
IDL,SERENDIB ENG.GRP,98,6476650,634711700
BALA,BALANGODA,26.5,23636363,626363619.5
HPFL,FLC HYDRO POWER,5.7,109088112,621802238.4
MFL,MULTI FINANCE,27.1,22462039,608721256.9
ABAN,ABANS,118.5,5110560,605601360
PCHH,PCH HOLDINGS,2.4,252000242,604800580.8
HOPL,HORANA,24.1,25000000,602500000
CALF,CAL FINANCE,15.5,38766036,600873558
SIGV,SIGIRIYA VILLAGE,65,9000000,585000000
GSF,G S FINANCE,25.3,22500000,569250000
BRR,BANSEI RESORTS,10.4,53728000,558771200
APLA,ACL PLASTICS,125,4212500,526562500
CTBL,CEYLON TEA BRKRS,4.6,114000000,524400000
RFL,RAMBODA FALLS,26,20000000,520000000
MPRH,MET. RES. HOL.,29.8,17264802,514491099.6
HSIG,HOTEL SIGIRIYA,85.3,5859000,499772700
SING,STANDARD CAPITAL,82.3,5540828,456010144.4
ACME,ACME,11,41161913,452781043
AMCL,CAPITAL LEASING,22.4,20000000,448000000
TESS,TESS AGRO,1.6,280000000,448000000
LDEV,LANKEM DEV.,7.3,60000000,438000000
SIL,SAMSON INTERNAT.,103,4232771,435975413
MULL,MULLERS,1.5,283000000,424500000
MADU,MADULSIMA,14.1,29000000,408900000
MSL,MERC. SHIPPING,131.5,2844990,374116185
SLND,SERENDIB LAND,1010,360000,363600000
ALUF,ALUFAB,30,12058200,361746000
BLUE,BLUE DIAMONDS,1.7,206601782,351223029.4
HEXP,HAYLEYS FIBRE,42.6,8000000,340800000
GEST,GESTETNER,149,2278125,339440625
HUNA,HUNAS FALLS,60,5625000,337500000
LPRT,LAKE HOUSE PRIN.,110.5,2937245,324565572.5
TWOD,TOUCHWOOD,2.6,106905600,277954560
LITE,LAXAPANA,5.4,39000000,210600000
YORK,YORK ARCADE,16.8,12000000,201600000
CHOU,CITY HOUSING,14.9,13379850,199359765
OFEQ,OFFICE EQUIPMENT,2380,83356,198387280
ASPH,INDUSTRIAL ASPH.,291,666562,193969542
MIRA,MIRAMAR,60.1,2750000,165275000
PCP,PC PHARMA,1.4,101000020,141400028
RGEM,RADIANT GEMS,56,2400000,134400000
CIFL,CIFL,1.5,83426733,125140099.5
HUEJ,HUEJAY,66.4,1800000,119520000
CPRT,CEYLON PRINTERS,2000,35010,70020000
PCH,PC HOUSE,0.2,343400001,68680000.2
KZOO,KALAMAZOO,1133.2,50000,56660000
PARA,PARAGON,550.8,100028,55095422.4
VANI,VANIK INCORP LTD,0.8,65481650,52385320
