,,,,DIVIDEND ANNOUNCEMENTS 2019 (JANUARY TO DECEMBER),,,,
2019-03-06 00:00:00, ETWO-N-0000, EQUITY TWO PLC,1.5, First Interim Dividend (Subject to Dividend Tax of 14%)  FY: - 2018/ 2019 , 15-MAR-19, 26-MAR-19,48.5,48.6
2019-03-06 00:00:00, UAL-N-0000, UNION ASSURANCE,20, First & Final Dividend  Financial Year: - 2018 , 15-MAR-19, 27-MAR-19,320,305.4
2019-03-06 00:00:00, RENU-N-0000, RENUKA CITY HOT.,4, Interim Dividend  Financial Year: - 2018/ 2019 , 15-MAR-19, 27-MAR-19,245,245
2019-03-06 00:00:00, CHMX-N-0000, CHEMANEX,1, Interim Dividend  Financial Year: - 2018/ 2019, 15-MAR-19, 27-MAR-19,50,50
2019-03-07 00:00:00, GUAR-N-0000, CEYLON GUARDIAN,0.75, First Interim Dividend  Financial Year: - 2018/ 2019, 18-MAR-19, 27-MAR-19,64,64
2019-03-07 00:00:00, BREW-N-0000, CEYLON BEVERAGE,7, First Interim Dividend  Financial Year: - 2018/2019  , 18-MAR-19, 26-MAR-19,825,825
2019-03-07 00:00:00, HPWR-N-0000, RESUS ENERGY,2.5, Interim Dividend  Financial Year: - 2018/2019 , 18-MAR-19, 27-MAR-19,28,19.6
2019-03-07 00:00:00, CINV-N-0000, CEYLON INV.,0.5, First Interim Dividend  Financial Year: - 2018/ 2019, 18-MAR-19, 27-MAR-19,35,35
2019-03-08 00:00:00, AHPL-N-0000, AHOT PROPERTIES,1.5, Interim Dividend  Financial Year: - 2018/ 2019 , 19-MAR-19, 29-MAR-19,43.5,43
2019-03-08 00:00:00, WAPO-N-0000, GUARDIAN CAPITAL,0.4, First Interim Dividend  Financial Year: - 2018/ 2019, 19-MAR-19, 28-MAR-19,20,20
2019-03-08 00:00:00, SPEN-N-0000, AITKEN SPENCE,1, Interim Dividend  Financial Year: - 2018/ 2019 , 19-MAR-19, 29-MAR-19,42.1,42
2019-03-08 00:00:00, CARS-N-0000, CARSONS,1, First Interim Dividend  Financial Year: - 2018/ 2019 , 19-MAR-19, 28-MAR-19,165,165.1
2019-03-11 00:00:00, BUKI-N-0000, BUKIT DARAH,0.75, First Interim Dividend  Financial Year: - 2018/2019 , 21-MAR-19, 29-MAR-19,200.2,200.2
2019-03-11 00:00:00, PHAR-N-0000, COLOMBO CITY,30, Interim Dividend  Financial Year: - 2018/2019 , 21-MAR-19, 29-MAR-19,650.1,583.9
2019-03-11 00:00:00, WATA-N-0000, WATAWALA,2, Interim Dividend  Financial Year: - 2018/2019 , 21-MAR-19, 27-MAR-19,21,19.1
2019-03-11 00:00:00, AAIC-N-0000, Softlogic Life,1.45, Interim Dividend  Financial Year: - 2018 , 21-MAR-19, 01-APR-19,34.7,32.5
2019-03-13 00:00:00, REG-N-0000, REGNIS,7.3," Rs.4.972104 Not liable to Dividend Tax and Rs.2.327896 subject to 14% dividend tax, Final Dividend,  FY: - 2018/2019 ", 25-MAR-19, 29-MAR-19,72,62.6
2019-03-14 00:00:00, REXP-N-0000, RICH PIERIS EXP,18, Interim Dividend Financial Year: - 2018/2019 , 26-MAR-19, 29-MAR-19,226.8,205.2
2019-03-14 00:00:00, KGAL-N-0000, KEGALLE,5, Interim Dividend Financial Year: - 2018/2019 , 26-MAR-19, 29-MAR-19,63,56.8
2019-03-14 00:00:00, NAMU-N-0000, NAMUNUKULA,8.5, Interim Dividend Financial Year: - 2018/2019 , 26-MAR-19, 03-APR-19,74.6,64
2019-03-15 00:00:00, RICH-N-0000, RICHARD PIERIS,0.25, Second Interim Dividend Financial Year: - 2018/2019 , 27-MAR-19, 29-MAR-19,9.3,9.1
2019-03-19 00:00:00, CINS-N-0000, CEYLINCO INS.,35, First and Final Dividend Financial Year: - 2018 , 26-APR-19, 07-MAY-19,2123.6,2123.6
2019-03-19 00:00:00, CINS-X-0000, CEYLINCO INS.,35, First and Final Dividend Financial Year: - 2018, 26-APR-19, 07-MAY-19,930,930
2019-03-27 00:00:00, LWL-N-0000, LANKA WALLTILE,3, Interim Dividend  Financial Year: - 2018/ 2019 , 05-APR-19, 12-APR-19,62.9,60
2019-03-27 00:00:00, TILE-N-0000, LANKA TILES,3.15, Interim Dividend  Financial Year: - 2018/ 2019 , 05-APR-19, 12-APR-19,70,70
2019-03-28 00:00:00, PARQ-N-0000, SWISSTEK,2, Interim Dividend  Financial Year: - 2018/ 2019 , 08-APR-19, 11-APR-19,35.6,33.8
2019-03-28 00:00:00, PDL-N-0000, PDL,3.75, First and Final Dividend  Financial Year: - 2018 , 30-MAY-19, 10-JUN-19,129.9,129.9
2019-03-29 00:00:00, SINS-N-0000, SINGER SRI LANKA,0.65, Interim Dividend (Not liable to any withholding tax)  Financial Year: - 2018/ 2019 , 09-APR-19, 18-APR-19,27,25.2
2019-03-29 00:00:00, HAYL-N-0000, HAYLEYS,5, Interim Dividend (Not liable to 14% withholding tax)  Financial Year: - 2018/ 2019 , 09-APR-19, 17-APR-19,169.9,169
2019-03-29 00:00:00, TPL-N-0000, TALAWAKELLE,6, Interim Dividend (Rs. 0.08 per share not liable to 14% dividend tax, 09-APR-19, 18-APR-19,53.1,46.7
2019-03-29 00:00:00, HAYC-N-0000, HAYCARB,6, Second Interim Dividend (Not liable to 14% withholding tax)  FY: - 2018/ 2019 , 09-APR-19, 18-APR-19,136,136
2019-03-29 00:00:00, ASIR-N-0000, ASIRI,0.8, Interim Dividend (Tax Free)  Financial Year: - 2018/ 2019 , 09-APR-19, 22-APR-19,20,19.9
2019-03-29 00:00:00, AMSL-N-0000, ASIRI SURG,0.5, Interim Dividend  Financial Year: - 2018/ 2019 , 09-APR-19, 18-APR-19,9.4,9
2019-03-29 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,3, Second Interim Dividend (Rs. 1.12 per share liable to 14% withholding tax, 09-APR-19, 17-APR-19,90,86.5
2019-03-29 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,2, Third Interim Dividend (Rs. 0.95 per share not liable to 14% withholding tax, 09-APR-19, 18-APR-19,82.8,82.8
2019-03-29 00:00:00, ALUM-N-0000, ALUMEX PLC,0.15, Interim Dividend (Not liable to 14% withholding tax)  Financial Year: - 2018/ 2019 , 09-APR-19, 18-APR-19,9.9,9.8
2019-04-02 00:00:00, HARI-N-0000, HARISCHANDRA,20, Interim Dividend  Financial Year: - 2018/2019 , 11-APR-19, 23-APR-19,1607,1607
2019-04-04 00:00:00, LFIN-N-0000, LB FINANCE,8, Interim Dividend  Financial Year: - 2018/2019 , 16-APR-19, 18-APR-19,127,121.5
2019-04-04 00:00:00, AGST-N-0000, AGSTAR PLC,0.2, Final Dividend  Financial Year: - 2018/2019 , 01-JUL-19, 09-JUL-19,4.1,4.1
2019-04-04 00:00:00, AGST-X-0000, AGSTAR PLC,0.2, Final Dividend  Financial Year: - 2018/2019 , 01-JUL-19, 09-JUL-19,5,5
2019-04-08 00:00:00, GRAN-N-0000, GRAIN ELEVATORS,3, Type of dividend : First and Final dividend Financial year: 2018, 09-MAY-19, 17-MAY-19,51.5,46
2019-04-08 00:00:00, TAFL-N-0000, THREE ACRE FARMS,4.5, Type of dividend : First and Final dividend Financial year: 2018, 09-MAY-19, 17-MAY-19,90.1,89
2019-04-11 00:00:00, RCL-N-0000, ROYAL CERAMIC,2.5, Interim Dividend Financial year : 2018/2019 , 24-APR-19, 06-MAY-19,60,57.3
2019-04-12 00:00:00, SFCL-N-0000, SENKADAGALA,0.6, Interim Dividend Financial year : 2018/2019, 25-APR-19, 07-MAY-19,90,90
2019-04-24 00:00:00, LLUB-N-0000, CHEVRON,2.25, Interim Dividend Financial year: 2019, 06-MAY-19, 15-MAY-19,61,58.7
2019-04-25 00:00:00, UCAR-N-0000, UNION CHEMICALS,6, Final Dividend Financial year: 2018, 31-MAY-19, 11-JUN-19,400,400
2019-04-25 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1, Final Dividend Financial year: 2018, 07-MAY-19, 16-MAY-19,42.5,42
2019-04-30 00:00:00, NEST-N-0000, NESTLE,25, Amended Dates Final Dividend  Financial Year: - 2018 , 11-JUN-19, 19-JUN-19,1510,1510
2019-05-03 00:00:00, PAP-N-0000, PANASIAN POWER,0.1, Interim Dividend Financial year: 2018/2019, 14-MAY-19, 23-MAY-19,3,2.8
2019-05-06 00:00:00, UCAR-N-0000, UNION CHEMICALS,6, Amended Dates Final dividend Financial year: 2018, 21-JUN-19, 01-JUL-19,400,400
2019-05-07 00:00:00, KFP-N-0000, KEELLS FOOD,2, Final dividend Financial year: 2018/ 2019, 16-MAY-19, 28-MAY-19,120,120
2019-05-07 00:00:00, EAST-N-0000, EAST WEST,8.5, Interim Dividend Financial year:2019/ 2020, 16-MAY-19, 28-MAY-19,17,8
2019-05-07 00:00:00, LIOC-N-0000, LANKA IOC,0.75, First and Final dividend Financial year: 2018/2019, 24-JUN-19, 02-JUL-19,16.4,16.2
2019-05-08 00:00:00, BFL-N-0000, BAIRAHA FARMS,4, Second interim Financial year: 2018/ 2019, 17-MAY-19, 29-MAY-19,101.8,99.4
2019-05-08 00:00:00, SFIN-N-0000, SINGER FINANCE,1.1, Interim Dividend (Subject to 14% Withholding Tax) Financial year: 2018/ 2019, 17-MAY-19, 28-MAY-19,13,12.2
2019-05-09 00:00:00, CHL-N-0000, DURDANS,3.6, Second interim Financial year: 2018/ 2019, 21-MAY-19, 30-MAY-19,76.5,75.6
2019-05-09 00:00:00, CHL-X-0000, DURDANS,3.6, Second interim Financial year: 2018/ 2019, 21-MAY-19, 30-MAY-19,72.5,72.5
2019-05-13 00:00:00, GLAS-N-0000, PIRAMAL GLASS,0.18, First and Final dividend Financial year: 2018/2019, 29-JUL-19, 06-AUG-19,4.1,4
2019-05-14 00:00:00, SINI-N-0000, SINGER IND.,1.57, Final dividend (Liable to 14% Withholding Tax) Financial year: 2018/2019, 24-MAY-19, 03-JUN-19,57.7,57.7
2019-05-14 00:00:00, CTC-N-0000, CEYLON TOBACCO,19, First interim (Less Withholding Tax) Financial year: 2019, 24-MAY-19, 04-JUN-19,1295,1295
2019-05-15 00:00:00, CCS-N-0000, COLD STORES,8, Final dividend Financial year: 2018/2019, 27-MAY-19, 06-JUN-19,595.7,580
2019-05-21 00:00:00, AEL-N-0000, ACCESS ENG SL,0.25, Final dividend Financial year: 2018/2019, 30-MAY-19, 11-JUN-19,12.1,12.1
2019-05-23 00:00:00, CIND-N-0000, CENTRAL IND.,2.5, Final dividend Financial year: 2018/2019, 01-AUG-19, 09-AUG-19,40.2,38.1
2019-05-23 00:00:00, CIC-N-0000, CIC,1, Final dividend Financial year: 2018/2019, 01-JUL-19, 09-JUL-19,43,45
2019-05-23 00:00:00, CIC-X-0000, CIC,1, Final dividend Financial year: 2018/2019, 01-JUL-19, 09-JUL-19,28.5,28.1
2019-05-23 00:00:00, CHMX-N-0000, CHEMANEX,1, Final dividend Financial year: 2018/ 2019, 01-JUL-19, 09-JUL-19,60,60
2019-05-24 00:00:00, JKH-N-0000, JKH,1, Final dividend Financial year: 2018/2019, 04-JUN-19, 14-JUN-19,136,136.1
2019-05-24 00:00:00, TSML-N-0000, TEA SMALLHOLDER,1.7, First and Final dividend Financial year:2018/2019, 04-JUN-19, 14-JUN-19,27.7,27.7
2019-05-24 00:00:00, JKL-N-0000, JOHN KEELLS,2, First and Final dividend Financial year:2018/2019, 04-JUN-19, 14-JUN-19,50.9,50.9
2019-05-24 00:00:00, CTBL-N-0000, CEYLON TEA BRKRS,0.35, First and Final dividend Financial year:2018/2019, 04-JUN-19, 14-JUN-19,3,2.8
2019-05-24 00:00:00, AHUN-N-0000, A.SPEN.HOT.HOLD.,1, First and Final dividend Financial year: 2018/2019, 01-JUL-19, 09-JUL-19,22,22
2019-05-24 00:00:00, HHL-N-0000, HEMAS HOLDINGS,1.45, Final dividend Financial year: 2018/2019, 27-JUN-19, 05-JUL-19,62.4,62
2019-05-24 00:00:00, SPEN-N-0000, AITKEN SPENCE,1.5, Final dividend Financial year: 2018/2019, 01-JUL-19, 09-JUL-19,41,40.5
2019-05-27 00:00:00, SIL-N-0000, SAMSON INTERNAT.,2, Final dividend Financial year:2018/2019, 06-JUN-19, 17-JUN-19,94,94
2019-05-27 00:00:00, LIOC-N-0000, LANKA IOC,0.75, AMENDED DATES First and Final dividend Financial year: 2018/2019, 20-JUN-19, 28-JUN-19,16.9,16.4
2019-05-27 00:00:00, DIMO-N-0000, DIMO,2.5, First and Final dividend Financial year:2018/2019, 06-JUN-19, 17-JUN-19,299.6,299.6
2019-05-27 00:00:00, LFIN-N-0000, LB FINANCE,4, Final dividend Financial year: 2018/2019, 28-JUN-19, 08-JUL-19,125.1,120
2019-05-27 00:00:00, UML-N-0000, UNITED MOTORS,4, First and Final dividend Financial year: 2018/2019, 26-JUL-19, 05-AUG-19,75,71
2019-05-27 00:00:00, CFIN-N-0000, CENTRAL FINANCE,0.7, Final dividend Financial year: 2018/2019, 01-JUL-19, 04-JUL-19,87.5,85
2019-05-28 00:00:00, RCL-N-0000, ROYAL CERAMIC,1.5, Final dividend Financial year: 2018/19, 08-JUL-19, 17-JUL-19,65,63.9
2019-05-28 00:00:00, CWM-N-0000, C.W.MACKIE,3.5, First and Final dividend Financial year: 2018/19, 28-JUN-19, 08-JUL-19,42.1,39.7
2019-05-30 00:00:00, RIL-N-0000, R I L PROPERTY ,0.15, First and Final dividend Financial year: 2018/2019, 29-JUL-19, 06-AUG-19,6.4,6.3
2019-05-31 00:00:00, SUN-N-0000, SUNSHINE HOLDING,1.25, Final dividend Financial year: 2018/2019, 28-JUN-19, 08-JUL-19,42,41
2019-06-03 00:00:00, VFIN-N-0000, VALLIBEL FINANCE,4, First and Final dividend Financial year: 2018/2019, 13-JUN-19, 24-JUN-19,73,69.3
2019-06-03 00:00:00, LVEF-N-0000, LVL ENERGY,0.31, Interim Dividend Financial year: 2018/2019, 13-JUN-19, 21-JUN-19,7.9,7.8
2019-06-04 00:00:00, RHTL-N-0000, FORTRESS RESORTS,1, First and Final dividend Financial year: 2018/2019, 28-JUN-19, 08-JUL-19,10.1,9.5
2019-06-17 00:00:00, LION-N-0000, LION  BREWERY,6, Final dividend Financial year: 2018/2019, 22-JUL-19, 30-JUL-19,570.8,570.8
2019-06-24 00:00:00, VPEL-N-0000, VALLIBEL,0.3, Interim Dividend Financial year: 2019/2020, 03-JUL-19, 12-JUL-19,6.2,6
2019-06-25 00:00:00, CARG-N-0000, CARGILLS,4.1, Final dividend Financial year: 2018/19, 26-JUL-19, 05-AUG-19,194.1,190
2019-06-25 00:00:00, BRR-N-0000, BANSEI RESORTS,0.3, First and Final dividend Financial year: 2018/2019, 27-AUG-19, 04-SEP-19,6.7,6.1
2019-06-26 00:00:00, APLA-N-0000, ACL PLASTICS,6, First interim Financial year: 2018 - 2019, 05-JUL-19, 17-JUL-19,95.6,91.1
2019-06-28 00:00:00, ALLI-N-0000, ALLIANCE,1, First and Final dividend Financial year: 2018/2019, 01-AUG-19, 09-AUG-19,50.2,49.5
2019-07-02 00:00:00, CTLD-N-0000, C T LAND,1.25, Final dividend Financial year: 2018/19, 25-JUL-19, 02-AUG-19,30.7,32
2019-07-03 00:00:00, DIST-N-0000, DISTILLERIES,0.8, First interim Financial year: 2018/2019, 12-JUL-19, 23-JUL-19,17.5,17.1
2019-07-03 00:00:00, CTHR-N-0000, C T HOLDINGS,3.7, Final dividend Financial year: 2018/19, 30-JUL-19, 07-AUG-19,168,166.3
2019-07-09 00:00:00, SFCL-N-0000, SENKADAGALA,0.35, Final dividend  Financial year: March 31,2019-08-01 00:00:00,2019-08-09 00:00:00,90,90
2019-07-11 00:00:00, ONAL-N-0000, ON'ALLY,0.43, Final dividend Financial year: Year Ended 31st March 2019, 23-JUL-19, 31-JUL-19,23.5,23
2019-07-15 00:00:00, TJL-N-0000, TEEJAY LANKA,1.1, Final dividend Financial year: 31.03.2019, 20-AUG-19, 28-AUG-19,37.9,37.1
2019-07-15 00:00:00, ASHO-N-0000, LANKA ASHOK,10, First and Final dividend Financial year: 2018/19, 09-SEP-19, 18-SEP-19,762.2,762.2
2019-07-17 00:00:00, TKYO-X-0000, TOKYO CEMENT,0.3, First and Final dividend Financial year: 2018/19, 19-AUG-19, 27-AUG-19,27.6,26.6
2019-07-17 00:00:00, TKYO-N-0000, TOKYO CEMENT,0.3, First and Final dividend Financial year: 2018/19, 19-AUG-19, 27-AUG-19,33,32
2019-07-18 00:00:00, SWAD-N-0000, SWADESHI,1, First and Final dividend Financial year: 2018/2019, 26-AUG-19, 03-SEP-19,14900,14900
2019-07-19 00:00:00, RAL-N-0000, RENUKA AGRI,0.12, First and Final dividend Financial year: 2018/19, 19-SEP-19, 26-SEP-19,2.7,2.7
2019-07-19 00:00:00, TYRE-N-0000, KELANI TYRES,2.5, Correct XD date: 30 July 2019 (unable to put the correct XD date due to system error) First interim Financial year: 2019/2020, 31-JUL-19, 08-AUG-19,41.9,42
2019-07-23 00:00:00, COCR-N-0000, COM.CREDIT,1, First and Final dividend Financial year: 31 March 2019, 26-AUG-19, 03-SEP-19,29.1,28.6
2019-07-23 00:00:00, HARI-N-0000, HARISCHANDRA,30, Final dividend Financial year: 31st March 2019, 23-SEP-19, 01-OCT-19,1554.7,1554.7
2019-07-24 00:00:00, KCAB-N-0000, KELANI CABLES,3.5, First interim Financial year: 31st March 2019, 02-AUG-19, 15-AUG-19,83.2,80
2019-07-25 00:00:00, VLL-N-0000, VIDULLANKA,0.13, First interim Financial year: 2019/2020, 05-AUG-19, 15-AUG-19,4.5,4.3
2019-07-29 00:00:00, SWAD-N-0000, SWADESHI,1, Amended dividend dates. First and Final dividend Financial year: 2018/2019, 09-SEP-19, 18-SEP-19,14900,14900
2019-07-29 00:00:00, BPPL-N-0000, BPPL HOLDINGS,0.18, First interim Financial year: 31 March 2020, 07-AUG-19, 19-AUG-19,10.9,10.9
2019-07-30 00:00:00, ACL-N-0000, ACL,1.5, First interim Financial year: 2019/2020, 08-AUG-19, 21-AUG-19,39.5,39.1
2019-07-30 00:00:00, SHL-N-0000, SOFTLOGIC,0.5, Final dividend Financial year: 31.03.2019, 08-AUG-19, 21-AUG-19,15.9,15.3
2019-07-30 00:00:00, CTEA-N-0000, DILMAH CEYLON,15, Final dividend Financial year: 2018/19, 09-SEP-19, 18-SEP-19,590.5,590.5
2019-08-01 00:00:00, SOY-N-0000, CONVENIENCE FOOD,4.5, Final dividend Financial year: 2018/2019, 17-SEP-19, 25-SEP-19,371.4,371.4
2019-08-02 00:00:00, CFVF-N-0000, FIRST CAPITAL,4, First interim Financial year: 2019/2020, 15-AUG-19, 26-AUG-19,53,49.7
2019-08-05 00:00:00, LVEN-N-0000, LANKA VENTURES,2.75, Final dividend Financial year: 31st March 2019, 30-SEP-19, 08-OCT-19,42.1,42
2019-08-06 00:00:00, BREW-N-0000, CEYLON BEVERAGE,10, First interim Financial year: Ending 31st March 2020, 19-AUG-19, 27-AUG-19,848.6,848.6
2019-08-06 00:00:00, LMF-N-0000, LMF,1.25, First and Final dividend Financial year: 2018/19, 02-SEP-19, 09-SEP-19,99.1,99.1
2019-08-09 00:00:00, LALU-N-0000, LANKA ALUMINIUM,1.5, First and Final dividend Financial year: Year ended 31st March 2019, 12-SEP-19, 23-SEP-19,62.4,62.4
2019-08-13 00:00:00, ASPH-N-0000, INDUSTRIAL ASPH.,4.5, First and Final dividend Financial year: 2018/2019, 11-SEP-19, 20-SEP-19,301.1,300
2019-08-16 00:00:00, LLUB-N-0000, CHEVRON,1.75, Second interim Financial year: 31.12.2019, 27-AUG-19, 05-SEP-19,66.4,64
