Sector Trading Statistics Monthly 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Motors,300,11658167,621579303,7,7,848,553388,35426925,7,6,872,651115,48977419,7,7,533,268663,20420956,7,7,783,1304846,101583541,7,7,652,2555100,646509774,7,6,348,104840,15652419,7,7,363,706970,50784724,7,7,1485,414827,81016973,7,7,608,209310,25426394,7,7,1149,565978,61040359,7,7,505,215285,21592622,7,7
Oil Palms,202,82146,39131309,5,5,170,25441,22096405,5,5,96,7255,6632668,5,4,1011,218095,94426301,5,5,400,159070,55141994,5,5,234,33755,15980617,5,5,128,26629,24490827,5,5,174,121975,56053717,5,5,143,163629,35455388,5,5,123,19432,10812904,5,5,159,45417,47059727,5,5,153,11841,3538956,5,5
Stores & Supplies,545,5682658,9106870,6,6,266,2078297,83612665,6,6,573,2184097,58059914,6,6,393,2647812,51833668,6,6,175,705044,6573969,6,5,537,4946792,13126755,6,6,2410,31340439,48010613,6,6,1026,10319362,15181207,6,6,767,7562937,15351497,6,6,348,5188873,8557339,6,6,343,2968598,5580972,6,6,178,845080,11076964,6,6
Services,76,31863,3165945,7,3,141,68499,7078431,7,3,56,12985,1339150,7,3,49,22694,2298289,7,3,77,22771,1863950,7,4,93,25311,2255250,7,5,65,20980,1818382,7,5,56,50956,3108467,7,5,100,96364,3839531,7,5,203,43937,4151520,7,6,458,676170,64966569,7,4,131,29850,2801749,7,4
Trading,1574,8984040,26595161,11,9,1383,4095269,27841286,11,9,4544,16863378,152803176,11,8,3827,11795992,121307610,11,9,1268,3726536,29015569,11,9,1181,5287593,48471387,11,9,2893,19054275,56332117,11,9,1219,5156295,18809830,11,9,2786,19535948,82936700,11,8,1482,7058267,51555095,11,10,1661,7164298,84958424,11,8,687,2202375,15296692,11,9
Plantation,1375,2174856,24142136,18,17,5494,10157434,170920387,18,18,2911,10638605,182266161,18,17,1506,2266472,40791774,18,17,7767,15801257,289879502,18,17,4791,6710813,146588309,18,17,4376,6327124,155327377,18,17,4321,5125782,131724884,18,17,3418,7063306,161079017,18,18,1390,1761499,38301265,18,18,4895,7654470,174952109,18,17,1414,2822831,89810772,18,17
Diversified,3453,18503145,2187364621,10,10,3124,7903698,987608106,10,11,5252,16265971,1584279627,10,11,2891,4539266,549926446,10,10,2022,4837574,693232096,10,11,2829,9489442,1219957926,10,11,1440,8091127,978827277,10,11,1839,12443594,1551234908,10,11,4790,14937231,1140102286,10,11,4145,15572818,2084565256,10,11,7818,28946932,5065667845,10,11,2646,9623035,1726223589,10,11
Power & Energy,2436,15999320,467690125,3,2,2002,12058255,374783964,3,2,1681,9195458,282132341,3,2,771,1166925,32949713,3,2,1984,4909238,62965805,4,3,6866,24815500,623700970,4,3,2809,11460476,100367379,4,3,3063,18165785,121577918,4,3,4719,37618183,520730269,4,3,3914,28546326,473882330,4,3,2567,13969160,174094160,4,3,1437,6870966,127844999,4,3
Healthcare,1850,7655946,59723362,6,6,1611,4107480,58298672,6,6,3320,10515963,197599677,6,6,1697,12519758,62658458,6,6,1240,3732117,37639089,6,6,3115,33827482,657210883,6,6,11878,172210143,1419744069,6,6,4569,40115850,228852568,6,6,3711,42293020,326918346,6,6,3370,30239056,231298920,6,6,4590,106452580,1088482172,6,6,1898,7010399,75345440,6,6
Information Technology,132,178333,1908355,1,1,64,96366,1125851,1,1,1569,2514913,37546003,1,1,242,407433,5389271,1,1,166,239200,2689900,1,1,304,501595,5155235,1,1,201,267832,2933387,1,1,161,187279,1832373,1,1,574,677860,8079285,1,1,1420,2232608,32406086,1,1,927,2824457,55990282,1,1,120,318919,5339385,1,1
Telecommunication,6101,76928659,1300696079,2,2,3225,34487012,641683002,2,2,4216,71830413,1386855107,2,2,4837,72416165,1481075468,2,2,3446,44703035,942567984,2,2,2440,28837552,550642891,2,2,2065,9021186,173845605,2,2,2157,24871959,500647303,2,2,2598,13868932,283527363,2,2,4827,33983638,769334722,2,2,11300,260012785,6554265015,2,2,3591,26876446,738354878,2,2
