"Market Capitalization of Listed Companies as at December 31, 2013",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
OSEA,OVERSEAS REALTY,18.3,843484359,15435763769.7
GUAR,CEYLON GUARDIAN,181.9,82096719,14933393186.1
EXPO,EXPOLANKA,7.5,1954915000,14661862500
NTB,NATIONS TRUST,62.2,230607283,14343773002.6
CCS,COLD STORES,145.6,95040000,13837824000
CTEA,TEA SERVICES,687,20000000,13740000000
DOCK,DOCKYARD,189.6,71858924,13624451990.4
RICH,RICHARD PIERIS,6.3,1958087630,12335952069
SEYB,SEYLAN BANK,64.2,175977401,11297749144.2
SINS,SINGER SRI LANKA,89,125209610,11143655290
GSF,G S FINANCE,494.9,22500000,11135250000
BREW,CEYLON BEVERAGE,520,20988090,10913806800
JFIN,FINLAYS COLOMBO,300,35000000,10500000000
TJL,TEXTURED JERSEY,15.2,655002440,9956037088
LGL,LAUGFS GAS,28.4,335000086,9514002442.4
RCL,ROYAL CERAMIC,84.6,110789384,9372781886.4
INDO,INDO MALAY,1300,6998400,9097920000
LHCL,LANKA HOSPITALS,40.5,223732169,9061152844.5
UAL,UNION ASSURANCE,104,85714286,8914285744
LOFC,LANKAORIXFINANCE,2.8,2800000000,7840000000
CLND,COLOMBO LAND,39.2,199881008,7835335513.6
UML,UNITED MOTORS,113.7,67267084,7648267450.8
CINV,CEYLON INV.,77,98514874,7585645298
CTCE,A I A INSURANCE,250.7,30000000,7521000000
GOOD,GOOD HOPE,1051.2,6871307,7223117918.4
LFIN,LB FINANCE,102.8,69825714,7178083399.2
SELI,SELINSING,1032,6940080,7162162560
MERC,MERCANTILE INV,2200,3006000,6613200000
SHL,SOFTLOGIC,8.4,779000000,6543600000
TKYO,TOKYO CEMENT,28.5,222750000,6348375000
SHAL,SHALIMAR,881,6940080,6114210480
BRWN,BROWNS,82.7,70875000,5861362500
UBC,UNION BANK,16.6,349250000,5797550000
ODEL,ODEL PLC,21,272129431,5714718051
GHLL,GALADARI,11.3,500829564,5659374073.2
HAYC,HAYCARB,189.8,29712375,5639408775
AMSL,ASIRI SURG,10.3,528457545,5443112713.5
DIPD,DIPPED PRODUCTS,90,59861512,5387536080
ASHO,LANKA ASHOK,1487.7,3620843,5386728131.1
CFLB,FORT LAND,28.2,180000000,5076000000
GREG,LANKA CENTURY,14.1,349367119,4926076377.9
ASHA,ASIRI CENTRAL,210.1,22333957,4692364365.7
JINS,JANASHAKTHI INS.,12.7,363000132,4610101676.4
PABC,PAN ASIA,15.5,295041086,4573136833
PDL,PDL,66,66000000,4356000000
VPEL,VALLIBEL,5.8,747109731,4333236439.8
JKL,JOHN KEELLS,71.2,60800000,4328960000
BIL,BROWNS INVSTMNTS,2.3,1860000000,4278000000
GLAS,PIRAMAL GLASS,4.5,950086080,4275387360
DIMO,DIMO,481,8876437,4269566197
NHL,NAWALOKA,3,1409505596,4228516788
LMF,LMF,105.3,39998000,4211789400
TILE,LANKA TILES,78.9,53050410,4185677349
KHC,KANDY HOTELS,7.1,577500000,4100250000
TYRE,KELANI TYRES,49.5,80400000,3979800000
ACL,ACL,64.9,59893680,3887099832
TAJ,TAJ LANKA,27.8,139637494,3881922333.2
SUN,SUNSHINE HOLDING,28,133826537,3747143036
KAPI,MTD WALKERS,32,114357140,3659428480
CONN,AMAYA LEISURE,74,48034238,3554533612
CIC,CIC,47.9,72900000,3491910000
AAIC,ASIAN ALLIANCE,85.5,37500000,3206250000
SERV,KINGSBURY,13.2,242000000,3194400000
CERA,LANKA CERAMIC,105.5,30000000,3165000000
KAHA,KAHAWATTE,38.8,79889805,3099724434
FLCH,FLC HOLDINGS,2.2,1368000000,3009600000
ALHP,ANILANA HOTELS,7.7,383684400,2954369880
LWL,LANKA WALLTILE,53.9,54600000,2942940000
LCEY,LANKEM CEYLON,122.1,24000000,2930400000
SFCL,SENKADAGALA,49.09,58704800,2881818632
CHL,DURDANS,110,25527272,2807999920
TAP,TAPROBANE,2.8,1002724815,2807629482
KVAL,KELANI VALLEY,78.3,34000000,2662200000
CHOT,HOTELS CORP.,15.3,171825201,2628925575.3
HASU,HNB ASSURANCE,52.5,50000000,2625000000
NEH,NUWARA ELIYA,1300,2003870,2605031000
KGAL,KEGALLE,102.9,25000000,2572500000
COCR,COM.CREDIT,10.5,238074365,2499780832.5
SWAD,SWADESHI,19000,130666,2482654000
BBH,BROWNS BEACH,19,129600000,2462400000
EBCR,E B CREASY,945,2535458,2396007810
WATA,WATAWALA,9.9,236666670,2343000033
CARE,PRINTCARE PLC,27,85966670,2321100090
CLPL,CEYLON LEATHER,66.5,34233774,2276545971
SHOT,SERENDIB HOTELS,29.4,75514738,2220133297.2
HPWR,HEMAS POWER,17.6,125200002,2203520035.2
CWM,C.W.MACKIE,60.8,35988556,2188104204.8
GRAN,GRAIN ELEVATORS,35.5,60000000,2130000000
RAL,RENUKA AGRI,3.7,561750000,2078475000
BFL,BAIRAHA FARMS,128.8,16000000,2060800000
LVEN,LANKA VENTURES,41,50000000,2050000000
HARI,HARISCHANDRA,2118.3,959800,2033144340
LHL,LIGHTHOUSE HOTEL,44,46000000,2024000000
NAMU,NAMUNUKULA,84.7,23750000,2011625000
SDB,SANASA DEV. BANK,77.4,25175322,1948569922.8
CDB,CDB,42,46299223,1944567366
HDFC,HDFC,29.9,64710520,1934844548
SFIN,SINGER FINANCE,11.7,165333334,1934400007.8
ALLI,ALLIANCE,783,2430000,1902690000
AMF,AMF CO LTD,334,5608355,1873190570
ACAP,ASIA CAPITAL,17,110000000,1870000000
MBSL,MERCHANT BANK,13.6,135000000,1836000000
CSF,NATION LANKA,7.2,249951518,1799650929.6
CFVF,FIRST CAPITAL,17.5,101250000,1771875000
RENU,RENUKA CITY HOT.,251,7000000,1757000000
MGT,HAYLEYS - MGT,11.1,152343318,1691010829.8
VLL,VIDULLANKA,3.5,477269193,1670442175.5
KCAB,KELANI CABLES,74,21800000,1613200000
ORIN,ORIENT FINANCE,13.9,115625000,1607187500
LAMB,KOTMALE HOLDINGS,51,31400000,1601400000
ATL,AMANA TAKAFUL,1.6,1000000720,1600001152
SUGA,PELWATTE,23.5,67976891,1597456938.5
EAST,EAST WEST,11.5,138240000,1589760000
KFP,KEELLS FOOD,62,25500000,1581000000
SMOT,SATHOSA MOTORS,259.1,6033622,1563311460.2
EDEN,EDEN HOTEL LANKA,29,52800000,1531200000
ECL,E - CHANNELLING,12.5,122131415,1526642687.5
MORI,MORISONS,260,5808290,1510155400
CTLD,C T LAND,30.9,48750000,1506375000
RHTL,FORTRESS RESORTS,13.4,110886684,1485881565.6
COCO,RENUKA SHAW,16.5,89771800,1481234700
KOTA,KOTAGALA,37,40000000,1480000000
AGST,AGSTARFERTILIZER,4.7,307526310,1445373657
STAF,DOLPHIN HOTELS,44.9,31621477,1419804317.3
CSEC,DUNAMIS CAPITAL,11.5,122997050,1414466075
REEF,CITRUS LEISURE,14.6,96477156,1408566477.6
HUNT,HUNTERS,271.5,5145000,1396867500
RHL,RENUKA HOLDINGS,30.6,44517313,1362229777.8
TANG,TANGERINE,68,20000000,1360000000
HAPU,HAPUGASTENNE,29.3,46315789,1357052617.7
CHMX,CHEMANEX,85,15750000,1338750000
CSD,SEYLAN DEVTS,9,147964860,1331683740
SHAW,LEE HEDGES,258.1,5120546,1321612922.6
RPBH,ROYAL PALMS,26.4,50000000,1320000000
COLO,C M HOLDINGS,83.6,15200000,1270720000
CITH,CITRUS HIKKADUWA,22,57573897,1266625734
PAP,PANASIAN POWER,2.5,500000000,1250000000
ELPL,ELPITIYA,16.6,72866428,1209582704.8
SCAP,SOFTLOGIC CAP,4,299200000,1196800000
VFIN,VALLIBEL FINANCE,28.8,41550600,1196657280
AUTO,AUTODROME,995,1200000,1194000000
CITW,CITRUS WASKADUWA,7.4,155600010,1151440074
LCEM,LANKA CEMENT,6.6,173510748,1145170936.8
IDL,SERENDIB ENG.GRP,168.7,6476650,1092610855
BERU,BERUWALA RESORTS,1.8,600000000,1080000000
ASCO,ASCOT HOLDINGS,133.6,7985505,1066863468
PEG,PEGASUS HOTELS,35.1,30391538,1066742983.8
AAF,ASIA ASSET,1.9,559471889,1062996589.1
EQIT,EQUITY,26.2,40321730,1056429326
SFS,SWARNAMAHAL FIN,2.1,500000140,1050000294
AFSL,ABANS FINANCIAL,28.2,37000000,1043400000
TSML,TEA SMALLHOLDER,34.1,30000000,1023000000
CABO,CARGO BOAT,99,10200036,1009803564
ASPM,SPENCEPLANTATION,45.5,21300000,969150000
SIRA,SIERRA  CABL,1.8,537512430,967522374
SEMB,S M B LEASING,0.8,1191766772,953413417.6
CRL,SOFTLOGIC FIN,25.3,37453951,947584960.3
CITK,CITRUS KALPITIYA,5.8,161200010,934960058
DPL,DANKOTUWA PORCEL,12.9,72245742,931970071.8
CFT,CFT,6.4,140196000,897254400
MAL,MALWATTE,4.4,202792331,892286256.4
ETWO,EQUITY TWO PLC,28.5,31000000,883500000
BOGA,BOGALA GRAPHITE,18.4,47316452,870622716.8
TAFL,THREE ACRE FARMS,36.9,23545000,868810500
ONAL,ON'ALLY,47.5,17500770,831286575
EMER,EASTERN MERCHANT,7,117446000,822122000
ASIY,ASIA SIYAKA,3.1,260000000,806000000
COMD,COMMERCIAL DEV.,66.3,12000000,795600000
NIFL,NANDA FINANCE,7.4,105752566,782568988.4
BOPL,BOGAWANTALAWA,9.2,83750000,770500000
TFIL,TRADE FINANCE,13.5,56800400,766805400
PMB,PEOPLE'S MERCH,11.2,67500000,756000000
MRH,MAHAWELI REACH,16,47066447,753063152
WAPO,GUARDIAN CAPITAL,29,25833808,749180432
BALA,BALANGODA,31,23636363,732727253
REG,REGNIS,65,11267863,732411095
MEL,MACKWOODS ENERGY,7.1,100000000,710000000
PALM,PALM GARDEN HOTL,62.6,10816750,677128550
UCAR,UNION CHEMICALS,446,1500000,669000000
HVA,HVA FOODS,9.9,66428660,657643734
CIT,CIT,100,6500000,650000000
MARA,MARAWILA RESORTS,5.3,122500000,649250000
RWSL,RAIGAM SALTERNS,2.2,282207320,620856104
SOY,CONVENIENCE FOOD,220.2,2750000,605550000
PHAR,COLOMBO CITY,470,1272857,598242790
AGAL,AGALAWATTE,23.9,25000000,597500000
HOPL,HORANA,23.8,25000000,595000000
ESL,ENTRUST SEC,18,33000014,594000252
CALF,CAL FINANCE,15.2,38766036,589243747.2
TFC,THE FINANCE CO.,10.1,57966232,585458943.2
TPL,TALAWAKELLE,24,23750000,570000000
MASK,MASKELIYA,10.5,53953489,566511634.5
CFI,CFI,86.7,6500000,563550000
CIND,CENTRAL IND.,55.5,9884214,548573877
HPFL,FLC HYDRO POWER,5,109088112,545440560
ABAN,ABANS,105.1,5110560,537119856
SIGV,SIGIRIYA VILLAGE,59.6,9000000,536400000
SFL,SINHAPUTHRA FIN,82.1,6295893,516892815.3
UDPL,UDAPUSSELLAWA,25.7,19398850,498550445
REXP,RICH PIERIS EXP,44.6,11163745,497903027
BLI,BIMPUTH FINANCE,17.9,26933336,482106714.4
CTBL,CEYLON TEA BRKRS,4.2,114000000,478800000
PARQ,SWISSTEK,17.3,27372000,473535600
SINI,SINGER IND.,117.5,3846300,451940250
AMCL,CAPITAL LEASING,22.35,20000000,447000000
HSIG,HOTEL SIGIRIYA,76,5859000,445284000
KURU,KURUWITA TEXTILE,17.7,25000000,442500000
OGL,ORIENT GARMENTS,8,54916656,439333248
ARPI,ARPICO,96,4462500,428400000
CFL,CHILAW FINANCE,12.4,33901337,420376578.8
LALU,LANKA ALUMINIUM,29.6,13702823,405603560.8
SLND,SERENDIB LAND,1100,360000,396000000
MFL,MULTI FINANCE,16.3,22462039,366131235.7
TESS,TESS AGRO,1.3,280000000,364000000
SIL,SAMSON INTERNAT.,94.5,3847974,363633543
MPRH,MET. RES. HOL.,21,17264802,362560842
BLUE,BLUE DIAMONDS,3.5,103300891,361553118.5
APLA,ACL PLASTICS,84.3,4212500,355113750
MSL,MERC. SHIPPING,124.1,2844990,353063259
KDL,KELSEY,19.2,17429274,334642060.8
MADU,MADULSIMA,10.9,29000000,316100000
MULL,MULLERS,1.1,283000000,311300000
LDEV,LANKEM DEV.,5.1,60000000,306000000
LPRT,LAKE HOUSE PRIN.,103.4,2937245,303711133
SING,STANDARD CAPITAL,54.1,5540828,299758794.8
TWOD,TOUCHWOOD,2.8,106905600,299335680
GEST,GESTETNER,128,2278125,291600000
RFL,RAMBODA FALLS,14.2,20000000,284000000
PCHH,PCH HOLDINGS,1.1,252000242,277200266.2
HUNA,HUNAS FALLS,46.8,5625000,263250000
ACME,ACME,9.7,25613280,248448816
PCH,PC HOUSE,0.6,343400001,206040000.6
HEXP,HAYLEYS FIBRE,25,8000000,200000000
ALUF,ALUFAB,15.8,12058200,190519560
OFEQ,OFFICE EQUIPMENT,2100,83356,175047600
YORK,YORK ARCADE,13.6,12000000,163200000
LITE,LAXAPANA,4,39000000,156000000
CHOU,CITY HOUSING,11.3,13379850,151192305
ASPH,INDUSTRIAL ASPH.,213.9,666562,142577611.8
PCP,PC PHARMA,1.4,101000020,141400028
MIRA,MIRAMAR,45,2750000,123750000
RGEM,RADIANT GEMS,48,2400000,115200000
HUEJ,HUEJAY,56.6,1800000,101880000
PARA,PARAGON,850,100028,85023800
CIFL,CIFL,1,83426733,83426733
BINN,BERUWELA WALKINN,90,900000,81000000
CPRT,CEYLON PRINTERS,1675,35010,58641750
VANI,VANIK INCORP LTD,0.8,65481650,52385320
KZOO,KALAMAZOO,1033.3,50000,51665000
