,,,,DIVIDEND ANNOUNCEMENTS 2021 (JANUARY TO DECEMBER),,,,
2021-03-05 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,0.25, Second interim Financial year 2020/2021, 17-MAR-21, 25-MAR-21,47.1,46.4
2021-03-05 00:00:00, KVAL-N-0000, KELANI VALLEY,1, Second interim Financial year 2020/2021, 17-MAR-21, 26-MAR-21,41.7,39.4
2021-03-09 00:00:00,HPFL-N-0000,LOTUS HYDRO POWER PLC,1,First interim-Financial Year31st March 2021,2021-03-19 00:00:00,2021-04-09 00:00:00,11.7,10
2021-03-09 00:00:00,CIC-N-0000,CIC HOLDINGS PLC,1,First interim-Financial Year2020/21,2021-03-19 00:00:00,2021-04-09 00:00:00,48.4,47.1
2021-03-09 00:00:00,CIC-X-0000,CIC HOLDINGS PLC,1,First interim-Financial Year2020/21,2021-03-19 00:00:00,2021-04-09 00:00:00,40.8,38.6
2021-03-10 00:00:00,AAIC-N-0000,SOFTLOGIC LIFE INSURANCE PLC,2.5,First interim-Financial Year2020,2021-03-24 00:00:00,2021-04-05 00:00:00,33,31
2021-03-12 00:00:00, SLTL-N-0000, SLT,1.49,First &  Final Dividend Financial Year 31st December 2020, 27-APR-21, 17-MAY-21,34.7,33.1
2021-03-12 00:00:00,SINS-N-0000,SINGER (SRI LANKA) PLC,0.3,Third interim-Financial Year2020/21,2021-03-23 00:00:00,2021-03-26 00:00:00,17.1,17.5
2021-03-12 00:00:00,ALUM-N-0000,ALUMEX PLC,0.4,Second interim-Financial Year2020/21,2021-03-23 00:00:00,2021-03-26 00:00:00,10.2,10.2
2021-03-12 00:00:00,COLO-N-0000,C M HOLDINGS PLC,5,First interim-Financial Year2020/2021,2021-03-23 00:00:00,2021-03-30 00:00:00,86.8,81.8
2021-03-12 00:00:00,ASIY-N-0000,ASIA SIYAKA COMMODITIES PLC,0.08,Second interim-Financial Year31st March 2021,2021-03-23 00:00:00,2021-04-15 00:00:00,2.4,2.4
2021-03-15 00:00:00,TSML-N-0000,TEA SMALLHOLDER FACTORIES PLC,1.5,First interim-Financial Year2020/21,2021-03-24 00:00:00,2021-04-16 00:00:00,43.9,43.9
2021-03-16 00:00:00,JKL-N-0000,JOHN KEELLS PLC,1,First interim-Financial Year2020/21,2021-03-25 00:00:00,2021-04-19 00:00:00,70,70
2021-03-17 00:00:00,ETWO-N-0000,EQUITY TWO PLC,0.65,First interim-Financial YearFinancial Year ending 31st March 2021,2021-03-26 00:00:00,2021-04-20 00:00:00,52,54.2
2021-03-17 00:00:00,AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,0.6,"Second interim-Financial Year31st March, 2021",2021-03-26 00:00:00,2021-04-16 00:00:00,14.4,13.3
2021-03-17 00:00:00,ASIR-N-0000,ASIRI HOSPITAL HOLDINGS PLC,0.8,"Second interim-Financial Year31st March, 2021",2021-03-26 00:00:00,2021-04-16 00:00:00,26.1,25
2021-03-22 00:00:00,LHCL-N-0000,THE LANKA HOSPITALS CORPORATION PLC,0.75,Final dividend-Financial Year44196,2021-03-31 00:00:00,2021-04-23 00:00:00,42,43.5
2021-03-24 00:00:00, REXP-N-0000, RICH PIERIS EXP,25, First interim, 05-APR-21, 27-APR-21,376.5,356.75
2021-03-25 00:00:00, NAMU-N-0000, NAMUNUKULA,8.5, First interim, 06-APR-21, 28-APR-21,182.25,166
2021-03-25 00:00:00, KGAL-N-0000, KEGALLE,4, First interim, 06-APR-21, 28-APR-21,98.6,93.7
2021-03-26 00:00:00, REG-N-0000, REGNIS,2.6, First interim, 07-APR-21, 16-APR-21,53,49.7
2021-03-26 00:00:00, CFVF-N-0000, FIRST CAPITAL,5, First interim, 07-APR-21, 30-APR-21,55.5,50.1
2021-03-29 00:00:00, HAYL-N-0000, HAYLEYS,1, Second interim, 08-APR-21, 20-APR-21,73.2,73.9
2021-03-29 00:00:00, MCPL-N-0000, MAHAWELI COCONUT,0.75, First interim, 08-APR-21, 30-APR-21, , 
2021-03-29 00:00:00, RICH-N-0000, RICHARD PIERIS,0.5, Second interim dividend, 08-APR-21, 30-APR-21,17.8,17.3
2021-03-30 00:00:00, UAL-N-0000, UNION ASSURANCE,14, First and Final dividend, 09-APR-21, 04-MAY-21,313,302
2021-03-31 00:00:00, UBC-N-0000, UNION BANK,0.13, Final dividend, 12-APR-21, 05-MAY-21,11.1,11.1
2021-04-01 00:00:00, LITE-N-0000, LAXAPANA,1, , 15-APR-21, 06-MAY-21,15.7,14.8
2021-04-01 00:00:00, BFL-N-0000, BAIRAHA FARMS,3, First interim, 15-APR-21, 27-APR-21,135,134.25
2021-04-05 00:00:00, AGST-N-0000, AGSTAR PLC,0.2, Final dividend, 01-JUL-21, 19-JUL-21,7.2,7.1
2021-04-05 00:00:00, AGST-X-0000, AGSTAR PLC,0.2, Final dividend, 01-JUL-21, 19-JUL-21,5,5
2021-04-08 00:00:00, GRAN-N-0000, GRAIN ELEVATORS,4.5, , 21-APR-21, 04-MAY-21,135,133
2021-04-08 00:00:00, TAFL-N-0000, THREE ACRE FARMS,5.5, Final Dividend Financial Year 31st December 2020, 21-APR-21, 04-MAY-21,208.5,205.25
2021-04-27 00:00:00, CINS-N-0000, CEYLINCO INS.,40, First interim, 06-MAY-21, 18-MAY-21,1938,1938
2021-04-27 00:00:00, UCAR-N-0000, UNION CHEMICALS,14, Final dividend, 11-JUN-21, 02-JUL-21,798,798
2021-04-27 00:00:00,SDB-N-0000,SANASA DEVELOPMENT BANK PLC,2.25,First and Final dividend-Financial Year2020,2021-05-31 00:00:00,2021-06-18 00:00:00,54,51.5
2021-04-27 00:00:00,CINS-X-0000,CEYLINCO INSURANCE PLC,40,First interim-Financial Year31st December 2021,2021-05-06 00:00:00,2021-05-18 00:00:00,1098.75,1066
2021-04-29 00:00:00, PDL-N-0000, PDL,3.5, First and Final dividend, 10-JUN-21, 01-JUL-21,130,130
2021-05-03 00:00:00,HARI-N-0000,HARISCHANDRA MILLS PLC,20,First interim-Financial YearYear ended 31st March 2021,2021-05-12 00:00:00,2021-06-01 00:00:00,4048.25,4048.25
2021-05-06 00:00:00,PINS-N-0000,PEOPLE'S INSURANCE PLC,3,Final dividend-Financial Year12/31/2020,2021-06-29 00:00:00,2021-07-19 00:00:00,38.4,33.6
2021-05-10 00:00:00,ALUM-N-0000,ALUMEX PLC,0.1,Final dividend-Financial Year2020/21,2021-06-30 00:00:00,2021-07-08 00:00:00,13,12.9
2021-05-11 00:00:00,MGT-N-0000,HAYLEYS FABRIC PLC,0.1,Final dividend-Financial Year2020/21,2021-06-29 00:00:00,2021-07-09 00:00:00,18.4,18.2
2021-05-11 00:00:00,VLL-N-0000,VIDULLANKA PLC,0.125,First interim-Financial Year2021/2022,2021-05-21 00:00:00,2021-06-14 00:00:00,5.8,5.7
2021-05-12 00:00:00,HEXP-N-0000,HAYLEYS FIBRE PLC,1.75,Final dividend-Financial Year2020/21,2021-06-30 00:00:00,2021-07-14 00:00:00,54.7,51.1
2021-05-12 00:00:00,KVAL-N-0000,KELANI VALLEY PLANTATIONS PLC,1.5,Final dividend-Financial Year2020/21,2021-06-28 00:00:00,2021-07-13 00:00:00,41.1,40.2
2021-05-12 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS LANKA PLC,5,First interim-Financial Year2021,2021-05-24 00:00:00,2021-06-04 00:00:00,105.25,100.5
2021-05-13 00:00:00,TPL-N-0000,TALAWAKELLE TEA ESTATES PLC,1.5,Final dividend-Financial Year2020/21,2021-06-28 00:00:00,2021-07-13 00:00:00,46.5,45.4
2021-05-17 00:00:00,SINS-N-0000,SINGER (SRI LANKA) PLC,0.25,Final dividend-Financial Year2020/21,2021-05-28 00:00:00,2021-06-08 00:00:00,18.6,18.8
2021-05-17 00:00:00,CHL-N-0000,CEYLON HOSPITALS PLC (DURDANS),3.2,First interim-Financial Year44286,2021-05-28 00:00:00,2021-06-14 00:00:00,104.5,104.5
2021-05-17 00:00:00,CHL-X-0000,CEYLON HOSPITALS PLC (DURDANS),3.2,First interim-Financial Year44286,2021-05-28 00:00:00,2021-06-14 00:00:00,99.1,99.1
2021-05-17 00:00:00,GLAS-N-0000,PIRAMAL GLASS CEYLON PLC,0.58,First and Final dividend-Financial Year2020-2021,2021-07-26 00:00:00,2021-08-03 00:00:00,14.4,13.6
2021-05-17 00:00:00,CTC-N-0000,CEYLON TOBACCO COMPANY PLC,19,First interim-Financial Year31st December 2021,2021-05-28 00:00:00,2021-06-10 00:00:00,997.5,960
2021-05-18 00:00:00,DIPD-N-0000,DIPPED PRODUCTS PLC,0.6,Final dividend-Financial Year2020/2021,2021-06-30 00:00:00,2021-07-09 00:00:00,51.7,50.8
2021-05-18 00:00:00,CCS-N-0000,CEYLON COLD STORES PLC,4,Final dividend-Financial Year2020/2021,2021-05-31 00:00:00,2021-06-18 00:00:00,581.5,582.25
2021-05-18 00:00:00,KFP-N-0000,KEELLS FOOD PRODUCTS PLC,2.5,Final dividend-Financial Year2020/2021,2021-05-31 00:00:00,2021-06-18 00:00:00,166,165.75
2021-05-19 00:00:00,AEL-N-0000,ACCESS ENGINEERING PLC,0.5,Second interim-Financial Year31st March 2021,2021-06-01 00:00:00,2021-06-21 00:00:00,23,22.8
2021-05-19 00:00:00,HAYC-N-0000,HAYCARB PLC,0.5,Final dividend-Financial Year2020/21,2021-06-28 00:00:00,2021-07-12 00:00:00,96.8,96.5
2021-05-20 00:00:00, LIOC-N-0000, LANKA IOC,0.85, First and Final dividend, 30-NOV-21, 17-DEC-21,28,28.1
2021-05-21 00:00:00,CERA-N-0000,LANKA CERAMIC PLC,0.9,Final dividend-Financial YearYear ended 31st March 2021,2021-07-01 00:00:00,2021-07-20 00:00:00,147.75,153
2021-05-21 00:00:00,CIC-N-0000,CIC HOLDINGS PLC,1.25,Final dividend-Financial Year2020/21,2021-07-01 00:00:00,2021-07-22 00:00:00,52,51.1
2021-05-21 00:00:00,CIC-X-0000,CIC HOLDINGS PLC,1.25,Final dividend-Financial Year,2021-07-01 00:00:00,2021-07-22 00:00:00,43,41.7
2021-05-21 00:00:00,JKL-N-0000,JOHN KEELLS PLC,2.29,Final dividend-Financial Year2020/21,2021-06-03 00:00:00,2021-06-23 00:00:00,76,71.9
2021-05-21 00:00:00,HHL-N-0000,HEMAS HOLDINGS PLC,1.45,Final dividend-Financial YearFinancial Year ended 31.03.2021,2021-07-01 00:00:00,2021-07-22 00:00:00,81.6,79.7
2021-05-21 00:00:00,CHMX-N-0000,CHEMANEX PLC,1,Final dividend-Financial Year2020/21,2021-07-01 00:00:00,2021-07-22 00:00:00,79.6,78
2021-05-24 00:00:00, SPEN-N-0000, AITKEN SPENCE,1, First and Final dividend, 01-JUL-21, 22-JUL-21,55.6,54.5
2021-05-24 00:00:00,WATA-N-0000,WATAWALA PLANTATIONS PLC,3,Final dividend-Financial Year31st March 2021,2021-06-28 00:00:00,2021-07-15 00:00:00,56.9,53.1
2021-05-24 00:00:00,JKH-N-0000,JOHN KEELLS HOLDINGS PLC,0.5,Final dividend-Financial Year2020/21,2021-06-04 00:00:00,2021-06-25 00:00:00,138.25,138
2021-05-25 00:00:00,SUN-N-0000,SUNSHINE HOLDINGS PLC,0.5,Final dividend-Financial Year31st March 2021,2021-06-28 00:00:00,2021-07-15 00:00:00,26.4,26.2
2021-05-25 00:00:00,CFIN-N-0000,CENTRAL FINANCE COMPANY PLC,2.3,First and Final dividend-Financial Year31st March 2021,2021-07-01 00:00:00,2021-07-09 00:00:00,91.9,90
2021-05-28 00:00:00,SIL-N-0000,SAMSON INTERNATIONAL PLC,2,Final dividend-Financial YearYear ended 31st March 2021,2021-06-08 00:00:00,2021-06-17 00:00:00,150.75,150.75
2021-05-28 00:00:00,PARQ-N-0000,SWISSTEK (CEYLON) PLC,1.05,Third interim-Financial YearYear ended 31st March 2021,2021-06-08 00:00:00,2021-06-25 00:00:00,30.9,30
2021-05-28 00:00:00,LWL-N-0000,LANKA WALLTILES PLC,3.1,Third interim-Financial YearYear ended 31st March 2021,2021-06-08 00:00:00,2021-06-29 00:00:00,66.5,63.1
2021-05-28 00:00:00,TILE-N-0000,LANKA TILES PLC,2.2,Third interim-Financial Yearyear ended 31st March 2021,2021-06-08 00:00:00,2021-06-28 00:00:00,54.7,52.5
2021-05-31 00:00:00, DIMO-N-0000, DIMO,12.5, First and Final dividend, 09-JUN-21, 29-JUN-21,527.25,522.5
2021-05-31 00:00:00, RCL-N-0000, ROYAL CERAMIC,1.2, Final dividend, 09-JUN-21, 30-JUN-21,38.3,37.7
2021-05-31 00:00:00,CIND-N-0000,CENTRAL INDUSTRIES PLC,2,First and Final dividend-Financial Year31st March 2021,2021-07-20 00:00:00,2021-08-11 00:00:00,116.75,113.75
2021-06-01 00:00:00, VONE-N-0000, VALLIBEL ONE,1, Final dividend, 10-JUN-21, 30-JUN-21,57.1,57.2
2021-06-01 00:00:00,UML-N-0000,UNITED MOTORS LANKA PLC,1,Final dividend-Financial Year2020/21,2021-07-28 00:00:00,2021-08-16 00:00:00,76.4,76.9
2021-06-02 00:00:00, VFIN-N-0000, VALLIBEL FINANCE,6, First Interim, 14-JUN-21, 02-JUL-21,167.25,163
2021-06-02 00:00:00,LFIN-N-0000,L B FINANCE PLC,4,Final dividend-Financial YearFinancial Year ended 31st March 2021,2021-07-01 00:00:00,2021-07-22 00:00:00,67.6,62.2
2021-06-03 00:00:00,ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,5.5,First and Final dividend-Financial Year31.03.2021,2021-07-05 00:00:00,2021-07-23 00:00:00,180,180.25
2021-06-03 00:00:00,WIND-N-0000,WINDFORCE LIMITED,0.75,First interim-Financial Year2021/2022,2021-06-14 00:00:00,2021-07-05 00:00:00,19.6,18.9
2021-06-03 00:00:00,CARG-N-0000,CARGILLS (CEYLON) PLC,4.1,Final dividend-Financial Year31.03.2021,2021-06-30 00:00:00,2021-07-19 00:00:00,243.75,240
2021-06-04 00:00:00, SOY-N-0000, CONVENIENCE FOOD,10, Final dividend, 14-SEP-21, 23-SEP-21,1035,1070
2021-06-09 00:00:00,CTHR-N-0000,C T HOLDINGS PLC,2.9,Final dividend-Financial YearYear ended 31 March 2021,2021-07-02 00:00:00,2021-07-22 00:00:00,180,180
2021-06-10 00:00:00,CTBL-N-0000,CEYLON TEA BROKERS PLC,0.35,Final dividend-Financial YearYear ended 31st March 2021,2021-06-21 00:00:00,2021-07-12 00:00:00,4.2,3.7
2021-06-10 00:00:00,SFIN-N-0000,SINGER FINANCE (LANKA) PLC,0.8,First interim-Financial Year2020/21,2021-06-21 00:00:00,2021-07-02 00:00:00,16.9,15.5
2021-06-10 00:00:00,JINS-N-0000,JANASHAKTHI INSURANCE PLC,2,Final dividend-Financial Year44196,2021-07-06 00:00:00,2021-07-28 00:00:00,28.9,26.9
2021-06-11 00:00:00,DIST-N-0000,DISTILLERIES COMPANY OF SRI LANKA PLC,0.7,Second interim-Financial Year2020/2021,2021-06-22 00:00:00,2021-07-05 00:00:00,20.4,19.8
2021-06-14 00:00:00,MELS-N-0000,MELSTACORP PLC,2.75,second interim dividend-Financial Year31st March 2021,2021-06-23 00:00:00,2021-07-06 00:00:00,50.7,47.6
2021-06-21 00:00:00,EXPO-N-0000,EXPOLANKA HOLDINGS PLC,1.17,INTERIM DIVIDEND-Financial Year31st March 2022,2021-07-01 00:00:00,2021-07-22 00:00:00,50.1,49.1
2021-06-21 00:00:00,CDB-N-0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,7.5,Final dividend-Financial Year31st March 2021,2021-08-02 00:00:00,2021-08-19 00:00:00,136.75,133.25
2021-06-21 00:00:00,CDB-X-0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,7.5,Final dividend-Financial Year,2021-08-02 00:00:00,2021-08-19 00:00:00,98,91.2
2021-06-22 00:00:00,TKYO-N-0000,TOKYO CEMENT COMPANY (LANKA) PLC,1.25,First interim-Financial Year,2021-07-02 00:00:00,2021-07-22 00:00:00,65,67.9
2021-06-22 00:00:00,TKYO-X-0000,TOKYO CEMENT COMPANY (LANKA) PLC,1.25,First interim-Financial Year2020/21,2021-07-02 00:00:00,2021-07-22 00:00:00,59,60.2
2021-06-25 00:00:00,AGST-N-0000,AGSTAR PLC,0.2,Final dividend-Financial Year2020/2021,2021-07-16 00:00:00,2021-08-05 00:00:00,7.7,7.4
2021-06-25 00:00:00,AGST-X-0000,AGSTAR PLC,0.2,Final dividend-Financial Year,2021-07-16 00:00:00,2021-08-05 00:00:00,,
2021-06-25 00:00:00,CWM-N-0000,C. W. MACKIE PLC,7,First and Final dividend-Financial Year2020/2021,2021-08-19 00:00:00,2021-09-08 00:00:00,70.5,58.2
2021-06-28 00:00:00,LION-N-0000,LION BREWERY CEYLON PLC,14.4,First interim-Financial Year2020/21,2021-07-07 00:00:00,2021-07-29 00:00:00,575.25,575
2021-06-29 00:00:00,RIL-N-0000,R I L PROPERTY PLC,0.15,Final dividend-Financial Year2020/21,2021-08-02 00:00:00,2021-08-20 00:00:00,8.6,8.5
2021-06-30 00:00:00,PLR-N-0000,PRIME LANDS RESIDENCIES LIMITED,0.4,First interim-Financial Year2020/21,2021-07-09 00:00:00,2021-08-02 00:00:00,10.1,9.8
2021-06-30 00:00:00,HPL-N-0000,HATTON PLANTATIONS PLC,0.5,First interim-Financial Year2021-2022,2021-07-09 00:00:00,2021-08-02 00:00:00,10.3,9.9
2021-06-30 00:00:00,PAP-N-0000,PANASIAN POWER PLC,0.14,Second interim-Financial Year2020/2021,2021-07-09 00:00:00,2021-08-02 00:00:00,4.2,4.1
2021-06-30 00:00:00,CARE-N-0000,PRINTCARE PLC,1,Final dividend-Financial Year2020-2021,2021-07-09 00:00:00,2021-08-02 00:00:00,32.3,31
2021-06-30 00:00:00,MAL-N-0000,MALWATTE VALLEY PLANTATIONS PLC,0.1,Final dividend-Financial Year2020,2021-07-30 00:00:00,2021-08-19 00:00:00,17,17
2021-06-30 00:00:00,MAL-X-0000,MALWATTE VALLEY PLANTATIONS PLC,0.1,Final dividend-Financial Year2020,2021-07-30 00:00:00,2021-08-19 00:00:00,9.5,9.3
2021-07-13 00:00:00, TKYO-N-0000, TOKYO CEMENT,0.85, Final Dividend, 26-AUG-21, 15-SEP-21,52.5,52.9
2021-07-13 00:00:00, TKYO-X-0000, TOKYO CEMENT,0.85, Final Dividend, 26-AUG-21, 15-SEP-21,45.4,44.9
2021-07-22 00:00:00, SFCL-N-0000, SENKADAGALA,1.16, Final dividend, 02-SEP-21, 22-SEP-21,92,92
2021-07-22 00:00:00, SWAD-N-0000,SWEDESHI,1, First and Final dividend, 06-SEP-21, 27-SEP-21,17987,17987
2021-07-22 00:00:00, TJL-N-0000, TEEJAY LANKA,1.15, Final Dividend, 24-AUG-21, 13-SEP-21,42.9,41.7
