Sector Trading Statistics Monthly 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Motors,371,126649,9488896,7,7,1270,839120,40597081,7,7,496,278271,18727776,7,7,1578,1046930,158232601,7,7,689,596859,76905496,7,7,2332,4624563,679527248,7,7,2399,44590843,7591006837,7,7,3630,5196357,718333424,7,7,633,6868407,1186075303,7,7,563,1419960,234904604,7,7,232,66271,3318130,7,7,140,76823,4370110,7,6
Oil Palms,168,21193,23680923,5,4,615,243990,97122701,5,4,271,96527,37555567,5,5,1128,218764,146078802,5,5,1028,53438,93648772,5,5,337,16764,19828528,5,4,262,56552,35037026,5,5,174,49610,64091013,5,5,222,44446,26975217,5,5,176,10893,6661743,5,5,230,18561,11874991,5,5,117,9389,5807908,5,4
Stores & Supplies,264,876056,4200952,6,6,182,1073038,1776975,6,6,250,4300232,7462994,6,6,151,1265651,2330880,5,5,166,1375700,67966104,5,5,306,4465025,27741632,5,5,353,5669854,62946964,5,5,432,2657682,81473725,5,5,135,354235,2066235,5,5,159,1530368,7173812,5,4,117,450366,815858,5,5,79,605580,533645,5,5
Services,114,20568,1792208,7,6,78,36927,3202459,7,5,97,18835,1720572,7,5,93,19322,1841234,7,5,90,26978,2535667,7,6,227,84905,7995879,7,4,116,22434,1844898,7,4,131,16880,1705524,7,5,106,24318,2055009,7,5,92,458000,55733378,7,4,50,13509,870134,7,6,31,2910,181281,7,3
Trading,3097,8075831,159608943,11,11,5500,10019413,130511316,11,10,2995,7400313,84502897,11,10,3917,5718547,159510180,11,10,4927,17654927,191366448,11,10,6891,8638024,251295469,11,11,3490,6154002,80596940,11,11,9622,15520097,285652404,11,10,3322,3541500,89881917,10,9,3437,7213365,54013722,10,9,3452,4026788,52091141,10,10,1674,4601249,25680130,10,9
Plantation,8456,9885689,279400630,18,18,22249,33292070,1038944356,18,18,7219,7966118,275424770,18,18,10103,14534499,560258773,18,18,5525,5997822,266416717,18,18,2729,2437057,91529333,18,18,4866,4412912,140422035,18,18,4177,6468998,286000157,18,18,4045,4032974,126290495,18,18,9371,9617515,259159680,18,18,4759,4033454,77585432,18,18,1584,989932,13328564,18,17
Diversified,2291,5627984,566428491,11,11,5881,19509200,1035773151,11,11,2860,12103416,1203691460,11,11,3080,5162586,524436269,11,11,6985,11730619,917920725,11,11,6755,24418721,2548236833,11,11,4186,15258658,1656066163,11,11,4922,29541084,1618212056,11,11,4185,5752958,444215845,11,11,5891,13720953,814957283,11,11,3686,10012351,647569704,11,11,2013,9121083,397718555,11,10
Power & Energy,1087,9786106,80826401,4,3,1331,9617652,40355188,4,3,1560,16110242,95902651,4,3,1722,15821310,86519429,4,3,1697,15212053,116715372,4,3,6116,87621694,398451106,4,3,2727,30198670,241089035,4,3,4074,29594158,270956386,4,3,4269,29782637,406850052,4,3,2354,12526801,115539405,4,3,1838,10232679,60081731,4,3,1251,8613550,40809075,4,3
Healthcare,1257,3228719,27076269,6,6,1759,15662928,70657803,6,6,2240,10266886,75334735,6,6,1575,34614190,306559787,6,6,1719,4940540,50636676,6,6,1263,5797573,29709246,6,6,1808,17978806,94705205,6,6,1343,8738913,34312581,6,6,1046,5352495,30299100,6,6,1510,8777589,88011275,6,6,1715,14801624,65431793,6,6,821,4654114,15184472,6,6
Information Technology,773,685690,10131005,1,1,1349,1624766,27903373,1,1,571,585033,9177129,1,1,241,288190,4311775,1,1,547,859400,12248425,1,1,787,964330,13336340,1,1,174,155445,1883768,1,1,868,1308009,17668812,1,1,356,497202,6248911,1,1,463,531800,5312975,1,1,279,579500,5025250,1,1,106,135000,948100,1,1
Telecommunication,1712,18411216,370170754,2,2,2357,67159448,1341408263,2,2,8165,115627468,4490972943,2,2,4966,822838817,39356361380,2,2,1740,12598172,496767265,2,2,1357,3696737,86738659,2,2,1070,3543429,75572764,2,2,2129,5881309,101110887,2,2,2599,13290287,186126608,2,2,2253,17643865,164277217,2,2,1600,8391346,71984226,2,2,749,1254200,14096624,2,2
