Dividend Records - 2009,,,,,,,
Date of Announcement,Security,Company Name,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2009-03-31 00:00:00,JKL-N-0000,JOHN KEELLS PLC,INTERIM DIVIDEND OF RS. 5.00 PER SHARE,2009-04-08 00:00:00,2009-04-24 00:00:00,66,63
2009-04-03 00:00:00,CINS-N-0000,CEYLINCO INSURANCE PLC (N),FINAL DIVIDEND OF RS.2.00 PER SHARE,2009-05-29 00:00:00,2009-06-08 00:00:00,150,150
2009-04-03 00:00:00,CINS-X-0000,CEYLINCO INSURANCE PLC (X),FINAL DIVIDEND OF RS.2.00 PER SHARE,2009-05-29 00:00:00,2009-06-08 00:00:00,86.5,83.5
2009-04-06 00:00:00,CARG-N-0000,CARGILLS (CEYLON) PLC,RS. 0.20 PER SHARE INTERIM DIVIDEND,2009-04-21 00:00:00,2009-04-30 00:00:00,24.75,24.75
2009-04-08 00:00:00,CFIN-N-0000,CENTRAL FINANCE COMPANY PLC,SECOND INTERIM DIVIDEND OF RS.1.25 PER SHARE,2009-04-23 00:00:00,2009-05-05 00:00:00,157,160
2009-04-24 00:00:00,BALA-N-0000,BALANGODA  PLANTATIONS  PLC,FIRST & FINAL DIVIDEND OF RS.0.75 PER SHARE,2009-06-29 00:00:00,2009-07-08 00:00:00,23,22.25
2009-04-27 00:00:00,CTC-N-0000,CEYLON TOBACCO COMPANY PLC,FIRST INTERIM DIVIDEND OF RS.2.50 PER SHARE,2009-05-07 00:00:00,2009-05-15 00:00:00,120,116
2009-04-29 00:00:00,HAYL-N-0000,HAYLEYS PLC,INTERIM DIVIDEND OF RS.1.50 PER SHARE,2009-05-12 00:00:00,2009-05-21 00:00:00,107.25,106
2009-04-29 00:00:00,NEST-N-0000,NESTLE LANKA PLC,FINAL DIVIDEND OF RS.10 PER SHARE,2009-06-15 00:00:00,2009-06-23 00:00:00,357.75,359.5
2009-05-04 00:00:00,SPEN-N-0000,AITKEN SPENCE AND COMPANY PLC,INTERIM DIVIDEND OF RS.3.50 PER SHARE ,2009-05-14 00:00:00,2009-05-21 00:00:00,336,335.75
2009-05-07 00:00:00,DFCC-N-0000,DFCC BANK,FIRST & FINAL DIVIDEND OF RS.5.00 PER SHARE,2009-07-01 00:00:00,2009-07-10 00:00:00,135.25,131
2009-05-07 00:00:00,GOOD-N-0000,GOOD HOPE PLC,FINAL DIVIDEND OF RS.3.25 PER SHARE,2009-06-08 00:00:00,2009-06-16 00:00:00,137,135
2009-05-07 00:00:00,INDO-N-0000,INDO-MALAY PLC,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-06-08 00:00:00,2009-06-16 00:00:00,125.75,180
2009-05-07 00:00:00,SELI-N-0000,SELINSING PLC,FINAL DIVIDEND OF RS.3.00 PER SHARE,2009-06-08 00:00:00,2009-06-16 00:00:00,155,155
2009-05-07 00:00:00,SHAL-N-0000,SHALIMAR (MALAY) PLC.,FIRST & FINAL DIVIDEND OF RS.39.00 PER SHARE,2009-06-08 00:00:00,2009-06-16 00:00:00,450,430.25
2009-05-11 00:00:00,WAPO-N-0000,WATAPOTA INVESTMENTS PLC,FIRST & FINAL DIVIDEND OF RS.17.50 PER SHARE,2009-06-11 00:00:00,2009-06-19 00:00:00,500,500
2009-05-13 00:00:00,DIPD-N-0000,DIPPED PRODUCTS PLC,FIRST & FINAL DIVIDEND OF RS.3.00 PER SHARE,2009-06-29 00:00:00,2009-07-03 00:00:00,81,81.25
2009-05-14 00:00:00,CDIC-N-0000,CAPITAL DEVELOPMENT AND INVESTMENT COMPANY,FINAL DIVIDEND OF RS.3.13 PER SHARE,2009-06-29 00:00:00,2009-07-07 00:00:00,120,120
2009-05-14 00:00:00,HAYC-N-0000,HAYCARB PLC,FIRST & FINAL DIVIDEND OF RS.2.75 PER SHARE,2009-06-26 00:00:00,2009-07-02 00:00:00,52.75,51
2009-05-14 00:00:00,MGT-N-0000,HAYLEYS-MGT KNITTING MILLS PLC,FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE,2009-06-25 00:00:00,2009-07-01 00:00:00,41.5,41
2009-05-18 00:00:00,LWL-N-0000,LANKA WALLTILE PLC,INTERIM DIVIDEND OF RS. 1.00 PER SHARE,2009-05-27 00:00:00,2009-06-04 00:00:00,42,44.75
2009-05-19 00:00:00,CCS-N-0000,CEYLON COLD STORES PLC,FIRST & FINAL DIVIDEND OF RS.4.00 PER SHARE,2009-07-01 00:00:00,2009-07-10 00:00:00,130,123
2009-05-19 00:00:00,CHMX-N-0000,CHEMANEX PLC,FINAL DIVIDEND OF RS. 4.00 PER SHARE,2009-07-01 00:00:00,2009-07-10 00:00:00,79.25,73
2009-05-19 00:00:00,HAYL-N-0000,HAYLEYS PLC,FINAL DIVIDEND OF RS. 1.50 PER SHARE ,2009-06-30 00:00:00,2009-07-07 00:00:00,131,132
2009-05-21 00:00:00,BREW-N-0000,CEYLON BREWERY PLC,FIRST & FINAL DIVIDEND OF RS.3.00 PER SHARE,2009-06-22 00:00:00,2009-06-30 00:00:00,74.5,72.5
2009-05-21 00:00:00,CIC-N-0000,CHEMICAL INDUSTRIES (COLOMBO) PLC (N),FINAL DIVIDEND OF RS.1.00 PER SHARE ,2009-07-01 00:00:00,2009-07-10 00:00:00,59,58
2009-05-21 00:00:00,CIC-X-0000,CHEMICAL INDUSTRIES (COLOMBO) PLC (X),FINAL DIVIDEND OF RS.1.00 PER SHARE ,2009-07-01 00:00:00,2009-07-10 00:00:00,38.5,38
2009-05-21 00:00:00,JKH-N-0000,JOHN KEELLS HOLDINGS PLC,FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-06-01 00:00:00,2009-06-10 00:00:00,115.25,114
2009-05-21 00:00:00,UCAR-N-0000,UNION CHEMICALS LANKA PLC,FINAL DIVIDEND OF RS.3.50 PER SHARE,2009-06-12 00:00:00,2009-06-17 00:00:00,125.25,125.25
2009-05-22 00:00:00,AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE,2009-06-30 00:00:00,2009-07-09 00:00:00,149.75,145
2009-05-22 00:00:00,DIMO-N-0000,DIESEL & MOTOR ENGINEERING PLC,FINAL DIVIDEND OF RS.3.00 PER SHARE,2009-06-02 00:00:00,2009-06-11 00:00:00,92,90.75
2009-05-22 00:00:00,KFP-N-0000,KEELLS FOOD PRODUCTS PLC,FIRST & FINAL DIVIDEND OF RS.2.50 PER SHARE,2009-06-02 00:00:00,2009-06-11 00:00:00,59.5,59.25
2009-05-22 00:00:00,SPEN-N-0000,AITKEN SPENCE AND COMPANY PLC,FINAL DIVIDEND OF RS.6.00 PER SHARE ,2009-06-30 00:00:00,2009-07-09 00:00:00,648,648
2009-05-25 00:00:00,CHL-N-0000,CEYLON HOSPITALS PLC (N),INTERIM DIVIDEND OF 1.50 PER SHARE ,2009-06-03 00:00:00,2009-06-11 00:00:00,64,58
2009-05-25 00:00:00,CHL-X-0000,CEYLON HOSPITALS PLC (X),INTERIM DIVIDEND OF RS.1.50 PER SHARE ,2009-06-03 00:00:00,2009-06-11 00:00:00,35.25,34.75
2009-05-25 00:00:00,LFIN-N-0000,LB FINANCE PLC,FIRST & FINAL DIVIDEND OF RS.3.00 PER SHARE,2009-07-01 00:00:00,2009-07-10 00:00:00,39.5,36
2009-05-25 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS  LANKA  PLC,FIRST INTERIM DIVIDEND OF RS.3.50 PER SHARE,2009-06-03 00:00:00,2009-06-10 00:00:00,118,115.75
