Sector Trading Statistics Monthly 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Motors,557,193920,22298171,7,7,226,109056,5625780,7,5,129,79578,3030485,7,7,344,137089,7081268,7,7,618,259067,14933926,6,7,1038,678051,54475851,6,6,478,359997,28188419,6,6,483,230222,19307614,6,6,714,420408,30786716,6,6,1030,597101,57806821,6,6,317,65105,12214709,6,5,1557,1078668,134451274,6,6
Oil Palms,237,24679,15861455,5,5,116,7780,3605297,5,5,91,22623141,4566485373,5,5,78,5067,2544501,5,5,241,18904,15957010,5,5,297,67655,25526655,5,5,295,57288,38303420,5,5,353,34967,31522017,5,5,373,171041,79505415,5,5,446,68937,68097646,5,5,259,63700,51067610,5,5,789,49596,102584778,5,5
Stores & Supplies,106,405792,561150,5,5,55,202440,559184,5,4,86,397352,461623,5,4,84,428688,775784,5,5,72,44190,2218111,4,4,45,41164,2837238,4,4,68,16759,806632,4,3,43,19583,2533575,4,3,62,13386,2185610,4,4,106,24315,5840015,4,4,66,186394,37506570,4,4,53,5970,915749,4,4
Services,85,56449,4022785,7,3,89,1686171,101448582,6,4,112,21863,1397054,6,5,108,28346,1584575,6,5,305,90036,6574401,6,4,332,121157,11308905,6,4,345,188055,19006279,6,5,65,21154,2160987,6,6,261,239656,32489940,6,4,95,26025,5622767,6,5,61,13075,1678705,6,4,135,57332,9002182,6,5
Trading,4495,9463357,89560107,9,8,2183,3278014,35590442,9,7,2160,3028613,37394765,9,8,2027,3389391,31909620,9,7,5237,11087176,183429444,9,7,11529,27696025,492956373,9,9,6634,10202028,176658447,9,8,18785,16686653,486003537,9,8,15807,34382099,662849768,9,8,14425,100457420,1080273410,9,7,5536,15875033,275099483,9,8,12434,15176680,607159989,9,8
Plantation,9525,11154729,199809157,18,18,2124,2175882,42329919,18,18,2732,2127220,34250915,18,18,5747,5441284,90996688,18,18,6560,7084907,142640783,18,18,16849,18098166,440408935,18,18,9676,9985511,270949821,18,18,4083,5033419,141471592,18,18,6359,8180184,207737979,18,18,4242,4901876,125128296,18,18,2200,2497972,61113663,18,17,3860,5303192,153708991,18,17
Diversified,5519,9124054,473552491,11,11,2987,8444096,534242855,11,10,3308,45492487,2763541290,11,11,4444,10972642,625905696,11,11,11580,37780499,3475511537,11,11,11211,45315452,4856249626,11,11,5907,18183475,2215334941,11,11,5122,19572716,2013678362,11,11,7784,32661069,4266244341,11,10,10800,23786529,2669324283,11,11,3682,27353800,2783969707,11,11,8199,73568105,10995519200,11,11
Power & Energy,1573,6939870,52538070,4,3,1269,4091500,36112880,4,3,1436,9987929,48094401,3,3,917,3727154,41901424,3,3,1671,10502753,86899030,3,3,1910,9199834,73416046,3,3,2369,17115587,95863504,3,3,1160,11160603,55610303,3,3,3977,40194896,232973675,3,3,12059,76248068,745863232,4,4,2876,29194503,186826949,4,4,2145,20574824,213340503,4,4
Healthcare,1103,6261646,23194286,6,6,736,3529803,22743308,6,6,954,3511786,60199350,6,6,1149,4515337,29109973,6,6,1898,12692496,71188709,6,6,2851,24701830,116438868,6,6,1682,7188151,70109676,6,6,1504,23360860,84649600,6,6,4798,73556146,304736864,6,6,3204,19961381,149103627,6,6,2140,11307301,175595397,6,6,3440,15139900,138792649,6,6
Information Technology,349,379790,3646100,1,1,53,58200,509600,1,1,147,286700,2293375,1,1,260,231932,2023573,1,1,412,449400,4363975,1,1,757,1339597,15720605,1,1,211,240704,2663069,1,1,93,96188,1017358,1,1,1407,4454100,50254925,1,1,557,894505,9401276,1,1,260,346500,3289400,1,1,175,225609,2207715,1,1
Telecommunication,2214,18182479,116046809,2,2,1147,82700280,420540396,2,2,888,8768245,59310265,2,2,1665,15175987,133832028,2,2,2825,203157001,1161947096,2,2,2484,19536869,231254095,2,2,2964,77660888,459974990,2,2,2700,23737379,182959997,2,2,2633,49528398,362811751,2,2,6726,65892986,590979503,2,2,1922,14906078,122860270,2,2,1812,13423975,117982103,2,2
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
