Sector Trading Statistics Monthly 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Motors,981,212150,50115167,6,6,767,431037,49659875,6,6,801,295608,54493855,6,6,1137,376643,42579360,6,6,4103,4200815,531547217,6,6,705,3723825,457107252,6,6,674,2246609,274449009,6,6,632,2293847,252185978,6,6,608,285451,76718240,6,6,491,2339274,255356343,6,6,472,2583977,303459725,6,6,377,1920884,220416925,6,6
Oil Palms,192,31334,21771712,5,5,315,80575,59089337,5,5,212,218354,157730991,5,5,183,9789,6985300,5,5,397,81340,58262696,5,5,191,6017,4298866,5,5,200,102198,70320227,5,5,174,32651,22414707,5,5,153,49527,33783761,5,5,129,7649,5291996,5,5,172,15623,11819770,5,5,219,40307,31064103,5,5
Stores & Supplies,649,19347,8368267,4,4,434,19677,6692750,4,4,427,20265,6453818,4,4,582,27100,12470275,4,4,1683,88798,48919885,4,4,451,29451,17566730,4,4,340,17193,11240243,4,4,344,23994,11581162,4,4,343,15127,7193131,4,4,339,37933,14421422,4,4,189,9684,4220842,4,4,222,11287,4508871,4,4
Services,874,913169,11192289,8,8,622,596761,5191878,8,8,656,134467788,384719311,8,8,1111,2777797,22313745,8,8,2569,6139133,75287896,8,8,1181,1994100,13506395,8,8,840,1093172,22355873,8,8,951,2151311,17673173,8,8,1931,9402218,33685409,8,8,2356,11259957,45478973,8,8,628,2928561,10909534,8,8,431,558936,4766486,8,8
Trading,2255,7302450,76408721,8,8,1121,2677130,27695537,8,8,1378,6989225,60458274,8,8,2528,11252610,138356916,8,8,3378,9218836,103843186,8,8,1893,16586466,149029872,8,8,2786,6142248,51452015,8,8,1157,2405946,19056574,8,8,2000,9522037,30030589,8,8,2205,8165256,37126185,8,8,2474,34460636,24233574,8,8,1838,21891379,38750478,8,8
Plantation,3961,5112923,91228654,18,18,3778,4536939,119070479,18,18,3235,4673581,143596501,18,18,4974,5680083,178313310,18,18,6898,8560767,151616020,19,18,6854,8267522,124712523,19,18,4138,3659684,97731079,19,18,3160,52751759,737784066,19,18,3359,4736401,78888573,19,18,4517,4010381,98731123,19,18,4782,4529698,74155678,19,18,2702,4180262,81311660,19,18
Diversified,11829,244852179,5919420402,18,18,9002,109917160,4494336229,18,18,8172,86272937,3850791776,18,18,13155,84889961,2315718844,18,18,25168,124659692,5032295011,18,18,12528,72536239,6349937567,18,18,10934,46200958,3600419109,18,18,12233,151661694,4192519215,18,18,11302,98349643,5999286033,18,18,18454,200768095,6419848687,18,18,15708,254418423,2775433146,18,18,13008,165117387,3922167161,18,18
Power & Energy,6369,46110739,312595224,8,8,2826,14313403,99541840,8,8,2914,22046386,125610749,8,8,5772,135442446,602036679,8,8,11856,56181713,646056425,8,8,4588,25843008,194674111,8,8,4024,19806001,234970421,8,8,5170,33690934,327692879,8,8,4498,38578543,287089445,8,8,5615,32758370,402320740,8,8,5258,28907355,315943068,8,8,3828,23024123,332059884,8,8
Healthcare,1756,34127473,886941335,6,6,1157,22178147,216384640,6,6,1815,5395798,69043209,6,6,3024,14181215,259234325,6,6,2209,17933384,268021145,6,6,1270,3546391,41679834,6,6,1031,8532389,141917314,6,6,1010,5300843,84416654,6,6,1137,7582271,115439760,6,6,1394,4405703,83068360,6,6,722,6516883,111110719,6,6,861,10991520,170422491,6,6
Information Technology,1951,11227943,64270454,2,2,2669,17303472,99381997,2,2,2598,40669871,137443772,2,2,1852,16824993,66837612,2,2,3632,39668840,141511875,2,2,2514,27966033,78822784,2,2,4224,108603419,143744502,2,2,2408,57403963,69429619,2,2,3943,75666341,243485566,2,2,2502,92454042,254523793,2,2,2653,71578388,287909072,2,2,2997,16370544,85482155,2,2
Telecommunication,1521,38485439,380166382,2,2,1159,41769183,390872607,2,2,816,3648201,40415242,2,2,1125,9301034,94403164,2,2,2093,33383272,335969130,2,2,1082,8040699,77808474,2,2,767,32567075,290799621,2,2,677,1775818,21059478,2,2,572,1372446,14470980,2,2,911,101465835,907641066,2,2,726,51931255,469842698,2,2,589,17766384,164486076,2,2
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
