Sector Trading Statistics Monthly 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Manufacturing,9549,42418527,2801882269,37,35,9077,44913137,1632850384,37,35,12117,44508766,1663430609,37,35,18345,68659142,1946501075,38,35,20216,71578669,2879766674,38,35,15123,97995291,4060206510,41,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17980,69624034,2669939276,41,36,13230,41796665,1715142528,41,36,11096,46866222,1910696404,41,36,21351,69790252,1846739629,41,35,11225,35613829,1059660871,41,36,7075,31800263,1352644693,41,34
Motors,428,59111,6073772,6,6,365,95538,8604591,6,6,671,248813,26689089,6,6,623,92622,10538305,6,6,919,1119892,92592569,6,6,537,623928,51775315,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,223278,20529691,6,6,746,312993,31381996,6,6,451,273078,22628537,6,6,460,428783,48886609,6,6,742,32475520,2540564704,6,6,282,315632,25833505,6,6
Oil Palms,143,3382,1702607,5,5,156,8600,2972393,5,5,147,17535,4821609,5,5,113,32586,8817657,5,5,172,35613,10209205,5,5,151,4762,1336482,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,4264,1270212,5,5,190,7657,2401232,5,5,279,38463,8559040,5,5,338,310747,68042615,5,5,175,23327,5531473,5,5,136,13647,14649817,5,5
Power & Energy,1953,4114347,46643408,8,8,1723,9145444,91658200,8,8,2584,65844410,368709092,8,8,2593,8649169,157677290,8,8,3164,169481688,618198411,8,8,3590,46350072,307425155,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3481,14768476,304203930,9,8,2078,3898955,59990785,9,8,2439,15898165,112964522,9,8,3190,9688337,90715077,9,8,2694,13987754,119069568,9,8,1678,14293359,193999198,9,8
Plantations,1527,3836763,86628375,19,17,1202,10282703,115642662,19,17,1817,16957599,302697944,19,17,3910,10607883,155213639,19,17,9527,14601585,289831763,19,17,3483,5104323,89809315,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9031,22130451,369820972,19,17,5953,12925945,155921627,19,17,19746,68274942,1096791898,19,17,20799,45605504,958850432,19,17,8383,18645497,375680415,19,17,5985,9781684,144775523,19,17
Stores & Supplies,98,5872,1969064,4,4,116,8954,2716428,4,4,306,19784,4806626,4,4,128,4087,2617044,4,4,271,11170,5661163,4,4,312,12931,12197747,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,12800,9080037,4,4,245,15843,13409369,4,4,292,20232,16124723,4,4,201,15458,10799934,4,4,92,3751,1679358,4,4,77,2905,2021093,4,4
Services,213,433424,2420234,8,8,279,796367,2776060,8,8,311,1261839,5463232,8,8,614,1329022,7432754,8,8,2018,3909473,34951008,8,8,6906,6527005,50401615,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3761,13346065,69787086,8,8,1336,6639072,24190444,8,8,4341,23809817,105366150,8,8,3847,19142613,92908065,8,8,1897,6038935,26092639,8,8,1545,6068244,22690220,8,8
Telecommunication,631,14165504,156678919,2,2,495,15182112,167380140,2,2,842,80408833,915983030,2,2,864,38062089,450037993,2,2,1026,55978332,679241725,2,2,720,29913292,359401338,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,16321322,197771438,2,2,541,6354391,74430665,2,2,865,47196619,562938682,2,2,1175,24970302,325970350,2,2,679,144324032,1914582509,2,2,457,10732425,140585740,2,2
Trading,935,9570099,168229051,8,8,1015,5586222,42788447,8,8,1202,16815122,1451521310,8,8,2292,17612594,142881248,8,8,2855,25780586,136592706,8,8,2062,8406385,111250725,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548,90063006,450749859,9,8,1373,12178468,326944387,9,8,2225,238879052,11050467147,9,8,2670,18674082,59365702,9,8,1749,7137419,46564079,9,8,944,6376804,38981363,9,8
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
