Beta Values for the Period from 01st July to 30th September 2012,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
SINS,0.840838382,SINS,0.355369718
SIRA,1.28704765,SIRA,0.999823943
SLND,0.484853446,SLND,0.509242957
SLTL,0.636810217,SLTL,0.32640845
SMLL,1.20009824,SMLL,0.555985915
SMOT,0.048305223,SMOT,-0.14427816
SOY,0.826264941,SOY,0.441109154
SPEN,1.0749959,SPEN,0.500088028
STAF,1.83019485,STAF,1.00924295
SUN,1.31570329,SUN,1.11769366
SWAD,-2.8730964,SWAD,0.223767605
TAFL,1.66906828,TAFL,1.28952464
TAJ,1.18175863,TAJ,0.65
TANG,0.293761257,TANG,0.765052816
TAP,1.39266415,TAP,0.609859154
TESS,2.29818241,TESS,1.50167253
TFC,3.41444244,TFC,2.30431338
TFIL,1.6469625,TFIL,1.23573943
TILE,1.31095464,TILE,1.00695422
TJL,1.49222204,TJL,1.08829225
TKYO,0.766661208,TKYO,0.408802816
TPL,3.00851481,TPL,1.86505281
TRAN,2.31881447,TRAN,1.55061619
TSML,1.07303094,TSML,0.872183098
TWOD,2.45783527,TWOD,2.02086267
TYRE,2.9669232,TYRE,2.13415492
UAL,0.760275094,UAL,0.548327464
UBC,1.35090879,UBC,1.07411971
UCAR,-0.00966104,UCAR,0.26487676
UDPL,0.334697887,UDPL,-0.24198943
UML,1.50417553,UML,0.927552816
VFIN,2.43376453,VFIN,1.56373239
VLL,1.72719829,VLL,1.07931338
VONE,2.98198788,VONE,2.37852112
VPEL,1.50286556,VPEL,1.17640845
WAPO,1.85426559,WAPO,1.31373239
WATA,1.54740461,WATA,0.949383802
YORK,1.92582282,YORK,1.62165492
