Dividend Records - 2000,,,,,,,,
Company ID,Type of Shares,Company Name,XD Date,Date of Payment,Rate,Description,Cum Price,Ex Price
CIC,Nt0000,CIC,2000-06-14 00:00:00,2000-06-28 00:00:00,25,FINAL,32,30
DIPD,Nt0000,DIPPED PRODUCTS,2000-06-14 00:00:00,2000-06-28 00:00:00,15,"FINAL (TAX FREE-9% , TAXABLE 6%)",46,46
TSML,Nt0000,TEA SMALLHOLDER,2000-06-14 00:00:00,2000-06-28 00:00:00,20,FIRST & FINAL DIVIDEND,23.25,22
UML,Nt0000,UNITED MOTORS,2000-06-12 00:00:00,2000-06-28 00:00:00,20,FINAL DIVIDEND,33,32.25
COML,Nt0000,COMM. LEASING,2000-06-07 00:00:00,2000-06-29 00:00:00,25,FINAL DIVIDEND,23.5,24.25
MASK,Nt0000,MASKELIYA,2000-06-08 00:00:00,2000-06-29 00:00:00,25,FIRST & FINAL,27.75,25.25
ASIR,Nt0000,ASIRI,2000-06-20 00:00:00,2000-06-30 00:00:00,15,INTERIM DIVIDEND,37,33.25
CCS,Nt0000,COLD STORES 8/-,2000-06-09 00:00:00,2000-06-30 00:00:00,50,FINAL DIVIDEND,57.5,54
HAYL,Nt0000,HAYLEYS,2000-06-20 00:00:00,2000-06-30 00:00:00,15,FINAL,90,90
JKH,Nt0000,JKH,2000-06-09 00:00:00,2000-06-30 00:00:00,20,FINAL DIVIDEND (0.45 T/F),108,107
LOLC,Nt0000,LOLC,2000-06-20 00:00:00,2000-06-30 00:00:00,12.5,FINAL,33,32
REXP,Nt0000,RICH PIERIS EXP,2000-06-20 00:00:00,2000-06-30 00:00:00,15,FIRST & FINAL (TAX FREE),15.5,14.25
RICH,Nt0000,RICHARD PIERIS,2000-06-20 00:00:00,2000-06-30 00:00:00,27,FIRST & FINAL (TAX FREE),50,52
BUKI,Nt0000,BUKIT DARAH,2000-06-06 00:00:00,2000-07-03 00:00:00,25,FIRST & FINAL DIVIDEND,400,400
HINN,Nt0000,HABARANA WALKINN,2000-06-21 00:00:00,2000-07-03 00:00:00,55,FINAL,50,40.25
SHAL,Nt0000,SHALIMAR,2000-06-06 00:00:00,2000-07-03 00:00:00,15,FIRST & FINAL DIVIDEND,700,
DFCC,Nt0000,DFCC,2000-06-26 00:00:00,2000-07-06 00:00:00,40,FIRST & FINAL,105,104
RECK,Nt0000,RECKIT BENCKISER,2000-06-12 00:00:00,2000-07-07 00:00:00,20,FIRST & FINAL,26,25.5
SAMP,Nt0000,SAMPATH,2000-06-27 00:00:00,2000-07-07 00:00:00,7,SECOND & FINAL DIVIDEND,60,60.25
HLOG,Nt0000,HABARANA LODGE,2000-06-29 00:00:00,2000-07-11 00:00:00,30,FINAL DIVIDEND,23.5,25
KINN,Nt0000,KANDY WALK INN,2000-06-29 00:00:00,2000-07-11 00:00:00,20,FINAL DIVIDEND,23.5,22
LLUB,Nt0000,CALTEX,2000-07-04 00:00:00,2000-07-14 00:00:00,11.5,INTERIM DIVIDEND,61,60
KGAL,Nt0000,KEGALLE,2000-07-07 00:00:00,2000-07-19 00:00:00,7.5,FIRST & FINAL DIV.,12,11.5
CDIC,Nt0000,CDIC,2000-07-18 00:00:00,2000-07-28 00:00:00,5,FINAL DIVIDEND,30,30
CFIN,Nt0000,CENTRAL FINANCE,2000-07-25 00:00:00,2000-08-04 00:00:00,10,SECOND INTERIM DIVIDEND (T/F),120,120
SWAD,Nt0000,SWADESHI,2000-07-25 00:00:00,2000-08-04 00:00:00,10,FIRST & FINAL,2700,
MADU,Nt0000,MADULSIMA,2000-07-26 00:00:00,2000-08-07 00:00:00,10,FIRST & FINAL,13,12
ONAL,Nt0000,ON'ALLY,2000-07-26 00:00:00,2000-08-07 00:00:00,7,FINAL DIVIDEND,9.5,9
TKYO,Nt0000,TOKYO CEMENT,2000-07-26 00:00:00,2000-08-07 00:00:00,32,"FINAL (TAXABLE-20% , TAX FREE-12%)",48.25,47
BALA,Nt0000,BALANGODA,2000-07-27 00:00:00,2000-08-08 00:00:00,17.5,FIRST & FINAL,23.25,22
CARS,Nt0000,CARSONS,2000-07-24 00:00:00,2000-08-09 00:00:00,100,FIRST & FINAL (63% TAX FREE),1300,1200
BREW,Nt0000,CEYLON BREWERY,2000-07-26 00:00:00,2000-08-11 00:00:00,20,"FIRST & FINAL DIV. (9% T/F, 11% TAXABLE)",24.25,25
CARG,Nt0000,CARGILLS,2000-08-07 00:00:00,2000-08-18 00:00:00,25,FIRST & FINAL DIV. (9.35% T/F),36.5,33
