Crossings - January to December 2018,,,,,,
QUARTER,TRADE DATE,COMPANY NAME,SECURITY ID,PRICE,QUANTITY,TURNOVER
2018-4,2018-10-04 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,132,750000,99000000
2018-4,2018-10-05 00:00:00,DIALOG AXIATA PLC,DIAL.N0000,11.8,2100000,24780000
2018-4,2018-10-05 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,205,100000,20500000
2018-4,2018-10-05 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,205,100000,20500000
2018-4,2018-10-05 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,133,385000,51205000
2018-4,2018-10-08 00:00:00,MELSTACORP PLC,MELS.N0000,50.2,2000000,100400000
2018-4,2018-10-09 00:00:00,TEEJAY LANKA PLC,TJL.N0000,30,700000,21000000
2018-4,2018-10-10 00:00:00,NATION LANKA FINANCE PLC,CSF.N0000,0.8,25585390,20468312
2018-4,2018-10-11 00:00:00,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1350,24214,32688900
2018-4,2018-10-12 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,200,100100,20020000
2018-4,2018-10-12 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,200,155420,31084000
2018-4,2018-10-12 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,200,744480,148896000
2018-4,2018-10-15 00:00:00,CARGILLS (CEYLON) PLC,CARG.N0000,200,147678,29535600
2018-4,2018-10-15 00:00:00,SINGER (SRI LANKA) PLC,SINS.N0000,47,35562883,1671455501
2018-4,2018-10-16 00:00:00,ACCESS ENGINEERING PLC,AEL.N0000,14,1874040,26236560
2018-4,2018-10-16 00:00:00,AMANA TAKAFUL PLC,ATL.N0000,7,2900000,20300000
2018-4,2018-10-16 00:00:00,AMANA TAKAFUL PLC,ATL.N0000,7,2900000,20300000
2018-4,2018-10-16 00:00:00,AMANA TAKAFUL PLC,ATL.N0000,7,2900000,20300000
2018-4,2018-10-16 00:00:00,DIALOG AXIATA PLC,DIAL.N0000,11.7,2100000,24570000
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126,473171,59619546
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126.8,1113824,141232883.2
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126,468346,59011596
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126,550862,69408612
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126,1242020,156494520
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126,250359,31545234
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,127,247766,31466282
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126.8,770580,97709544
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126.8,946979,120076937.2
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126.8,384134,48708191.2
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126.8,186154,23604327.2
