"Market Capitalization of Listed Companies as at December , 2021",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
SERV,SERV.N0000,KINGSBURY,9.5,484000000,4598000000
SEYB,SEYB.N0000,SEYLAN BANK,44,264267493,11627769692
SEYB,SEYB.X0000,SEYLAN BANK,33.3,269923190,8988442227
SFCL,SFCL.N0000,SENKADAGALA,757.25,86279834,65335404296.5
SFIN,SFIN.N0000,SINGER FINANCE,17.2,202074075,3475674090
SFL,SFL.N0000,SINHAPUTHRA FIN,26.8,62958930,1687299324
SFS,SFS.N0000,SWARNAMAHAL FIN,1.7,500000140,850000238
SHAL,SHAL.N0000,SHALIMAR,1113.75,5397840,6011844300
SHAW,SHAW.N0000,LEE HEDGES,90,25602730,2304245700
SHL,SHL.N0000,SOFTLOGIC,34.3,1192543209,40904232068.7
SHOT,SHOT.N0000,SERENDIB HOTELS,20.6,75514738,1555603602.8
SHOT,SHOT.X0000,SERENDIB HOTELS,11.5,36011056,414127144
SIGV,SIGV.N0000,SIGIRIYA VILLAGE,43.7,9000000,393300000
SIL,SIL.N0000,SAMSON INTERNAT.,202,4232771,855019742
SING,SING.N0000,STANDARD CAPITAL,60,5540828,332449680
SINH,SINH.N0000,SINGHE HOSPITALS,3,431300895,1293902685
SINI,SINI.N0000,SINGER IND.,46,20000760,920034960
SINS,SINS.N0000,SINGER SRI LANKA,19.9,1126886490,22425041151
SIRA,SIRA.N0000,SIERRA  CABL,14.3,537512430,7686427749
SLND,SLND.N0000,SERENDIB LAND,2001.75,398906,798510085.5
SLTL,SLTL.N0000,SLT,38.8,1804860000,70028568000
SMOT,SMOT.N0000,SATHOSA MOTORS,201.5,6033622,1215774833
SOY,SOY.N0000,CONVENIENCE FOOD,1246,2750000,3426500000
SPEN,SPEN.N0000,AITKEN SPENCE,82.4,405996045,33454074108
STAF,STAF.N0000,DOLPHIN HOTELS,37.2,31621477,1176318944.4
SUN,SUN.N0000,SUNSHINE HOLDING,45.4,448662309,20369268828.6
SWAD,SWAD.N0000,SWADESHI,15003.5,149333,2240517665.5
TAFL,TAFL.N0000,THREE ACRE FARMS,300.25,23545000,7069386250
TAJ,TAJ.N0000,TAL LANKA,22.1,139637494,3085988617.4
TANG,TANG.N0000,TANGERINE,66,20000000,1320000000
TAP,TAP.N0000,AMBEON CAPITAL,18,1002724815,18049046670
TESS,TESS.N0000,TESS AGRO,1.5,339797287,509695930.5
TESS,TESS.X0000,TESS AGRO,1.1,50000000,55000000
TILE,TILE.N0000,LANKA TILES,110,265252050,29177725500
TJL,TJL.N0000,TEEJAY LANKA,44.4,716739975,31823254890
TKYO,TKYO.N0000,TOKYO CEMENT,59.8,267300000,15984540000
TKYO,TKYO.X0000,TOKYO CEMENT,49.7,133650000,6642405000
TPL,TPL.N0000,TALAWAKELLE,52.2,47500000,2479500000
TRAN,TRAN.N0000,TRANS ASIA,55,200000000,11000000000
TSML,TSML.N0000,TEA SMALLHOLDER,35.3,30000000,1059000000
TYRE,TYRE.N0000,KELANI TYRES,98.6,80400000,7927440000
UAL,UAL.N0000,UNION ASSURANCE,294,58928572,17325000168
UBC,UBC.N0000,UNION BANK,11.1,1083558338,12027497551.8
UCAR,UCAR.N0000,UNION CHEMICALS,971.25,1500000,1456875000
UDPL,UDPL.N0000,UDAPUSSELLAWA,60.2,19398850,1167810770
UML,UML.N0000,UNITED MOTORS,93.1,100900626,9393848280.6
VFIN,VFIN.N0000,VALLIBEL FINANCE,39.9,235453400,9394590660
VLL,VLL.N0000,VIDULLANKA,6.7,854930078,5728031522.6
VLL,VLL.X0000,VIDULLANKA,5.3,72394086,383688655.8
VONE,VONE.N0000,VALLIBEL ONE,72.6,1138915644,82685275754.4
VPEL,VPEL.N0000,VALLIBEL,8.6,747109731,6425143686.6
WAPO,WAPO.N0000,GUARDIAN CAPITAL,34.2,25833808,883516233.6
WATA,WATA.N0000,WATAWALA,130,203308633,26430122290
WIND,WIND.N0000,WINDFORCE,18.2,1350768942,24583994744.4
YORK,YORK.N0000,YORK ARCADE,210.5,750000,157875000
