Crossings 2019 (January to December),,,,,,
QUARTER,TRADE DATE,COMPANY NAME,SECURITY ID,PRICE,QUANTITY,TURNOVER
2019-4,2019-11-28 00:00:00,C T HOLDINGS PLC,CTHR.N0000,172,568841,97840652
2019-4,2019-11-28 00:00:00,C T HOLDINGS PLC,CTHR.N0000,172,922369,158647468
2019-4,2019-11-28 00:00:00,C T HOLDINGS PLC,CTHR.N0000,172,227441,39119852
2019-4,2019-11-28 00:00:00,CEYLON COLD STORES PLC,CCS.N0000,815,27471,22388865
2019-4,2019-11-28 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,102,200000,20400000
2019-4,2019-11-28 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,88,300000,26400000
2019-4,2019-11-28 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,217400,35871000
2019-4,2019-11-28 00:00:00,LANKA TILES PLC,TILE.N0000,74.5,1000000,74500000
2019-4,2019-11-28 00:00:00,LANKA TILES PLC,TILE.N0000,74.5,500000,37250000
2019-4,2019-11-28 00:00:00,SAMPATH BANK PLC,SAMP.N0000,172,200000,34400000
2019-4,2019-11-29 00:00:00,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,42.5,1360000,57800000
2019-4,2019-11-29 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,167,460714,76939238
2019-4,2019-11-29 00:00:00,MELSTACORP PLC,MELS.N0000,45,1000000,45000000
2019-4,2019-11-29 00:00:00,NATIONS TRUST BANK PLC,NTB.X0000,83,766178,63592774
2019-4,2019-11-29 00:00:00,NATIONS TRUST BANK PLC,NTB.X0000,83,1149267,95389161
2019-4,2019-12-02 00:00:00,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,100,1356141,135614100
2019-4,2019-12-02 00:00:00,SAMPATH BANK PLC,SAMP.N0000,173,140000,24220000
2019-4,2019-12-03 00:00:00,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,107,350000,37450000
2019-4,2019-12-03 00:00:00,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,105,192951,20259855
2019-4,2019-12-03 00:00:00,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,107,200000,21400000
2019-4,2019-12-04 00:00:00,C T HOLDINGS PLC,CTHR.N0000,165,244000,40260000
2019-4,2019-12-04 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,98,323513,31704274
2019-4,2019-12-05 00:00:00,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,107,306366,32781162
2019-4,2019-12-05 00:00:00,SINHAPUTHRA FINANCE PLC,SFL.N0000,9.5,31675870,300920765
2019-4,2019-12-09 00:00:00,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,13,2000000,26000000
2019-4,2019-12-09 00:00:00,TEEJAY LANKA PLC,TJL.N0000,40,600000,24000000
2019-4,2019-12-10 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,857399,137183840
2019-4,2019-12-10 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,950000,152000000
2019-4,2019-12-12 00:00:00,DIALOG AXIATA PLC,DIAL.N0000,12.8,4139164,52981299.2
2019-4,2019-12-13 00:00:00,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,85,2379654,202270590
2019-4,2019-12-19 00:00:00,BIMPUTH FINANCE PLC,BLI.N0000,40,520000,20800000
2019-4,2019-12-19 00:00:00,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1100,39009,42909900
2019-4,2019-12-19 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,400000,66000000
2019-4,2019-12-19 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,500000,82500000
2019-4,2019-12-19 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,500000,82500000
2019-4,2019-12-20 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,1000000,165000000
2019-4,2019-12-20 00:00:00,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,13,5000000,65000000
2019-4,2019-12-20 00:00:00,VIDULLANKA PLC,VLL.N0000,4.6,20000000,92000000
2019-4,2019-12-23 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,308000,50820000
2019-4,2019-12-23 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,315327,52028955
2019-4,2019-12-23 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,184673,30471045
2019-4,2019-12-23 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,200000,33000000
2019-4,2019-12-26 00:00:00,HATTON PLANTATIONS PLC,HPL.N0000,8.3,29065923,241247160.9
2019-4,2019-12-27 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,165,138184,22800360
2019-4,2019-12-27 00:00:00,RENUKA CAPITAL PLC,KZOO.N0000,3.8,7059200,26824960
2019-4,2019-12-27 00:00:00,RENUKA HOTELS PLC,RCH.N0000,45,500000,22500000
2019-4,2019-12-30 00:00:00,CEYLON COLD STORES PLC,CCS.N0000,800,50000,40000000
2019-4,2019-12-31 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,174,607925,105778950
2019-4,2019-12-31 00:00:00,SOFTLOGIC HOLDINGS PLC,SHL.N0000,16.7,3200000,53440000
