Date,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy,Food & Staples Retailing,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate Management & Development,Retailing,Software & Services,Telecommunication Services,Transportation,Utilities
2017-04-21 00:00:00,804.289544235925,976.674149809747,976.89193166342,858.842029162326,992.811370498685,355.557107088413,815.46061174847,828.364037552722,1074.76566294914,947.324275707167,1072.54276479384,1000,1083.13614477691,1014.76584578335,1004.21052631579,909.513110527198,959.961384816335,,935.8270634052,669.956140350877,850.938516764852
2017-04-24 00:00:00,797.587131367292,964.614662567517,972.287359821822,771.199510557238,982.446422266694,352.670401302478,808.174656821402,818.394909709758,1073.69325315511,949.033713861216,1058.70775064243,994.494463404903,1072.11487338842,1006.67157983224,1010.52631578947,892.231705815018,951.102647969798,,941.125331183366,669.956140350877,844.718432217842
2017-04-25 00:00:00,797.587131367292,962.264026994727,964.491303093718,811.373746019792,972.966948122396,351.544923450966,810.284519765373,803.724733989447,1076.48511539245,951.448206878857,1041.4803829739,994.494463404903,1065.66908564973,1007.18222608232,1010.52631578947,873.451321600252,949.389050688078,,943.234398068284,669.956140350877,845.470936111403
2017-04-26 00:00:00,797.587131367292,965.092358546356,973.117419387078,774.906122710924,988.242749259872,352.437881556271,811.771712855014,813.053647418195,1084.84442748616,953.286257606691,1051.22330037995,994.494463404903,1065.10728932797,1014.20646818666,1010.52631578947,871.316811491691,948.402805957844,,943.234398068284,669.956140350877,846.173874497606
2017-04-27 00:00:00,804.289544235925,976.940743610832,984.219310975429,756.201069416654,1005.35717425487,358.529992694442,818.882979493329,821.385648062647,1083.21339715157,960.873308625205,1060.73392038773,1000,1069.5100626757,1017.99818526269,1010.52631578947,872.272477644721,962.05822666242,,944.288931510744,669.956140350877,843.468198355567
2017-04-28 00:00:00,805.630026809651,976.208867994538,989.542415237069,749.373938418258,1025.69378800849,359.75093015439,826.460404149315,825.142366585245,1082.07547203014,971.866379537091,1054.30342334313,1000,1077.65300182054,1030.08987922604,1010.52631578947,884.620857090201,967.73595996509,,943.234398068284,669.956140350877,841.875877434709
2017-05-02 00:00:00,813.672922252011,972.08265786298,987.908632391287,749.360527694995,1035.1133826467,359.052862276576,828.000512571087,836.234172967999,1088.29567356169,969.987083037003,1054.22689588289,1005.5055365951,1083.65085605333,1032.49756482721,1010.52631578947,879.761717423213,972.123562441794,,950.101665727204,669.956140350877,840.470000662303
2017-05-03 00:00:00,797.587131367292,972.022798840105,980.046786773491,801.240111796241,1023.43436146796,356.941913538952,817.074343002059,827.849588893999,1091.72887230722,959.952352391511,1055.73426763434,1000,1078.83639998941,1015.01940052355,1010.52631578947,874.519218561079,964.500168569723,,942.179864625825,669.956140350877,855.616412950448
2017-05-04 00:00:00,804.289544235925,976.65543434249,991.46133804928,905.885929967223,1037.87418768327,360.099436610289,827.20486831962,833.831065599778,1091.122215463,966.23146950578,1051.02148996172,1005.5055365951,1057.2557284237,1021.10899634636,1010.52631578947,873.400042058201,967.954344937906,,937.961730855988,669.956140350877,853.426947520117
2017-05-05 00:00:00,797.587131367292,985.512432148658,999.243413244251,905.885929967223,1037.41445929791,362.043541335892,837.958476391376,851.670328858018,1109.9658608328,965.331138840932,1054.57184796289,1011.01107319019,1077.41160174067,1030.4034240125,1010.52631578947,870.762627780682,974.203483084186,,946.423598961531,669.956140350877,852.674443626556
